id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	839.0	1415.0	1790.6	-1.05	0.02	0.96	75	38	37	0.24	-0.117
MA0730.1	RARA(var.2)	1615.8	2416.5	3238.3	-0.37	0.62	2.26	105	56	49	0.085	0.264
MA0742.1	Klf12	1611.6	2446.5	3227.2	-1.51	-0.26	0.62	102	48	54	-0.064	-0.142
MA0482.2	GATA4	281.0	527.5	808.0	-1.85	-0.4	0.62	49	24	25	-0.017	-0.092
MA0099.1	JUN::FOS	128.0	280.0	456.0	-1.58	-0.25	0.54	35	14	21	-0.196	0.025
MA0102.1	Cebpa	352.0	661.5	897.7	-0.77	0.1	1.33	52	28	24	0.261	-0.036
MA0108.1	TBP	549.9	885.0	1344.0	-2.64	-0.95	0.23	67	29	38	-0.195	-0.257
MA0498.2	MEIS1	70.0	176.0	319.0	-0.5	1.0	2.75	32	18	14	0.27	0.582
MA1100.2	ASCL1	423.0	742.0	1140.0	0.08	1.0	2.87	62	39	23	0.266	0.217
MA0812.1	TFAP2B(var.2)	675.4	1150.5	1693.2	0.07	1.13	3.14	77	47	30	0.387	0.315
MA0853.1	Alx4	557.0	928.5	1338.0	-1.75	-0.34	0.42	64	29	35	-0.091	-0.162
MA0033.2	FOXL1	25.0	80.0	166.1	-3.55	-1.82	-0.36	26	8	18	-0.493	-0.957
MA0805.1	TBX1	395.9	681.0	998.2	-0.33	0.47	1.98	56	30	26	0.255	0.233
MA0075.1	Prrx2	97.0	232.5	377.5	-1.61	-0.26	0.52	32	14	18	-0.15	-0.231
MA0912.1	Hoxd3	747.0	1223.0	1611.0	-0.75	0.12	1.23	71	40	31	0.089	-0.053
MA1519.1	LHX5	183.0	394.0	620.0	-2.02	-0.47	0.32	43	18	25	-0.489	-0.114
MA0694.1	ZBTB7B	1364.0	2020.0	2752.1	-2.39	-0.7	0.25	97	43	54	-0.182	-0.234
MA0491.1	JUND	224.5	449.0	659.5	-0.7	0.11	1.27	43	24	19	0.273	0.072
MA0148.2	FOXA1	213.0	430.0	654.4	-1.58	-0.22	0.57	43	19	24	-0.341	-0.107
MA0475.2	FLI1	569.8	978.0	1375.0	-0.57	0.27	1.64	65	34	31	0.077	0.278
MA0100.2	Myb	463.8	785.0	1202.1	0.04	1.05	3.07	64	39	25	0.4	0.42
MA0670.1	NFIA	305.0	578.0	860.0	-1.77	-0.37	0.46	51	23	28	-0.036	-0.305
MA1635.1	BHLHE22(var.2)	394.0	718.0	1122.1	-0.05	1.33	3.44	63	38	25	0.159	0.443
MA1573.1	THAP11	1221.5	1906.0	2515.3	-1.77	-0.34	0.59	91	45	46	-0.016	-0.186
MA0765.1	ETV5	498.4	873.5	1249.1	-0.47	0.33	1.82	62	33	29	0.106	0.156
MA0877.2	BARHL1	478.4	897.0	1201.0	-1.16	-0.05	0.87	60	29	31	-0.049	-0.067
MA0141.2	Esrrb	643.8	1139.0	1487.8	-1.23	0.08	0.93	68	37	31	0.058	-0.211
MA0104.1	Mycn	188.0	392.5	585.8	-1.73	-0.34	0.63	42	21	21	-0.001	-0.384
MA1587.1	ZNF135	1380.5	2060.0	2738.1	-0.44	0.59	2.21	97	51	46	0.102	0.232
MA0512.1	Rxra	571.4	974.0	1375.3	-0.02	0.52	2.15	67	40	27	0.315	0.204
MA0119.1	NFIC::TLX1	609.0	992.5	1455.5	0.31	1.65	3.71	75	45	30	0.354	0.466
MA0904.1	Hoxb5	542.0	914.0	1342.1	-2.18	-0.52	0.4	65	30	35	-0.066	-0.206
MA0597.1	THAP1	988.4	1541.5	2159.1	-0.0	0.94	2.77	87	51	36	0.122	0.259
