id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	39843538.8	40616119.5	41301594.0	2.14	4.73	8.6	13031	6756	6275	0.121	0.109
MA0730.1	RARA(var.2)	40431024.0	41163084.5	41869150.2	0.45	2.12	4.77	13008	6619	6389	0.098	0.095
MA0742.1	Klf12	37404257.9	38186322.0	38866911.2	16.8	23.11	31.57	13040	6995	6045	0.29	0.35
MA0482.2	GATA4	39606917.1	40307572.5	41043299.0	-10.91	-6.64	-3.3	13043	6316	6727	-0.099	-0.123
MA0099.1	JUN::FOS	36424200.8	37168850.0	37866057.4	19.92	26.85	35.5	12928	6963	5965	0.342	0.317
MA0102.1	Cebpa	41260981.4	41931752.5	42461093.3	-0.85	-0.69	2.23	13034	6513	6521	-0.006	0.038
MA0108.1	TBP	35289023.9	35947197.0	36646936.4	-64.41	-53.3	-42.88	13055	5818	7237	-0.384	-0.406
MA0498.2	MEIS1	37586711.7	38323592.0	39041270.0	5.14	9.04	14.53	12787	6691	6096	0.088	0.122
MA1100.2	ASCL1	40267665.4	40991219.5	41693872.7	1.35	3.52	6.9	13045	6682	6363	0.07	0.089
MA0812.1	TFAP2B(var.2)	37836033.9	38600710.0	39360099.6	12.32	18.49	26.02	13030	6930	6100	0.282	0.269
MA0853.1	Alx4	38982319.2	39698383.5	40398253.3	-16.71	-11.14	-6.8	13061	6199	6862	-0.207	-0.21
MA0033.2	FOXL1	36519596.9	37217756.5	37909473.8	-22.63	-16.09	-10.53	12756	6012	6744	-0.123	-0.213
MA0805.1	TBX1	40552210.6	41316379.5	41650907.3	-0.72	-0.31	1.84	12901	6430	6471	-0.008	0.027
MA0075.1	Prrx2	26563140.3	27233515.0	27882793.6	-30.65	-22.54	-16.04	11057	5089	5968	-0.421	-0.277
MA0912.1	Hoxd3	38550227.8	39331909.0	40018106.8	-19.63	-13.06	-8.19	13044	6223	6821	-0.174	-0.198
MA1519.1	LHX5	38255175.4	39022972.0	39717130.1	-13.35	-8.37	-4.7	12884	6201	6683	-0.11	-0.162
MA0694.1	ZBTB7B	40662079.4	41380095.0	42121561.1	0.5	2.08	4.63	13040	6675	6365	0.078	0.064
MA0491.1	JUND	36836536.7	37604623.5	38301747.8	20.04	27.36	36.5	13009	6934	6075	0.347	0.451
MA0148.2	FOXA1	39629459.7	40324759.0	41028271.8	-10.97	-6.75	-3.43	13049	6286	6763	-0.136	-0.152
MA0475.2	FLI1	36539504.0	37246671.0	37975902.0	24.27	32.4	41.11	13021	7025	5996	0.317	0.344
MA0100.2	Myb	40984903.1	41712251.5	42315430.6	-0.19	0.88	2.83	13016	6584	6432	0.044	0.041
MA0670.1	NFIA	40854918.9	41586788.0	42261027.0	-0.08	1.33	3.38	13029	6597	6432	0.021	0.049
MA1635.1	BHLHE22(var.2)	39090278.2	39819373.0	40508577.3	5.47	9.36	14.53	13038	6869	6169	0.129	0.182
MA1573.1	THAP11	41571257.0	42349395.0	42496647.2	-1.27	-0.1	0.82	13032	6512	6520	-0.004	0.028
MA0765.1	ETV5	35157668.4	35848397.5	36536714.2	41.26	51.52	62.44	13018	7271	5747	0.345	0.318
MA0877.2	BARHL1	39557301.2	40342027.0	41079051.8	-9.99	-5.74	-2.78	13021	6270	6751	-0.081	-0.085
MA0141.2	Esrrb	41266780.7	42038577.5	42481722.1	-0.35	0.56	2.21	13039	6564	6475	0.021	0.042
MA0104.1	Mycn	32669174.4	33362471.0	34021579.0	11.36	16.83	22.97	12106	6455	5651	0.219	0.246
MA1587.1	ZNF135	41601880.2	42366412.5	42604417.8	-0.45	0.21	1.49	13051	6596	6455	0.043	-0.004
MA0512.1	Rxra	40584337.1	41316297.0	42041286.9	0.62	2.39	5.17	13046	6704	6342	0.099	0.079
MA0119.1	NFIC::TLX1	38586743.5	39305557.5	40031060.4	6.42	10.9	16.3	12992	6855	6137	0.275	0.231
MA0904.1	Hoxb5	39475019.1	40220059.0	40957828.6	-11.65	-7.2	-3.79	13045	6275	6770	-0.138	-0.152
MA0597.1	THAP1	37991228.0	38725510.0	39485445.3	11.0	16.67	23.42	13017	6899	6118	0.139	0.13
MA0471.1	E2F6	37949625.6	38633186.0	39386469.3	12.51	18.36	24.95	13033	6903	6130	0.272	0.293
MA0844.1	XBP1	38290530.3	39003700.0	39755063.7	9.25	14.63	20.79	13023	6867	6156	0.223	0.218
MA1466.1	ATF6	36718256.7	37440858.5	38109345.1	22.88	29.93	38.68	13019	7036	5983	0.367	0.359
MA0895.1	HMBOX1	40388237.3	41132423.0	41849224.8	-5.97	-2.81	1.11	13037	6446	6591	-0.035	-0.077
MA0679.1	ONECUT1	34207073.8	34891703.5	35584156.2	-81.69	-69.0	-57.12	13034	5695	7339	-0.596	-0.614
MA0051.1	IRF2	39535007.2	40285644.5	41019183.3	-10.75	-6.36	-3.1	13031	6334	6697	-0.156	-0.2
MA0059.1	MAX::MYC	39048820.6	39776193.0	40496016.1	4.34	8.0	12.62	12996	6774	6222	0.18	0.167
MA0162.2	EGR1	36485526.0	37183925.5	37898500.1	25.79	33.61	42.32	13027	7019	6008	0.428	0.508
MA0761.1	ETV1	35764081.6	36440703.0	37212290.7	33.05	42.93	52.26	13020	7200	5820	0.351	0.336
MA0796.1	TGIF1	39418007.0	40119289.5	40796283.8	1.18	3.12	6.26	12890	6637	6253	0.106	0.121
MA0090.1	TEAD1	40858930.8	41559061.0	42181808.3	0.09	1.13	3.23	13011	6604	6407	0.061	0.059
MA0037.3	GATA3	38154337.4	38855073.5	39569787.3	-11.76	-7.41	-3.96	12831	6185	6646	-0.125	-0.116
MA0145.3	TFCP2	40530670.9	41269537.0	41985436.7	-5.51	-2.52	-0.74	13045	6354	6691	-0.088	-0.068
MA0781.1	PAX9	36993886.2	37721715.5	38431006.6	13.52	19.26	26.32	12898	6921	5977	0.351	0.287
MA0036.2	GATA2	38623255.4	39305554.0	40027556.6	-19.14	-13.36	-8.52	13046	6169	6877	-0.185	-0.198
MA0803.1	TBX15	40901045.4	41591556.5	42021996.7	-0.22	0.49	1.99	12963	6545	6418	0.018	0.023
MA0818.1	BHLHE22	40147991.7	40900949.5	41662425.3	-6.4	-3.07	-0.95	13012	6384	6628	-0.067	-0.099
MA0048.2	NHLH1	38796255.0	39535237.5	40244027.8	6.8	11.24	17.0	13037	6815	6222	0.181	0.206
MA0904.2	HOXB5	40811652.5	41646335.5	41736813.4	-0.92	0.01	1.03	12909	6482	6427	0.009	-0.005
MA0481.1	FOXP1	34997038.4	35702487.0	36399650.2	-69.74	-57.39	-46.53	13057	5737	7320	-0.598	-0.577
MA0750.2	ZBTB7A	34842545.8	35548836.0	36256340.5	46.82	57.37	69.14	13030	7288	5742	0.478	0.46
