id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	832.7	1415.0	1745.2	-1.08	0.02	0.97	75	38	37	0.24	-0.117
MA0730.1	RARA(var.2)	1660.0	2416.5	3292.1	-0.39	0.62	2.05	105	56	49	0.085	0.264
MA0742.1	Klf12	1652.4	2446.5	3168.7	-1.74	-0.26	0.58	102	48	54	-0.064	-0.142
MA0482.2	GATA4	278.8	527.5	817.8	-1.85	-0.4	0.61	49	24	25	-0.017	-0.092
MA0099.1	JUN::FOS	130.0	280.0	442.1	-1.47	-0.25	0.45	35	14	21	-0.196	0.025
MA0102.1	Cebpa	340.4	661.5	917.6	-0.85	0.1	1.2	52	28	24	0.261	-0.036
MA0108.1	TBP	526.8	885.0	1331.1	-2.68	-0.95	0.21	67	29	38	-0.195	-0.257
MA0498.2	MEIS1	72.0	176.0	325.0	-0.48	1.0	2.64	32	18	14	0.27	0.582
MA1100.2	ASCL1	414.0	742.0	1127.1	0.05	1.0	3.0	62	39	23	0.266	0.217
MA0812.1	TFAP2B(var.2)	679.0	1150.5	1656.0	0.11	1.13	3.42	77	47	30	0.387	0.315
MA0853.1	Alx4	529.9	928.5	1322.5	-1.76	-0.34	0.46	64	29	35	-0.091	-0.162
MA0033.2	FOXL1	24.0	80.0	173.0	-3.79	-1.82	-0.35	26	8	18	-0.493	-0.957
MA0805.1	TBX1	370.0	681.0	1042.1	-0.38	0.47	1.96	56	30	26	0.255	0.233
MA0075.1	Prrx2	93.5	230.5	378.5	-1.65	-0.27	0.52	32	14	18	-0.15	-0.231
MA0912.1	Hoxd3	743.0	1223.0	1618.0	-0.77	0.12	1.38	71	40	31	0.089	-0.053
MA1519.1	LHX5	192.0	394.0	618.1	-2.06	-0.47	0.3	43	18	25	-0.489	-0.114
MA0694.1	ZBTB7B	1357.1	2020.0	2725.0	-2.41	-0.7	0.24	97	43	54	-0.182	-0.234
MA0491.1	JUND	217.0	449.0	635.0	-0.75	0.11	1.28	43	24	19	0.273	0.072
MA0148.2	FOXA1	213.0	430.0	638.0	-1.5	-0.22	0.64	43	19	24	-0.341	-0.107
MA0475.2	FLI1	563.0	978.0	1391.3	-0.57	0.27	1.73	65	34	31	0.077	0.278
MA0100.2	Myb	454.0	785.0	1223.1	0.01	1.05	3.07	64	39	25	0.4	0.42
MA0670.1	NFIA	316.0	578.0	868.0	-1.78	-0.37	0.43	51	23	28	-0.036	-0.305
MA1635.1	BHLHE22(var.2)	405.0	718.0	1100.1	0.06	1.33	3.54	63	38	25	0.159	0.443
MA1573.1	THAP11	1241.5	1906.0	2584.2	-1.76	-0.34	0.55	91	45	46	-0.016	-0.186
MA0765.1	ETV5	508.5	873.5	1258.7	-0.5	0.33	1.71	62	33	29	0.106	0.156
MA0877.2	BARHL1	476.5	897.0	1222.1	-1.18	-0.05	0.89	60	29	31	-0.049	-0.067
MA0141.2	Esrrb	665.9	1139.0	1456.5	-1.11	0.08	0.86	68	37	31	0.058	-0.211
MA0104.1	Mycn	188.5	392.5	610.6	-1.64	-0.34	0.6	42	21	21	-0.001	-0.384
MA1587.1	ZNF135	1349.9	2060.0	2807.1	-0.46	0.59	2.2	97	51	46	0.102	0.232
MA0512.1	Rxra	588.0	974.0	1406.6	-0.08	0.52	2.05	67	40	27	0.315	0.204
MA0119.1	NFIC::TLX1	606.9	992.5	1485.0	0.27	1.65	3.72	75	45	30	0.354	0.466
MA0904.1	Hoxb5	540.9	914.0	1348.3	-2.07	-0.52	0.38	65	30	35	-0.066	-0.206
MA0597.1	THAP1	992.5	1541.5	2198.1	-0.01	0.94	2.64	87	51	36	0.122	0.259
