id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	12088.9	15524.0	19055.5	-0.04	0.78	2.69	262	144	118	0.21	0.15
MA0730.1	RARA(var.2)	23709.9	29737.5	34377.6	-1.42	-0.17	0.64	349	169	180	-0.059	-0.033
MA0742.1	Klf12	19864.2	25108.5	29039.3	-1.44	-0.18	0.7	321	159	162	-0.022	-0.076
MA0482.2	GATA4	12544.0	16062.5	19531.5	-0.55	0.53	2.0	263	134	129	0.018	0.139
MA0099.1	JUN::FOS	4999.1	6932.5	9120.0	-0.09	1.66	4.02	185	103	82	0.236	0.335
MA0102.1	Cebpa	2648.8	4030.5	5545.8	34.31	40.34	46.19	330	290	40	1.153	1.438
MA0108.1	TBP	17617.4	22217.5	26936.5	-2.89	-0.92	0.01	314	144	170	-0.084	-0.107
MA0498.2	MEIS1	5625.2	7673.5	9970.8	0.08	1.19	3.26	190	108	82	0.133	0.193
MA1100.2	ASCL1	8534.3	11168.0	14165.5	-2.58	-0.85	0.37	224	106	118	-0.059	-0.169
MA0812.1	TFAP2B(var.2)	13341.3	17171.5	20481.1	-0.67	-0.24	1.58	267	133	134	-0.007	0.065
MA0853.1	Alx4	25334.2	31986.5	36773.6	-0.87	0.06	1.3	359	183	176	0.021	-0.028
MA0033.2	FOXL1	4378.0	6135.5	7675.2	-0.66	0.22	1.45	160	80	80	0.004	0.102
MA0805.1	TBX1	7574.6	10508.0	12283.1	-0.97	0.02	1.08	205	105	100	0.016	-0.058
MA0075.1	Prrx2	1781.8	2691.5	3618.2	-0.05	0.55	2.28	110	63	47	0.326	0.109
MA0912.1	Hoxd3	18429.8	23324.0	26843.5	-0.72	0.12	1.35	308	157	151	0.061	0.02
MA1519.1	LHX5	3929.1	5606.5	7228.8	-0.4	0.44	2.14	156	85	71	0.117	0.134
MA0694.1	ZBTB7B	17206.0	21909.5	26653.2	-2.47	-0.71	0.21	309	144	165	-0.057	-0.124
MA0491.1	JUND	9436.8	12279.0	15467.1	-0.06	1.47	3.7	241	133	108	0.144	0.364
MA0148.2	FOXA1	10547.1	13571.5	16918.7	-3.31	-1.1	0.05	249	112	137	-0.133	-0.134
MA0475.2	FLI1	7369.5	9737.0	12490.5	3.58	6.7	10.22	250	155	95	0.42	0.674
MA0100.2	Myb	10056.5	13570.5	16140.5	-1.25	0.11	0.8	235	122	113	0.038	-0.034
MA0670.1	NFIA	8163.4	10816.5	13630.5	0.01	0.64	2.24	218	122	96	0.056	0.053
MA1635.1	BHLHE22(var.2)	8384.6	11061.0	14065.8	-3.73	-1.45	-0.19	229	101	128	-0.059	-0.28
MA1573.1	THAP11	26294.9	32263.5	38435.9	-2.94	-1.02	0.26	378	178	200	-0.044	-0.192
MA0765.1	ETV5	9608.9	12550.5	16050.7	3.89	7.18	11.29	282	181	101	0.398	0.496
MA0877.2	BARHL1	5872.9	7829.5	10023.6	-2.85	-0.89	0.25	189	87	102	-0.13	-0.16
MA0141.2	Esrrb	12939.4	16868.0	19817.4	-1.25	-0.11	0.79	262	129	133	-0.014	-0.044
MA0104.1	Mycn	5778.0	7870.5	10133.8	-0.26	0.58	2.28	186	100	86	0.091	0.176
MA1587.1	ZNF135	20517.5	25850.5	31197.4	-0.15	1.08	3.03	340	183	157	0.084	0.19
MA0512.1	Rxra	10623.6	13894.5	16418.0	-1.23	-0.07	0.75	237	116	121	-0.032	0.014
MA0119.1	NFIC::TLX1	14210.9	18066.5	22044.2	-0.39	0.7	2.49	281	147	134	0.105	0.188
MA0904.1	Hoxb5	20928.8	26544.0	30581.0	-1.19	-0.06	0.84	327	162	165	-0.052	-0.046
