Merged motif (Total sequences: 12124)	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
ZEB1$MA0103.1	362834.2	405387.5	450523.6	-25.24	-18.49	-12.95	1488	576	912	-0.169	-0.362
SPIC$MA0687.1|SPI1$MA0080.4	882904.85	957653.5	1036600.3	11.72	17.33	24.4	2201	1285	916	0.298	0.385
FOSL1::JUND$MA1142.1|BATF3$MA0835.2|JUN::JUNB$MA1132.1|BATF::JUN$MA0462.2|JUND$MA0491.2|BATF$MA1634.1|JUNB$MA0490.2|FOSL1$MA0477.2|FOSL1::JUN$MA1128.1|FOSL2::JUN$MA1130.1|JDP2$MA0655.1|FOS::JUND$MA1141.1|FOS$MA0476.1|FOSL1::JUNB$MA1137.1|Smad2::Smad3$MA1622.1|FOS::JUNB$MA1134.1|BATF::JUN$MA0462.1|FOS::JUN$MA0099.3|FOSL2::JUNB$MA1138.1|NFE2$MA0841.1|FOSL2::JUND$MA1144.1|JUND$MA0491.1|FOS::JUN$MA0099.2|FOSB::JUNB$MA1135.1|JUN(var.2)$MA0489.1|JUNB$MA0490.1|JUN::FOS$MA0099.1|FOSL2$MA0478.1|FOSL1$MA0477.1|BACH2$MA1101.2	676674.24	738490.48	802683.93	9.06	13.9	19.88	1666	1020	646	0.207	0.354
CEBPG(var.2)$MA1636.1|ATF4$MA0833.2|ATF4$MA0833.1	1069163.7	1158404.33	1245815.43	8.59	13.34	19.02	2469	1443	1026	0.175	0.267
FEV$MA0156.1	258843.5	289563.5	321610.2	8.48	13.34	19.06	1240	728	512	0.372	0.43
Spi1$MA0080.3|SPIB$MA0081.2|SPI1$MA0080.5	1196927.6	1288886.0	1384787.27	7.5	11.92	17.38	2231	1287	944	0.263	0.37
ELF5$MA0136.1	384124.4	426837.0	470577.5	7.02	11.2	16.79	1467	865	602	0.255	0.243
MAFG::NFE2L1$MA0089.1	259207.8	292040.0	326870.2	6.25	10.67	15.78	1224	740	484	0.214	0.275
REL$MA0101.1|RELA$MA0107.1|NFKB1$MA0105.3|NFKB1$MA0105.1	483365.95	533682.5	585797.78	6.56	10.64	16.2	1623	930	693	0.27	0.372
CEBPB$MA0466.1|CEBPA$MA0102.3|CEBPA$MA0102.4|CEBPD$MA0836.2	830227.5	901696.88	975027.62	6.03	10.17	15.24	1931	1117	814	0.345	0.355
Atf3$MA0605.1	516108.2	568153.0	622822.6	5.11	9.36	14.54	1661	939	722	0.27	0.276
SPIB$MA0081.1	221872.8	250623.5	281395.9	4.86	9.11	13.46	1127	660	467	0.494	0.333
CEBPD$MA0836.1|CEBPB$MA0466.2|CEBPG$MA0838.1|CEBPE$MA0837.1|CEBPA$MA0102.2|Cebpa$MA0102.1	687661.12	750551.83	817377.15	5.23	9.08	14.01	1940	1067	873	0.158	0.295
SPI1$MA0080.1	137756.8	158035.5	180375.0	5.06	8.52	12.9	904	513	391	0.375	0.312
FOSL1::JUND(var.2)$MA1143.1|ATF2$MA1632.1|JUN$MA0488.1|FOSB::JUN$MA1127.1|JUNB(var.2)$MA1140.1|Creb5$MA0840.1|FOSL2::JUNB(var.2)$MA1139.1|CREB1$MA0018.4|FOSB::JUNB(var.2)$MA1136.1|FOS::JUN(var.2)$MA1126.1|FOSL2::JUN(var.2)$MA1131.1|Atf1$MA0604.1|FOSL2::JUND(var.2)$MA1145.1|FOSL1::JUN(var.2)$MA1129.1|JUNB(var.2)$MA1140.2|Crem$MA0609.1|JUND(var.2)$MA0492.1|ATF7$MA0834.1|JDP2(var.2)$MA0656.1|ATF3$MA0605.2|CREB1$MA0018.2|JUN::JUNB(var.2)$MA1133.1|CREM$MA0609.2|CREB1$MA0018.3|CREB3L4(var.2)$MA1475.1|GMEB2$MA0862.1	909598.73	986376.29	1065592.0	3.08	6.09	10.19	1849	1072	777	0.172	0.238
NFIL3$MA0025.2|HLF$MA0043.3	1047939.45	1133287.5	1219784.2	2.89	5.68	9.64	2160	1200	960	0.152	0.193
HLF$MA0043.1	895612.7	970083.0	1053527.0	2.49	5.54	9.26	2097	1140	957	0.165	0.154
MZF1(var.2)$MA0057.1	778688.0	848451.5	923198.4	2.36	5.21	9.21	1961	1105	856	0.245	0.162
BACH1$MA1633.1|BACH2$MA1101.1|NFE2L2$MA0150.1|MAFK$MA0496.3|Bach1::Mafk$MA0591.1|MAF::NFE2$MA0501.1|NFE2L1$MA0089.2|Nfe2l2$MA0150.2	1104983.9	1192616.38	1280265.55	2.47	5.18	8.97	2149	1191	958	0.116	0.277
SPI1$MA0080.2|ETV6$MA0645.1|EHF$MA0598.3|ELF1$MA0473.3|ELF1$MA0473.1|ELF5$MA0136.2|GABPA$MA0062.3|ETV1$MA0761.2|ETV5$MA0765.2|EHF$MA0598.1|ETV4$MA0764.2|ELF3$MA0640.2|EHF$MA0598.2|FLI1$MA0475.1|Ets1$MA0098.2|Erg$MA0474.1|ELF2$MA1483.1|ELF1$MA0473.2|ELK4$MA0076.2|ETV2$MA0762.1|ERF$MA0760.1|ETV5$MA0765.1|ELF4$MA0641.1|Gabpa$MA0062.2|ETV3$MA0763.1|ELK1$MA0028.2|ELK3$MA0759.1|ETS1$MA0098.3|ERG$MA0474.2|FEV$MA0156.2|ZBTB7A$MA0750.2|ELF3$MA0640.1|ETV4$MA0764.1|FLI1$MA0475.2|ETV1$MA0761.1|ETS2$MA1484.1|ELK4$MA0076.1	815713.99	886751.58	958337.69	2.5	5.03	8.58	1004	634	370	0.475	0.481
Tcfl5$MA0632.1	1253489.0	1346554.0	1446642.6	-8.7	-4.94	-2.18	2449	1146	1303	-0.119	-0.094
ETS1$MA0098.1	110180.9	126851.0	145188.6	1.78	4.19	7.51	779	438	341	0.16	0.154
ZEB1$MA0103.2	615069.0	670187.0	732128.2	-7.46	-4.14	-1.85	1735	770	965	-0.209	-0.19
Sox2$MA0143.3	322779.8	359668.0	398693.9	1.42	3.84	7.15	1280	698	582	0.246	0.278
