id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	1054391.3	1140033.0	1225148.8	-2.89	-0.98	0.83	2179	1083	1096	-0.017	-0.066
MA0730.1	RARA(var.2)	1643949.9	1758746.5	1863722.6	-0.87	-0.4	1.88	2677	1329	1348	-0.017	0.067
MA0742.1	Klf12	1684348.0	1810048.5	1908497.4	-0.67	-0.24	1.49	2707	1348	1359	-0.015	0.044
MA0482.2	GATA4	972753.5	1056043.0	1125895.7	-0.4	0.31	1.76	2073	1068	1005	0.022	0.014
MA0099.1	JUN::FOS	342308.8	382230.0	423713.8	5.87	9.82	14.99	1381	774	607	0.219	0.36
MA0102.1	Cebpa	747223.6	810574.0	882723.3	4.2	7.71	12.34	1949	1075	874	0.195	0.182
MA0108.1	TBP	1647770.1	1765256.0	1858920.6	-1.74	-0.36	0.33	2680	1302	1378	-0.026	-0.006
MA0498.2	MEIS1	350799.6	387989.5	430770.0	2.03	4.98	8.82	1342	735	607	0.063	0.187
MA1100.2	ASCL1	856133.2	926258.0	988102.2	-1.62	-0.25	0.53	1939	942	997	-0.05	-0.016
MA0812.1	TFAP2B(var.2)	1053677.9	1138088.5	1227716.0	-5.04	-2.32	-0.67	2211	1056	1155	-0.033	-0.115
MA0853.1	Alx4	1532802.7	1646350.0	1754933.0	-3.31	-1.16	-0.12	2620	1243	1377	-0.064	-0.036
MA0033.2	FOXL1	453451.8	501694.0	547150.0	-0.29	0.52	2.36	1439	740	699	0.057	0.045
MA0805.1	TBX1	681824.8	746174.0	803678.6	-2.38	0.63	0.8	1756	880	876	0.008	-0.077
MA0075.1	Prrx2	184436.4	211593.0	233234.6	-1.67	-0.29	0.53	931	456	475	-0.023	-0.03
MA0912.1	Hoxd3	1503657.2	1613981.0	1719834.4	0.0	0.77	2.49	2581	1333	1248	0.067	0.011
MA1519.1	LHX5	573588.5	630266.5	687377.8	-3.85	-1.53	-0.17	1639	782	857	-0.076	-0.08
MA0694.1	ZBTB7B	1321715.9	1421557.0	1524036.8	-7.22	-3.6	-1.45	2492	1172	1320	-0.08	-0.145
MA0491.1	JUND	609539.6	663094.0	725270.2	7.54	11.8	17.37	1811	1037	774	0.234	0.378
MA0148.2	FOXA1	762077.1	831836.0	899035.2	0.92	2.75	5.9	1904	1019	885	0.149	0.121
MA0475.2	FLI1	801303.9	871376.5	942588.2	0.06	0.85	2.82	1904	1013	891	0.126	0.058
MA0100.2	Myb	715362.9	782096.0	846362.7	-0.1	0.67	2.43	1799	930	869	0.035	0.04
MA0670.1	NFIA	711374.4	770044.0	831837.8	-2.78	-0.85	0.27	1791	874	917	-0.003	-0.107
MA1635.1	BHLHE22(var.2)	816736.4	890501.0	955701.0	-0.55	0.52	2.28	1913	965	948	0.002	0.097
MA1573.1	THAP11	2000374.7	2137419.0	2266145.7	-2.69	-0.7	-0.03	2964	1432	1532	-0.016	-0.058
MA0765.1	ETV5	776374.4	843723.5	919530.6	0.99	2.9	6.0	1920	1041	879	0.091	0.074
MA0877.2	BARHL1	742084.7	808117.0	871747.1	-3.32	-1.16	0.07	1843	891	952	-0.041	-0.057
MA0141.2	Esrrb	936809.8	1010119.0	1082786.2	-2.27	-0.63	0.21	2041	993	1048	-0.035	-0.034
MA0104.1	Mycn	520665.4	571726.5	627342.9	-3.27	-1.3	-0.08	1557	737	820	-0.091	-0.087
MA1587.1	ZNF135	1487886.4	1596994.5	1699445.0	-0.03	0.87	2.84	2571	1326	1245	0.062	0.037
MA0512.1	Rxra	764151.2	830874.5	907909.0	0.35	1.71	4.24	1882	987	895	0.055	0.108
MA0119.1	NFIC::TLX1	1152196.1	1247662.5	1326667.1	-1.45	-0.22	0.64	2248	1113	1135	-0.039	-0.026
MA0904.1	Hoxb5	1464091.5	1579567.0	1681228.0	-0.14	0.45	2.05	2540	1313	1227	0.074	0.015
MA0597.1	THAP1	749129.2	829125.0	884200.4	-0.78	0.1	1.36	1827	920	907	0.015	0.011
MA0471.1	E2F6	1011370.4	1096248.5	1172717.8	0.03	0.88	3.0	2134	1110	1024	0.08	0.015
MA0844.1	XBP1	1715160.6	1833138.0	1955946.6	0.24	1.48	3.9	2773	1473	1300	0.063	0.068
MA1466.1	ATF6	1479573.3	1591714.5	1692571.0	-0.33	0.82	2.74	2565	1303	1262	0.023	0.051
MA0895.1	HMBOX1	820570.0	884524.0	957021.2	-0.22	1.38	3.73	1933	997	936	0.033	0.077
MA0679.1	ONECUT1	1293438.6	1387283.0	1482124.7	-2.7	-0.88	0.88	2398	1194	1204	-0.007	-0.05
MA0051.1	IRF2	1472842.2	1588892.0	1694678.5	0.23	1.59	4.06	2587	1351	1236	0.124	0.126
MA0059.1	MAX::MYC	1107259.5	1191697.0	1280948.9	0.06	1.16	3.13	2233	1159	1074	0.07	0.065
MA0162.2	EGR1	1623087.2	1736090.0	1844066.4	0.27	1.54	3.57	2701	1412	1289	0.094	0.112
MA0761.1	ETV1	783788.8	852993.5	924703.6	-0.07	0.85	2.71	1884	978	906	0.068	0.053
MA0796.1	TGIF1	912581.4	986591.5	1059263.0	0.09	0.99	2.92	2029	1067	962	0.009	0.069
MA0090.1	TEAD1	976502.0	1058484.5	1135692.5	-0.11	0.64	2.45	2089	1077	1012	0.084	0.024
MA0037.3	GATA3	621890.2	684060.5	734426.8	-1.81	0.31	0.56	1670	836	834	0.001	-0.032
MA0145.3	TFCP2	922884.0	998435.5	1080193.7	-2.84	-0.92	0.63	2039	1006	1033	-0.028	-0.058
MA0781.1	PAX9	1772574.7	1897706.0	2000525.5	-1.64	0.33	0.9	2777	1403	1374	0.008	-0.057
MA0036.2	GATA2	1275848.8	1376303.5	1461482.2	-0.21	0.47	2.27	2373	1219	1154	0.054	0.035
MA0803.1	TBX15	643040.9	703490.0	763669.6	-3.64	-1.4	0.72	1727	845	882	-0.017	-0.118
MA0818.1	BHLHE22	922176.1	995664.0	1071406.3	-0.31	0.86	2.71	2034	1039	995	0.034	0.084
MA0048.2	NHLH1	895738.0	966872.5	1040043.8	-2.49	-0.77	-0.03	2002	958	1044	-0.052	-0.042
MA0904.2	HOXB5	599978.8	656231.0	711508.9	0.01	0.61	2.25	1647	856	791	0.055	0.035
MA0481.1	FOXP1	1325379.4	1425629.5	1514626.1	-0.42	0.37	1.76	2410	1224	1186	0.023	-0.004
MA0750.2	ZBTB7A	1177807.8	1269628.5	1356286.2	-0.08	1.23	3.44	2306	1188	1118	0.014	0.081
MA0846.1	FOXC2	1034243.2	1121335.5	1199103.9	-0.41	0.54	2.14	2146	1087	1059	0.024	0.024
MA0679.2	ONECUT1	1609058.8	1719189.0	1835659.9	0.07	1.11	3.28	2675	1384	1291	0.057	0.052
MA1130.1	FOSL2::JUN	719849.9	786689.5	848737.2	10.43	15.66	22.04	1998	1142	856	0.239	0.366
MA0068.2	PAX4	583011.0	640006.5	685641.3	-1.38	-0.21	0.7	1611	798	813	-0.011	-0.053
MA0881.1	Dlx4	617063.3	675714.5	729080.2	-2.09	-0.44	-0.04	1665	778	887	-0.081	-0.013
MA0075.3	PRRX2	557529.7	612259.5	660189.2	-1.76	-0.37	0.39	1583	767	816	-0.021	-0.04
MA0747.1	SP8	1383358.2	1484580.0	1591538.1	1.01	2.96	6.09	2533	1329	1204	0.114	0.134
MA0620.1	Mitf	965548.5	1049309.0	1114137.4	-1.6	-0.26	0.34	2064	1001	1063	-0.041	-0.008
MA0032.1	FOXC1	714019.4	786654.5	830785.0	-0.91	-0.07	1.21	1778	887	891	-0.022	-0.002
MA0511.2	RUNX2	703015.8	766081.5	835939.8	0.61	2.32	5.07	1821	969	852	0.101	0.117
MA0761.2	ETV1	980152.2	1062168.5	1148226.2	4.78	8.37	13.24	2227	1225	1002	0.06	0.203
MA0800.1	EOMES	1297136.4	1398303.0	1488869.5	0.04	0.65	2.55	2399	1259	1140	0.035	0.026
MA1633.1	BACH1	911872.6	989164.0	1069336.8	4.6	8.09	12.7	2149	1191	958	0.116	0.277
MA0102.4	CEBPA	1024577.7	1107737.5	1191329.7	5.07	9.03	13.8	2280	1268	1012	0.175	0.204
MA0707.1	MNX1	775060.4	851062.5	900353.2	-0.76	-0.13	1.23	1853	921	932	-0.006	0.024
MA0032.2	FOXC1	945756.2	1028483.0	1109027.0	0.38	1.69	4.18	2090	1092	998	0.069	0.072
MA0811.1	TFAP2B	1212115.1	1310261.0	1397178.8	-2.42	-0.68	0.71	2324	1158	1166	-0.005	-0.067
MA0029.1	Mecom	1131509.7	1234786.0	1294236.5	-1.12	0.03	0.94	2224	1117	1107	0.022	0.007
MA0003.3	TFAP2A	1063138.6	1139169.5	1221581.1	-4.94	-2.22	-0.65	2210	1038	1172	-0.095	-0.086
MA0508.1	PRDM1	1161921.5	1264461.5	1359287.1	-0.19	0.96	2.93	2293	1176	1117	0.044	0.076
MA0065.1	PPARG::RXRA	1636544.8	1782552.0	1860084.4	-1.16	-0.0	1.0	2670	1320	1350	-0.041	0.006
MA0500.1	Myog	887076.0	959146.5	1031603.9	-0.23	0.63	2.16	1989	1018	971	0.021	0.057
MA0808.1	TEAD3	557784.9	614825.0	666664.2	-1.7	-0.29	0.41	1583	777	806	-0.015	-0.044
MA0519.1	Stat5a::Stat5b	629898.4	692653.0	757997.8	1.51	3.87	7.25	1759	949	810	0.177	0.176
MA1532.1	NR1D2	1607212.7	1721800.5	1830731.6	-2.46	-0.74	0.58	2664	1322	1342	-0.004	-0.043
MA1597.1	ZNF528	1601417.1	1711493.0	1811004.4	-2.22	-0.52	-0.02	2647	1273	1374	-0.045	-0.052
MA0754.1	CUX1	880328.7	960666.0	1032322.9	-2.26	-0.53	0.2	1987	966	1021	-0.024	-0.036
MA1572.1	TGIF2LY	1106991.0	1190736.5	1277328.0	-0.4	0.75	2.44	2219	1127	1092	0.034	0.046
MA1117.1	RELB	906818.0	985548.5	1061754.6	1.39	3.55	6.74	2083	1103	980	0.09	0.158
MA1487.1	FOXE1	1348826.4	1458947.5	1558378.5	0.08	0.89	2.9	2459	1299	1160	0.058	0.045
MA1569.1	TFAP2E	941768.0	1014882.5	1091789.5	-3.14	-1.04	0.26	2059	1002	1057	-0.065	-0.08
MA0643.1	Esrrg	768616.2	847734.0	899263.1	-1.4	0.14	0.86	1850	942	908	0.014	-0.031
MA1552.1	RARB(var.3)	1276895.5	1372168.0	1475386.8	0.45	2.24	4.91	2422	1265	1157	0.136	0.084
MA0764.2	ETV4	535015.2	586824.0	643235.9	3.96	7.82	12.46	1671	906	765	0.162	0.278
MA0146.2	Zfx	1423789.2	1538378.0	1641990.0	-2.55	-0.71	0.45	2518	1243	1275	-0.02	-0.059
MA0836.2	CEBPD	928537.3	1002409.0	1079291.8	2.57	5.65	9.73	2132	1154	978	0.097	0.163
MA0122.3	Nkx3-2	1100499.0	1189594.0	1284029.5	0.61	2.2	5.02	2257	1205	1052	0.087	0.078
MA0098.2	Ets1	1114587.1	1203962.0	1295363.5	2.27	5.18	8.75	2323	1261	1062	0.139	0.15
MA0660.1	MEF2B	1036607.6	1118443.0	1202807.3	-0.05	0.78	2.48	2152	1111	1041	0.069	0.067
MA0609.1	Crem	726261.6	793572.5	861353.1	2.51	5.55	9.5	1903	1064	839	0.305	0.206
MA1580.1	ZBTB32	935416.4	1021424.5	1075278.6	-1.09	-0.0	0.92	2021	991	1030	-0.015	0.009
MA0144.1	Stat3	667140.6	729942.5	790467.3	-0.75	0.95	2.84	1747	883	864	0.021	0.097
MA1484.1	ETS2	739176.2	803792.0	862794.0	0.02	0.52	1.94	1818	955	863	0.009	0.03
MA0807.1	TBX5	687409.0	751399.0	810509.0	-1.99	0.54	1.66	1759	906	853	0.031	-0.043
MA0637.1	CENPB	2068915.4	2210686.5	2349888.7	-3.28	1.15	1.36	3031	1517	1514	0.004	-0.07
MA1509.1	IRF6	815327.3	896660.0	948819.8	-1.09	-0.05	0.59	1897	915	982	-0.035	0.03
MA0160.1	NR4A2	457851.8	502841.0	549780.2	-1.01	1.14	3.17	1458	736	722	0.033	0.099
MA0882.1	DLX6	617479.6	675089.5	724840.2	-1.76	-0.36	-0.03	1661	768	893	-0.091	-0.007
MA0524.2	TFAP2C	1235188.5	1331231.0	1418875.7	-2.32	-0.62	0.36	2340	1154	1186	-0.024	-0.063
MA1152.1	SOX15	655548.5	718532.0	782527.2	0.43	2.23	4.84	1763	947	816	0.079	0.078
MA0143.4	SOX2	899193.1	972912.0	1043807.8	0.02	0.44	1.81	1996	1045	951	0.062	0.012
MA1113.1	PBX2	1039812.7	1123679.0	1199436.8	-2.33	-0.64	0.18	2152	1047	1105	-0.048	-0.047
MA0492.1	JUND(var.2)	1189924.6	1285294.0	1388526.0	2.39	5.52	9.41	2403	1258	1145	0.097	0.207
MA1560.1	SOHLH2	1104002.6	1189526.5	1282556.5	-2.99	-1.0	-0.06	2226	1057	1169	-0.044	-0.06
MA0147.3	MYC	1341353.3	1467001.0	1537464.3	-1.07	-0.04	1.18	2425	1180	1245	-0.021	0.018
MA1568.1	TCF21(var.2)	1051886.7	1139191.5	1221340.0	0.54	2.22	4.77	2210	1152	1058	0.035	0.114
MA0886.1	EMX2	783328.3	848927.0	913203.4	-2.22	-0.6	0.36	1871	920	951	-0.046	-0.067
MA0885.1	Dlx2	599612.1	655096.5	710885.5	-2.04	-0.56	-0.0	1644	787	857	-0.05	0.004
MA0141.3	ESRRB	862014.7	937437.0	1011558.2	-2.04	-0.56	0.62	1964	980	984	-0.015	-0.064
MA0162.4	EGR1	1746110.0	1866673.5	1989866.6	1.23	3.34	6.62	2842	1484	1358	0.08	0.129
