Merged motif (Total sequences: 12124)	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
HIF1A$MA1106.1|USF1$MA0093.2|USF1$MA0093.3|USF2$MA0526.1|USF2$MA0526.3|Arnt$MA0004.1|Hes1$MA1099.1|Mycn$MA0104.1|HES2$MA0616.2|MAX::MYC$MA0059.1|ARNT::HIF1A$MA0259.1|Mlxip$MA0622.1|HES1$MA1099.2|SOHLH2$MA1560.1|CLOCK$MA0819.1|TFEC$MA0871.2|BHLHE40$MA0464.2|SREBF1(var.2)$MA0829.2|MITF$MA0620.3|TFE3$MA0831.1|HEY2$MA0649.1|ARNT2$MA1464.1|Arntl$MA0603.1|MLXIPL$MA0664.1|HEY1$MA0823.1|MITF$MA0620.2|Srebf1(var.2)$MA0829.1|Bhlhe40$MA0464.1|MXI1$MA1108.1|USF1$MA0093.1|USF2$MA0526.2|HES7$MA0822.1|TFEC$MA0871.1|SREBF2(var.2)$MA0828.1|Mitf$MA0620.1|Mycn$MA0104.3|BHLHE41$MA0636.1|MNT$MA0825.1|HES5$MA0821.1|Myc$MA0147.1|MLX$MA0663.1|TFEB$MA0692.1|MAX$MA0058.3|Npas2$MA0626.1|TFE3$MA0831.2|MYCN$MA0104.4|MYC$MA0147.3|MAX$MA0058.1|Mycn$MA0104.2	1065065.25	1153593.46	1229835.32	-1.76	-0.26	1.03	2380	1076	1304	-0.129	-0.169
Rarb(var.2)$MA0858.1|RARA(var.2)$MA0730.1	1540375.7	1656452.25	1756304.8	-0.63	0.09	2.06	2526	1275	1251	0.018	0.094
Klf1$MA0493.1|Klf4$MA0039.2|SP9$MA1564.1|KLF2$MA1515.1|SP3$MA0746.1|KLF11$MA1512.1|KLF6$MA1517.1|KLF5$MA0599.1|SP8$MA0747.1|KLF16$MA0741.1|SP3$MA0746.2|KLF3$MA1516.1|SP1$MA0079.4|KLF10$MA1511.1|KLF14$MA0740.1|KLF4$MA0039.3|KLF4$MA0039.4|KLF9$MA1107.2|KLF9$MA1107.1|SP1$MA0079.2|SP1$MA0079.3|ZNF148$MA1653.1|SP4$MA0685.1|MAZ$MA1522.1|Klf12$MA0742.1|SP2$MA0516.1	1272391.02	1369023.77	1465772.96	0.61	2.43	5.1	2143	1151	992	0.181	0.211
Gata1$MA0035.2|GATA6$MA1104.1|GATA2$MA0036.2|GATA4$MA0482.2|GATA3$MA0037.3|GATA5$MA0766.2|Gata4$MA0482.1|GATA2$MA0036.3|Gata1$MA0035.3|GATA6$MA1104.2|GATA3$MA0037.2|GATA5$MA0766.1	866336.17	943892.83	1004288.77	-0.95	0.13	1.22	1977	1034	943	0.083	0.015
FOSL1::JUND$MA1142.1|BATF3$MA0835.2|JUN::JUNB$MA1132.1|BATF::JUN$MA0462.2|JUND$MA0491.2|BATF$MA1634.1|JUNB$MA0490.2|FOSL1$MA0477.2|FOSL1::JUN$MA1128.1|FOSL2::JUN$MA1130.1|JDP2$MA0655.1|FOS::JUND$MA1141.1|FOS$MA0476.1|FOSL1::JUNB$MA1137.1|Smad2::Smad3$MA1622.1|FOS::JUNB$MA1134.1|BATF::JUN$MA0462.1|FOS::JUN$MA0099.3|FOSL2::JUNB$MA1138.1|NFE2$MA0841.1|FOSL2::JUND$MA1144.1|JUND$MA0491.1|FOS::JUN$MA0099.2|FOSB::JUNB$MA1135.1|JUN(var.2)$MA0489.1|JUNB$MA0490.1|JUN::FOS$MA0099.1|FOSL2$MA0478.1|FOSL1$MA0477.1|BACH2$MA1101.2	677657.5	738490.48	802598.73	9.02	13.9	19.75	1666	1020	646	0.207	0.354
CEBPD$MA0836.1|CEBPB$MA0466.2|CEBPG$MA0838.1|CEBPE$MA0837.1|CEBPA$MA0102.2|Cebpa$MA0102.1	688521.42	750551.83	818181.15	5.15	9.08	13.96	1940	1067	873	0.158	0.295
TBP$MA0108.1|TBP$MA0108.2	1648675.7	1773173.0	1870065.85	-1.56	-0.27	0.32	2680	1302	1378	-0.026	-0.006
MEIS1$MA0498.2|MEIS3$MA0775.1|MEIS2$MA0774.1	465941.57	515008.5	560390.03	0.94	2.9	5.78	1342	735	607	0.063	0.187
ZEB1$MA0103.3|SNAI2$MA0745.1|SNAI1$MA1558.1|TCF3$MA0522.2|Ptf1a(var.3)$MA1620.1|SNAI3$MA1559.1|Rbpjl$MA1621.1|TCF4$MA0830.1|TCF3$MA0522.3|MSC$MA0665.1|MYF6$MA0667.1|FIGLA$MA0820.1|SNAI2$MA0745.2|TCF12(var.2)$MA1648.1|Ascl2$MA0816.1|NHLH1$MA0048.2|Myog$MA0500.1|TCF4$MA0830.2|ASCL1(var.2)$MA1631.1|MYF5$MA1641.1|BHLHE22(var.2)$MA1635.1|Tcf12$MA0521.1|ASCL1$MA1100.1|ASCL1$MA1100.2|ATOH1(var.2)$MA1467.1|MYOG$MA0500.2|Ptf1a(var.2)$MA1619.1|MYOD1$MA0499.2|Tcf3$MA0522.1|BHLHA15(var.2)$MA1472.1|Myod1$MA0499.1|NHLH1$MA0048.1|Tcf21$MA0832.1	978236.65	1060825.94	1134925.78	-3.56	-1.49	0.08	2187	1008	1179	-0.12	-0.201
TFAP2B(var.2)$MA0812.1|TFAP2A$MA0003.3|TFAP2C(var.2)$MA0814.1|TFAP2E$MA1569.1|TFAP2A$MA0003.4|TFAP2B$MA0811.1|TFAP2C(var.2)$MA0814.2|TFAP2C$MA0524.2|TFAP2A(var.2)$MA0810.1|TFAP2A$MA0003.2|TFAP2C$MA0524.1	1247886.12	1344179.18	1434309.5	-2.88	-0.88	0.31	2211	1056	1155	-0.033	-0.115
