id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	2122432.4	2262855.5	2399654.2	-2.97	-0.92	0.01	3058	1482	1576	-0.064	-0.042
MA0730.1	RARA(var.2)	3433363.0	3654661.5	3872207.4	-4.54	-1.96	0.56	3916	1915	2001	-0.038	-0.103
MA0742.1	Klf12	3311963.4	3518578.0	3700218.6	-0.39	0.81	2.54	3802	1928	1874	0.026	0.056
MA0482.2	GATA4	1888565.8	2016374.0	2151095.4	-2.83	-0.97	-0.08	2890	1379	1511	-0.047	-0.037
MA0099.1	JUN::FOS	851278.8	926544.5	1006305.5	5.69	9.76	15.0	2101	1167	934	0.222	0.286
MA0102.1	Cebpa	1561840.3	1675941.0	1795087.7	3.53	6.92	11.31	2754	1477	1277	0.119	0.173
MA0108.1	TBP	3030964.8	3223430.0	3394440.9	-1.55	-0.23	0.59	3609	1803	1806	-0.002	-0.017
MA0498.2	MEIS1	867256.0	940600.5	1015123.8	-0.2	1.21	3.42	1988	1023	965	0.018	0.082
MA1100.2	ASCL1	1520660.1	1632033.5	1739024.7	-0.32	0.54	2.13	2586	1318	1268	0.028	0.042
MA0812.1	TFAP2B(var.2)	1965061.3	2097262.5	2233799.5	0.39	1.84	4.39	2974	1581	1393	0.077	0.056
MA0853.1	Alx4	3159582.1	3384593.5	3529206.9	-1.13	-0.05	0.87	3684	1834	1850	-0.013	-0.009
MA0033.2	FOXL1	773326.5	842100.5	916615.6	-4.91	-2.15	-0.45	1904	891	1013	-0.069	-0.1
MA0805.1	TBX1	1210672.6	1308514.0	1405826.2	-5.74	-2.65	-0.82	2375	1121	1254	-0.045	-0.127
MA0075.1	Prrx2	378837.7	423605.0	459775.6	-1.59	-0.24	0.59	1313	655	658	-0.023	-0.022
MA0912.1	Hoxd3	2881329.2	3057859.0	3212722.6	-0.0	0.24	1.61	3516	1805	1711	0.045	0.014
MA1519.1	LHX5	988792.2	1080874.5	1149378.2	-0.7	0.15	1.39	2089	1056	1033	0.006	0.014
MA0694.1	ZBTB7B	2982462.8	3171388.0	3329478.3	-0.42	0.41	1.77	3591	1811	1780	0.012	0.043
MA0491.1	JUND	1293811.6	1393230.0	1501153.0	5.22	8.93	13.88	2544	1354	1190	0.121	0.313
MA0148.2	FOXA1	1637985.2	1765657.0	1885013.9	-3.6	-1.31	-0.12	2717	1298	1419	-0.067	-0.063
MA0475.2	FLI1	1110339.8	1203168.5	1298456.0	13.05	19.17	26.41	2471	1454	1017	0.312	0.33
MA0100.2	Myb	1476351.2	1585668.5	1695528.5	-0.07	0.66	2.23	2554	1319	1235	0.038	0.032
MA0670.1	NFIA	1452130.0	1571569.5	1647725.6	-0.99	-0.08	1.15	2513	1237	1276	-0.003	0.019
MA1635.1	BHLHE22(var.2)	1442001.7	1551529.5	1667936.6	1.14	3.14	6.18	2592	1373	1219	0.022	0.116
MA1573.1	THAP11	3764483.0	3978384.0	4179355.0	0.96	2.79	5.9	4107	2152	1955	0.06	0.096
MA0765.1	ETV5	946024.8	1025729.0	1117963.8	23.39	31.27	40.11	2384	1451	933	0.288	0.328
MA0877.2	BARHL1	1460881.3	1571816.0	1688817.2	-4.61	-2.14	0.54	2587	1261	1326	-0.046	-0.073
MA0141.2	Esrrb	1896947.9	2024749.0	2145979.2	-2.43	-0.64	0.5	2883	1429	1454	-0.009	-0.052
MA0104.1	Mycn	1016194.1	1098221.0	1175409.9	0.0	0.54	2.21	2124	1099	1025	0.06	0.062
MA1587.1	ZNF135	2834078.1	3009288.0	3178978.1	-0.18	1.16	3.38	3532	1803	1729	0.056	0.074
MA0512.1	Rxra	1578879.8	1700222.5	1820990.2	-2.87	-0.95	-0.03	2655	1277	1378	-0.058	-0.045
MA0119.1	NFIC::TLX1	2356239.1	2527821.0	2660968.2	-1.53	-0.28	0.42	3200	1569	1631	-0.076	-0.008
