Merged motif (Total sequences: 18851)	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
Tcfl5$MA0632.1|TFE3$MA0831.1|TFE3$MA0831.2|TFEB$MA0692.1|MITF$MA0620.3|BHLHE41$MA0636.1|HIF1A$MA1106.1|MYCN$MA0104.4|Mitf$MA0620.1|MITF$MA0620.2|USF2$MA0526.3|Mycn$MA0104.3|USF1$MA0093.1|MYC$MA0147.3|MLXIPL$MA0664.1|MAX$MA0058.1|ARNT::HIF1A$MA0259.1|CLOCK$MA0819.1|USF1$MA0093.3|Arntl$MA0603.1|USF1$MA0093.2|HES1$MA1099.2|USF2$MA0526.1|SREBF2(var.2)$MA0828.1|USF2$MA0526.2|TFEC$MA0871.1|BHLHE40$MA0464.2|ARNT2$MA1464.1|Mycn$MA0104.1|HEY1$MA0823.1|Srebf1(var.2)$MA0829.1|Npas2$MA0626.1|MXI1$MA1108.1|TFEC$MA0871.2|HEY2$MA0649.1|Mycn$MA0104.2|MLX$MA0663.1|Hes1$MA1099.1|SREBF1(var.2)$MA0829.2|MNT$MA0825.1|Myc$MA0147.1|HES6$MA1493.1|MAX::MYC$MA0059.1|SOHLH2$MA1560.1|Arnt$MA0004.1|HES7$MA0822.1|MAX$MA0058.3|Bhlhe40$MA0464.1|Mlxip$MA0622.1|HES2$MA0616.2|HES5$MA0821.1	2139137.99	2287410.09	2417666.58	-0.64	0.59	2.26	3502	1854	1648	0.075	0.078
RARA(var.2)$MA0730.1|Rarb(var.2)$MA0858.1	3212898.6	3420793.75	3615192.5	-3.56	-1.36	0.43	3916	1915	2001	-0.038	-0.103
SP3$MA0746.1|KLF5$MA0599.1|KLF16$MA0741.1|SP9$MA1564.1|KLF6$MA1517.1|Klf4$MA0039.2|KLF4$MA0039.4|KLF4$MA0039.3|KLF11$MA1512.1|SP3$MA0746.2|KLF10$MA1511.1|SP1$MA0079.4|Klf1$MA0493.1|KLF9$MA1107.2|KLF2$MA1515.1|KLF3$MA1516.1|Klf12$MA0742.1|SP4$MA0685.1|KLF14$MA0740.1|KLF9$MA1107.1|SP8$MA0747.1	2691650.47	2861702.1	3026548.97	-0.11	1.24	3.49	3270	1732	1538	0.114	0.062
GATA6$MA1104.1|GATA6$MA1104.2|Gata1$MA0035.3|GATA2$MA0036.3|GATA5$MA0766.1|Gata1$MA0035.2|GATA3$MA0037.3|GATA2$MA0036.2|GATA4$MA0482.2|Gata4$MA0482.1|GATA5$MA0766.2|GATA3$MA0037.2	1606374.02	1726365.83	1838474.36	-3.51	-1.38	-0.09	2964	1365	1599	-0.076	-0.058
FOS::JUN$MA0099.2|FOSL1::JUNB$MA1137.1|FOSL1::JUN$MA1128.1|FOSL2::JUN$MA1130.1|FOSL2$MA0478.1|FOS::JUNB$MA1134.1|FOSL2::JUND$MA1144.1|FOS::JUN$MA0099.3|FOS::JUND$MA1141.1|JUN::FOS$MA0099.1|FOSB::JUNB$MA1135.1|FOSL1$MA0477.1|JUND$MA0491.1|BATF::JUN$MA0462.2|Smad2::Smad3$MA1622.1|FOSL1::JUND$MA1142.1|FOSL2::JUNB$MA1138.1|BATF$MA1634.1|JUNB$MA0490.1|FOSL1$MA0477.2|BATF3$MA0835.2|FOS$MA0476.1|JUN::JUNB$MA1132.1|JUND$MA0491.2|JUNB$MA0490.2|JUN(var.2)$MA0489.1|NFE2$MA0841.1|BATF::JUN$MA0462.1|JDP2$MA0655.1|BACH2$MA1101.2	1570619.17	1686196.32	1805654.62	4.53	8.1	12.76	1772	1034	738	0.353	0.354
CEBPA$MA0102.2|CEBPG$MA0838.1|CEBPB$MA0466.2|CEBPE$MA0837.1|CEBPD$MA0836.1|Cebpa$MA0102.1	1423631.47	1532864.83	1647271.45	4.15	7.77	12.56	2306	1273	1033	0.167	0.207
TBP$MA0108.1|TBP$MA0108.2	3036241.8	3239640.0	3389125.25	-1.33	-0.09	0.75	3609	1803	1806	-0.002	-0.017
MEIS2$MA0774.1|MEIS1$MA0498.2|MEIS3$MA0775.1	993939.63	1077744.33	1157785.57	-0.03	1.26	3.44	2159	1129	1030	0.098	0.1
SNAI2$MA0745.1|Ptf1a(var.3)$MA1620.1|TCF4$MA0830.1|SNAI1$MA1558.1|Rbpjl$MA1621.1|ZEB1$MA0103.3|SNAI2$MA0745.2|TCF3$MA0522.2|SNAI3$MA1559.1|TCF12(var.2)$MA1648.1|TCF3$MA0522.3|BHLHE22(var.2)$MA1635.1|MYOG$MA0500.2|Myog$MA0500.1|NHLH1$MA0048.1|TCF4$MA0830.2|FIGLA$MA0820.1|NHLH1$MA0048.2|ASCL1(var.2)$MA1631.1|Ascl2$MA0816.1|Tcf12$MA0521.1|Myod1$MA0499.1|ATOH1(var.2)$MA1467.1|MYF6$MA0667.1|BHLHA15(var.2)$MA1472.1|MSC$MA0665.1|ASCL1$MA1100.1|TFAP4$MA0691.1|Tcf21$MA0832.1|ASCL1$MA1100.2|Tcf3$MA0522.1|MYOD1$MA0499.2|MYF5$MA1641.1|Ptf1a(var.2)$MA1619.1	1840879.64	1972148.31	2099949.46	-3.78	-1.42	1.01	2654	1197	1457	-0.074	-0.193
TFAP2E$MA1569.1|TFAP2B(var.2)$MA0812.1|TFAP2C(var.2)$MA0814.1|TFAP2A$MA0003.3	1964216.25	2104639.62	2239141.92	0.26	1.67	4.02	2903	1549	1354	0.112	0.087
