Merged motif (Total sequences: 8127)	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
ARNT::HIF1A$MA0259.1|USF1$MA0093.3|USF2$MA0526.3|HIF1A$MA1106.1|MLX$MA0663.1|USF2$MA0526.1|CLOCK$MA0819.1|Srebf1(var.2)$MA0829.1|SREBF2(var.2)$MA0828.1|Mycn$MA0104.1|MAX$MA0058.1|USF2$MA0526.2|SOHLH2$MA1560.1|HES5$MA0821.1|MLXIPL$MA0664.1|USF1$MA0093.2|MAX::MYC$MA0059.1|Arntl$MA0603.1|HEY2$MA0649.1|HES7$MA0822.1|TFE3$MA0831.1|Npas2$MA0626.1|Arnt$MA0004.1|Bhlhe40$MA0464.1|USF1$MA0093.1|MITF$MA0620.3|Mycn$MA0104.2|MYC$MA0147.3|Mlxip$MA0622.1|HES6$MA1493.1|TFEC$MA0871.1|MNT$MA0825.1|HES1$MA1099.2|MXI1$MA1108.1|Mycn$MA0104.3|TFEB$MA0692.1|HES2$MA0616.2|Hes1$MA1099.1|TFEC$MA0871.2|MITF$MA0620.2|Myc$MA0147.1|HEY1$MA0823.1|BHLHE40$MA0464.2|BHLHE41$MA0636.1|Tcfl5$MA0632.1|SREBF1(var.2)$MA0829.2|Mitf$MA0620.1|MYCN$MA0104.4|ARNT2$MA1464.1|TFE3$MA0831.2|MAX$MA0058.3	13463.46	17435.11	20774.67	-1.13	-0.04	1.13	279	123	156	-0.119	-0.207
RARA::RXRA$MA0159.1|Rarb(var.2)$MA0858.1|RARA::RXRG$MA1149.1|RARA(var.2)$MA0730.1	24704.25	30619.75	35868.3	-1.65	-0.3	0.5	358	169	189	-0.089	-0.091
KLF10$MA1511.1|SP3$MA0746.1|KLF11$MA1512.1|KLF2$MA1515.1|KLF9$MA1107.2|Klf4$MA0039.2|KLF6$MA1517.1|KLF3$MA1516.1|KLF5$MA0599.1|KLF9$MA1107.1|Klf1$MA0493.1|SP3$MA0746.2|KLF14$MA0740.1|KLF4$MA0039.3|SP4$MA0685.1|KLF16$MA0741.1|KLF4$MA0039.4|SP1$MA0079.4|Klf12$MA0742.1|SP9$MA1564.1|SP8$MA0747.1	17103.39	21669.24	26025.56	-2.12	-0.57	0.44	284	125	159	-0.261	-0.214
GATA3$MA0037.3|Gata4$MA0482.1|GATA4$MA0482.2|GATA2$MA0036.2|Gata1$MA0035.2|GATA5$MA0766.2|GATA5$MA0766.1|GATA2$MA0036.3|GATA6$MA1104.2|GATA6$MA1104.1|GATA3$MA0037.2|Gata1$MA0035.3	10869.18	14165.92	17241.03	-1.42	-0.21	0.78	204	83	121	-0.263	-0.096
JUN::JUNB$MA1132.1|FOSL1::JUND$MA1142.1|FOSL1::JUN$MA1128.1|FOS::JUN$MA0099.3|FOSB::JUNB$MA1135.1|FOSL2::JUN$MA1130.1|FOSL2::JUND$MA1144.1|BATF3$MA0835.2|FOS::JUND$MA1141.1|FOSL1$MA0477.2|JDP2$MA0655.1|FOSL2::JUNB$MA1138.1|NFE2$MA0841.1|BATF$MA1634.1|FOS::JUNB$MA1134.1|JUND$MA0491.2|BATF::JUN$MA0462.2|JUN(var.2)$MA0489.1|JUNB$MA0490.2|BATF::JUN$MA0462.1|FOS::JUN$MA0099.2|FOSL1::JUNB$MA1137.1|FOSL2$MA0478.1|JUN::FOS$MA0099.1|Smad2::Smad3$MA1622.1|JUND$MA0491.1|JUNB$MA0490.1|FOS$MA0476.1|FOSL1$MA0477.1	8954.27	11752.79	14879.1	0.94	2.98	5.79	253	172	81	0.61	0.598
CEBPE$MA0837.1|CEBPD$MA0836.1|CEBPB$MA0466.2|CEBPG$MA0838.1|Cebpa$MA0102.1|CEBPA$MA0102.2|CEBPA$MA0102.3|CEBPB$MA0466.1|HLF$MA0043.1|CEBPD$MA0836.2|CEBPA$MA0102.4|HLF$MA0043.2|CEBPG(var.2)$MA1636.1|DBP$MA0639.1|ATF4$MA0833.1|HLF$MA0043.3|NFIL3$MA0025.2|TEF$MA0843.1|ATF4$MA0833.2|NFIL3$MA0025.1	7614.33	10160.9	13032.02	19.95	25.0	30.41	325	286	39	2.09	2.019
TBP$MA0108.1|TBP$MA0108.2	17709.5	22258.5	27058.3	-2.9	-0.9	0.08	314	144	170	-0.084	-0.107
MEIS1$MA0498.2|MEIS2$MA0774.1|MEIS3$MA0775.1	5946.33	8014.83	10245.6	-0.25	0.68	2.33	190	108	82	0.133	0.193
SNAI2$MA0745.1|SNAI1$MA1558.1|SNAI3$MA1559.1|TCF3$MA0522.3|Rbpjl$MA1621.1|SNAI2$MA0745.2|BHLHE22(var.2)$MA1635.1|ASCL1(var.2)$MA1631.1|Myod1$MA0499.1|TCF12(var.2)$MA1648.1|Myog$MA0500.1|Tcf12$MA0521.1|FIGLA$MA0820.1|ASCL1$MA1100.2|Ascl2$MA0816.1|Tcf3$MA0522.1|TCF3$MA0522.2|MYOG$MA0500.2|Ptf1a(var.3)$MA1620.1|Ptf1a(var.2)$MA1619.1|TCF4$MA0830.2|TCF4$MA0830.1|MYOD1$MA0499.2|ASCL1$MA1100.1|ZEB1$MA0103.3|MYF5$MA1641.1|BHLHA15(var.2)$MA1472.1	10602.56	13779.41	17024.92	-3.03	-1.1	0.13	216	79	137	-0.271	-0.345
TFAP2A$MA0003.3|TFAP2C(var.2)$MA0814.1|TFAP2B(var.2)$MA0812.1|TFAP2E$MA1569.1	12204.55	15717.5	18873.42	-0.7	0.16	1.51	263	138	125	0.115	0.076
