id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val
MA0819.1	CLOCK	131825.125	152512.0	170190.45	-0.7890795629767192	-0.1598809933765681	1.3342810141711565
MA0730.1	RARA(var.2)	193560.225	221151.5	246845.22499999998	-2.3626062020724286	-0.687292257316444	0.4910643679533104
MA0742.1	Klf12	213322.5	241063.5	266642.125	-0.3917782903532966	0.8146713203274334	2.6729081953429628
MA0482.2	GATA4	131589.9	151647.0	169700.24999999997	-2.127001972748123	-0.5068371745878895	0.2713614626148464
MA0099.1	JUN::FOS	53627.25	64005.5	76141.125	3.236877110361859	6.2707491451590816	10.37200761469427
MA0102.1	Cebpa	122177.02500000001	140160.0	158553.15	0.07360199110123031	1.0440180445717058	3.051199908243641
MA0108.1	TBP	193225.225	221290.0	243621.97499999998	-0.6606602485775395	0.1755759191146841	1.3907436317801662
MA0498.2	MEIS1	46997.95	57308.0	64226.725	-0.5683976129822191	0.18397896096310404	1.4048784771046732
MA1100.2	ASCL1	83350.65	97289.0	110432.12499999999	-2.0227282787117185	-0.4517953471626333	0.6830522937224269
MA0812.1	TFAP2B(var.2)	107575.97499999999	125150.0	139859.07499999998	0.01707357050177587	0.3531848411443751	1.7943617742092357
MA0853.1	Alx4	176238.85	203060.0	224023.64999999997	-1.5225882901018735	-0.19592470946876114	0.5882103262126798
MA0033.2	FOXL1	39840.15	48297.0	56605.05	-2.5724678266128747	-0.6926246473011908	0.26927448833425266
MA0805.1	TBX1	64937.725	75452.5	87748.62499999999	-3.5181270811990566	-1.3884867965310916	-0.17186681310891394
MA0075.1	Prrx2	22858.725	29246.5	33751.25	-0.8557921619515376	0.050081940453087455	0.9978335186575662
MA0912.1	Hoxd3	168864.925	193475.0	216068.34999999998	-0.0713796397100213	0.5875701780869402	2.2211162660350077
MA1519.1	LHX5	48260.625	58402.5	67024.55	-1.760675958622423	-0.32019191903683036	0.48386485100451665
MA0694.1	ZBTB7B	139708.65	160027.5	182433.775	-5.148594116158695	-2.436942886480532	-0.7210654763248833
MA0491.1	JUND	83739.125	97271.0	111713.675	3.702417657253438	6.917243449500557	10.925051750349203
MA0148.2	FOXA1	91023.22499999999	107066.5	121707.65	-0.46543203309345965	0.4142545908143397	1.859585252387298
MA0475.2	FLI1	69329.375	82885.5	97700.825	45.34965507412764	54.90761866416186	65.04073695662885
MA0100.2	Myb	84226.825	98545.0	111844.27500000001	-0.6826837432791354	0.6773048659150742	2.3265948519075934
MA0670.1	NFIA	67076.27500000001	78624.5	91211.025	0.27186162454594803	1.550573906084852	3.687092047143436
MA1635.1	BHLHE22(var.2)	82383.0	98168.5	108845.675	-1.1092843582996288	-0.04684466627774643	0.9749696353603365
MA1573.1	THAP11	269258.4	309126.5	332479.725	-0.9685106896233334	-0.02812959641085638	1.114461152195726
MA0765.1	ETV5	66810.275	78950.0	92842.9	62.56996258711903	73.5852026892593	83.46550399102676
MA0877.2	BARHL1	70857.1	84685.5	95591.87499999999	-1.2783024235274068	-0.12531385718438942	0.7624566605632084
MA0141.2	Esrrb	110073.02500000001	126810.5	144347.325	-2.8033025080179983	-0.9473705279034621	-0.06649538716326203
MA0104.1	Mycn	63719.25	75298.5	83843.5	-0.7969573179860494	-0.10431950279072495	1.256218785024484
MA1587.1	ZNF135	183995.1	210919.5	227769.925	-0.7562558931906024	0.10952167457922604	1.2346097647575534
MA0512.1	Rxra	73369.325	86656.0	99009.2	-2.572083038517821	-0.6603367699591605	0.18944540320629027
MA0119.1	NFIC::TLX1	116094.75	136163.5	149282.12499999997	-0.9556362599335263	-0.034181046563589536	1.0564487570192043
MA0904.1	Hoxb5	178889.45	207396.5	224532.625	-1.2548063485714822	0.05653134806836608	0.9956954416583694
MA0597.1	THAP1	90538.6	105138.5	117665.49999999999	-1.6930422936862337	-0.29841383070709976	0.5946073628826116
MA0471.1	E2F6	150636.8	172283.5	192059.375	-2.5101626384194096	-0.6765238560355148	0.14262231818263543
MA0844.1	XBP1	203133.775	231253.5	260057.75	0.1466643584298892	1.425041403560067	3.9624096449364545
MA1466.1	ATF6	158305.425	181715.0	204780.84999999998	0.6057602714352252	2.1503374720199138	4.71103976243858
MA0895.1	HMBOX1	85446.65	100975.5	112855.825	-1.6661031563043562	-0.2647975846486438	0.5614355253187095
MA0679.1	ONECUT1	138813.4	159811.5	180689.05000000002	-4.285277803469545	-1.8373070517396468	-0.391366599729798
MA0051.1	IRF2	254685.425	288654.5	321394.175	0.3186715048656168	1.9950185999513406	4.506011294450261
MA0059.1	MAX::MYC	128389.875	147769.0	167844.87499999997	-0.38896834907028605	1.4801211068047664	3.7537650615212947
MA0162.2	EGR1	198341.9	225447.5	249494.05000000002	-0.518239553390099	0.5254199407134242	1.9855448415221577
MA0761.1	ETV1	69306.625	82216.0	94419.22499999999	52.89678998849416	61.98835490665211	71.05918561369552
MA0796.1	TGIF1	106354.77500000001	123134.5	139806.15	-2.220767133429008	-0.630939283197058	0.21913830097277498
MA0090.1	TEAD1	135057.9	156491.0	173474.925	-1.7580372288427504	0.27538619149416665	0.7127253556436073
MA0037.3	GATA3	50750.0	60758.0	70363.625	-2.2980813840758163	-0.7283936220389305	0.24242077864425582
MA0145.3	TFCP2	122328.40000000001	140553.5	159351.37499999997	0.1386623149753523	1.0945934404072564	3.1756352103348986
MA0781.1	PAX9	173926.42500000002	198656.5	224274.92500000002	0.3105784073242109	1.584484699359644	3.920124650135032
MA0036.2	GATA2	151303.42500000002	174202.5	193643.475	-0.5989953391303882	-0.24911694292297967	1.635627639717434
MA0803.1	TBX15	64145.625	75815.0	87146.92499999997	-5.136914963259147	-2.299720353348441	-0.6441426254198898
MA0818.1	BHLHE22	94224.55	111753.0	123624.375	-0.6946936473116465	0.12840937749743458	1.3495666839558835
MA0048.2	NHLH1	105182.97499999999	124777.5	137964.375	-1.359129822367282	0.09998195267529537	0.7846423807277476
MA0904.2	HOXB5	63280.875	77342.5	85255.52500000001	-0.8847830955392952	0.00742314810020388	1.1536280597734703
MA0481.1	FOXP1	158063.3	180081.0	201566.25	-2.0654898422586294	-0.5612664518483023	0.5378405939940096
MA0750.2	ZBTB7A	98996.925	115609.0	133214.625	60.76734283922699	70.05470853465299	80.6111617552046
MA0846.1	FOXC2	109555.95000000001	127817.5	142248.54999999996	-0.211367473847388	0.2308158987061793	1.6331196345945955
MA0679.2	ONECUT1	152171.0	174548.5	195419.9	-2.548492830289128	-0.7865743977431385	0.08008668874789396
MA1130.1	FOSL2::JUN	107670.125	124290.0	141581.925	4.278353555866912	7.653975848856019	12.081894812597907
MA0068.2	PAX4	52397.9	63142.5	73897.75	-2.872395939917039	-0.9194744939593574	-0.023808418009721874
MA0881.1	Dlx4	56104.15	67245.5	76150.97499999999	-1.2432510368715863	-0.11325438777268622	0.7788728756151972
MA0075.3	PRRX2	46433.1	56693.0	64311.375	-1.4043535664885447	-0.16894817722198288	0.5082480338257268
MA0747.1	SP8	170726.67500000002	194566.5	215677.59999999998	-0.45228632440381455	0.28814184853468955	1.5633001255894827
MA0620.1	Mitf	101466.175	117679.0	135078.025	-0.661206729433349	1.033627529812023	2.9108645280608965
MA0032.1	FOXC1	79852.77500000001	93982.5	105608.625	-1.761001173388504	-0.2851757693276691	0.561129201366735
MA0511.2	RUNX2	74975.075	87157.0	101142.37499999999	0.6856255993300824	2.3757901950816662	5.053572552304859
MA0761.2	ETV1	66860.625	80268.0	94669.725	84.89384803675372	94.98561775153118	105.81058002248373
MA0800.1	EOMES	147733.9	168690.0	190333.85	-3.015255851373322	-1.0468148263628698	0.30657132438814566
MA1633.1	BACH1	108557.72499999999	125396.0	144447.525	1.8513868433426317	4.103853210401341	7.73063242688491
MA0102.4	CEBPA	146428.425	168483.5	191680.725	0.17293190634429548	1.6485069766762954	3.9676719331229857
MA0707.1	MNX1	71530.425	83324.0	95591.47499999999	-2.5432541280084604	-0.6907981790129587	0.07561493535786136
MA0032.2	FOXC1	89399.0	104204.5	119190.825	0.09385758338267722	1.1054486482658814	3.179666677652586
MA0811.1	TFAP2B	113493.275	131056.0	149748.425	0.16772503961653207	1.404089991725373	3.690321055840707
MA0029.1	Mecom	132255.15	152894.5	169589.55	-1.365262709803164	-0.18913264516729	0.7101701898861985
MA0003.3	TFAP2A	109108.9	125216.5	140514.19999999998	-0.16918343024626442	0.46114023079008315	1.9794304281392754
MA0508.1	PRDM1	244197.1	274106.0	305682.475	2.942270220821137	5.841409225478481	9.884211079445766
MA0065.1	PPARG::RXRA	211404.6	240050.0	261273.175	-1.18328873500433	-0.0969494737448409	0.7702308446285253
MA0500.1	Myog	93119.97499999999	107480.5	123316.825	-3.532376227454009	-1.270308196808912	0.07077715304957621
MA0808.1	TEAD3	75879.7	88443.5	102133.67499999999	-4.055675987964504	-1.7034123984352245	-0.1476703225901734
MA0519.1	Stat5a::Stat5b	71031.90000000001	85765.0	94275.45	-1.0452487458337172	-0.01991948787161646	0.9605233617927746
MA1532.1	NR1D2	178613.125	202255.0	227531.17500000002	-2.8196648930473907	-0.8880575446533798	0.6157936895974109
MA1597.1	ZNF528	198291.125	224188.0	250989.675	-0.06896854466753258	1.1655344042793754	3.209340596131633
MA0754.1	CUX1	73642.27500000001	85958.5	98701.62499999999	-6.7689743574669885	-3.510394534434981	-1.4430642543202963
MA1572.1	TGIF2LY	133218.9	153668.0	169763.62499999997	-1.417307458986904	-0.18957133780675867	0.6514809342406327
MA1117.1	RELB	165551.55000000002	190237.0	208162.425	-0.7201879111693263	0.1175791126429919	1.355435691163252
MA1487.1	FOXE1	154118.45	178819.5	195460.47499999998	-0.755012310830544	-0.10898315177727864	1.2280045887281348
MA1569.1	TFAP2E	101584.3	118320.5	130687.275	-0.6410624343061521	0.17486356049928034	1.4255340683819324
