	5% p-val	5% stats	95% p-val	95% stats	Median p-val	Median stats
Spi1$MA0080.3|SPIB$MA0081.2|SPI1$MA0080.5|EHF$MA0598.3|ELF1$MA0473.1|SPI1$MA0080.4|ETV5$MA0765.2|ELF1$MA0473.3|SPIC$MA0687.1|ETV6$MA0645.1|GABPA$MA0062.3|ETV1$MA0761.2|ELF3$MA0640.2|SPI1$MA0080.2|Ets1$MA0098.2|Erg$MA0474.1|ELF5$MA0136.2|Gabpa$MA0062.2|FLI1$MA0475.1|ETV4$MA0764.2|ELK4$MA0076.2|ETV5$MA0765.1|IKZF1$MA1508.1|ZBTB7A$MA0750.2|ELK3$MA0759.1|FEV$MA0156.2|ERG$MA0474.2|ELK1$MA0028.2|GABPA$MA0062.1|ETS1$MA0098.3|ETV1$MA0761.1|ETV4$MA0764.1|ERF$MA0760.1|ELF4$MA0641.1|EHF$MA0598.1|FEV$MA0156.1|FLI1$MA0475.2|ELF2$MA1483.1|ELF1$MA0473.2|ETV3$MA0763.1|ELF5$MA0136.1|ETS2$MA1484.1|EHF$MA0598.2|ETV2$MA0762.1|ELF3$MA0640.1|ELK4$MA0076.1	68.59625957456537	69896.1211956522	87.8416595493204	96352.38532608692	78.08938300039571	82617.22826086957
SPIB$MA0081.1	56.32771366824876	16464.600000000002	71.92278996124169	26213.899999999998	64.1537356417086	21268.0
SPI1$MA0080.1	44.37575577251605	8864.325	57.95996063704456	15003.399999999998	51.030872585959116	11793.5
ZKSCAN5$MA1652.1	32.24013987146043	126787.3	49.30862825701322	166493.175	40.135121449101995	146693.5
ETS1$MA0098.1	19.37781953468035	10622.824999999999	31.363598407978955	17463.675	24.84676951212712	13844.0
ZEB1$MA0103.1	-26.013300741412063	26580.125	-14.098714766809112	39653.32499999999	-19.798494440601637	32769.0
IRF1$MA0050.2	11.041216376304456	291131.775	22.17399531228839	364227.47500000003	16.425871204406103	323525.5
Nkx3-2$MA0122.1	8.987792318289467	49534.025	19.207225103417695	69268.825	13.852909567727306	58777.0
HINFP$MA0131.1	8.592891419923554	164318.17500000002	18.61914283300626	211909.25	13.091969750773451	187634.5
STAT1::STAT2$MA0517.1|STAT1$MA0137.1	5.992963608245858	175876.35000000003	15.12530826038147	226599.39999999997	10.031562857827954	201364.75
HINFP$MA0131.2	5.588133515403233	231157.17500000002	14.760924636842637	291328.15	9.515819017118496	260950.5
IRF3$MA1418.1	5.567210529192995	264445.6	14.378881794961222	326700.125	9.422111494001092	296350.5
ZEB1$MA0103.2	-12.137858554079708	57159.075	-4.278617560432874	80294.225	-7.734866001739544	67945.0
FOSL1::JUND$MA1142.1|BATF::JUN$MA0462.2|BATF3$MA0835.2|BATF$MA1634.1|FOSL1$MA0477.2|JUNB$MA0490.2|FOS::JUN$MA0099.2|FOSB::JUNB$MA1135.1|FOSL2::JUNB$MA1138.1|Smad2::Smad3$MA1622.1|BATF::JUN$MA0462.1|JUND$MA0491.2|FOS::JUN$MA0099.3|FOSL2::JUND$MA1144.1|FOS::JUNB$MA1134.1|FOSL2::JUN$MA1130.1|JDP2$MA0655.1|JUND$MA0491.1|FOSL1::JUNB$MA1137.1|FOS$MA0476.1|JUNB$MA0490.1|JUN::JUNB$MA1132.1|FOSL1::JUN$MA1128.1|JUN(var.2)$MA0489.1|JUN::FOS$MA0099.1|FOS::JUND$MA1141.1|FOSL2$MA0478.1|FOSL1$MA0477.1|NFE2$MA0841.1|BACH2$MA1101.2	4.067206232050711	97465.88416666668	11.788139476942952	129399.97749999996	7.447294975940826	112875.56666666667
SPDEF$MA0686.1	3.829134508064249	150377.1	11.949827397604158	195845.75	7.226511077453399	171648.0
IRF1$MA0050.1	2.8055375685635524	122236.09999999999	10.158629558118127	161394.82499999998	5.901648101324337	141441.0
TCF3$MA0522.2|TCF4$MA0830.1|TCF4$MA0830.2|SNAI2$MA0745.1|ZEB1$MA0103.3|FIGLA$MA0820.1|SNAI1$MA1558.1|Rbpjl$MA1621.1|SNAI2$MA0745.2|SNAI3$MA1559.1|TCF12(var.2)$MA1648.1|ASCL1(var.2)$MA1631.1|Ptf1a(var.3)$MA1620.1|TCF3$MA0522.3|MYOD1$MA0499.2	-9.842677647904422	108388.91666666666	-2.7322606359156225	143046.45833333334	-5.842559017330003	125049.73333333334
PRDM1$MA0508.1	2.942270220821137	244197.1	9.884211079445766	305682.475	5.841409225478481	274106.0
ZNF263$MA0528.1	2.7943610577820026	327858.475	10.05521953250536	404217.25	5.748574846053128	365682.0
ELK1$MA0028.1	2.6206106362802934	97300.32500000001	9.369303840898516	131290.05	5.593104837852296	113854.5
Stat2$MA1623.1	2.493910945939648	158717.225	9.607443067874533	205594.7	5.433599486501089	180966.5
PLAGL2$MA1548.1	-8.275776038087042	75876.1	-2.2519825466973087	101977.775	-4.660061646110228	88547.5
PLAG1$MA0163.1	-7.354907804594993	128061.65	-1.6633221693752083	168077.575	-4.07419294586534	147104.0
ZNF140$MA1589.1	1.8080274590260905	314198.0	7.438444343471283	389878.37499999994	3.839346312857184	350990.0
BACH2(var.2)$MA1470.1	1.450712237707155	194764.67500000002	7.038078628717094	248656.17500000002	3.805541291142616	219768.0
Gata1$MA0035.1	-7.0188211580359186	32162.075	-1.5417045610600062	47128.025	-3.724001885237265	39295.0
CUX2$MA0755.1|CUX1$MA0754.1	-6.90618303285294	74231.7375	-1.4306249283123655	100605.4625	-3.656820388333515	86681.25
NKX2-8$MA0673.1|NKX2-3$MA0672.1	1.3308420398254803	88991.775	6.73983632399397	118666.29999999999	3.504627039138786	103260.0
Dmbx1$MA0883.1	-6.507176261031368	207628.875	-1.2371109505348785	262376.5	-3.3582191896946934	234714.5
PRDM1$MA0508.2	1.07931843577349	132988.95	6.130516875440719	171535.52499999997	3.123304141540645	151776.0
IRF7$MA0772.1	1.0558776619528463	197702.40000000002	5.99590861768923	249732.125	3.106976981916475	221839.0
BACH1$MA1633.1|BACH2$MA1101.1|MAFK$MA0496.3|MAF::NFE2$MA0501.1|NFE2L1$MA0089.2|NFE2L2$MA0150.1|Nfe2l2$MA0150.2|Bach1::Mafk$MA0591.1	1.1059466433399467	136897.4	6.167691187125857	177821.553125	3.0879739375063875	156646.75
CTCFL$MA1102.2|CTCFL$MA1102.1	-5.941693677742526	153173.75	-1.030578771545766	198161.78749999998	-3.027023652958896	174781.0
YY1$MA0095.1	-5.938560929174442	28045.15	-1.0160176742707876	41554.95	-2.97722326799459	34796.0
PRDM1$MA0508.3	0.9360485761050086	147292.675	5.983677228913872	191003.72499999998	2.8409794947470743	168594.0
AR$MA0007.2	0.709280137534491	168405.55000000002	5.607318413426711	219484.0	2.7796500841638867	191961.5
CEBPG$MA0838.1|CEBPE$MA0837.1|CEBPD$MA0836.1|CEBPA$MA0102.3|CEBPB$MA0466.2|CEBPD$MA0836.2|CEBPA$MA0102.2|CEBPB$MA0466.1|ATF4$MA0833.2|CEBPA$MA0102.4|ATF4$MA0833.1|Cebpa$MA0102.1|CEBPG(var.2)$MA1636.1	0.9602712332435824	117100.025	5.586642993221778	153184.21346153843	2.764061390553695	134865.6923076923
MZF1$MA0056.1	0.8069663920479831	37284.024999999994	5.790753239840041	53246.399999999994	2.665894676720842	44671.5
IRF8$MA0652.1|IRF4$MA1419.1|IRF9$MA0653.1|IRF5$MA1420.1	0.8286678379005346	173439.1	5.303659034920045	221161.925	2.5637891355941873	196798.5
PITX2$MA1547.1|OTX1$MA0711.1|OTX2$MA0712.1|GSC2$MA0891.1|Pitx1$MA0682.1|OTX2$MA0712.2|PITX3$MA0714.1|PITX1$MA0682.2|GSC$MA0648.1	-5.361294747802757	72048.76666666666	-0.4846859945010832	97869.78333333333	-2.5537041132851535	84483.38888888889
HLF$MA0043.1	0.629288777309392	104064.8	5.195735529121718	137966.95	2.5498885402958584	119042.0
INSM1$MA0155.1	-5.352604003608566	137059.1	-0.7468737653648593	180250.0	-2.5170016455430524	158070.5
TP73$MA0861.1	0.6553785249327372	206694.8	5.042140683420266	261300.69999999998	2.3869709498029024	232404.0
HLTF$MA0109.1	-4.962474697607417	96724.40000000001	-0.652173971814424	127446.15	-2.2929443197849606	111536.0
GLIS2$MA0736.1	-5.0882474401288285	168420.45	-0.6006463908571374	216749.9	-2.218030007360308	191827.5
