	5% p-val	5% stats	95% p-val	95% stats	Median p-val	Median stats
Spi1$MA0080.3|SPIB$MA0081.2|SPI1$MA0080.5|EHF$MA0598.3|ELF1$MA0473.1|SPI1$MA0080.4|ETV5$MA0765.2|ELF1$MA0473.3|SPIC$MA0687.1|ETV6$MA0645.1|GABPA$MA0062.3|ETV1$MA0761.2|ELF3$MA0640.2|SPI1$MA0080.2|Ets1$MA0098.2|Erg$MA0474.1|ELF5$MA0136.2|Gabpa$MA0062.2|FLI1$MA0475.1|ETV4$MA0764.2|ELK4$MA0076.2|ETV5$MA0765.1|IKZF1$MA1508.1|ZBTB7A$MA0750.2|ELK3$MA0759.1|FEV$MA0156.2|ERG$MA0474.2|ELK1$MA0028.2|GABPA$MA0062.1|ETS1$MA0098.3|ETV1$MA0761.1|ETV4$MA0764.1|ERF$MA0760.1|ELF4$MA0641.1|EHF$MA0598.1|FEV$MA0156.1|FLI1$MA0475.2|ELF2$MA1483.1|ELF1$MA0473.2|ETV3$MA0763.1|ELF5$MA0136.1|EHF$MA0598.2|ETS2$MA1484.1|ETV2$MA0762.1|ELF3$MA0640.1|ELK4$MA0076.1	68.70713307836834	69759.56521739133	87.91309299828814	96169.83967391303	78.14390339605553	82403.31521739131
SPIB$MA0081.1	56.70060943575144	16335.0	72.4212005103464	26223.024999999998	64.56677695180088	21056.75
SPI1$MA0080.1	44.669130280233695	9113.575	57.383759435069614	14870.799999999997	50.811582811591975	11819.25
ZKSCAN5$MA1652.1	32.240616464179375	128507.05	48.28960360171738	167572.55000000002	39.625300781486615	146689.0
ETS1$MA0098.1	19.402126958777544	10680.074999999999	31.439327754257945	17472.5	24.85330208356597	13763.0
ZEB1$MA0103.1	-26.27618261476627	26681.2	-14.24223369852173	39310.2	-19.80934105047622	32905.25
IRF1$MA0050.2	10.999071975472114	289544.27499999997	22.571387972558743	360192.825	16.4925382684692	323355.0
Nkx3-2$MA0122.1	9.189844133060374	49317.25	19.69070905036931	70054.45	13.983828538572727	58601.5
HINFP$MA0131.1	8.148933213392827	164806.025	18.41174400910546	211091.925	12.975951096989323	187175.25
STAT1::STAT2$MA0517.1|STAT1$MA0137.1	5.8187836793825145	177757.41249999998	14.983451264013592	226909.7	10.030406125460116	201782.875
HINFP$MA0131.2	5.567877991718507	232218.675	14.681549172684324	293553.625	9.395065602866858	260844.5
IRF3$MA1418.1	5.248343811412987	264282.075	14.765811538139413	331494.15	9.284872613633421	296082.75
ZEB1$MA0103.2	-12.157629055469904	57080.575	-4.34413275175296	79372.34999999999	-7.784468490022848	67681.25
FOSL1::JUND$MA1142.1|BATF::JUN$MA0462.2|BATF3$MA0835.2|BATF$MA1634.1|JUNB$MA0490.2|FOSB::JUNB$MA1135.1|FOSL2::JUNB$MA1138.1|FOSL1$MA0477.2|Smad2::Smad3$MA1622.1|BATF::JUN$MA0462.1|FOS::JUN$MA0099.2|JUND$MA0491.2|FOS::JUN$MA0099.3|FOS::JUNB$MA1134.1|FOSL2::JUND$MA1144.1|FOSL2::JUN$MA1130.1|FOS$MA0476.1|JUND$MA0491.1|JDP2$MA0655.1|FOSL1::JUNB$MA1137.1|JUNB$MA0490.1|JUN::JUNB$MA1132.1|FOSL1::JUN$MA1128.1|JUN(var.2)$MA0489.1|JUN::FOS$MA0099.1|FOS::JUND$MA1141.1|FOSL2$MA0478.1|FOSL1$MA0477.1|NFE2$MA0841.1|BACH2$MA1101.2	4.051816906885429	97410.56250000003	11.823729995824886	129485.95499999999	7.488191734932316	112541.14166666666
SPDEF$MA0686.1	3.8615616827688175	151000.40000000002	11.710968242629043	193327.275	7.253668197232	171784.75
IRF1$MA0050.1	2.898251781314017	122138.90000000001	9.735440043020802	161712.9	5.919465389623608	142359.5
TCF3$MA0522.2|TCF4$MA0830.1|TCF4$MA0830.2|SNAI2$MA0745.1|ZEB1$MA0103.3|FIGLA$MA0820.1|SNAI1$MA1558.1|Rbpjl$MA1621.1|SNAI2$MA0745.2|SNAI3$MA1559.1|TCF12(var.2)$MA1648.1|Ptf1a(var.3)$MA1620.1|ASCL1(var.2)$MA1631.1|TCF3$MA0522.3|MYOD1$MA0499.2	-9.87099568421017	107922.43666666668	-2.698362078370196	142996.21	-5.889619013850848	124772.43333333333
PRDM1$MA0508.1	2.8351262234983197	242846.75	9.899341598220506	305915.45	5.780873921507482	273427.0
ZNF263$MA0528.1	2.743885324208616	329277.25	9.813937151565314	405002.57499999995	5.6162696962682315	365113.75
ELK1$MA0028.1	2.6514563043248565	97791.65000000001	9.698451331864819	130140.27499999998	5.6125740017872	113205.0
Stat2$MA1623.1	2.591203375824813	159355.225	9.514467223894702	205097.74999999997	5.3690371946637425	181391.25
PLAGL2$MA1548.1	-8.100364745634945	75260.7	-1.9386287784993097	103106.925	-4.606747026424193	88172.5
PLAG1$MA0163.1	-7.433749250784191	127866.325	-1.6675354049934863	166735.65000000002	-4.0148554699799766	147603.75
BACH2(var.2)$MA1470.1	1.5210712772933663	194684.2	6.9385843127342515	246222.05000000002	3.7994163999281447	220879.25
ZNF140$MA1589.1	1.4081693495096441	316011.7	7.196330874056131	391791.7	3.7961199996026163	351843.0
CUX2$MA0755.1|CUX1$MA0754.1	-6.866878831292203	74136.1375	-1.3854789810601267	100046.5875	-3.6741546336783664	86640.75
Gata1$MA0035.1	-6.982149135828697	32073.1	-1.5503271262823444	47073.975	-3.640556095726856	39216.0
NKX2-8$MA0673.1|NKX2-3$MA0672.1	1.329259441027601	88786.05	6.777266348315752	119608.1875	3.512345163080756	103528.125
Dmbx1$MA0883.1	-6.773548783796373	207757.575	-1.1915830106727376	263782.15	-3.2442758818717534	234217.75
IRF7$MA0772.1	0.9704388648974485	193937.35	6.123011187885251	248775.25	3.151365698645461	221767.75
PRDM1$MA0508.2	1.1670618098865242	132286.8	6.003683656331855	172599.35	3.1454859285074166	151486.5
CTCFL$MA1102.2|CTCFL$MA1102.1	-6.1973608979216515	152819.175	-1.1032586341689206	196842.0875	-3.11913833698098	174118.75
