Merged motif (Total sequences: 5668)	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MXI1$MA1108.1|MYCN$MA0104.4|Mycn$MA0104.2|TFEB$MA0692.1|MYC$MA0147.3|HEY2$MA0649.1|TFE3$MA0831.1|Myc$MA0147.2|MAX$MA0058.1|USF2$MA0526.1|HEY1$MA0823.1|Myc$MA0147.1|TFEC$MA0871.1|USF1$MA0093.2|USF1$MA0093.1|HES1$MA1099.2|ARNT2$MA1464.1|ARNT::HIF1A$MA0259.1|MXI1$MA1108.2|Arntl$MA0603.1|MITF$MA0620.3|TFE3$MA0831.2|HES2$MA0616.2|USF1$MA0093.3|USF2$MA0526.3|Mitf$MA0620.1|TFEC$MA0871.2|MAX$MA0058.3|MAX$MA0058.2|MAX::MYC$MA0059.1|Hes1$MA1099.1|BHLHE40$MA0464.2|Mycn$MA0104.1|MITF$MA0620.2|Tcfl5$MA0632.1|BHLHE41$MA0636.1|SOHLH2$MA1560.1|USF2$MA0526.2|Arnt$MA0004.1|MNT$MA0825.1|MLXIPL$MA0664.1|Bhlhe40$MA0464.1|HIF1A$MA1106.1|Mycn$MA0104.3|Mlxip$MA0622.1|Npas2$MA0626.1|HES7$MA0822.1|SREBF2(var.2)$MA0828.1|Srebf1(var.2)$MA0829.1|HES6$MA1493.1|MLX$MA0663.1|HES5$MA0821.1|CLOCK$MA0819.1|SREBF1(var.2)$MA0829.2	196762.15	221254.82	245392.99	-0.13	1.03	2.96	1216	650	566	0.117	0.142
Rarb(var.2)$MA0858.1|RARA(var.2)$MA0730.1	211614.65	238943.75	264611.1	-0.5	1.56	4.0	884	460	424	0.041	0.179
SP9$MA1564.1|KLF11$MA1512.1|KLF16$MA0741.1|SP3$MA0746.2|KLF10$MA1511.1|SP3$MA0746.1|SP1$MA0079.4|SP1$MA0079.3|SP8$MA0747.1|SP4$MA0685.1|KLF6$MA1517.1|KLF9$MA1107.1|KLF14$MA0740.1|Klf4$MA0039.2|KLF2$MA1515.1|KLF4$MA0039.4|KLF5$MA0599.1|KLF3$MA1516.1|KLF9$MA1107.2|Klf12$MA0742.1|SP2$MA0516.1|SP1$MA0079.2|KLF4$MA0039.3|Klf1$MA0493.1	251817.21	281335.65	312473.81	1.13	3.21	6.28	1149	646	503	0.257	0.256
GATA2$MA0036.2|GATA3$MA0037.2|Gata4$MA0482.1|GATA5$MA0766.1|Gata1$MA0035.2|GATA2$MA0036.3|Gata1$MA0035.3|GATA3$MA0037.3|GATA5$MA0766.2|GATA6$MA1104.2|GATA6$MA1104.1|GATA4$MA0482.2	159934.67	181427.79	200940.89	-2.22	-0.53	0.35	1042	484	558	-0.095	-0.064
JUN::FOS$MA0099.1|FOS::JUN$MA0099.2|JUN::JUNB$MA1132.1|JDP2$MA0655.1|BATF3$MA0835.2|FOSL1::JUND$MA1142.1|NFE2$MA0841.1|BATF$MA1634.1|JUNB$MA0490.2|BATF::JUN$MA0462.2|FOSL2::JUND$MA1144.1|FOSL2::JUN$MA1130.1|FOS::JUN$MA0099.3|FOSB::JUNB$MA1135.1|JUNB$MA0490.1|JUN(var.2)$MA0489.1|JUND$MA0491.2|FOSL1::JUNB$MA1137.1|FOSL1::JUN$MA1128.1|FOSL1$MA0477.2|FOS::JUNB$MA1134.1|FOS::JUND$MA1141.1|FOS$MA0476.1|BATF::JUN$MA0462.1|FOSL2::JUNB$MA1138.1|FOSL1$MA0477.1|FOSL2$MA0478.1|JUND$MA0491.1|BACH2$MA1101.2|Smad2::Smad3$MA1622.1	187433.55	211437.0	233741.42	-0.28	0.9	2.84	666	382	284	0.356	0.267
CEBPG$MA0838.1|CEBPD$MA0836.1|CEBPB$MA0466.2|CEBPE$MA0837.1|CEBPA$MA0102.2|Cebpa$MA0102.1	155836.68	176699.75	199444.05	0.42	2.08	4.62	863	465	398	0.115	0.196
TBP$MA0108.1|TBP$MA0108.2	219782.65	245677.5	274493.1	-4.42	-1.82	-0.42	1035	471	564	-0.08	-0.106
MEIS3$MA0775.1|MEIS1$MA0498.2|MEIS2$MA0774.1	86843.6	100906.5	114368.57	-0.26	0.68	2.32	684	357	327	0.049	0.113
HAND2$MA1638.1|TCF21(var.2)$MA1568.1|ZBTB18$MA0698.1|ZEB1$MA0103.3|ASCL1$MA1100.1|Atoh1$MA0461.2|Neurog1$MA0623.1|Tcf3$MA0522.1|TCF3$MA0522.3|NEUROD1$MA1109.1|TCF12(var.2)$MA1648.1|ASCL1(var.2)$MA1631.1|NEUROD2$MA0668.1|NEUROG2(var.2)$MA1642.1|TCF4$MA0830.2|FIGLA$MA0820.1|OLIG1$MA0826.1|NEUROG1$MA0623.2|MYOD1$MA0499.2|Myog$MA0500.1|NHLH1$MA0048.1|ZEB1$MA0103.2|MYOG$MA0500.2|Tcf21$MA0832.1|TFAP4$MA0691.1|MYF5$MA1641.1|Tcf12$MA0521.1|Ptf1a(var.2)$MA1619.1|NHLH1$MA0048.2|NEUROG2$MA0669.1|MYF6$MA0667.1|SNAI2$MA0745.1|TWIST1$MA1123.2|SNAI1$MA1558.1|Ptf1a$MA1618.1|BHLHE23$MA0817.1|ATOH1(var.2)$MA1467.1|ATOH7$MA1468.1|BHLHE22(var.2)$MA1635.1|OLIG3$MA0827.1|OLIG2$MA0678.1|Bhlha15$MA0607.1|TWIST1$MA1123.1|Ptf1a(var.3)$MA1620.1|Rbpjl$MA1621.1|TCF3$MA0522.2|MSC$MA0665.1|Myod1$MA0499.1|TCF4$MA0830.1|Ascl2$MA0816.1|ZEB1$MA0103.1|SNAI2$MA0745.2|BHLHE22$MA0818.1|BHLHA15(var.2)$MA1472.1|SNAI3$MA1559.1|ASCL1$MA1100.2	182770.86	207202.79	227930.35	-0.75	0.27	1.72	926	502	424	0.049	0.141
TFAP2E$MA1569.1|TFAP2A$MA0003.3|TFAP2A$MA0003.4|TFAP2C(var.2)$MA0814.1|TFAP2B(var.2)$MA0812.1|TFAP2C(var.2)$MA0814.2	202753.05	229863.58	249520.52	-0.75	0.21	1.36	864	452	412	0.092	0.086
