id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	15516.5	20247.5	23482.6	-1.15	-0.07	0.84	286	142	144	-0.043	-0.012
MA0730.1	RARA(var.2)	22282.0	27387.0	32916.0	0.35	1.81	4.08	358	198	160	0.095	0.283
MA0742.1	Klf12	29671.5	35955.5	42638.3	0.53	2.19	5.07	412	230	182	0.219	0.249
MA0482.2	GATA4	21376.2	27123.5	31089.6	-1.19	-0.08	0.85	331	162	169	-0.016	0.001
MA0099.1	JUN::FOS	6435.2	8809.0	11247.4	0.52	2.12	4.72	211	123	88	0.418	0.35
MA0102.1	Cebpa	13076.6	16612.5	19846.1	-0.25	0.57	2.09	268	143	125	0.142	0.113
MA0108.1	TBP	16084.6	20448.0	24154.2	-1.86	-0.34	0.37	293	137	156	-0.066	-0.046
MA0498.2	MEIS1	6129.5	8111.0	10458.6	0.45	2.0	4.68	202	120	82	0.194	0.286
MA1100.2	ASCL1	9469.9	12265.0	14525.7	-0.66	0.19	1.4	225	115	110	0.059	0.081
MA0812.1	TFAP2B(var.2)	14419.8	18447.5	21979.8	-0.51	0.37	1.79	279	142	137	0.008	0.097
MA0853.1	Alx4	23225.3	29061.5	33759.5	-0.53	0.26	1.6	347	177	170	0.027	0.058
MA0033.2	FOXL1	4683.3	6634.0	8092.0	-0.8	0.08	1.17	164	83	81	0.014	0.032
MA0805.1	TBX1	10984.3	14780.0	17027.2	-1.14	-0.05	0.95	244	118	126	-0.043	0.015
MA0075.1	Prrx2	2170.8	3245.5	4085.2	-1.19	-0.1	0.76	115	54	61	-0.023	0.006
MA0912.1	Hoxd3	26949.6	33523.0	37309.6	-1.24	-0.08	0.84	368	179	189	-0.055	-0.015
MA1519.1	LHX5	5349.0	7480.0	8983.7	-0.84	0.02	1.09	173	94	79	0.077	-0.027
MA0694.1	ZBTB7B	26156.4	31668.0	37387.0	-0.33	0.58	2.1	368	193	175	0.024	0.148
MA0491.1	JUND	12703.4	16290.0	19345.9	-0.63	-0.24	1.64	260	129	131	-0.027	0.121
MA0148.2	FOXA1	9236.2	12203.0	15154.4	-0.2	0.7	2.29	232	124	108	0.075	0.118
MA0475.2	FLI1	13026.0	16266.5	20319.5	1.27	3.55	6.67	293	170	123	0.323	0.474
MA0100.2	Myb	11092.3	14164.5	17276.0	-0.35	0.51	2.01	247	130	117	0.12	0.113
MA0670.1	NFIA	13869.9	17888.0	20604.8	-0.59	0.17	1.38	271	142	129	0.003	0.019
MA1635.1	BHLHE22(var.2)	11705.4	15215.5	17939.4	-1.27	-0.12	0.79	249	122	127	-0.02	-0.021
MA1573.1	THAP11	33552.6	40456.5	46124.5	-1.35	-0.14	0.67	406	197	209	-0.016	-0.044
MA0765.1	ETV5	15662.9	19783.0	24170.6	1.4	3.84	6.99	323	180	143	0.311	0.404
