id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	132165.3	153510.0	166816.3	-0.95	0.02	1.19	784	398	386	0.027	0.003
MA0730.1	RARA(var.2)	156285.2	177000.5	197521.3	-0.33	1.71	4.06	882	461	421	0.064	0.173
MA0742.1	Klf12	204604.0	230101.0	255023.2	0.23	1.45	3.8	998	536	462	0.1	0.123
MA0482.2	GATA4	130018.1	151515.0	166546.8	-1.3	-0.12	0.76	783	384	399	-0.018	-0.019
MA0099.1	JUN::FOS	42095.9	50362.5	60147.3	1.18	3.49	6.42	497	283	214	0.332	0.305
MA0102.1	Cebpa	110826.9	125943.0	142252.8	-0.38	1.03	2.95	736	382	354	0.08	0.111
MA0108.1	TBP	131824.1	149773.5	169263.1	-2.97	-1.17	-0.09	804	371	433	-0.074	-0.083
MA0498.2	MEIS1	42905.2	51288.5	59597.0	0.08	1.1	3.14	475	263	212	0.11	0.107
MA1100.2	ASCL1	80381.9	95196.5	104852.2	-1.07	0.04	0.91	618	309	309	0.002	0.039
MA0812.1	TFAP2B(var.2)	107224.1	123172.0	136076.6	-0.54	0.2	1.37	709	363	346	0.012	0.022
MA0853.1	Alx4	149291.7	169143.5	190702.2	-4.02	-1.55	-0.11	860	402	458	-0.064	-0.104
MA0033.2	FOXL1	30981.6	38521.5	45361.4	-0.47	0.31	1.86	400	207	193	0.045	0.034
MA0805.1	TBX1	72960.5	85295.0	96393.3	-1.65	-0.26	0.55	592	292	300	-0.017	-0.065
MA0075.1	Prrx2	16227.6	20601.5	24130.8	-1.35	-0.18	0.59	291	142	149	-0.023	-0.052
MA0912.1	Hoxd3	197860.1	224512.5	242703.8	-0.72	0.18	1.34	955	478	477	0.001	0.012
MA1519.1	LHX5	44127.2	52976.5	59315.0	0.01	0.06	1.14	462	252	210	0.076	-0.079
MA0694.1	ZBTB7B	200514.0	226990.0	244414.8	-0.81	-0.05	1.13	955	477	478	-0.001	0.031
MA0491.1	JUND	88616.6	103099.5	115730.7	-0.63	0.35	1.84	653	328	325	0.021	0.11
MA0148.2	FOXA1	81201.9	94487.0	105969.4	-0.79	0.13	1.28	619	312	307	0.008	0.024
MA0475.2	FLI1	111830.4	128067.0	145454.6	5.36	9.46	14.18	827	484	343	0.314	0.487
MA0100.2	Myb	76163.5	89405.0	100394.7	-0.4	0.37	1.93	609	313	296	0.038	0.068
MA0670.1	NFIA	84016.5	97795.0	110844.2	-1.94	-0.43	0.34	638	308	330	-0.022	-0.041
MA1635.1	BHLHE22(var.2)	74249.4	88052.5	98308.8	-0.6	0.21	1.5	600	309	291	0.021	0.056
MA1573.1	THAP11	221615.6	247995.5	276202.4	-3.0	-1.03	0.06	1027	489	538	-0.035	-0.105
MA0765.1	ETV5	126966.8	145565.5	165206.3	4.57	8.62	13.58	871	492	379	0.236	0.396
MA0877.2	BARHL1	66416.0	78138.0	88620.6	-1.82	-0.39	0.48	570	278	292	-0.062	-0.031
MA0141.2	Esrrb	121054.1	140343.0	156097.7	-1.84	-0.39	0.34	762	363	399	-0.038	-0.048
MA0104.1	Mycn	41099.8	49888.0	58383.6	0.0	0.92	2.87	466	250	216	0.091	0.158
MA1587.1	ZNF135	164764.8	192337.5	206778.3	-0.97	-0.01	0.94	877	436	441	-0.022	-0.002
MA0512.1	Rxra	91190.8	107584.0	121148.7	-0.32	0.65	2.4	674	347	327	0.055	0.082
MA0119.1	NFIC::TLX1	112701.7	129350.0	145936.2	-0.14	0.78	2.6	741	390	351	0.158	0.1
MA0904.1	Hoxb5	183567.2	205792.0	227130.6	-1.8	-0.38	0.38	921	449	472	-0.039	-0.035
MA0597.1	THAP1	93438.2	107793.5	123264.6	-3.19	-1.09	0.56	683	331	352	-0.044	-0.068
MA0471.1	E2F6	108537.5	125984.0	138721.1	-0.66	0.14	1.29	715	368	347	0.08	-0.003
MA0844.1	XBP1	246004.6	277174.0	299565.2	-1.17	-0.09	0.78	1057	521	536	-0.028	0.009
MA1466.1	ATF6	172002.3	193753.0	215246.8	-0.12	0.91	2.77	907	474	433	0.045	0.12
MA0895.1	HMBOX1	86951.9	100072.0	113209.0	-0.44	0.41	1.86	645	328	317	0.037	0.069
MA0679.1	ONECUT1	80946.3	93946.5	108180.2	-3.56	-1.38	-0.06	643	300	343	-0.079	-0.147
MA0051.1	IRF2	129220.4	146603.5	166066.6	1.27	3.55	6.97	828	446	382	0.241	0.304
MA0059.1	MAX::MYC	132357.7	150366.5	168702.0	-0.28	0.98	2.92	802	417	385	0.106	0.136
MA0162.2	EGR1	178486.6	202120.0	225002.5	1.44	3.7	6.93	968	529	439	0.242	0.223
MA0761.1	ETV1	119685.3	136201.5	154222.5	5.61	9.48	14.31	851	487	364	0.254	0.445
MA0796.1	TGIF1	74925.8	87681.5	97694.6	-0.6	0.18	1.38	598	303	295	0.004	0.008
MA0090.1	TEAD1	112611.1	130694.0	144131.0	-1.27	0.11	0.81	727	369	358	0.046	-0.045
MA0037.3	GATA3	68857.4	81654.0	90009.6	-1.11	0.05	0.85	573	291	282	0.032	-0.016
MA0145.3	TFCP2	110625.7	127662.0	145007.9	0.08	1.44	3.76	748	397	351	0.114	0.155
MA0781.1	PAX9	156752.9	176551.0	197016.6	-0.3	0.62	2.38	860	444	416	0.05	0.085
MA0036.2	GATA2	138827.6	157012.5	175951.4	-2.47	-0.77	-0.01	815	382	433	-0.065	-0.056
MA0803.1	TBX15	75420.8	88838.5	100125.6	-1.42	-0.22	0.62	603	300	303	-0.004	-0.092
MA0818.1	BHLHE22	109903.4	127607.0	140428.8	-1.22	-0.1	0.79	718	348	370	-0.051	0.004
MA0048.2	NHLH1	93563.3	109211.0	121446.6	-0.7	0.21	1.56	668	334	334	0.003	0.045
MA0904.2	HOXB5	55886.7	66887.0	74549.8	-0.85	0.06	1.19	519	265	254	0.07	-0.012
MA0481.1	FOXP1	118048.2	137438.0	148795.6	-0.98	-0.02	1.04	742	366	376	-0.023	0.011
MA0750.2	ZBTB7A	159317.8	180673.0	203453.5	4.27	7.97	12.27	958	545	413	0.204	0.376
MA0846.1	FOXC2	84272.2	99666.5	108814.1	-1.01	0.0	0.99	631	321	310	0.043	-0.002
MA0679.2	ONECUT1	100184.8	115325.5	132530.9	-6.22	-3.17	-1.13	734	324	410	-0.237	-0.173
MA1130.1	FOSL2::JUN	128890.1	145396.5	164118.5	-0.73	0.99	2.99	789	402	387	0.044	0.146
MA0068.2	PAX4	47455.6	56527.0	66101.2	-1.75	0.32	0.65	484	244	240	0.031	-0.069
MA0881.1	Dlx4	53845.6	63820.5	72523.2	0.01	0.32	1.58	514	278	236	0.07	-0.046
MA0075.3	PRRX2	39106.7	47979.0	54250.7	-1.09	-0.04	0.86	439	217	222	-0.004	-0.056
MA0747.1	SP8	170010.2	192784.0	214738.4	1.01	2.94	5.88	937	518	419	0.249	0.178
MA0620.1	Mitf	106958.9	123036.0	139530.4	-0.3	0.99	2.93	727	376	351	0.059	0.08
MA0032.1	FOXC1	64518.0	75882.0	85773.1	-0.5	0.35	1.82	561	289	272	0.044	0.033
MA0511.2	RUNX2	81111.8	93619.0	107254.8	2.61	5.74	9.55	688	399	289	0.302	0.328
MA0761.2	ETV1	156966.3	178031.0	200967.4	3.35	6.53	10.62	939	528	411	0.06	0.338
MA0800.1	EOMES	170965.5	192328.0	211144.9	-1.69	-0.29	0.34	888	422	466	-0.053	-0.017
MA1633.1	BACH1	133623.9	152237.5	170853.7	-0.14	1.62	3.76	818	431	387	0.077	0.167
MA0102.4	CEBPA	154418.4	174875.5	191994.8	-0.6	0.23	1.48	845	425	420	0.013	0.032
MA0707.1	MNX1	68928.0	81423.0	92784.6	-2.64	-0.73	0.6	589	289	300	-0.006	-0.092
MA0032.2	FOXC1	67386.7	79172.5	88709.1	-0.51	0.24	1.56	570	297	273	0.068	0.031
MA0811.1	TFAP2B	125989.2	143104.0	162962.7	0.3	1.77	4.19	796	428	368	0.117	0.122
MA0029.1	Mecom	83841.7	98937.0	108356.6	-0.78	-0.09	1.2	632	309	323	-0.056	0.041
MA0003.3	TFAP2A	107196.6	123745.5	138699.4	-0.48	0.51	2.11	719	367	352	0.059	0.049
MA0508.1	PRDM1	157416.1	178575.5	200617.4	0.67	2.56	5.67	898	487	411	0.104	0.18
MA0065.1	PPARG::RXRA	170746.2	192137.5	212781.1	-0.24	0.63	2.44	897	462	435	0.151	0.082
MA0500.1	Myog	81305.5	94134.5	107857.7	-0.16	0.55	2.15	629	330	299	0.044	0.07
MA0808.1	TEAD3	67821.1	79452.5	89497.4	-2.07	-0.48	0.38	577	282	295	-0.031	-0.099
MA0519.1	Stat5a::Stat5b	74409.6	87089.0	100021.8	-4.27	-1.91	-0.35	627	285	342	-0.266	-0.134
MA1532.1	NR1D2	252009.2	280426.0	304906.0	-0.37	0.41	1.95	1075	548	527	0.064	0.036
MA1597.1	ZNF528	201097.7	226054.5	248267.4	-2.53	-0.71	0.23	974	468	506	-0.058	-0.087
MA0754.1	CUX1	74255.1	86470.0	99286.2	-3.61	-1.41	-0.16	618	282	336	-0.075	-0.12
MA1572.1	TGIF2LY	140603.3	160476.0	178331.7	-0.44	0.31	1.78	812	419	393	0.088	0.064
MA1117.1	RELB	132169.4	150062.0	169208.0	-0.5	1.41	3.56	809	420	389	0.083	0.106
MA1487.1	FOXE1	95209.4	112933.0	123722.8	-1.21	-0.06	0.9	674	328	346	-0.021	0.003
MA1569.1	TFAP2E	90396.8	104128.5	118292.6	-0.41	1.0	3.12	670	347	323	0.065	0.103
MA0643.1	Esrrg	96728.7	112191.5	124706.3	-1.39	-0.21	0.62	677	329	348	-0.024	-0.029
MA1552.1	RARB(var.3)	173422.2	196702.5	218080.7	-0.3	0.61	2.21	907	467	440	0.083	0.072
MA0764.2	ETV4	91937.5	105457.5	121188.8	-0.32	1.55	3.82	683	358	325	0.128	0.179
MA0146.2	Zfx	138811.4	160538.0	173968.4	-1.02	0.03	1.05	802	414	388	0.043	-0.021
MA0836.2	CEBPD	143679.2	165209.0	179217.6	-0.96	-0.03	1.02	814	406	408	-0.007	0.045
MA0122.3	Nkx3-2	140862.0	159490.0	178026.7	-2.09	-0.46	0.28	814	394	420	-0.046	-0.032
MA0098.2	Ets1	157348.5	178075.5	199427.3	5.25	9.02	14.08	960	558	402	0.19	0.401
MA0660.1	MEF2B	43645.1	53715.5	59862.6	-0.94	0.03	1.06	464	236	228	0.022	0.014
MA0609.1	Crem	102010.5	116348.5	132332.0	-0.43	0.77	2.55	703	361	342	0.073	0.129
MA1580.1	ZBTB32	78954.4	91299.5	103795.8	-2.04	-0.53	0.25	619	296	323	-0.024	-0.087
MA0144.1	Stat3	82495.5	95903.0	109024.4	-3.94	-1.61	-0.33	653	295	358	-0.205	-0.161
MA1484.1	ETS2	115201.1	132775.5	150173.2	4.38	8.02	12.77	830	493	337	0.208	0.429
MA0807.1	TBX5	79899.3	94288.0	103656.7	-1.37	-0.12	0.7	618	300	318	-0.04	-0.019
MA0637.1	CENPB	252072.0	281724.0	309146.6	-0.3	0.43	1.89	1078	560	518	0.067	0.037
MA1509.1	IRF6	88280.1	102845.0	118255.9	1.52	3.87	7.31	702	395	307	0.186	0.299
MA0160.1	NR4A2	53641.9	63757.0	73786.2	-2.64	-0.72	0.02	522	242	280	-0.158	-0.108
MA0882.1	DLX6	51158.2	61444.0	69253.9	0.02	0.26	1.53	503	275	228	0.084	-0.047
MA0524.2	TFAP2C	124311.6	142572.5	160397.6	0.25	1.54	3.83	791	428	363	0.119	0.111
MA1152.1	SOX15	62263.8	73483.5	84860.0	-3.03	-1.02	-0.08	565	257	308	-0.068	-0.125
MA0143.4	SOX2	104324.4	120928.5	137067.2	-3.28	-1.11	-0.12	723	329	394	-0.101	-0.094
MA1113.1	PBX2	142788.9	163660.5	179478.7	-0.57	0.21	1.55	817	424	393	0.047	0.015
MA0492.1	JUND(var.2)	182857.8	205112.0	226110.5	-0.13	0.61	2.18	926	483	443	0.072	0.063
MA1560.1	SOHLH2	122801.4	141752.0	156523.3	-0.54	0.32	1.83	764	385	379	0.012	0.063
MA0147.3	MYC	158655.3	180306.5	202295.0	0.54	2.04	4.76	895	491	404	0.087	0.132
MA1568.1	TCF21(var.2)	170863.2	192786.0	216885.7	0.19	1.56	3.74	917	497	420	0.056	0.125
MA0886.1	EMX2	75723.6	88699.5	99463.6	-1.48	0.23	0.77	603	306	297	0.022	-0.052
MA0885.1	Dlx2	50969.8	62350.5	69161.3	-0.92	0.0	1.08	499	257	242	0.02	-0.085
MA0141.3	ESRRB	97688.2	115253.5	125753.7	-1.07	0.01	0.88	679	340	339	0.001	-0.0
MA0162.4	EGR1	217325.0	243439.0	270731.2	-0.54	1.04	3.04	1018	521	497	0.029	0.109
MA0898.1	Hmx3	160048.6	183025.5	199060.8	-0.87	-0.11	1.34	860	419	441	-0.058	0.022
MA0472.1	EGR2	186790.8	211289.5	235360.0	1.42	3.63	7.0	988	544	444	0.273	0.208
MA0693.2	VDR	53276.6	63257.0	71442.4	-0.61	0.17	1.38	508	256	252	0.011	0.024
MA1419.1	IRF4	85773.6	100239.0	114671.8	3.91	7.43	11.72	724	419	305	0.183	0.511
MA0070.1	PBX1	94190.4	108300.0	124711.4	-4.58	-1.84	-0.31	696	318	378	-0.192	-0.187
MA0158.2	HOXA5	60979.0	73210.5	81570.7	-0.54	0.16	1.39	546	289	257	0.103	0.011
MA0910.2	HOXD8	58914.7	69773.5	79683.2	0.02	0.48	2.03	541	293	248	0.064	0.036
MA0711.1	OTX1	55591.0	65700.0	75895.9	-3.33	-1.16	-0.1	537	245	292	-0.156	-0.112
MA0007.1	Ar	426513.0	468039.0	506047.2	0.09	1.22	3.46	1409	738	671	0.127	0.078
MA0508.2	PRDM1	82837.0	96658.5	111081.5	-0.77	1.38	3.69	652	337	315	0.023	0.189
MA1594.1	ZNF382	213586.6	240565.0	266481.0	0.3	1.79	4.19	1026	546	480	0.106	0.123
MA0733.1	EGR4	296380.2	334144.0	356469.9	-0.77	-0.08	1.19	1160	579	581	-0.005	0.006
MA0041.1	Foxd3	68585.4	79983.5	91500.1	-2.52	-0.74	0.06	584	274	310	-0.109	-0.087
MA0604.1	Atf1	91481.1	106480.5	120454.1	0.58	2.04	4.49	693	380	313	0.17	0.192
MA0599.1	KLF5	79230.4	92397.0	107866.4	0.28	1.74	4.02	643	355	288	0.119	0.158
MA0514.1	Sox3	54326.5	64440.5	74879.0	-3.7	-1.44	-0.12	536	246	290	-0.151	-0.149
MA0612.1	EMX1	82394.4	98161.0	107365.5	-0.91	0.02	1.14	627	320	307	0.027	-0.027
MA0102.2	CEBPA	71378.6	83457.0	95730.8	-0.41	0.88	2.82	599	310	289	0.056	0.1
MA1557.1	SMAD5	102856.7	117924.0	133128.5	-0.19	0.51	2.14	702	370	332	0.068	0.067
MA1478.1	DMRTA2	133190.5	151037.5	170024.5	-2.83	-0.89	-0.01	802	377	425	-0.086	-0.058
MA0692.1	TFEB	102689.8	118781.5	134547.4	0.31	1.77	4.12	727	396	331	0.11	0.148
MA0153.1	HNF1B	65573.0	75377.0	86740.1	-2.61	-0.73	0.21	567	269	298	-0.15	-0.116
MA0052.2	MEF2A	98356.2	115180.5	125917.3	-1.07	-0.02	1.0	679	334	345	-0.028	0.024
MA0033.1	FOXL1	55169.4	65898.5	75076.0	-1.73	-0.35	0.27	523	245	278	-0.09	-0.032
MA0114.4	HNF4A	132951.6	154012.0	169364.5	-1.27	-0.16	0.65	791	389	402	-0.02	-0.004
MA0477.1	FOSL1	91369.0	106765.5	119716.2	-0.75	-0.3	1.81	663	330	333	-0.011	0.105
MA1566.1	TBX3	127081.6	146404.5	160589.2	-0.48	0.25	1.53	774	399	375	0.015	0.028
MA0154.2	EBF1	80428.0	93434.0	106990.4	-0.57	1.7	4.27	646	337	309	0.083	0.232
