Merged motif (Total sequences: 4402)	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MYCN$MA0104.4|Mycn$MA0104.2|MAX$MA0058.1|MXI1$MA1108.1|MYC$MA0147.3|Myc$MA0147.1|TFEC$MA0871.1|USF1$MA0093.2|USF2$MA0526.1|TFEB$MA0692.1|HEY2$MA0649.1|USF1$MA0093.1|Creb3l2$MA0608.1|TFE3$MA0831.1|MAX$MA0058.3|TFE3$MA0831.2|HEY1$MA0823.1|Mitf$MA0620.1|MAX::MYC$MA0059.1|USF2$MA0526.2|Mycn$MA0104.1|ARNT2$MA1464.1|HES1$MA1099.2|Mycn$MA0104.3|Arntl$MA0603.1|HES2$MA0616.2|USF2$MA0526.3|TFEC$MA0871.2|MITF$MA0620.3|USF1$MA0093.3|HIF1A$MA1106.1|Hes1$MA1099.1|MITF$MA0620.2|Arnt$MA0004.1|BHLHE41$MA0636.1|MNT$MA0825.1|MLXIPL$MA0664.1|ARNT::HIF1A$MA0259.1|Mlxip$MA0622.1|Bhlhe40$MA0464.1|BHLHE40$MA0464.2|Tcfl5$MA0632.1|HES7$MA0822.1|SREBF2(var.2)$MA0828.1|SOHLH2$MA1560.1|Srebf1(var.2)$MA0829.1|MLX$MA0663.1|HES5$MA0821.1|Npas2$MA0626.1|HES6$MA1493.1|SREBF1(var.2)$MA0829.2|CLOCK$MA0819.1	120299.77	137635.07	154311.23	-0.09	1.0	2.91	892	498	394	0.281	0.164
RARA(var.2)$MA0730.1|Rarb(var.2)$MA0858.1|RARA::RXRG$MA1149.1	191105.67	214933.67	235234.8	-0.88	0.94	2.68	882	461	421	0.064	0.173
KLF10$MA1511.1|KLF11$MA1512.1|KLF16$MA0741.1|KLF9$MA1107.1|SP9$MA1564.1|SP3$MA0746.1|KLF9$MA1107.2|SP3$MA0746.2|SP8$MA0747.1|SP1$MA0079.4|KLF4$MA0039.3|KLF14$MA0740.1|KLF4$MA0039.4|KLF6$MA1517.1|Klf4$MA0039.2|SP4$MA0685.1|KLF2$MA1515.1|KLF5$MA0599.1|KLF3$MA1516.1|Klf12$MA0742.1|Klf1$MA0493.1	147324.44	167276.45	188077.88	0.94	2.81	5.72	829	479	350	0.341	0.262
GATA2$MA0036.2|GATA3$MA0037.2|GATA5$MA0766.1|Gata1$MA0035.2|Gata4$MA0482.1|GATA5$MA0766.2|GATA2$MA0036.3|Gata1$MA0035.3|GATA4$MA0482.2|GATA6$MA1104.2|GATA3$MA0037.3|GATA6$MA1104.1	98611.48	114199.79	126902.99	-1.65	-0.24	0.55	815	382	433	-0.065	-0.056
JUN::FOS$MA0099.1|FOS::JUN$MA0099.2|JUN::JUNB$MA1132.1|JDP2$MA0655.1|BATF3$MA0835.2|FOSL1::JUND$MA1142.1|FOSL2::JUN$MA1130.1|NFE2$MA0841.1|BATF$MA1634.1|FOS::JUN$MA0099.3|FOSL2::JUND$MA1144.1|BATF::JUN$MA0462.2|FOSB::JUNB$MA1135.1|JUNB$MA0490.2|FOSL1::JUNB$MA1137.1|FOSL1::JUN$MA1128.1|JUNB$MA0490.1|FOS$MA0476.1|JUN(var.2)$MA0489.1|BATF::JUN$MA0462.1|FOS::JUND$MA1141.1|FOS::JUNB$MA1134.1|JUND$MA0491.1|FOSL2::JUNB$MA1138.1|JUND$MA0491.2|FOSL1$MA0477.1|FOSL1$MA0477.2|Smad2::Smad3$MA1622.1|FOSL2$MA0478.1|BACH2$MA1101.2	112670.86	129264.77	144365.38	-0.4	0.73	2.53	497	283	214	0.332	0.305
CEBPG$MA0838.1|CEBPD$MA0836.1|CEBPB$MA0466.2|CEBPE$MA0837.1|Cebpa$MA0102.1|CEBPA$MA0102.2|CEBPA$MA0102.3|CEBPG(var.2)$MA1636.1|CEBPA$MA0102.4|CEBPB$MA0466.1|ATF4$MA0833.2|ATF4$MA0833.1|CEBPD$MA0836.2	126247.08	144504.23	160049.46	-0.5	0.68	2.3	667	358	309	0.143	0.185
TBP$MA0108.2|TBP$MA0108.1	131285.85	150043.5	170016.3	-3.17	-1.18	-0.12	806	371	435	-0.079	-0.081
MEIS3$MA0775.1|MEIS1$MA0498.2|MEIS2$MA0774.1	49368.77	58820.67	67922.23	-0.13	0.88	2.74	527	280	247	0.05	0.149
HAND2$MA1638.1|ZEB1$MA0103.3|TCF4$MA0830.2|FIGLA$MA0820.1|TCF21(var.2)$MA1568.1|TCF3$MA0522.3|TCF12(var.2)$MA1648.1|Neurog1$MA0623.1|Tcf3$MA0522.1|ASCL1(var.2)$MA1631.1|TFAP4(var.2)$MA1570.1|NEUROG2(var.2)$MA1642.1|NEUROD1$MA1109.1|MYOD1$MA0499.2|ASCL1$MA1100.1|TCF3$MA0522.2|SNAI1$MA1558.1|NEUROD2$MA0668.1|Atoh1$MA0461.2|TCF4$MA0830.1|TWIST1$MA1123.2|Myog$MA0500.1|NHLH1$MA0048.1|ZBTB18$MA0698.1|Ptf1a$MA1618.1|Twist2$MA0633.1|Tcf12$MA0521.1|ZEB1$MA0103.1|Ptf1a(var.3)$MA1620.1|SNAI2$MA0745.1|TWIST1$MA1123.1|MYOG$MA0500.2|Rbpjl$MA1621.1|MYF6$MA0667.1|Ascl2$MA0816.1|OLIG1$MA0826.1|Bhlha15$MA0607.1|Myod1$MA0499.1|Ptf1a(var.2)$MA1619.1|NHLH1$MA0048.2|BHLHE22(var.2)$MA1635.1|NEUROG1$MA0623.2|BHLHE23$MA0817.1|ATOH7$MA1468.1|BHLHA15(var.2)$MA1472.1|SNAI2$MA0745.2|NEUROG2$MA0669.1|ZEB1$MA0103.2|SNAI3$MA1559.1|OLIG3$MA0827.1|BHLHE22$MA0818.1|Tcf21$MA0832.1|OLIG2$MA0678.1|MSC$MA0665.1|ASCL1$MA1100.2|MYF5$MA1641.1|ATOH1(var.2)$MA1467.1|TFAP4$MA0691.1	110572.84	127397.22	142182.25	-0.55	0.52	2.1	736	403	333	0.056	0.173
TFAP2E$MA1569.1|TFAP2A$MA0003.3|TFAP2C(var.2)$MA0814.1|TFAP2B(var.2)$MA0812.1|TFAP2C(var.2)$MA0814.2|TFAP2A$MA0003.4	119971.35	138483.75	152512.68	-0.68	0.32	1.7	670	347	323	0.065	0.103
Alx4$MA0853.1|Arx$MA0874.1|Alx1$MA0854.1|LHX6$MA0658.1|LMX1B$MA0703.1|Pdx1$MA0132.1|HESX1$MA0894.1|RAX$MA0718.1|LMX1A$MA0702.1|HOXB7$MA1501.1|POU6F1$MA0628.1|MNX1$MA0707.1|MEOX2$MA0706.1|MEOX1$MA0661.1|MSX1$MA0666.1|HOXB6$MA1500.1|HOXB3$MA0903.1|Lhx4$MA0704.1|TLX2$MA1577.1|GBX2$MA0890.1|NOTO$MA0710.1|DRGX$MA1481.1|mix-a$MA0621.1|HOXA7$MA1498.1|Barhl1$MA0877.1|HOXD8$MA0910.2|PDX1$MA0132.2|Lhx8$MA0705.1|LHX2$MA0700.2|PRRX1$MA0716.1|HOXA4$MA1496.1|GBX1$MA0889.1|EN2$MA0642.1|HOXB2$MA0902.1|HOXA2$MA0900.1|BSX$MA0876.1|GSX2$MA0893.1|LHX1$MA1518.1|MIXL1$MA0662.1|SHOX$MA0630.1|ALX3$MA0634.1|UNCX$MA0721.1|Dlx4$MA0881.1|PAX4$MA0068.2|EMX1$MA0612.2|LBX1$MA0618.1|HOXD3$MA0912.2|NKX6-2$MA0675.1|Msx3$MA0709.1|HOXB8$MA1502.1|RAX2$MA0717.1|ISX$MA0654.1|DLX6$MA0882.1|Nobox$MA0125.1|Dlx3$MA0880.1|GSX1$MA0892.1|Dlx1$MA0879.1|HOXA6$MA1497.1|EMX2$MA0886.1|Shox2$MA0720.1|LMX1A$MA0702.2|BARX1$MA0875.1|LMX1B$MA0703.2|Prrx2$MA0075.1|HOXC8$MA1505.1|HOXA5$MA0158.2|LHX9$MA0701.2|Prrx2$MA0075.2|VAX2$MA0723.1|HOXA1$MA1495.1|LHX2$MA0700.1|HOXC4$MA1504.1|VSX1$MA0725.1|EVX1$MA0887.1|MSX2$MA0708.1|VAX1$MA0722.1|LHX5$MA1519.1|HOXA2$MA0900.2|HOXB5$MA0904.2|GSX2$MA0893.2|NKX6-1$MA0674.1|EN1$MA0027.2|HOXB2$MA0902.2|VSX2$MA0726.1|PRRX2$MA0075.3|EVX2$MA0888.1|DLX5$MA1476.1|HOXB4$MA1499.1|EMX1$MA0612.1|ESX1$MA0644.1|ARGFX$MA1463.1|LHX9$MA0701.1|Dlx2$MA0885.1|HOXD4$MA1507.1|LBX2$MA0699.1	60365.43	71613.31	80887.74	-1.45	-0.14	0.86	860	402	458	-0.064	-0.104
FOXA2$MA0047.3|FOXP1$MA0481.3|FOXD1$MA0031.1|FOXA1$MA0148.4|FOXP3$MA0850.1|FOXK2$MA1103.2|FOXP1$MA0481.2|Foxl2$MA1607.1|FOXA3$MA1683.1|FOXL1$MA0033.2|FOXN3$MA1489.1|FOXK2$MA1103.1|FOXO3$MA0157.2|FOXP2$MA0593.1|FOXK1$MA0852.2|FOXD2$MA0847.1|Foxj2$MA0614.1|FOXI1$MA0042.2|FOXO4$MA0848.1|FOXG1$MA0613.1|Foxo1$MA0480.1|FOXO6$MA0849.1|FOXP1$MA0481.1|Foxf1$MA1606.1	63028.16	74322.6	83531.14	-1.33	-0.14	0.84	629	293	336	-0.063	-0.071
TBX20$MA0689.1|TBX21$MA0690.1|EOMES$MA0800.1|TBX1$MA0805.1|TBX3$MA1566.1|TBX15$MA0803.1|TBX4$MA0806.1|TBR1$MA0802.1|TBX6$MA1567.1|MGA$MA0801.1|TBX5$MA0807.1|TBX18$MA1565.1|TBX2$MA0688.1	106002.55	122716.92	135703.52	-1.44	-0.2	0.64	751	348	403	-0.109	-0.071
Hoxb5$MA0904.1|Hoxd3$MA0912.1	190713.65	215152.25	234917.2	-1.26	-0.1	0.86	921	449	472	-0.039	-0.035
ZBTB7A$MA0750.1|ZBTB7C$MA0695.1|ZBTB7B$MA0694.1	190002.93	215238.0	234428.73	-0.72	-0.08	1.58	916	454	462	-0.025	0.077
FOXB1$MA0845.1|FOXC1$MA0032.2|Foxa2$MA0047.2|FOXA1$MA0148.2|FOXA1$MA0148.1|FOXA1$MA0148.3|FOXD2$MA0847.2|FOXC2$MA0846.1	87390.3	102452.94	113234.06	-0.88	0.09	1.16	583	294	289	0.022	0.026
