id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	47377.1	57131.5	63030.6	-0.97	0.04	1.11	479	243	236	0.023	0.01
MA0730.1	RARA(var.2)	50494.8	59671.0	68187.7	-0.86	-0.59	2.06	503	251	252	-0.017	0.109
MA0742.1	Klf12	66263.1	77381.0	86880.7	-0.4	0.26	1.65	564	297	267	0.054	0.042
MA0482.2	GATA4	38730.7	46125.5	52444.4	-1.25	-0.13	0.72	433	213	220	-0.018	-0.044
MA0099.1	JUN::FOS	12157.8	15419.5	19158.3	0.22	1.7	4.19	271	150	121	0.307	0.264
MA0102.1	Cebpa	38586.9	45895.0	53375.8	-0.54	0.71	2.44	444	228	216	0.062	0.113
MA0108.1	TBP	45574.6	54112.5	63035.8	-3.35	-1.19	-0.09	489	222	267	-0.086	-0.114
MA0498.2	MEIS1	12241.9	16065.0	18762.6	-1.29	0.08	0.86	255	130	125	0.018	-0.037
MA1100.2	ASCL1	27491.2	34236.0	38868.9	-1.33	0.12	0.78	373	187	186	0.006	0.026
MA0812.1	TFAP2B(var.2)	34278.7	43133.5	47874.6	-1.12	0.0	1.09	415	214	201	0.025	-0.017
MA0853.1	Alx4	41800.0	49843.0	58094.0	-6.52	-3.42	-1.27	494	215	279	-0.167	-0.236
MA0033.2	FOXL1	9235.1	12011.0	14594.7	-0.42	0.39	1.86	226	121	105	0.082	0.043
MA0805.1	TBX1	20856.0	26006.5	30684.4	-1.51	-0.24	0.55	328	163	165	-0.01	-0.117
MA0075.1	Prrx2	4775.4	6526.0	8072.2	-1.64	-0.29	0.5	166	81	85	-0.023	-0.135
MA0912.1	Hoxd3	64754.4	75238.0	84965.8	-0.38	0.37	1.76	559	287	272	0.054	0.033
MA1519.1	LHX5	14758.4	18842.5	22129.8	-0.87	0.17	1.15	278	151	127	0.071	-0.123
MA0694.1	ZBTB7B	64538.8	75378.0	84887.3	-1.94	-0.39	0.38	560	270	290	-0.031	-0.059
MA0491.1	JUND	26996.3	33493.5	38438.9	-0.62	0.2	1.45	371	186	185	0.069	0.105
MA0148.2	FOXA1	27835.4	34278.5	39896.5	-1.43	-0.23	0.48	376	181	195	-0.11	-0.039
MA0475.2	FLI1	41683.0	49850.5	59029.6	3.31	6.31	10.1	517	303	214	0.265	0.502
MA0100.2	Myb	23609.2	29892.5	34059.5	-0.95	-0.02	1.02	346	172	174	-0.013	0.03
MA0670.1	NFIA	22726.1	27990.5	33521.3	-3.05	-1.04	-0.03	353	158	195	-0.069	-0.101
MA1635.1	BHLHE22(var.2)	20643.1	25547.0	30293.6	0.0	0.7	2.25	333	181	152	0.057	0.145
MA1573.1	THAP11	67109.7	78250.5	89777.2	-3.35	-1.16	0.13	585	276	309	-0.048	-0.152
MA0765.1	ETV5	44940.8	53276.0	62460.7	2.38	5.23	9.13	525	298	227	0.221	0.397
MA0877.2	BARHL1	18569.6	23279.0	27805.1	-2.09	-0.49	0.67	315	156	159	-0.032	-0.073
MA0141.2	Esrrb	36813.8	44023.0	50989.6	-1.78	-0.38	0.36	429	202	227	-0.042	-0.055
MA0104.1	Mycn	14831.0	18726.0	22570.1	-0.18	0.56	2.24	284	153	131	0.082	0.134
MA1587.1	ZNF135	55692.5	66674.0	73190.7	-0.85	-0.03	1.15	517	255	262	-0.039	0.019
MA0512.1	Rxra	30637.6	37233.5	44183.3	-0.27	1.0	2.94	405	213	192	0.07	0.147
MA0119.1	NFIC::TLX1	32981.0	40042.0	46588.0	-0.35	0.63	2.47	414	214	200	0.083	0.13
MA0904.1	Hoxb5	61903.8	72946.5	81838.0	-1.74	-0.31	0.54	549	268	281	-0.039	-0.023
MA0597.1	THAP1	26361.7	31999.0	38631.7	-3.38	-1.22	0.75	379	184	195	-0.037	-0.126
MA0471.1	E2F6	32348.4	39543.0	44742.1	-0.8	0.09	1.18	400	204	196	0.052	-0.01
MA0844.1	XBP1	79777.0	94350.5	102731.8	-0.9	-0.03	0.97	615	307	308	-0.014	0.038
MA1466.1	ATF6	54633.5	64649.5	73211.0	-0.45	0.34	1.69	518	265	253	0.017	0.096
MA0895.1	HMBOX1	28505.4	34628.5	40176.0	-0.58	0.28	1.56	379	191	188	0.036	0.06
MA0679.1	ONECUT1	25619.8	31441.5	37490.5	-2.76	-1.0	0.09	373	172	201	-0.119	-0.153
MA0051.1	IRF2	41433.9	48841.0	58169.0	-0.18	2.86	5.8	484	260	224	0.225	0.356
MA0059.1	MAX::MYC	43544.5	52040.5	59224.7	-0.6	0.25	1.65	463	232	231	0.018	0.072
MA0162.2	EGR1	60012.3	70339.5	81140.2	-0.33	1.72	4.05	563	298	265	0.113	0.186
MA0761.1	ETV1	42170.4	50222.5	58926.3	3.12	6.21	10.44	518	299	219	0.265	0.46
MA0796.1	TGIF1	24089.4	29883.0	34480.4	-1.44	-0.18	0.69	350	173	177	-0.002	-0.11
MA0090.1	TEAD1	35141.0	43585.5	48905.0	-1.08	0.03	0.93	418	213	205	0.037	-0.031
MA0037.3	GATA3	19458.3	25305.5	28491.2	-0.96	0.01	1.06	318	164	154	0.09	-0.025
MA0145.3	TFCP2	31869.4	38069.5	45502.4	1.28	3.43	6.3	435	248	187	0.211	0.335
MA0781.1	PAX9	49057.8	57434.5	66643.6	-0.16	1.16	3.39	503	265	238	0.084	0.188
MA0036.2	GATA2	38280.3	45609.5	53330.5	-2.92	-1.06	0.06	448	207	241	-0.135	-0.109
MA0803.1	TBX15	22311.0	27436.5	31856.6	-1.75	-0.3	0.49	338	168	170	-0.016	-0.157
MA0818.1	BHLHE22	36564.6	45003.0	50801.9	-1.21	-0.1	0.8	427	209	218	-0.051	-0.006
MA0048.2	NHLH1	31923.5	39856.0	44616.6	-1.1	-0.01	1.0	399	197	202	-0.008	-0.002
MA0904.2	HOXB5	19405.0	24324.5	28557.5	-0.63	0.18	1.5	316	165	151	0.078	-0.006
MA0481.1	FOXP1	40154.9	48500.5	55314.4	-1.5	-0.21	0.6	446	213	233	-0.06	-0.027
MA0750.2	ZBTB7A	53110.7	62646.5	72976.0	2.38	5.33	9.05	567	324	243	0.201	0.41
MA0846.1	FOXC2	28605.9	34842.0	40707.6	-1.63	-0.28	0.52	380	185	195	-0.052	-0.051
MA0679.2	ONECUT1	31778.4	38627.0	46092.8	-4.52	-2.25	-0.57	427	184	243	-0.254	-0.167
MA1130.1	FOSL2::JUN	37360.1	44441.0	51436.4	-0.45	0.71	2.41	437	225	212	0.049	0.148
MA0068.2	PAX4	15053.5	18913.5	22957.8	-1.78	0.41	0.98	283	146	137	0.044	-0.118
MA0881.1	Dlx4	17809.0	22236.5	26471.2	0.03	0.5	2.04	308	171	137	0.064	-0.053
MA0075.3	PRRX2	12496.4	16131.5	19214.4	-1.53	-0.25	0.59	259	124	135	-0.021	-0.134
MA0747.1	SP8	57568.5	67230.5	76700.8	-0.13	0.67	2.31	535	284	251	0.202	0.085
MA0620.1	Mitf	31265.3	37596.5	43825.6	-0.31	0.73	2.55	403	211	192	0.071	0.092
MA0032.1	FOXC1	19668.0	24547.5	29007.0	-0.41	0.36	1.92	321	169	152	0.077	0.024
MA0511.2	RUNX2	25453.8	31141.5	37502.7	1.96	4.49	7.91	404	243	161	0.394	0.358
MA0761.2	ETV1	53848.6	62803.0	73289.0	1.09	3.19	5.87	549	300	249	0.05	0.313
MA0800.1	EOMES	52630.6	61847.5	71426.3	-2.53	-0.82	-0.01	516	239	277	-0.097	-0.09
MA1633.1	BACH1	40363.8	47902.0	56546.9	0.54	2.12	4.74	472	258	214	0.115	0.276
MA0102.4	CEBPA	46544.5	56122.0	62517.3	-1.15	-0.05	0.84	475	232	243	-0.077	0.016
MA0707.1	MNX1	22726.9	27744.5	33014.4	-2.96	-1.01	0.51	351	168	183	-0.027	-0.161
MA0032.2	FOXC1	23253.6	28920.5	33468.4	-1.77	-0.35	0.66	348	172	176	-0.045	-0.066
MA0811.1	TFAP2B	34519.8	41765.0	49967.4	0.55	2.22	4.91	443	247	196	0.124	0.191
MA0029.1	Mecom	28553.6	35503.0	40162.4	-1.21	-0.09	0.83	379	184	195	-0.12	-0.001
MA0003.3	TFAP2A	36143.2	43626.5	50248.0	-0.49	0.33	1.66	426	216	210	0.053	0.034
MA0508.1	PRDM1	46481.2	54814.5	63835.0	0.67	2.34	5.18	506	280	226	0.128	0.231
MA0065.1	PPARG::RXRA	60001.4	70588.0	80618.9	-0.42	0.43	1.9	543	278	265	0.113	0.081
MA0500.1	Myog	26051.8	32122.5	37025.0	-0.65	0.19	1.44	363	187	176	0.041	0.045
MA0808.1	TEAD3	23284.2	28159.0	33033.2	-2.07	-0.5	0.4	346	165	181	-0.092	-0.115
MA0519.1	Stat5a::Stat5b	25680.0	31309.5	37346.5	-4.49	-1.93	-0.36	383	170	213	-0.363	-0.193
MA1532.1	NR1D2	82887.6	96505.5	107694.5	-0.57	0.28	1.71	630	320	310	0.036	0.033
MA1597.1	ZNF528	69956.0	80591.0	90828.2	-2.06	-0.48	0.39	581	283	298	-0.045	-0.085
MA0754.1	CUX1	23739.7	28998.5	33885.4	-1.87	-0.38	0.44	349	170	179	-0.033	-0.094
MA1572.1	TGIF2LY	46303.1	55494.0	62031.6	-1.24	-0.1	0.85	474	237	237	-0.0	-0.01
