Merged motif (Total sequences: 2550)	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MAX$MA0058.1|USF1$MA0093.2|ARNT2$MA1464.1|MYCN$MA0104.4|HEY2$MA0649.1|USF2$MA0526.1|HES1$MA1099.2|TFEC$MA0871.1|Mycn$MA0104.2|TFE3$MA0831.1|TFE3$MA0831.2|Tcfl5$MA0632.1|Arntl$MA0603.1|HEY1$MA0823.1|Mitf$MA0620.1|USF1$MA0093.1|Arnt$MA0004.1|BHLHE40$MA0464.2|Mlxip$MA0622.1|Myc$MA0147.2|TFEB$MA0692.1|Mycn$MA0104.1|MITF$MA0620.2|Myc$MA0147.1|SREBF1(var.2)$MA0829.2|TFEC$MA0871.2|SREBF2(var.2)$MA0828.1|Bhlhe40$MA0464.1|Srebf1(var.2)$MA0829.1|BHLHE41$MA0636.1|MITF$MA0620.3|Hes1$MA1099.1|MLXIPL$MA0664.1|MXI1$MA1108.2|MYC$MA0147.3|USF2$MA0526.2|USF1$MA0093.3|MXI1$MA1108.1|USF2$MA0526.3|HES2$MA0616.2|MAX$MA0058.3|MAX::MYC$MA0059.1|HES6$MA1493.1|MNT$MA0825.1|ARNT::HIF1A$MA0259.1|MLX$MA0663.1|MAX$MA0058.2|HES7$MA0822.1|Npas2$MA0626.1|HIF1A$MA1106.1|HES5$MA0821.1|Mycn$MA0104.3|CLOCK$MA0819.1|SOHLH2$MA1560.1	40208.48	48060.1	55200.77	-0.33	0.54	2.12	430	246	184	0.365	0.245
RARA(var.2)$MA0730.1|Rarb(var.2)$MA0858.1	41995.85	50263.0	57325.65	-0.8	-0.38	1.7	503	251	252	-0.017	0.109
KLF10$MA1511.1|KLF9$MA1107.1|KLF4$MA0039.3|KLF4$MA0039.4|KLF11$MA1512.1|KLF9$MA1107.2|SP3$MA0746.1|Klf4$MA0039.2|SP9$MA1564.1|SP1$MA0079.4|KLF6$MA1517.1|KLF16$MA0741.1|KLF3$MA1516.1|KLF5$MA0599.1|Klf1$MA0493.1|KLF2$MA1515.1|SP3$MA0746.2|SP8$MA0747.1|SP4$MA0685.1|KLF14$MA0740.1|Klf12$MA0742.1	46556.43	55067.26	63648.58	0.04	1.16	3.21	466	268	198	0.336	0.239
GATA2$MA0036.2|GATA3$MA0037.2|Gata1$MA0035.3|Gata1$MA0035.2|Gata4$MA0482.1|GATA5$MA0766.1|GATA5$MA0766.2|GATA4$MA0482.2|GATA6$MA1104.1|GATA2$MA0036.3|GATA6$MA1104.2|GATA3$MA0037.3	29624.24	36129.42	41332.67	-1.66	-0.32	0.61	448	207	241	-0.135	-0.109
JUN::JUNB$MA1132.1|FOS::JUN$MA0099.2|JUN::FOS$MA0099.1|BATF3$MA0835.2|NFE2$MA0841.1|JDP2$MA0655.1|FOS::JUN$MA0099.3|BATF$MA1634.1|FOSL2::JUN$MA1130.1|BATF::JUN$MA0462.2|FOSL2::JUND$MA1144.1|FOSL1::JUN$MA1128.1|FOSL1::JUNB$MA1137.1|FOSL1::JUND$MA1142.1|BATF::JUN$MA0462.1|JUNB$MA0490.2|FOS::JUND$MA1141.1|FOSB::JUNB$MA1135.1|JUN(var.2)$MA0489.1|JUNB$MA0490.1|FOS$MA0476.1|JUND$MA0491.2|FOSL1$MA0477.1|FOS::JUNB$MA1134.1|JUND$MA0491.1|FOSL1$MA0477.2|FOSL2::JUNB$MA1138.1|FOSL2$MA0478.1|BACH2$MA1101.2|Smad2::Smad3$MA1622.1	34132.1	41209.1	47483.1	-0.37	0.57	2.26	406	223	183	0.203	0.248
CEBPD$MA0836.1|CEBPB$MA0466.2|CEBPG$MA0838.1|CEBPE$MA0837.1|CEBPA$MA0102.2|Cebpa$MA0102.1|CEBPB$MA0466.1|CEBPG(var.2)$MA1636.1|ATF4$MA0833.1|CEBPA$MA0102.3|CEBPA$MA0102.4|CEBPD$MA0836.2|ATF4$MA0833.2	38799.53	46614.46	53302.15	-0.52	0.84	2.45	374	211	163	0.172	0.309
TBP$MA0108.1|TBP$MA0108.2	45834.5	54761.5	63668.5	-3.28	-1.17	-0.09	489	222	267	-0.086	-0.114
MEIS2$MA0774.1|MEIS3$MA0775.1|MEIS1$MA0498.2	14683.0	18764.0	22157.87	-1.72	-0.29	0.59	284	133	151	-0.098	-0.165
HAND2$MA1638.1|Tcf3$MA0522.1|TWIST1$MA1123.2|TWIST1$MA1123.1|Neurog1$MA0623.1|TCF4$MA0830.2|ZEB1$MA0103.3|Ptf1a(var.3)$MA1620.1|MYOG$MA0500.2|TFAP4(var.2)$MA1570.1|FIGLA$MA0820.1|BHLHE22(var.2)$MA1635.1|Ptf1a$MA1618.1|ASCL1(var.2)$MA1631.1|TCF21(var.2)$MA1568.1|Ptf1a(var.2)$MA1619.1|NEUROG2(var.2)$MA1642.1|NEUROD1$MA1109.1|TCF12(var.2)$MA1648.1|TCF3$MA0522.3|TCF4$MA0830.1|NEUROD2$MA0668.1|Bhlha15$MA0607.1|ASCL1$MA1100.1|Ascl2$MA0816.1|TCF3$MA0522.2|TAL1::TCF3$MA0091.1|Atoh1$MA0461.2|SNAI3$MA1559.1|Rbpjl$MA1621.1|ZBTB18$MA0698.1|ZEB1$MA0103.1|TFAP4$MA0691.1|ZEB1$MA0103.2|MYF6$MA0667.1|Tcf21$MA0832.1|SNAI2$MA0745.2|SNAI1$MA1558.1|MYF5$MA1641.1|BHLHA15(var.2)$MA1472.1|OLIG1$MA0826.1|Tcf12$MA0521.1|MYOD1$MA0499.2|Myog$MA0500.1|NHLH1$MA0048.1|NEUROG2$MA0669.1|OLIG3$MA0827.1|Myod1$MA0499.1|ASCL1$MA1100.2|ATOH1(var.2)$MA1467.1|BHLHE22$MA0818.1|BHLHE23$MA0817.1|ATOH7$MA1468.1|NEUROG1$MA0623.2|OLIG2$MA0678.1|SNAI2$MA0745.1|MSC$MA0665.1|Twist2$MA0633.1|NHLH1$MA0048.2	35925.17	43322.2	49840.27	-0.61	0.38	1.81	418	230	188	0.058	0.209
TFAP2E$MA1569.1|TFAP2A$MA0003.3|TFAP2A$MA0003.4|TFAP2C(var.2)$MA0814.2|TFAP2C(var.2)$MA0814.1|TFAP2B(var.2)$MA0812.1	39166.62	47304.58	53799.45	-0.62	0.3	1.73	395	214	181	0.108	0.138
