id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	2848.0	4143.5	5110.6	-0.75	0.1	1.32	130	66	64	0.019	0.071
MA0730.1	RARA(var.2)	4892.5	6715.0	8071.6	-1.47	-0.2	0.68	167	79	88	-0.082	-0.05
MA0742.1	Klf12	6052.9	8034.5	10009.9	-0.17	0.77	2.46	190	104	86	0.072	0.142
MA0482.2	GATA4	4107.4	5803.0	7053.4	-1.34	-0.12	0.75	154	73	81	-0.024	-0.054
MA0099.1	JUN::FOS	1906.3	2765.5	3663.1	-0.46	0.32	1.62	109	59	50	0.446	0.087
MA0102.1	Cebpa	3809.8	5278.5	6545.7	-0.72	0.18	1.25	148	75	73	0.023	0.114
MA0108.1	TBP	3518.1	4965.0	6350.9	-2.7	-0.82	0.45	151	71	80	-0.016	-0.228
MA0498.2	MEIS1	1071.9	1802.0	2323.3	-1.15	-0.04	0.8	85	40	45	-0.05	0.019
MA1100.2	ASCL1	2254.9	3427.0	4312.2	-0.7	-0.15	1.26	119	58	61	-0.059	0.095
MA0812.1	TFAP2B(var.2)	2882.0	4090.5	5324.5	-2.59	-0.76	0.24	137	62	75	-0.171	-0.165
MA0853.1	Alx4	3629.5	4967.0	6268.0	-0.08	0.62	2.3	149	84	65	0.085	0.064
MA0033.2	FOXL1	1274.8	1984.0	2719.2	-0.61	0.26	1.49	92	49	43	0.04	0.103
MA0805.1	TBX1	2379.9	3425.0	4430.4	-1.53	-0.23	0.64	120	57	63	-0.093	-0.101
MA0075.1	Prrx2	469.4	871.5	1163.1	-1.04	-0.04	0.99	59	29	30	-0.056	-0.017
MA0912.1	Hoxd3	4124.0	5932.5	7019.4	-0.99	0.02	1.02	154	79	75	0.06	-0.005
MA1519.1	LHX5	1158.4	1843.5	2455.2	-1.63	-0.29	0.51	89	43	46	-0.065	-0.141
MA0694.1	ZBTB7B	4530.8	6108.0	7980.3	-4.2	-1.75	-0.37	175	71	104	-0.329	-0.324
MA0491.1	JUND	2463.0	3519.5	4570.5	-2.0	-0.52	0.36	125	57	68	-0.189	-0.116
MA0148.2	FOXA1	3326.8	4746.0	5834.2	-0.74	0.1	1.05	139	73	66	0.111	0.032
MA0475.2	FLI1	2915.9	4120.5	5449.1	0.87	2.58	5.24	151	94	57	0.323	0.48
MA0100.2	Myb	2601.4	3776.0	4693.6	-0.59	0.23	1.52	126	64	62	0.028	0.152
MA0670.1	NFIA	2417.9	3532.0	4540.1	-0.54	0.24	1.53	122	64	58	0.082	0.022
MA1635.1	BHLHE22(var.2)	2173.2	3235.5	4083.6	-0.77	-0.11	1.26	115	56	59	-0.0	-0.044
MA1573.1	THAP11	6761.8	8973.5	10678.8	-0.68	0.21	1.44	193	100	93	0.044	0.119
MA0765.1	ETV5	2585.7	3675.0	4865.8	1.47	3.54	6.52	149	93	56	0.416	0.556
MA0877.2	BARHL1	1908.9	2947.0	3749.1	-0.68	0.12	1.4	110	56	54	0.064	0.002
MA0141.2	Esrrb	2651.8	3857.0	4715.5	-1.31	0.07	0.89	125	65	60	0.034	-0.078
MA0104.1	Mycn	823.0	1381.0	1793.6	-1.06	-0.01	1.01	74	34	40	-0.07	0.048
MA1587.1	ZNF135	5566.4	7533.0	9505.2	-0.39	0.5	2.12	181	95	86	0.03	0.161
MA0512.1	Rxra	3085.2	4416.0	5643.3	-1.85	-0.38	0.41	138	64	74	-0.077	-0.111
MA0119.1	NFIC::TLX1	3837.9	5481.0	6744.1	-0.67	0.13	1.19	150	79	71	0.127	0.033
MA0904.1	Hoxb5	3496.0	5085.5	6208.7	-0.72	0.1	1.28	144	78	66	0.089	-0.002
MA0597.1	THAP1	2660.0	3944.5	4861.1	-1.45	-0.18	0.63	128	59	69	-0.067	-0.032
MA0471.1	E2F6	3384.9	4680.5	5994.0	-0.38	0.46	2.07	143	77	66	0.147	0.092
MA0844.1	XBP1	6609.8	8655.0	10623.0	-0.36	0.44	1.88	193	105	88	0.078	0.092
MA1466.1	ATF6	5157.2	6947.0	8812.8	-0.18	0.58	2.26	175	96	79	0.129	0.212
MA0895.1	HMBOX1	2379.8	3443.0	4492.1	-0.1	0.65	2.43	125	70	55	0.102	0.183
MA0679.1	ONECUT1	1402.9	2139.5	2802.1	-1.44	-0.22	0.66	95	45	50	-0.019	-0.068
MA0051.1	IRF2	2715.9	3863.0	5121.0	-2.82	-0.84	0.26	134	61	73	-0.436	-0.341
MA0059.1	MAX::MYC	2518.5	3741.0	4739.4	-1.38	-0.13	0.61	124	56	68	-0.309	-0.039
MA0162.2	EGR1	5027.1	6715.5	8644.3	-0.04	1.05	2.98	177	98	79	0.247	0.217
MA0761.1	ETV1	2820.0	4032.0	5436.7	0.89	2.65	5.46	150	94	56	0.481	0.513
MA0796.1	TGIF1	855.8	1352.5	2033.5	0.08	1.12	2.91	83	50	33	0.039	0.443
MA0090.1	TEAD1	2661.5	3679.0	4902.6	-4.42	-2.05	-0.47	140	58	82	-0.381	-0.497
MA0037.3	GATA3	1309.9	1989.5	2841.1	-3.44	-1.33	-0.04	101	42	59	-0.301	-0.291
MA0145.3	TFCP2	3269.8	4770.5	5868.1	-1.22	0.07	0.9	139	70	69	0.0	-0.074
