Merged motif (Total sequences: 2452)	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MITF$MA0620.3|MITF$MA0620.2|TFEB$MA0692.1|MAX$MA0058.3|MLXIPL$MA0664.1|TFEC$MA0871.1|BHLHE41$MA0636.1|TFE3$MA0831.1|Arntl$MA0603.1|Bhlhe40$MA0464.1|Npas2$MA0626.1|Myc$MA0147.1|TFE3$MA0831.2|ARNT2$MA1464.1|BHLHE40$MA0464.2|ARNT::HIF1A$MA0259.1|MAX::MYC$MA0059.1|USF1$MA0093.2|Mycn$MA0104.3|TFEC$MA0871.2|MNT$MA0825.1|HEY1$MA0823.1|USF2$MA0526.1|MYC$MA0147.3|HES1$MA1099.2|USF2$MA0526.2|MLX$MA0663.1|USF1$MA0093.1|Arnt$MA0004.1|MXI1$MA1108.1|HES2$MA0616.2|Mycn$MA0104.2|Hes1$MA1099.1|MYCN$MA0104.4|HEY2$MA0649.1|SOHLH2$MA1560.1|Mlxip$MA0622.1|Srebf1(var.2)$MA0829.1|HES6$MA1493.1|USF2$MA0526.3|CLOCK$MA0819.1|MAX$MA0058.1|Mitf$MA0620.1|SREBF2(var.2)$MA0828.1|USF1$MA0093.3|HES7$MA0822.1|HIF1A$MA1106.1|Mycn$MA0104.1|HES5$MA0821.1|SREBF1(var.2)$MA0829.2|Creb3l2$MA0608.1|MXI1$MA1108.2|MAX$MA0058.2|Myc$MA0147.2	31768.44	38258.66	45031.93	-0.05	1.21	3.32	622	362	260	0.168	0.201
RARA(var.2)$MA0730.1|Rarb(var.2)$MA0858.1	34213.8	41053.0	47952.8	-0.65	0.74	2.51	455	233	222	0.036	0.188
KLF5$MA0599.1|KLF3$MA1516.1|Klf12$MA0742.1|SP1$MA0079.4|KLF4$MA0039.3|SP4$MA0685.1|KLF4$MA0039.4|Klf1$MA0493.1|KLF10$MA1511.1|SP3$MA0746.2|SP8$MA0747.1|KLF9$MA1107.2|KLF2$MA1515.1|KLF16$MA0741.1|Klf4$MA0039.2|SP9$MA1564.1|KLF14$MA0740.1|KLF9$MA1107.1|SP3$MA0746.1|KLF6$MA1517.1|KLF11$MA1512.1	42356.38	50839.38	57628.9	-1.06	0.04	1.15	346	189	157	0.086	0.227
GATA2$MA0036.2|Gata1$MA0035.2|Gata1$MA0035.3|GATA5$MA0766.2|GATA6$MA1104.2|Gata4$MA0482.1|GATA3$MA0037.2|GATA4$MA0482.2|GATA2$MA0036.3|GATA5$MA0766.1|GATA6$MA1104.1|GATA3$MA0037.3	31817.82	38673.92	44429.88	-1.62	-0.23	0.7	507	245	262	-0.065	-0.088
BATF::JUN$MA0462.1|FOS::JUN$MA0099.2|JUN::FOS$MA0099.1|FOSL1::JUND$MA1142.1|JUN(var.2)$MA0489.1|BACH1$MA1633.1|BACH2$MA1101.1|BATF$MA1634.1|FOS$MA0476.1|BATF::JUN$MA0462.2|NFE2L1$MA0089.2|JUND$MA0491.1|BATF3$MA0835.2|FOSL1$MA0477.2|JUNB$MA0490.2|JUND$MA0491.2|MAF::NFE2$MA0501.1|JDP2$MA0655.1|FOSL1$MA0477.1|NFE2L2$MA0150.1|JUN::JUNB$MA1132.1|Smad2::Smad3$MA1622.1|JUNB$MA0490.1|FOSL2::JUNB$MA1138.1|Bach1::Mafk$MA0591.1|FOS::JUN$MA0099.3|FOSB::JUNB$MA1135.1|FOSL2::JUN$MA1130.1|FOSL1::JUNB$MA1137.1|Nfe2l2$MA0150.2|FOSL2::JUND$MA1144.1|FOSL1::JUN$MA1128.1|FOS::JUNB$MA1134.1|FOS::JUND$MA1141.1|MAFK$MA0496.3|FOSL2$MA0478.1|NFE2$MA0841.1|BACH2$MA1101.2|MAFA$MA1521.1|MAF$MA1520.1|MAFK$MA0496.2|MAFF$MA0495.2|MAFG$MA0659.1	40974.75	48667.84	56560.56	0.4	2.55	5.33	402	237	165	0.364	0.527
CEBPB$MA0466.2|CEBPG$MA0838.1|CEBPE$MA0837.1|CEBPD$MA0836.1|CEBPA$MA0102.2|Cebpa$MA0102.1	21238.35	26362.25	31338.62	-0.48	0.79	2.57	345	188	157	0.145	0.176
TBP$MA0108.2|TBP$MA0108.1	49195.0	58094.25	67662.15	-3.9	-1.58	-0.26	512	228	284	-0.117	-0.109
MEIS2$MA0774.1|MEIS3$MA0775.1|MEIS1$MA0498.2	15497.3	19497.5	23835.87	-0.04	0.91	2.81	310	171	139	0.106	0.175
NHLH1$MA0048.1|NHLH1$MA0048.2|TAL1::TCF3$MA0091.1|MYF6$MA0667.1|BHLHA15(var.2)$MA1472.1|Ascl2$MA0816.1|ASCL1$MA1100.1|ATOH1(var.2)$MA1467.1|NEUROD2$MA0668.1|SNAI1$MA1558.1|MYOG$MA0500.2|SNAI2$MA0745.1|NEUROD1$MA1109.1|TCF21(var.2)$MA1568.1|HAND2$MA1638.1|Tcf12$MA0521.1|TCF3$MA0522.2|Myod1$MA0499.1|Tcf21$MA0832.1|MYOD1$MA0499.2|Myog$MA0500.1|Ptf1a(var.2)$MA1619.1|FIGLA$MA0820.1|ASCL1$MA1100.2|MSC$MA0665.1|ASCL1(var.2)$MA1631.1|BHLHE22$MA0818.1|MYF5$MA1641.1|OLIG1$MA0826.1|Twist2$MA0633.1|ZEB1$MA0103.3|Ptf1a$MA1618.1|TFAP4$MA0691.1|Atoh1$MA0461.2|Neurog1$MA0623.1|ZEB1$MA0103.2|BHLHE23$MA0817.1|ATOH7$MA1468.1|TFAP4(var.2)$MA1570.1|ZEB1$MA0103.1|BHLHE22(var.2)$MA1635.1|TCF4$MA0830.1|ZBTB18$MA0698.1|Rbpjl$MA1621.1|TCF4$MA0830.2|NEUROG2$MA0669.1|Ptf1a(var.3)$MA1620.1|TCF12(var.2)$MA1648.1|OLIG3$MA0827.1|SNAI3$MA1559.1|TWIST1$MA1123.2|TWIST1$MA1123.1|NEUROG2(var.2)$MA1642.1|SNAI2$MA0745.2|Bhlha15$MA0607.1|Tcf3$MA0522.1|TCF3$MA0522.3|NEUROG1$MA0623.2|OLIG2$MA0678.1	29567.28	36170.53	41617.49	-0.67	0.3	1.72	393	220	173	0.204	0.211
TFAP2A$MA0003.3|TFAP2C(var.2)$MA0814.1|TFAP2B(var.2)$MA0812.1|TFAP2A$MA0003.4|TFAP2C(var.2)$MA0814.2|TFAP2E$MA1569.1	29912.65	36792.17	42204.63	-1.56	-0.26	0.63	372	182	190	-0.05	-0.11
