id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	7507.0	9873.0	12089.4	-0.65	-0.25	1.53	203	101	102	-0.045	0.142
MA0730.1	RARA(var.2)	11177.3	13934.0	17081.9	-0.37	0.9	2.7	250	131	119	0.051	0.221
MA0742.1	Klf12	13732.4	17510.0	21281.1	-2.98	-0.87	0.1	279	127	152	-0.075	-0.142
MA0482.2	GATA4	8922.2	11523.0	13700.3	-1.31	0.18	0.66	218	109	109	0.003	-0.071
MA0099.1	JUN::FOS	3284.8	4603.0	6029.5	-0.18	0.97	2.92	147	81	66	0.139	0.292
MA0102.1	Cebpa	5329.2	7243.0	9281.7	-2.38	-0.7	0.41	180	85	95	-0.097	-0.171
MA0108.1	TBP	10640.1	13415.0	16568.2	-3.41	-1.33	-0.18	250	106	144	-0.16	-0.112
MA0498.2	MEIS1	3164.2	4402.0	5689.5	-0.24	0.48	1.93	139	77	62	0.101	0.141
MA1100.2	ASCL1	4779.5	6486.5	8328.0	0.12	1.15	3.1	175	101	74	0.163	0.252
MA0812.1	TFAP2B(var.2)	6746.5	9256.5	10962.3	-0.92	0.05	1.03	193	97	96	0.012	0.007
MA0853.1	Alx4	12172.4	15353.5	18388.6	-1.91	-0.45	0.56	256	126	130	-0.04	-0.071
MA0033.2	FOXL1	2219.6	3368.0	4347.3	-0.62	0.15	1.37	118	65	53	0.128	0.018
MA0805.1	TBX1	4440.4	6153.5	7904.3	0.04	1.19	3.26	171	96	75	0.232	0.307
MA0075.1	Prrx2	632.5	1155.0	1536.8	-1.16	-0.04	0.94	68	32	36	-0.023	0.008
MA0912.1	Hoxd3	11581.8	14634.5	17889.2	-3.27	-1.26	-0.14	260	114	146	-0.183	-0.146
MA1519.1	LHX5	2485.7	3640.0	4810.6	-2.71	-0.93	0.46	131	61	70	-0.11	-0.269
MA0694.1	ZBTB7B	11388.9	14462.5	17266.1	-0.49	0.48	2.1	249	127	122	0.028	0.104
MA0491.1	JUND	5286.5	6997.5	9114.8	-0.59	1.94	4.59	188	102	86	0.201	0.445
MA0148.2	FOXA1	7260.6	9692.0	11808.9	-0.66	0.18	1.48	200	101	99	0.017	0.118
MA0475.2	FLI1	7707.4	10273.5	12944.0	7.64	11.78	16.56	282	191	91	0.776	0.96
MA0100.2	Myb	4887.9	6663.5	8629.4	0.0	1.01	3.05	176	99	77	0.16	0.235
MA0670.1	NFIA	3821.6	5286.5	6809.7	-2.68	-0.86	0.24	156	71	85	-0.041	-0.333
MA1635.1	BHLHE22(var.2)	4123.9	5717.0	7270.1	-0.18	0.96	2.84	163	89	74	0.059	0.26
MA1573.1	THAP11	15236.0	19567.0	22459.8	-0.85	0.07	1.19	281	146	135	0.035	0.01
MA0765.1	ETV5	8241.3	10632.0	13442.4	8.5	12.82	17.47	291	203	88	0.637	0.789
MA0877.2	BARHL1	5471.2	7327.5	8781.0	-1.15	0.12	0.77	173	87	86	0.01	-0.013
MA0141.2	Esrrb	9338.8	12132.0	14868.5	-0.45	0.32	1.71	226	119	107	0.035	0.117
MA0104.1	Mycn	3079.2	4555.0	5719.4	-0.77	-0.15	1.42	137	68	69	-0.045	0.102
MA1587.1	ZNF135	6744.7	8852.5	11177.6	0.47	1.94	4.33	210	123	87	0.167	0.287
MA0512.1	Rxra	5068.0	6821.5	8772.2	0.05	1.46	3.57	182	102	80	0.104	0.279
MA0119.1	NFIC::TLX1	5231.1	7242.5	8662.3	-1.28	0.06	0.93	171	86	85	0.008	-0.015
MA0904.1	Hoxb5	12568.6	15950.0	19559.8	-3.16	-1.08	-0.06	269	119	150	-0.122	-0.158
MA0597.1	THAP1	4374.2	6047.0	7894.1	-5.88	-2.71	-0.88	181	67	114	-0.246	-0.214
MA0471.1	E2F6	8356.7	11256.0	13229.4	-0.78	-0.1	1.25	214	107	107	-0.002	0.018
MA0844.1	XBP1	14420.9	18177.5	22545.9	0.39	2.0	4.67	296	167	129	0.205	0.301
MA1466.1	ATF6	8494.8	10980.5	13906.1	0.1	1.42	3.58	228	128	100	0.278	0.304
MA0895.1	HMBOX1	5139.6	7035.0	9001.7	-0.46	1.16	3.15	182	97	85	0.095	0.206
