Merged motif (Total sequences: 1221)	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
HES2$MA0616.2|TFEB$MA0692.1|Bhlhe40$MA0464.1|MNT$MA0825.1|MITF$MA0620.3|HES1$MA1099.2|HEY1$MA0823.1|MAX$MA0058.3|Myc$MA0147.1|ARNT::HIF1A$MA0259.1|HEY2$MA0649.1|MXI1$MA1108.1|HES5$MA0821.1|SOHLH2$MA1560.1|MYC$MA0147.3|MAX::MYC$MA0059.1|Npas2$MA0626.1|Arntl$MA0603.1|HIF1A$MA1106.1|Mycn$MA0104.3|HES7$MA0822.1|BHLHE41$MA0636.1|ARNT2$MA1464.1|Hes1$MA1099.1|Mycn$MA0104.2|Arnt$MA0004.1|MYCN$MA0104.4|MITF$MA0620.2|Mlxip$MA0622.1|USF2$MA0526.2|TFEC$MA0871.2|BHLHE40$MA0464.2|MLXIPL$MA0664.1|USF1$MA0093.2|MLX$MA0663.1|USF1$MA0093.1|TFEC$MA0871.1|TFE3$MA0831.1|TFE3$MA0831.2|USF2$MA0526.1|MAX$MA0058.2|CLOCK$MA0819.1|MXI1$MA1108.2|MAX$MA0058.1|Srebf1(var.2)$MA0829.1|Mycn$MA0104.1|SREBF1(var.2)$MA0829.2|Myc$MA0147.2|Mitf$MA0620.1|USF2$MA0526.3|USF1$MA0093.3|SREBF2(var.2)$MA0828.1	8036.82	10480.38	12953.02	-0.25	0.86	2.71	187	108	79	0.309	0.341
RARA(var.2)$MA0730.1|Rarb(var.2)$MA0858.1	9759.35	12390.75	15173.55	-0.4	0.64	2.31	250	131	119	0.051	0.221
KLF10$MA1511.1|Klf12$MA0742.1|SP1$MA0079.4|Klf1$MA0493.1|KLF4$MA0039.3|KLF5$MA0599.1|KLF11$MA1512.1|KLF16$MA0741.1|SP4$MA0685.1|KLF14$MA0740.1|KLF3$MA1516.1|SP3$MA0746.1|Klf4$MA0039.2|SP3$MA0746.2|SP9$MA1564.1|KLF6$MA1517.1|KLF4$MA0039.4|KLF2$MA1515.1|SP8$MA0747.1|KLF9$MA1107.2|KLF9$MA1107.1	10040.08	12981.69	15497.32	-0.67	0.25	1.58	220	122	98	0.31	0.152
Gata1$MA0035.2|GATA5$MA0766.1|GATA2$MA0036.3|GATA6$MA1104.2|GATA6$MA1104.1|GATA3$MA0037.2|GATA2$MA0036.2|GATA3$MA0037.3|Gata4$MA0482.1|GATA4$MA0482.2|Gata1$MA0035.3|GATA5$MA0766.2	6256.23	8307.79	10354.72	-2.16	-0.54	0.45	185	89	96	-0.041	-0.213
BATF::JUN$MA0462.1|BACH2$MA1101.1|FOSL1::JUND$MA1142.1|Nfe2l2$MA0150.2|BATF$MA1634.1|FOSL1::JUNB$MA1137.1|BATF::JUN$MA0462.2|FOSB::JUNB$MA1135.1|JUN::JUNB$MA1132.1|FOSL2::JUNB$MA1138.1|BACH1$MA1633.1|JUN(var.2)$MA0489.1|BATF3$MA0835.2|JUND$MA0491.1|JUND$MA0491.2|JUNB$MA0490.2|FOSL1$MA0477.2|FOS::JUNB$MA1134.1|Smad2::Smad3$MA1622.1|FOSL2::JUN$MA1130.1|FOSL2::JUND$MA1144.1|FOS::JUN$MA0099.3|NFE2L2$MA0150.1|FOSL1::JUN$MA1128.1|NFE2L1$MA0089.2|FOS::JUND$MA1141.1|MAF::NFE2$MA0501.1|FOS$MA0476.1|JDP2$MA0655.1|MAF$MA1520.1|Bach1::Mafk$MA0591.1|FOSL1$MA0477.1|JUNB$MA0490.1|FOS::JUN$MA0099.2|JUN::FOS$MA0099.1|MAFK$MA0496.3|MAFA$MA1521.1|BACH2$MA1101.2|MAFF$MA0495.2|MAFG$MA0659.1|FOSL2$MA0478.1|MAFK$MA0496.2|NFE2$MA0841.1	9300.64	11893.94	14720.79	-0.01	1.54	3.79	203	117	86	0.451	0.498
CEBPA$MA0102.2|Cebpa$MA0102.1	4227.0	5769.75	7462.05	-2.54	-0.77	0.3	141	63	78	-0.079	-0.204
TBP$MA0108.2|TBP$MA0108.1	10432.25	13260.25	16312.25	-3.73	-1.48	-0.25	250	103	147	-0.146	-0.137
MEIS2$MA0774.1|MEIS3$MA0775.1|MEIS1$MA0498.2	3159.97	4435.33	5868.0	0.09	1.22	3.19	146	88	58	0.293	0.362
NHLH1$MA0048.2|NHLH1$MA0048.1|ASCL1$MA1100.1|Ascl2$MA0816.1|BHLHA15(var.2)$MA1472.1|MYF6$MA0667.1|Myog$MA0500.1|Myod1$MA0499.1|Tcf12$MA0521.1|ASCL1(var.2)$MA1631.1|ASCL1$MA1100.2|ATOH1(var.2)$MA1467.1|MYOG$MA0500.2|SNAI1$MA1558.1|BHLHE22(var.2)$MA1635.1|Ptf1a(var.2)$MA1619.1|MYOD1$MA0499.2|TCF3$MA0522.3|ZEB1$MA0103.3|MYF5$MA1641.1|MSC$MA0665.1|TCF4$MA0830.2|Tcf21$MA0832.1|SNAI2$MA0745.1|NEUROD1$MA1109.1|TCF12(var.2)$MA1648.1|TWIST1$MA1123.1|FIGLA$MA0820.1|HAND2$MA1638.1|TWIST1$MA1123.2|TCF4$MA0830.1|Tcf3$MA0522.1|Rbpjl$MA1621.1|ZBTB18$MA0698.1|TFAP4$MA0691.1|Ptf1a$MA1618.1|NEUROG2(var.2)$MA1642.1|Ptf1a(var.3)$MA1620.1|TCF3$MA0522.2|SNAI2$MA0745.2|SNAI3$MA1559.1	6515.99	8676.57	10764.3	-0.45	0.75	2.43	189	118	71	0.543	0.435
TFAP2E$MA1569.1|TFAP2A$MA0003.4|TFAP2A$MA0003.3|TFAP2C(var.2)$MA0814.2|TFAP2C(var.2)$MA0814.1|TFAP2B(var.2)$MA0812.1	7658.05	10267.33	12156.17	-0.71	0.15	1.41	160	92	68	0.24	0.074
