id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	0.0	40.0	76.0	-0.68	-0.15	1.2	13	6	7	-0.021	0.4
MA0730.1	RARA(var.2)	0.0	25.0	65.0	-0.0	1.33	2.92	15	11	4	0.792	0.709
MA0742.1	Klf12	0.0	24.0	52.0	-0.23	0.37	1.64	11	7	4	0.711	0.534
MA0482.2	GATA4	0.0	15.0	40.0	-0.23	0.69	1.79	10	6	4	1.448	0.903
MA0099.1	JUN::FOS	0.0	0.0	25.0	-0.0	-0.0	1.56	8	5	3	1.122	0.512
MA0102.1	Cebpa	0.0	29.5	64.5	-0.12	0.58	1.93	13	9	4	0.571	0.294
MA0108.1	TBP	12.0	46.5	103.0	-2.62	-1.05	0.38	18	7	11	-0.422	-0.416
MA0498.2	MEIS1	0.0	0.0	20.0	-0.24	0.0	0.0	6	2	4	-0.435	-0.136
MA1100.2	ASCL1	11.0	51.0	107.0	-2.51	-0.88	-0.02	18	5	13	-0.323	-0.323
MA0812.1	TFAP2B(var.2)	0.0	20.0	52.0	-3.19	-1.64	-0.02	15	3	12	-0.573	-0.693
MA0853.1	Alx4	17.0	66.0	106.0	-1.06	-0.04	0.96	16	8	8	-0.076	-0.077
MA0033.2	FOXL1	0.0	0.0	44.0	-0.77	-0.0	0.53	9	5	4	0.112	-0.271
MA0805.1	TBX1	24.0	79.0	144.0	-1.85	-0.28	0.42	19	7	12	-0.361	-0.244
MA0075.1	Prrx2	0.0	0.0	42.0	-0.86	-0.0	0.41	9	5	4	0.023	-0.216
MA0912.1	Hoxd3	7.9	60.0	93.0	-1.0	-0.0	1.08	15	8	7	0.104	0.055
MA1519.1	LHX5	0.0	0.0	35.0	-1.23	0.0	0.27	9	4	5	-0.664	-0.414
MA0694.1	ZBTB7B	18.0	61.0	112.0	-0.55	0.33	1.53	17	10	7	0.183	0.325
MA0491.1	JUND	0.0	0.0	43.0	-0.55	-0.0	0.82	9	5	4	0.405	0.172
