id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	3334.9	4761.0	6248.0	-0.5	1.28	3.44	152	82	70	0.134	0.346
MA0730.1	RARA(var.2)	6784.2	8889.5	11155.3	-0.62	0.72	2.42	199	102	97	0.038	0.251
MA0742.1	Klf12	7994.1	10418.5	12993.1	-3.09	-0.98	0.09	218	98	120	-0.117	-0.184
MA0482.2	GATA4	3897.3	5448.5	7142.7	-3.3	-1.15	0.32	161	73	88	-0.079	-0.266
MA0099.1	JUN::FOS	2223.9	3253.5	4342.4	0.13	1.43	3.7	128	74	54	0.213	0.392
MA0102.1	Cebpa	2958.7	4151.0	5527.8	-2.65	-0.88	0.25	139	63	76	-0.226	-0.21
MA0108.1	TBP	5495.5	7371.5	9544.1	-5.28	-2.39	-0.63	196	77	119	-0.216	-0.201
MA0498.2	MEIS1	1807.8	2753.5	3761.6	0.08	0.98	3.02	115	68	47	0.151	0.263
MA1100.2	ASCL1	2747.9	3936.5	5248.2	0.01	0.71	2.52	134	77	57	0.149	0.18
MA0812.1	TFAP2B(var.2)	3646.5	5297.5	6543.5	-0.79	0.11	1.29	147	75	72	0.025	0.023
MA0853.1	Alx4	7651.7	9989.0	12063.1	-1.31	0.18	0.66	203	102	101	0.005	-0.044
MA0033.2	FOXL1	1015.0	1652.0	2379.8	0.06	1.09	3.14	91	56	35	0.316	0.292
MA0805.1	TBX1	2070.4	3000.5	4093.6	0.21	1.68	3.9	125	72	53	0.27	0.459
MA0075.1	Prrx2	413.5	805.0	1144.0	-1.19	-0.06	0.89	57	26	31	-0.326	-0.02
MA0912.1	Hoxd3	7359.4	9473.5	11765.9	-1.97	-0.53	0.09	203	91	112	-0.156	-0.087
MA1519.1	LHX5	1641.3	2423.5	3422.1	-2.86	-1.08	0.66	109	51	58	-0.11	-0.336
MA0694.1	ZBTB7B	6242.5	8377.0	10393.0	-0.43	0.37	1.72	189	99	90	0.088	0.053
MA0491.1	JUND	2934.7	4167.0	5547.5	-1.09	2.45	5.18	151	82	69	0.168	0.629
MA0148.2	FOXA1	4592.7	6341.0	7609.3	-0.82	0.06	1.09	160	81	79	0.024	0.111
MA0475.2	FLI1	4529.0	6139.5	8086.1	5.48	9.09	13.09	217	147	70	0.775	0.948
MA0100.2	Myb	2773.2	3888.0	5137.4	-0.42	0.8	2.56	134	71	63	0.053	0.267
MA0670.1	NFIA	2193.9	3233.5	4407.1	-3.24	-1.21	0.8	126	60	66	-0.04	-0.534
MA1635.1	BHLHE22(var.2)	1982.4	2908.5	4077.3	0.12	1.23	3.52	120	71	49	0.145	0.275
MA1573.1	THAP11	9630.4	12419.5	14431.1	-1.25	0.12	0.71	225	115	110	0.013	-0.06
MA0765.1	ETV5	4512.9	6125.5	7928.4	7.98	12.07	16.39	231	166	65	0.651	0.831
MA0877.2	BARHL1	2631.6	3767.5	4831.1	-1.75	-0.32	0.55	127	61	66	-0.035	-0.077
MA0141.2	Esrrb	5898.0	8060.5	9636.2	-0.62	0.15	1.43	182	94	88	0.032	0.092
MA0104.1	Mycn	1305.0	2052.5	2848.4	-0.29	0.85	2.81	99	55	44	0.139	0.352
MA1587.1	ZNF135	4393.8	5960.5	7770.2	0.17	1.38	3.47	170	99	71	0.222	0.227
MA0512.1	Rxra	2838.4	4087.0	5409.6	0.4	1.9	4.35	146	85	61	0.112	0.373
MA0119.1	NFIC::TLX1	3384.2	4700.0	6049.2	-1.78	-0.44	0.58	143	70	73	-0.123	-0.196
MA0904.1	Hoxb5	7789.4	10206.0	12763.3	-2.41	-0.73	0.18	213	98	115	-0.1	-0.164
MA0597.1	THAP1	1839.9	2753.5	3830.2	-5.29	-2.62	-0.79	126	45	81	-0.27	-0.259
MA0471.1	E2F6	5160.8	7039.0	8761.1	-0.6	0.2	1.46	171	88	83	0.034	0.05
MA0844.1	XBP1	7303.8	9508.5	12059.0	1.75	3.88	7.1	231	144	87	0.405	0.483
MA1466.1	ATF6	4290.2	5888.0	7630.4	0.94	2.74	5.57	179	108	71	0.495	0.496
MA0895.1	HMBOX1	2511.6	3579.5	4835.2	-0.6	1.72	3.93	136	74	62	0.27	0.309
MA0679.1	ONECUT1	6172.4	8241.5	10281.7	-0.44	0.34	1.73	187	98	89	0.017	0.109
MA0051.1	IRF2	6423.0	8402.5	10757.5	2.1	4.64	7.72	223	138	85	0.649	0.752
MA0059.1	MAX::MYC	4117.4	5624.0	7443.4	0.48	1.98	4.43	170	101	69	0.488	0.399
MA0162.2	EGR1	5293.5	7125.5	9044.9	-0.19	1.04	3.08	182	99	83	0.176	0.214
MA0761.1	ETV1	3854.4	5414.0	7195.7	8.63	12.65	17.22	223	166	57	0.821	0.96
MA0796.1	TGIF1	2413.8	3523.0	4386.4	-1.14	-0.05	0.73	119	56	63	-0.007	-0.043
MA0090.1	TEAD1	5595.9	7583.5	9374.1	-2.08	-0.45	0.5	181	88	93	-0.068	-0.173
MA0037.3	GATA3	1802.9	2695.5	3689.0	-1.85	-0.44	0.31	109	50	59	-0.209	-0.232
MA0145.3	TFCP2	3568.4	4995.0	6525.2	0.46	1.86	4.5	160	94	66	0.311	0.3
MA0781.1	PAX9	4831.2	6435.0	8467.0	0.1	1.58	3.69	178	101	77	0.289	0.365
MA0036.2	GATA2	5005.0	6786.5	8667.8	-2.99	-0.96	0.31	177	82	95	-0.18	-0.246
MA0803.1	TBX15	2352.4	3440.5	4691.2	0.03	1.11	3.14	129	74	55	0.168	0.292
MA0818.1	BHLHE22	3358.0	4707.5	6013.9	-1.96	-0.43	0.35	143	67	76	-0.089	-0.102
MA0048.2	NHLH1	2377.0	3343.5	4518.5	0.93	2.86	5.83	139	89	50	0.578	0.464
MA0904.2	HOXB5	2065.4	2977.0	4093.8	-3.57	-1.46	-0.19	123	50	73	-0.224	-0.276
MA0481.1	FOXP1	6409.0	8455.5	10615.4	-0.21	0.61	2.35	193	105	88	0.159	0.158
MA0750.2	ZBTB7A	5725.4	7568.0	9921.1	6.57	10.63	15.16	244	167	77	0.689	0.808
MA0846.1	FOXC2	4381.0	6103.5	7523.4	-0.53	0.25	1.47	160	85	75	0.203	0.084
MA0679.2	ONECUT1	6971.9	9035.0	11392.8	-3.43	-1.35	-0.16	207	89	118	-0.307	-0.217
MA1130.1	FOSL2::JUN	5497.4	7306.5	9504.5	-0.33	1.95	4.59	192	106	86	0.179	0.4
MA0068.2	PAX4	2281.2	3383.5	4274.0	-0.72	-0.13	1.35	118	58	60	-0.018	0.064
MA0881.1	Dlx4	2156.6	3111.5	4283.7	-2.71	-0.87	0.22	121	54	67	-0.076	-0.159
MA0075.3	PRRX2	1757.9	2565.0	3529.0	-2.29	-0.72	0.21	109	49	60	-0.026	-0.22
MA0747.1	SP8	6408.9	8857.0	10529.1	-1.18	0.06	1.03	189	97	92	0.061	-0.032
MA0620.1	Mitf	4334.5	5942.5	7680.8	-0.34	0.75	2.54	164	88	76	0.048	0.164
MA0032.1	FOXC1	2192.5	3148.5	4186.8	-0.7	-0.39	1.79	117	58	59	-0.044	0.12
MA0511.2	RUNX2	2977.7	4285.5	5685.5	-0.04	1.21	3.31	144	82	62	0.176	0.321
MA0761.2	ETV1	7203.1	9261.0	11785.6	3.74	7.14	11.0	247	165	82	0.421	0.687
MA0800.1	EOMES	7167.6	9400.5	11692.4	-0.07	0.85	2.55	206	113	93	0.097	0.187
MA1633.1	BACH1	5407.6	7216.5	9024.7	0.56	2.24	4.96	193	121	72	0.136	0.343
MA0102.4	CEBPA	6805.4	8919.5	11008.3	-1.76	-0.38	0.47	195	95	100	-0.046	-0.111
MA0707.1	MNX1	2273.3	3229.0	4322.0	-4.03	-1.77	0.23	130	57	73	-0.106	-0.264
MA0032.2	FOXC1	3448.6	5040.5	6105.5	-1.07	0.03	0.98	142	73	69	0.036	-0.031
MA0811.1	TFAP2B	4865.8	6812.5	8060.0	-0.99	-0.02	1.03	165	82	83	-0.008	-0.006
