Merged motif (Total sequences: 953)	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MITF$MA0620.3|HES2$MA0616.2|HEY1$MA0823.1|HEY2$MA0649.1|HES1$MA1099.2|SOHLH2$MA1560.1|Myc$MA0147.1|ARNT::HIF1A$MA0259.1|MYC$MA0147.3|BHLHE41$MA0636.1|MNT$MA0825.1|Arnt$MA0004.1|HIF1A$MA1106.1|Npas2$MA0626.1|Mlxip$MA0622.1|USF2$MA0526.2|Hes1$MA1099.1|MAX::MYC$MA0059.1|MITF$MA0620.2|Mycn$MA0104.2|TFEB$MA0692.1|MAX$MA0058.3|ARNT2$MA1464.1|TFEC$MA0871.2|MXI1$MA1108.1|Arntl$MA0603.1|Mycn$MA0104.3|Bhlhe40$MA0464.1|HES5$MA0821.1|BHLHE40$MA0464.2|USF1$MA0093.2|MLX$MA0663.1|CLOCK$MA0819.1|USF1$MA0093.1|MYCN$MA0104.4|USF2$MA0526.1|TFE3$MA0831.2|MLXIPL$MA0664.1|TFE3$MA0831.1|Mycn$MA0104.1|Mitf$MA0620.1|HES7$MA0822.1|USF2$MA0526.3|TFEC$MA0871.1|MAX$MA0058.1|Srebf1(var.2)$MA0829.1|SREBF2(var.2)$MA0828.1|MAX$MA0058.2|USF1$MA0093.3|MXI1$MA1108.2|Myc$MA0147.2|SREBF1(var.2)$MA0829.2	4306.39	5876.73	7578.48	0.11	1.55	3.79	253	153	100	0.179	0.257
RARA(var.2)$MA0730.1|Rarb(var.2)$MA0858.1	5930.55	7852.5	9877.75	-0.51	0.6	2.19	199	102	97	0.038	0.251
Klf12$MA0742.1|KLF5$MA0599.1|Klf1$MA0493.1|KLF3$MA1516.1|KLF4$MA0039.3|SP4$MA0685.1|SP1$MA0079.4|SP9$MA1564.1|KLF14$MA0740.1|KLF10$MA1511.1|KLF13$MA0657.1|KLF2$MA1515.1|KLF6$MA1517.1|Klf4$MA0039.2|SP3$MA0746.1|KLF16$MA0741.1|KLF9$MA1107.1|SP8$MA0747.1|KLF9$MA1107.2|SP3$MA0746.2|KLF11$MA1512.1|KLF4$MA0039.4	5847.01	7881.89	9563.71	-1.06	0.07	1.19	218	98	120	-0.117	-0.184
Gata1$MA0035.2|GATA2$MA0036.3|GATA4$MA0482.2|GATA3$MA0037.2|GATA2$MA0036.2|GATA6$MA1104.1|GATA6$MA1104.2|Gata4$MA0482.1|GATA5$MA0766.1|GATA3$MA0037.3|Gata1$MA0035.3|GATA5$MA0766.2|GATA1$MA0035.4	3341.86	4679.62	6075.16	-2.53	-0.76	0.44	144	67	77	-0.119	-0.358
BATF::JUN$MA0462.1|FOSL1::JUND$MA1142.1|FOSB::JUNB$MA1135.1|FOSL2::JUNB$MA1138.1|JUN(var.2)$MA0489.1|JUND$MA0491.1|FOSL2::JUND$MA1144.1|BACH1$MA1633.1|JUN::JUNB$MA1132.1|FOSL1::JUNB$MA1137.1|FOS::JUN$MA0099.3|BACH2$MA1101.1|BATF$MA1634.1|Bach1::Mafk$MA0591.1|BATF::JUN$MA0462.2|FOS::JUNB$MA1134.1|JUND$MA0491.2|JUNB$MA0490.2|FOSL1$MA0477.2|FOSL2::JUN$MA1130.1|JDP2$MA0655.1|BATF3$MA0835.2|FOS::JUND$MA1141.1|FOS$MA0476.1|Smad2::Smad3$MA1622.1|FOSL1::JUN$MA1128.1|Nfe2l2$MA0150.2|FOSL1$MA0477.1|JUNB$MA0490.1|BACH2$MA1101.2|FOS::JUN$MA0099.2|JUN::FOS$MA0099.1|NFE2L1$MA0089.2|MAF::NFE2$MA0501.1|MAFK$MA0496.3|NFE2L2$MA0150.1|FOSL2$MA0478.1|NFE2$MA0841.1|MAFA$MA1521.1|MAF$MA1520.1|MAFF$MA0495.2|MAFK$MA0496.2|MAFG$MA0659.1	5751.08	7606.55	9579.9	-0.07	1.66	3.97	166	100	66	0.572	0.664
CEBPA$MA0102.2|Cebpa$MA0102.1|CEBPB$MA0466.2|CEBPE$MA0837.1|CEBPD$MA0836.1|CEBPG$MA0838.1	3170.43	4469.08	5747.1	-1.21	-0.03	1.31	114	47	67	-0.13	-0.207
TBP$MA0108.2|TBP$MA0108.1	5340.35	7270.5	9438.5	-5.45	-2.57	-0.76	196	75	121	-0.217	-0.23
MEIS2$MA0774.1|MEIS3$MA0775.1|MEIS1$MA0498.2	1693.2	2546.83	3557.3	0.28	1.54	3.77	114	70	44	0.319	0.452
NHLH1$MA0048.2|NHLH1$MA0048.1|ASCL1$MA1100.1|ZEB1$MA0103.3|TWIST1$MA1123.1|SNAI1$MA1558.1|BHLHE22(var.2)$MA1635.1|ZBTB18$MA0698.1|TCF3$MA0522.3|TWIST1$MA1123.2|TCF4$MA0830.2|Myog$MA0500.1|MYOD1$MA0499.2|ASCL1(var.2)$MA1631.1|Tcf12$MA0521.1|TCF4$MA0830.1|SNAI2$MA0745.1|MYF6$MA0667.1|ASCL1$MA1100.2|SNAI2$MA0745.2|MYOG$MA0500.2|Ascl2$MA0816.1|TCF12(var.2)$MA1648.1|OLIG3$MA0827.1|Myod1$MA0499.1|Rbpjl$MA1621.1|BHLHE22$MA0818.1|Ptf1a(var.2)$MA1619.1|BHLHA15(var.2)$MA1472.1|FIGLA$MA0820.1|BHLHE23$MA0817.1|OLIG2$MA0678.1|MYF5$MA1641.1|Tcf3$MA0522.1|Tcf21$MA0832.1|MSC$MA0665.1|ZEB1$MA0103.2|SNAI3$MA1559.1|ATOH1(var.2)$MA1467.1|NEUROG2$MA0669.1|Bhlha15$MA0607.1|NEUROG1$MA0623.2|NEUROD1$MA1109.1|NEUROG2(var.2)$MA1642.1|TCF3$MA0522.2|Neurog1$MA0623.1|Ptf1a(var.3)$MA1620.1|HAND2$MA1638.1|Atoh1$MA0461.2|ATOH7$MA1468.1|OLIG1$MA0826.1|ZEB1$MA0103.1|Ptf1a$MA1618.1|NEUROD2$MA0668.1|TFAP4$MA0691.1|TFAP4(var.2)$MA1570.1|TCF21(var.2)$MA1568.1|Twist2$MA0633.1	3665.02	5112.56	6476.46	-0.83	0.32	1.7	139	89	50	0.578	0.464
TFAP2B(var.2)$MA0812.1|TFAP2E$MA1569.1|TFAP2A$MA0003.3|TFAP2A$MA0003.4|TFAP2C(var.2)$MA0814.1|TFAP2C(var.2)$MA0814.2	4332.15	6136.58	7393.28	-0.84	0.05	1.15	147	75	72	0.025	0.023
