id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	23103.4	28384.0	33822.0	-0.39	0.66	2.37	350	182	168	0.083	0.155
MA0730.1	RARA(var.2)	31458.0	37978.0	44795.0	-0.73	0.61	2.27	403	202	201	0.007	0.154
MA0742.1	Klf12	43447.8	51792.5	59689.1	-2.59	-0.76	0.25	472	225	247	-0.057	-0.11
MA0482.2	GATA4	32464.1	39193.0	45798.2	-1.72	-0.33	0.51	404	196	208	-0.027	-0.073
MA0099.1	JUN::FOS	10211.2	13217.0	16771.0	1.06	2.96	5.78	262	149	113	0.258	0.466
MA0102.1	Cebpa	19192.4	24086.5	28064.1	-1.66	-0.31	0.44	317	153	164	-0.044	-0.059
MA0108.1	TBP	38127.3	45572.5	53614.4	-4.12	-1.61	-0.33	455	204	251	-0.123	-0.108
MA0498.2	MEIS1	10604.5	13795.0	16955.4	0.0	0.67	2.44	246	137	109	0.062	0.137
MA1100.2	ASCL1	15647.8	19636.0	23667.3	-0.23	0.51	2.28	290	156	134	0.09	0.135
MA0812.1	TFAP2B(var.2)	17560.8	22421.5	26024.1	-1.27	-0.12	0.7	302	148	154	-0.009	-0.028
MA0853.1	Alx4	41150.4	48746.0	55660.4	-1.78	-0.33	0.6	450	224	226	-0.038	-0.061
MA0033.2	FOXL1	9764.2	12868.5	15090.5	-0.85	0.03	1.01	227	119	108	0.07	-0.034
MA0805.1	TBX1	15137.5	18708.0	22762.2	-0.14	1.38	3.5	294	159	135	0.085	0.288
MA0075.1	Prrx2	3310.3	4712.0	5956.1	-1.45	-0.19	0.62	140	66	74	-0.023	-0.027
MA0912.1	Hoxd3	46271.8	54840.5	62284.1	-1.6	-0.33	0.45	477	231	246	-0.059	-0.045
MA1519.1	LHX5	10315.8	13318.5	16509.8	-3.35	-1.31	0.9	249	120	129	-0.11	-0.237
MA0694.1	ZBTB7B	38115.0	46834.5	52014.4	-0.9	-0.02	0.98	433	216	217	-0.008	-0.017
MA0491.1	JUND	20515.4	25077.5	30068.1	-0.83	2.65	5.53	351	188	163	0.121	0.435
MA0148.2	FOXA1	26497.9	32463.0	37196.1	-0.53	0.28	1.74	367	190	177	0.05	0.083
MA0475.2	FLI1	24824.9	30672.5	36767.0	19.23	25.67	32.22	516	367	149	0.871	1.017
MA0100.2	Myb	17385.6	21770.5	26064.1	0.22	1.45	3.8	317	175	142	0.195	0.228
MA0670.1	NFIA	14369.2	18246.0	22031.4	-2.35	-0.6	0.34	281	134	147	-0.033	-0.176
MA1635.1	BHLHE22(var.2)	14801.4	18870.0	22105.5	-0.67	-0.26	1.59	280	139	141	-0.001	0.096
MA1573.1	THAP11	52725.3	62944.0	68867.6	-1.05	-0.02	0.91	502	249	253	-0.015	0.01
MA0765.1	ETV5	27300.7	33554.5	40200.3	18.44	24.76	31.9	530	385	145	0.67	0.789
MA0877.2	BARHL1	17246.8	21455.0	26255.6	-3.46	-1.29	0.3	313	147	166	-0.092	-0.15
MA0141.2	Esrrb	27673.1	33700.5	39868.1	-0.43	0.87	2.71	384	200	184	0.035	0.156
MA0104.1	Mycn	8097.5	10597.5	13354.0	-0.17	0.73	2.57	217	117	100	0.139	0.208
MA1587.1	ZNF135	27632.1	34372.5	39041.5	-0.74	0.06	1.12	372	196	176	0.084	-0.026
MA0512.1	Rxra	14862.6	18539.0	23395.7	0.42	2.03	4.69	299	170	129	0.098	0.296
MA0119.1	NFIC::TLX1	16496.9	20750.0	24870.1	-2.42	-0.65	0.08	300	137	163	-0.288	-0.146
MA0904.1	Hoxb5	45138.2	52761.5	61552.7	-4.75	-1.99	-0.42	493	211	282	-0.149	-0.176
MA0597.1	THAP1	17043.0	21175.5	25702.6	-3.59	-1.37	-0.19	312	131	181	-0.204	-0.11
MA0471.1	E2F6	28569.7	35201.5	39830.4	-1.12	-0.04	0.85	376	184	192	-0.045	-0.039
MA0844.1	XBP1	54804.2	64558.0	74279.5	-0.15	0.88	2.79	528	279	249	0.031	0.148
MA1466.1	ATF6	31029.0	37618.0	43860.7	-0.38	0.61	2.44	401	208	193	0.022	0.146
MA0895.1	HMBOX1	15276.3	19322.0	23701.9	1.58	4.05	7.25	321	184	137	0.282	0.318
MA0679.1	ONECUT1	38888.0	46560.5	53452.5	-1.84	-0.38	0.48	441	215	226	-0.012	-0.038
MA0051.1	IRF2	33622.2	40486.0	48869.4	9.24	14.17	19.48	517	330	187	0.739	0.844
MA0059.1	MAX::MYC	20599.8	25694.5	30869.7	0.29	1.6	3.83	345	194	151	0.233	0.252
MA0162.2	EGR1	29737.2	35943.5	43242.7	-0.39	1.3	3.48	402	211	191	0.163	0.188
MA0761.1	ETV1	26310.3	32133.5	38597.2	19.96	26.43	33.38	529	392	137	0.747	0.911
MA0796.1	TGIF1	13168.4	16879.0	20693.9	-0.49	0.71	2.27	272	140	132	0.009	0.198
MA0090.1	TEAD1	30111.5	37852.5	42459.4	-1.08	0.04	0.9	390	201	189	0.068	-0.038
MA0037.3	GATA3	15362.3	19719.5	23233.3	-1.36	-0.15	0.68	284	140	144	-0.035	-0.03
MA0145.3	TFCP2	22494.4	27779.5	33183.9	0.52	2.17	4.82	364	205	159	0.229	0.244
MA0781.1	PAX9	27691.5	33540.0	40187.2	1.19	3.34	6.55	409	236	173	0.331	0.362
MA0036.2	GATA2	40487.6	48092.0	54940.2	-1.87	-0.47	0.58	450	223	227	-0.018	-0.091
MA0803.1	TBX15	14948.2	19107.0	23087.6	-0.15	0.94	2.85	292	158	134	0.105	0.199
MA0818.1	BHLHE22	20845.8	26222.5	30363.4	-1.47	0.23	0.79	329	168	161	0.02	-0.042
MA0048.2	NHLH1	16838.8	20893.5	25817.2	0.41	1.87	4.44	315	178	137	0.408	0.248
MA0904.2	HOXB5	12487.4	16160.5	19358.1	-1.81	-0.29	0.54	260	125	135	-0.057	-0.092
MA0481.1	FOXP1	42229.6	50767.5	56670.6	-0.78	-0.06	1.13	452	223	229	-0.041	0.034
MA0750.2	ZBTB7A	34663.2	41677.5	49776.9	14.87	20.6	26.94	557	363	194	0.67	0.789
MA0846.1	FOXC2	27521.9	33766.0	39505.8	-0.48	0.37	1.88	376	190	186	0.025	0.074
MA0679.2	ONECUT1	41645.1	49492.5	57667.0	-4.88	-2.08	-0.51	479	209	270	-0.196	-0.186
MA1130.1	FOSL2::JUN	31122.2	37078.0	43798.6	-0.45	2.18	4.66	418	222	196	0.109	0.321
MA0068.2	PAX4	13508.4	16976.0	20987.0	-2.8	-1.05	0.12	277	127	150	-0.095	-0.151
MA0881.1	Dlx4	13243.0	16818.5	20740.9	-3.47	-1.35	-0.17	279	122	157	-0.081	-0.134
MA0075.3	PRRX2	9396.7	12149.5	15421.3	-3.49	-1.39	-0.16	239	103	136	-0.08	-0.228
MA0747.1	SP8	35004.6	42200.5	48847.3	-2.05	-0.53	0.33	423	202	221	-0.096	-0.087
MA0620.1	Mitf	21404.6	26298.5	31481.7	-0.24	0.79	2.48	339	180	159	0.055	0.12
MA0032.1	FOXC1	12782.7	16064.0	19919.5	0.39	1.77	4.15	277	156	121	0.18	0.16
MA0511.2	RUNX2	17461.7	22195.5	27234.6	1.14	2.97	6.04	334	199	135	0.386	0.353
MA0761.2	ETV1	35799.5	43198.5	50419.8	15.93	21.14	27.32	568	387	181	0.499	0.817
MA0800.1	EOMES	41132.0	48908.0	57465.2	0.34	1.7	4.29	472	267	205	0.13	0.186
MA1633.1	BACH1	31240.4	37506.5	44360.3	0.77	2.55	5.36	424	245	179	0.116	0.279
MA0102.4	CEBPA	35072.6	42679.5	47746.0	-1.32	0.11	0.74	416	210	206	0.016	-0.051
MA0707.1	MNX1	16855.1	20854.5	26132.6	-4.81	-2.11	-0.54	317	140	177	-0.029	-0.176
MA0032.2	FOXC1	23568.4	29195.5	33496.0	-0.72	-0.14	1.32	345	172	173	-0.005	0.036
MA0811.1	TFAP2B	23902.8	29418.0	34642.4	-1.61	-0.31	0.6	350	172	178	-0.01	-0.054
MA0029.1	Mecom	27051.5	33078.5	38265.9	-1.76	-0.31	0.52	371	175	196	-0.134	-0.094
MA0003.3	TFAP2A	19701.8	24573.5	28712.3	-1.63	0.3	0.67	320	161	159	0.012	-0.087
MA0508.1	PRDM1	44765.8	52385.0	60995.3	3.48	6.74	10.87	532	324	208	0.368	0.464
MA0065.1	PPARG::RXRA	41969.5	49934.5	57288.2	-0.37	0.45	2.04	458	237	221	0.097	0.099
MA0500.1	Myog	16242.4	20344.5	24691.1	-0.4	0.71	2.45	298	155	143	0.041	0.212
MA0808.1	TEAD3	18779.1	23283.5	27912.1	-3.17	-1.06	0.47	323	153	170	-0.129	-0.221
MA0519.1	Stat5a::Stat5b	16884.9	20983.0	25452.4	-2.94	-0.97	0.05	306	140	166	-0.173	-0.212
MA1532.1	NR1D2	50393.4	59054.0	68194.1	-0.33	0.62	2.27	501	260	241	0.075	0.089
MA1597.1	ZNF528	47121.7	56495.0	62874.2	-0.85	0.03	1.07	476	244	232	0.04	0.009
MA0754.1	CUX1	19342.3	24053.5	28765.7	-2.44	-0.68	0.24	323	150	173	-0.062	-0.145
MA1572.1	TGIF2LY	24700.1	30611.0	36150.3	-0.13	0.78	2.58	365	195	170	0.147	0.134
MA1117.1	RELB	32255.5	39071.0	44337.8	-0.72	0.14	1.35	399	203	196	0.014	0.037
MA1487.1	FOXE1	34841.0	42299.5	47445.2	-0.89	-0.07	1.24	413	201	212	-0.022	0.024
MA1569.1	TFAP2E	13331.4	17123.0	19864.3	-1.17	-0.11	0.72	264	131	133	-0.047	-0.063
MA0643.1	Esrrg	19827.0	24110.5	28965.9	-0.34	0.79	2.53	325	171	154	0.012	0.153
MA1552.1	RARB(var.3)	39315.8	47263.5	53708.3	-0.34	0.32	1.59	443	237	206	0.145	0.015
MA0764.2	ETV4	23840.5	29528.5	35201.9	7.15	11.4	16.11	437	284	153	0.371	0.669
MA0146.2	Zfx	25026.3	30790.0	36813.5	-2.22	-0.64	0.18	364	169	195	-0.111	-0.045
MA0836.2	CEBPD	29495.9	36259.0	41209.2	-1.38	-0.17	0.63	385	187	198	-0.032	-0.032
MA0122.3	Nkx3-2	35757.1	44202.0	48916.8	-1.12	-0.03	0.92	421	204	217	-0.055	0.005
MA0098.2	Ets1	40019.5	47536.5	54816.8	14.13	19.59	25.99	583	388	195	0.658	0.805
MA0660.1	MEF2B	17535.3	22062.5	26694.6	-0.66	2.6	5.6	330	177	153	0.147	0.444
MA0609.1	Crem	25002.0	30638.0	36321.0	-0.08	0.98	3.2	368	199	169	0.269	0.172
MA1580.1	ZBTB32	20964.3	25686.0	30923.3	-0.14	1.08	3.03	339	182	157	0.104	0.162
MA0144.1	Stat3	22006.4	27194.0	31804.2	-0.27	0.38	1.77	338	181	157	0.11	0.086
MA1484.1	ETS2	23610.4	28771.0	34851.2	20.13	26.64	33.16	508	371	137	0.942	1.026
MA0807.1	TBX5	15358.4	19269.0	22998.2	0.29	1.76	4.09	302	168	134	0.152	0.212
MA0637.1	CENPB	54521.6	63827.0	72796.3	-0.49	0.45	1.91	517	263	254	0.006	0.07
MA1509.1	IRF6	15825.4	19899.0	24374.0	10.6	15.35	20.53	389	269	120	0.676	0.906
MA0160.1	NR4A2	9075.7	12067.0	15045.0	-0.81	0.98	2.84	234	119	115	0.059	0.222
MA0882.1	DLX6	12857.7	16403.5	20210.1	-3.81	-1.59	-0.2	278	121	157	-0.142	-0.149
MA0524.2	TFAP2C	25207.4	31337.5	36207.5	-1.51	0.21	0.79	359	181	178	0.007	-0.042
MA1152.1	SOX15	14926.5	18777.0	23165.2	-3.1	-1.15	0.02	292	133	159	-0.14	-0.135
MA0143.4	SOX2	17219.4	21505.5	26337.9	-4.95	-2.37	-0.73	324	145	179	-0.224	-0.224
MA1113.1	PBX2	36956.4	44054.5	51220.6	-0.15	0.64	2.22	434	232	202	0.061	0.092
MA0492.1	JUND(var.2)	48971.1	58396.0	65388.5	-1.68	-0.32	0.57	492	245	247	-0.015	-0.07
MA1560.1	SOHLH2	24563.9	30363.0	36207.4	-0.45	0.81	2.74	364	188	176	0.034	0.14
MA0147.3	MYC	29024.9	35169.0	41964.5	0.03	1.31	3.51	398	215	183	0.086	0.156
MA1568.1	TCF21(var.2)	33969.4	40992.0	46494.6	-0.33	0.33	1.75	413	216	197	0.056	0.064
MA0886.1	EMX2	19686.2	24088.5	28755.5	-2.08	-0.53	0.33	321	154	167	-0.098	-0.086
MA0885.1	Dlx2	12750.3	16259.5	20041.0	-4.0	-1.6	-0.23	277	121	156	-0.088	-0.188
MA0141.3	ESRRB	25849.8	32245.5	36628.1	-0.8	0.08	1.25	361	184	177	0.015	0.021
MA0162.4	EGR1	37450.7	45120.5	51365.5	-0.7	-0.19	1.44	430	213	217	-0.005	0.08
MA0898.1	Hmx3	57017.2	66433.0	76552.6	-2.71	-0.85	-0.05	535	244	291	-0.139	-0.113
MA0472.1	EGR2	39470.6	47244.5	54695.3	-0.06	1.0	3.0	455	244	211	0.178	0.129
MA0693.2	VDR	9825.7	12898.5	16228.6	0.95	2.82	5.81	258	155	103	0.192	0.242
MA1419.1	IRF4	23099.1	28318.5	33960.6	15.99	21.39	27.25	480	330	150	1.017	1.162
MA0070.1	PBX1	26148.5	32472.0	37751.1	-2.18	-0.54	-0.01	372	168	204	-0.192	-0.113
MA0158.2	HOXA5	11634.0	15359.5	17849.8	-0.97	0.02	1.04	248	125	123	0.061	-0.003
MA0910.2	HOXD8	12123.4	15539.5	19455.0	-4.17	-1.7	-0.32	272	111	161	-0.242	-0.214
MA0711.1	OTX1	12912.7	16392.0	20074.9	-2.67	-0.78	0.13	269	124	145	-0.148	-0.14
MA0007.1	Ar	91446.9	104552.5	116020.1	-0.48	0.33	1.65	657	332	325	0.075	0.032
MA0508.2	PRDM1	17917.4	22438.0	27259.3	4.48	7.93	12.21	369	233	136	0.454	0.621
MA1594.1	ZNF382	58927.4	69815.0	77733.3	-0.76	0.09	1.21	531	267	264	0.016	0.029
MA0733.1	EGR4	63767.8	74355.5	82538.0	-0.63	-0.3	1.61	554	276	278	-0.009	0.074
MA0041.1	Foxd3	23330.6	28870.0	33589.2	-1.69	-0.27	0.48	346	164	182	-0.106	-0.085
MA0604.1	Atf1	23627.3	28764.5	34482.6	0.08	1.07	3.26	358	197	161	0.102	0.195
MA0599.1	KLF5	14426.2	18131.0	22080.2	0.13	1.23	3.38	288	162	126	0.152	0.241
MA0514.1	Sox3	14528.7	18283.5	22451.5	-3.23	-1.22	-0.07	289	130	159	-0.215	-0.209
MA0612.1	EMX1	19478.0	23810.0	28431.0	-2.0	-0.52	0.2	319	148	171	-0.036	-0.089
MA0102.2	CEBPA	13101.6	17046.0	20451.6	-1.6	-0.24	0.53	266	130	136	-0.023	-0.047
MA1557.1	SMAD5	14648.3	18622.5	22796.6	-6.26	-3.28	-1.25	310	129	181	-0.173	-0.357
MA1478.1	DMRTA2	36351.8	44782.5	49623.9	-0.98	0.01	1.13	423	223	200	0.064	0.0
MA0692.1	TFEB	21753.6	26693.0	32042.0	0.76	2.7	5.71	362	216	146	0.258	0.273
MA0153.1	HNF1B	20315.1	25609.5	30857.7	0.12	1.46	3.66	343	189	154	0.251	0.238
MA0052.2	MEF2A	37134.7	44777.5	52681.0	-0.56	0.67	2.39	438	223	215	0.023	0.159
MA0033.1	FOXL1	14885.6	18758.0	22785.8	-2.76	-0.83	0.49	288	138	150	-0.135	-0.146
MA0114.4	HNF4A	29362.6	36353.5	41508.0	-1.3	-0.15	0.75	385	186	199	-0.052	0.009
MA0477.1	FOSL1	20162.2	25037.0	30077.7	-0.5	1.92	4.35	344	184	160	0.281	0.359
MA1566.1	TBX3	24021.8	29413.5	35317.8	0.56	2.16	4.79	374	212	162	0.121	0.189
MA0154.2	EBF1	19639.3	24796.0	28551.0	-0.67	0.14	1.46	318	160	158	0.043	0.015
MA0910.1	Hoxd8	46248.5	54542.0	63537.3	-3.73	-1.5	-0.2	495	222	273	-0.189	-0.118
MA0004.1	Arnt	8856.0	11466.5	14260.8	0.06	0.95	2.74	228	131	97	0.234	0.254
MA0145.1	Tcfcp2l1	36669.0	44029.5	50332.6	-1.59	-0.29	0.49	427	208	219	-0.034	-0.055
MA0117.1	Mafb	14991.3	19306.5	22696.1	-0.38	0.2	1.58	282	152	130	0.057	0.032
MA0685.1	SP4	39804.4	47337.5	54888.8	-0.42	0.5	2.04	447	230	217	0.016	0.146
MA0478.1	FOSL2	24321.9	29570.0	35574.6	-0.18	1.24	3.46	365	195	170	0.161	0.247
MA0706.1	MEOX2	20632.4	25281.5	29984.4	-2.28	-0.61	0.24	330	152	178	-0.13	-0.093
MA0813.1	TFAP2B(var.3)	19021.1	23598.0	28244.8	-0.32	0.55	2.26	318	166	152	0.123	0.087
MA0913.2	HOXD9	17118.9	21959.0	25259.6	-1.07	0.04	0.87	297	152	145	0.004	-0.042
MA0614.1	Foxj2	9319.9	12010.5	15150.2	-2.83	-0.94	0.17	233	107	126	-0.203	-0.211
MA1128.1	FOSL1::JUN	32612.8	39219.5	46717.7	-0.61	2.04	4.62	428	227	201	0.083	0.303
MA0888.1	EVX2	21487.8	27142.5	31188.1	-1.19	-0.11	0.84	332	162	170	-0.023	-0.038
MA0090.3	TEAD1	40503.6	47918.5	55625.0	-2.25	0.62	0.93	452	229	223	0.018	-0.158
MA0132.1	Pdx1	5786.9	7758.0	9983.8	-2.41	-0.69	0.32	186	88	98	-0.205	-0.16
MA1111.1	NR2F2	23457.8	28972.5	34050.3	-0.53	0.5	2.11	351	179	172	0.038	0.133
MA0442.1	SOX10	5580.2	7744.5	9434.2	-0.78	0.13	1.39	178	89	89	0.0	0.023
MA1524.1	MSGN1	29038.8	35834.0	40641.1	-0.81	-0.06	1.11	380	189	191	-0.005	0.016
MA0518.1	Stat4	35614.3	43442.0	49119.0	-0.66	0.16	1.32	421	213	208	0.026	0.004
MA0098.3	ETS1	22866.9	28453.0	34473.6	20.95	27.1	33.95	508	372	136	0.756	1.022
MA0621.1	mix-a	11488.4	14685.0	17866.1	-2.21	-0.63	0.28	253	119	134	-0.05	-0.123
MA0814.1	TFAP2C(var.2)	19672.4	24561.0	28680.6	-1.54	-0.25	0.54	319	155	164	-0.018	-0.061
MA0852.1	Foxk1	51399.4	61310.0	67732.0	-0.96	-0.04	1.13	496	239	257	-0.055	0.035
MA0069.1	PAX6	45408.6	53175.0	62565.1	1.09	3.27	6.15	508	290	218	0.223	0.254
MA0704.1	Lhx4	10248.4	13131.0	16517.5	-3.72	-1.38	-0.16	248	107	141	-0.176	-0.2
MA1483.1	ELF2	32622.5	39610.0	47529.1	14.32	19.9	26.0	542	367	175	0.706	0.913
MA0498.1	Meis1	47069.3	55360.5	64395.6	0.58	2.21	4.85	507	283	224	0.154	0.199
MA0037.1	GATA3	9122.4	11909.0	14590.0	-2.64	-0.76	0.19	230	106	124	-0.127	-0.14
MA1503.1	HOXB9	20887.1	25586.5	30948.6	-0.11	0.9	2.84	336	181	155	0.125	0.151
MA1421.1	TCF7L1	26449.8	32122.5	37950.9	-2.43	-0.73	0.35	373	178	195	-0.093	-0.13
MA0526.3	USF2	39332.8	46413.0	53605.3	-0.42	0.93	2.78	450	234	216	0.03	0.158
MA0867.2	SOX4	14740.8	18362.0	22242.4	-2.42	-0.68	-0.04	283	122	161	-0.178	-0.101
MA1495.1	HOXA1	9861.6	12686.0	15739.4	-2.59	-0.83	0.22	238	110	128	-0.168	-0.173
MA0063.2	NKX2-5	22384.6	27680.0	31956.8	-0.53	0.28	1.54	339	175	164	0.016	0.027
MA0770.1	HSF2	28238.6	35089.0	39166.8	-1.2	0.06	0.8	376	191	185	0.011	-0.016
MA0743.1	SCRT1	34011.9	41146.0	48734.4	-0.04	1.52	3.93	432	233	199	0.076	0.209
MA0682.2	PITX1	10369.1	13418.5	16390.0	-3.06	-1.04	0.14	247	113	134	-0.121	-0.19
MA0710.1	NOTO	17300.8	21946.0	25496.5	-1.7	-0.27	0.44	302	142	160	-0.044	-0.107
MA1539.1	NR2F6(var.3)	20911.2	25978.5	31153.6	-0.01	0.65	2.29	335	182	153	0.12	0.086
MA0079.3	SP1	21336.0	26503.5	31012.2	-0.64	0.15	1.36	329	170	159	0.046	0.045
MA0039.1	Klf4	19900.4	24788.0	28660.5	-0.73	0.14	1.31	318	165	153	0.088	0.002
MA0109.1	HLTF	20497.3	25215.5	30328.9	-3.59	-1.42	-0.17	340	148	192	-0.133	-0.08
MA0731.1	BCL6B	11913.1	15608.0	18153.4	-0.76	-0.07	1.12	251	125	126	-0.004	0.024
MA1556.1	RXRG(var.2)	26477.5	32600.5	37993.0	-1.91	-0.45	0.45	371	182	189	-0.013	-0.126
MA0883.1	Dmbx1	59419.0	70101.0	77978.2	-1.49	-0.26	0.5	537	260	277	-0.044	-0.065
MA0680.1	PAX7	11744.6	15366.5	18105.6	-1.2	-0.11	0.7	250	120	130	-0.083	0.042
MA0258.1	ESR2	64102.6	73917.0	83820.2	-1.92	-0.45	0.28	556	264	292	-0.103	-0.046
MA1630.1	Znf281	22397.0	28306.5	32206.6	-0.88	0.07	1.17	338	174	164	0.065	-0.001
MA0764.1	ETV4	25314.6	31257.5	38059.6	19.82	26.13	33.15	522	380	142	0.864	0.909
MA0678.1	OLIG2	24411.9	30252.0	34801.8	-1.29	-0.13	0.76	351	174	177	-0.016	-0.019
MA0075.2	Prrx2	11261.4	14402.0	17873.4	-4.4	-1.89	-0.38	264	110	154	-0.141	-0.183
