Merged motif (Total sequences: 2165)	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MITF$MA0620.3|TFEB$MA0692.1|MITF$MA0620.2|MLXIPL$MA0664.1|Arntl$MA0603.1|TFE3$MA0831.1|Bhlhe40$MA0464.1|TFEC$MA0871.1|TFE3$MA0831.2|TFEC$MA0871.2|MAX$MA0058.3|ARNT2$MA1464.1|USF1$MA0093.2|BHLHE40$MA0464.2|USF2$MA0526.1|MAX::MYC$MA0059.1|Npas2$MA0626.1|Myc$MA0147.1|BHLHE41$MA0636.1|MNT$MA0825.1|Mycn$MA0104.3|USF2$MA0526.2|MYC$MA0147.3|MLX$MA0663.1|ARNT::HIF1A$MA0259.1|HEY1$MA0823.1|USF1$MA0093.1|HES1$MA1099.2|MAX$MA0058.1|Mlxip$MA0622.1|HEY2$MA0649.1|HES2$MA0616.2|MXI1$MA1108.1|Arnt$MA0004.1|USF2$MA0526.3|Hes1$MA1099.1|MYCN$MA0104.4|Mycn$MA0104.2|SOHLH2$MA1560.1|Mitf$MA0620.1|HES6$MA1493.1|Srebf1(var.2)$MA0829.1|Mycn$MA0104.1|CLOCK$MA0819.1|USF1$MA0093.3|SREBF2(var.2)$MA0828.1|HES5$MA0821.1|HES7$MA0822.1|Creb3l2$MA0608.1|HIF1A$MA1106.1|MXI1$MA1108.2|MAX$MA0058.2|SREBF1(var.2)$MA0829.2|Tcfl5$MA0632.1|Myc$MA0147.2	23307.06	28560.39	33933.9	-0.06	1.22	3.25	540	312	228	0.168	0.2
RARA(var.2)$MA0730.1|Rarb(var.2)$MA0858.1	27380.9	33082.5	39036.25	-0.62	0.44	1.94	403	202	201	0.007	0.154
KLF5$MA0599.1|KLF3$MA1516.1|KLF4$MA0039.3|Klf12$MA0742.1|SP1$MA0079.4|SP8$MA0747.1|SP4$MA0685.1|KLF2$MA1515.1|SP3$MA0746.2|KLF4$MA0039.4|KLF11$MA1512.1|Klf1$MA0493.1|KLF9$MA1107.2|KLF9$MA1107.1|KLF16$MA0741.1|SP3$MA0746.1|KLF10$MA1511.1|SP9$MA1564.1|Klf4$MA0039.2|KLF14$MA0740.1|KLF6$MA1517.1	31009.79	37604.88	43409.09	-1.2	-0.03	1.06	288	162	126	0.152	0.241
GATA6$MA1104.2|Gata1$MA0035.3|Gata1$MA0035.2|GATA2$MA0036.2|GATA5$MA0766.1|GATA4$MA0482.2|GATA3$MA0037.2|GATA5$MA0766.2|GATA2$MA0036.3|GATA6$MA1104.1|Gata4$MA0482.1|GATA3$MA0037.3	24974.36	30525.46	35623.02	-1.66	-0.33	0.62	419	199	220	-0.082	-0.08
BATF::JUN$MA0462.1|FOS::JUN$MA0099.2|FOSL1::JUND$MA1142.1|BATF$MA1634.1|BATF::JUN$MA0462.2|BATF3$MA0835.2|JDP2$MA0655.1|JUN(var.2)$MA0489.1|JUN::FOS$MA0099.1|FOS$MA0476.1|JUNB$MA0490.2|BACH2$MA1101.1|JUND$MA0491.1|JUND$MA0491.2|FOSL1$MA0477.2|JUN::JUNB$MA1132.1|BACH1$MA1633.1|NFE2L1$MA0089.2|MAF::NFE2$MA0501.1|NFE2L2$MA0150.1|FOSL2::JUNB$MA1138.1|Smad2::Smad3$MA1622.1|FOSL1::JUNB$MA1137.1|Nfe2l2$MA0150.2|Bach1::Mafk$MA0591.1|FOSB::JUNB$MA1135.1|FOSL2::JUN$MA1130.1|FOS::JUN$MA0099.3|FOSL2::JUND$MA1144.1|FOSL1::JUN$MA1128.1|FOS::JUNB$MA1134.1|FOS::JUND$MA1141.1|FOSL1$MA0477.1|NFE2$MA0841.1|JUNB$MA0490.1|BACH2$MA1101.2|MAFK$MA0496.3|FOSL2$MA0478.1|MAFA$MA1521.1|MAF$MA1520.1|MAFK$MA0496.2|MAFF$MA0495.2|MAFG$MA0659.1	32428.57	38943.34	45578.36	0.04	2.16	4.82	361	210	151	0.371	0.601
CEBPB$MA0466.2|CEBPE$MA0837.1|CEBPG$MA0838.1|CEBPD$MA0836.1|Cebpa$MA0102.1|CEBPA$MA0102.2	16980.65	21304.75	25514.6	-0.66	0.57	2.11	309	166	143	0.133	0.158
TBP$MA0108.2|TBP$MA0108.1	38165.3	45291.75	53062.25	-4.14	-1.68	-0.34	454	201	253	-0.126	-0.119
MEIS2$MA0774.1|MEIS3$MA0775.1|MEIS1$MA0498.2	12369.13	15728.33	19280.77	-0.03	1.03	3.02	281	155	126	0.129	0.208
NHLH1$MA0048.1|NHLH1$MA0048.2|MYF6$MA0667.1|BHLHA15(var.2)$MA1472.1|ATOH1(var.2)$MA1467.1|ASCL1$MA1100.1|TAL1::TCF3$MA0091.1|Ascl2$MA0816.1|SNAI1$MA1558.1|MYOD1$MA0499.2|NEUROD1$MA1109.1|Tcf12$MA0521.1|SNAI2$MA0745.1|HAND2$MA1638.1|ASCL1(var.2)$MA1631.1|MYOG$MA0500.2|Myog$MA0500.1|ZEB1$MA0103.3|Myod1$MA0499.1|Ptf1a(var.2)$MA1619.1|Ptf1a$MA1618.1|ASCL1$MA1100.2|Tcf21$MA0832.1|ZEB1$MA0103.2|TCF4$MA0830.2|MYF5$MA1641.1|NEUROD2$MA0668.1|TFAP4$MA0691.1|MSC$MA0665.1|TCF21(var.2)$MA1568.1|TFAP4(var.2)$MA1570.1|BHLHE22(var.2)$MA1635.1|BHLHE22$MA0818.1|SNAI2$MA0745.2|FIGLA$MA0820.1|TCF3$MA0522.3|Atoh1$MA0461.2|Twist2$MA0633.1|OLIG1$MA0826.1|OLIG3$MA0827.1|TCF4$MA0830.1|NEUROG2(var.2)$MA1642.1|TCF3$MA0522.2|Tcf3$MA0522.1|Bhlha15$MA0607.1|ATOH7$MA1468.1|OLIG2$MA0678.1|TCF12(var.2)$MA1648.1|NEUROG2$MA0669.1|SNAI3$MA1559.1|Neurog1$MA0623.1|Rbpjl$MA1621.1|Ptf1a(var.3)$MA1620.1|NEUROG1$MA0623.2|BHLHE23$MA0817.1|ZBTB18$MA0698.1|TWIST1$MA1123.1|TWIST1$MA1123.2|ZEB1$MA0103.1	21898.86	27147.11	31708.25	-0.56	0.45	1.97	342	196	146	0.213	0.252
TFAP2A$MA0003.4|TFAP2A$MA0003.3|TFAP2C(var.2)$MA0814.1|TFAP2C(var.2)$MA0814.2|TFAP2B(var.2)$MA0812.1|TFAP2E$MA1569.1	21677.52	26900.75	31173.1	-1.45	-0.12	0.64	395	186	209	-0.023	-0.07
