id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	4758.2	6505.0	8053.3	-0.43	0.38	1.71	167	89	78	0.107	0.104
MA0730.1	RARA(var.2)	5788.5	8095.5	9484.0	-1.12	-0.03	1.0	180	85	95	-0.054	0.012
MA0742.1	Klf12	9163.5	12355.5	14215.3	-0.96	0.01	0.93	222	116	106	0.069	-0.022
MA0482.2	GATA4	7411.6	9871.5	11754.6	-1.52	-0.19	0.59	202	96	106	-0.047	-0.044
MA0099.1	JUN::FOS	1856.5	2749.0	3796.1	1.08	3.16	5.81	129	77	52	0.45	0.663
MA0102.1	Cebpa	3900.2	5600.0	6896.3	-0.63	0.16	1.29	152	78	74	0.073	0.061
MA0108.1	TBP	9388.8	12279.0	14301.0	-1.2	0.13	0.71	224	112	112	0.003	-0.047
MA0498.2	MEIS1	1891.4	2880.0	3606.6	-0.96	0.01	1.07	107	57	50	0.053	0.035
MA1100.2	ASCL1	3433.4	4853.0	5951.1	-1.11	-0.12	0.8	141	70	71	-0.006	-0.049
MA0812.1	TFAP2B(var.2)	3260.6	4589.5	5619.2	-1.57	-0.18	0.63	138	65	73	-0.044	-0.049
MA0853.1	Alx4	8515.2	11258.5	13172.6	-1.14	-0.1	0.8	214	105	109	-0.057	-0.074
MA0033.2	FOXL1	1981.9	2997.5	3897.6	-1.44	0.2	0.65	112	56	56	0.003	-0.08
MA0805.1	TBX1	3366.0	4635.0	5961.6	-0.47	0.43	1.84	142	73	69	0.037	0.225
MA0075.1	Prrx2	921.2	1530.5	2058.7	-1.32	-0.18	0.71	80	39	41	-0.023	-0.072
MA0912.1	Hoxd3	10396.1	13375.0	15882.9	-0.45	0.31	1.66	237	123	114	0.054	0.052
MA1519.1	LHX5	2569.8	3637.0	4779.7	-2.67	-0.83	0.77	130	64	66	-0.092	-0.231
MA0694.1	ZBTB7B	7732.6	9941.0	12515.0	-2.68	-0.88	0.18	212	97	115	-0.065	-0.176
MA0491.1	JUND	5349.4	7165.5	9256.8	-0.39	0.99	2.85	182	97	85	0.096	0.338
MA0148.2	FOXA1	5174.8	7049.0	8880.5	-0.25	0.65	2.24	177	96	81	0.178	0.153
