id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	78.5	183.5	305.0	-1.47	-0.18	0.72	28	12	16	-0.337	-0.107
MA0730.1	RARA(var.2)	91.0	212.0	357.3	-0.14	0.48	2.02	32	20	12	0.258	0.194
MA0742.1	Klf12	130.0	273.0	424.0	-0.31	0.46	1.89	36	21	15	0.234	0.308
MA0482.2	GATA4	42.0	113.0	209.0	-0.4	0.74	2.21	25	14	11	0.397	0.529
MA0099.1	JUN::FOS	4.5	27.5	70.0	0.74	2.18	3.61	19	14	5	1.122	1.008
MA0102.1	Cebpa	42.5	114.0	207.0	-0.18	0.52	2.13	24	15	9	0.371	0.237
MA0108.1	TBP	88.5	206.0	326.5	-1.44	-0.23	0.63	30	14	16	-0.091	-0.163
MA0498.2	MEIS1	0.0	24.0	53.0	-1.56	-0.37	0.27	11	4	7	-0.108	-0.23
MA1100.2	ASCL1	106.0	231.0	389.0	-2.19	-0.59	0.07	34	13	21	-0.222	-0.269
MA0812.1	TFAP2B(var.2)	66.5	168.5	308.1	-2.95	-1.13	-0.08	32	11	21	-0.279	-0.322
MA0853.1	Alx4	74.0	172.0	284.0	-0.48	0.32	1.65	28	15	13	0.04	0.151
MA0033.2	FOXL1	0.0	29.0	57.0	-1.13	0.14	0.68	11	6	5	0.207	-0.29
MA0805.1	TBX1	46.0	127.0	236.0	-2.71	-0.87	-0.04	27	9	18	-0.701	-0.549
MA0075.1	Prrx2	0.0	38.0	66.0	-0.94	0.03	0.86	12	7	5	0.023	-0.047
MA0912.1	Hoxd3	50.0	132.0	222.0	-1.53	-0.22	0.61	24	11	13	-0.186	0.026
MA1519.1	LHX5	0.0	40.0	80.0	-1.33	-0.15	0.66	13	6	7	-0.664	-0.057
MA0694.1	ZBTB7B	125.0	271.0	407.1	-2.02	-0.48	0.4	36	14	22	-0.238	-0.175
MA0491.1	JUND	31.0	91.5	170.0	-0.35	0.59	1.91	22	13	9	0.365	0.543
MA0148.2	FOXA1	36.0	105.0	201.0	-0.07	0.91	2.53	25	16	9	1.16	0.661
MA0475.2	FLI1	46.0	131.0	254.0	1.44	3.29	5.45	38	28	10	0.962	1.142
MA0100.2	Myb	24.0	77.0	146.0	-1.62	-0.33	0.48	19	8	11	-0.104	-0.376
MA0670.1	NFIA	49.0	139.0	218.0	-1.38	-0.12	0.68	24	10	14	-0.072	-0.112
MA1635.1	BHLHE22(var.2)	65.0	175.0	261.0	-1.01	0.0	0.99	26	13	13	0.057	-0.11
MA1573.1	THAP11	136.0	301.5	444.5	-0.89	-0.08	1.15	35	17	18	-0.151	0.136
MA0765.1	ETV5	31.0	96.0	196.0	1.37	3.01	4.93	33	24	9	1.345	1.247
MA0877.2	BARHL1	16.0	66.0	134.1	-2.66	-0.84	-0.01	20	6	14	-0.474	-0.378
MA0141.2	Esrrb	51.0	131.0	225.5	-0.69	-0.4	1.82	25	12	13	-0.034	0.211
MA0104.1	Mycn	46.0	128.0	218.0	-1.82	-0.45	0.26	25	10	15	-0.407	-0.407
MA1587.1	ZNF135	174.9	381.5	521.6	-1.29	0.04	0.82	39	20	19	0.018	0.081
MA0512.1	Rxra	97.0	216.0	354.0	-2.44	-0.79	0.16	34	13	21	-0.483	-0.252
MA0119.1	NFIC::TLX1	57.0	152.5	248.0	-1.21	-0.1	0.76	25	11	14	-0.061	-0.105
MA0904.1	Hoxb5	51.0	139.5	221.5	-1.23	-0.12	0.84	24	12	12	-0.039	0.012
MA0597.1	THAP1	41.0	124.0	210.1	-1.94	-0.34	-0.03	24	7	17	-0.164	-0.042
MA0471.1	E2F6	60.0	143.5	277.0	-0.58	1.62	3.47	32	19	13	0.568	0.693
MA0844.1	XBP1	149.5	304.5	455.0	-0.54	0.32	1.68	37	19	18	0.059	0.172
MA1466.1	ATF6	126.0	261.5	426.1	-2.13	-0.58	0.37	36	16	20	-0.238	-0.5
MA0895.1	HMBOX1	27.0	84.0	155.0	-0.48	0.36	1.58	20	11	9	0.283	0.208
MA0679.1	ONECUT1	17.0	72.0	128.0	-0.34	0.25	1.71	18	12	6	0.11	0.244
MA0051.1	IRF2	127.0	276.0	404.0	-0.72	0.15	1.27	34	18	16	0.028	0.125
MA0059.1	MAX::MYC	44.0	122.5	212.1	-2.19	-0.55	0.23	25	10	15	-0.777	-0.419
MA0162.2	EGR1	112.9	239.5	396.0	-0.48	0.49	1.85	34	18	16	0.056	0.542
MA0761.1	ETV1	50.0	129.0	243.0	1.48	3.34	5.38	38	27	11	1.01	1.161
MA0796.1	TGIF1	13.0	58.0	122.0	-2.38	-0.86	-0.04	19	5	14	-0.338	-0.688
MA0090.1	TEAD1	96.5	217.5	338.0	-1.28	-0.12	0.76	30	15	15	-0.06	-0.232
MA0037.3	GATA3	0.0	25.5	62.0	-0.0	1.3	2.74	15	11	4	0.641	0.984
MA0145.3	TFCP2	51.0	134.0	224.2	-0.43	0.35	1.7	25	14	11	0.127	0.216
MA0781.1	PAX9	186.0	366.0	562.1	-2.04	-0.55	0.23	42	17	25	-0.517	-0.286
MA0036.2	GATA2	85.0	205.0	316.0	-0.72	-0.4	1.81	31	15	16	-0.034	0.343
MA0803.1	TBX15	53.0	131.0	242.1	-2.09	-0.59	0.39	26	11	15	-0.431	-0.642
MA0818.1	BHLHE22	76.5	178.5	283.0	-1.53	-0.24	0.56	28	12	16	-0.369	-0.219
MA0048.2	NHLH1	156.0	311.5	468.0	-1.47	-0.26	0.57	37	16	21	-0.133	-0.186
MA0904.2	HOXB5	0.0	45.0	85.0	-0.67	-0.2	1.31	14	7	7	-0.013	0.445
MA0481.1	FOXP1	18.0	65.0	115.0	-0.64	0.23	1.44	17	9	8	0.019	0.221
MA0750.2	ZBTB7A	67.0	160.0	292.0	0.78	2.41	4.49	37	24	13	1.14	1.121
MA0846.1	FOXC2	8.0	46.0	99.0	0.03	0.83	2.54	17	13	4	0.88	0.662
MA0679.2	ONECUT1	26.0	88.0	160.0	-0.31	0.28	1.76	20	13	7	0.366	0.173
MA1130.1	FOSL2::JUN	96.0	224.5	365.5	-0.63	-0.34	1.68	32	16	16	-0.002	0.259
MA0068.2	PAX4	0.0	42.0	82.0	-0.51	0.29	1.58	14	9	5	0.331	0.03
MA0881.1	Dlx4	35.0	106.0	182.0	-1.28	-0.13	0.79	21	9	12	-0.107	-0.001
MA0075.3	PRRX2	0.0	45.0	79.0	-0.95	-0.01	0.96	13	6	7	-0.045	-0.02
MA0747.1	SP8	121.9	250.5	403.0	-0.55	0.38	1.82	34	17	17	0.017	0.348
MA0620.1	Mitf	107.5	232.0	364.0	-0.49	0.26	1.57	32	18	14	0.291	0.178
MA0032.1	FOXC1	71.5	171.5	295.0	-0.21	0.5	2.01	29	18	11	0.169	0.22
MA0511.2	RUNX2	14.0	55.0	107.0	-1.52	0.3	0.67	16	8	8	0.042	-0.41
MA0761.2	ETV1	46.0	126.0	240.1	0.85	2.47	4.44	34	24	10	0.831	1.085
MA0800.1	EOMES	167.0	360.0	504.0	-1.08	0.06	0.94	38	22	16	0.157	-0.046
MA1633.1	BACH1	55.0	140.0	249.0	-0.39	0.82	2.51	28	16	12	0.19	0.495
MA0102.4	CEBPA	75.0	183.0	267.1	-0.78	-0.05	1.11	27	13	14	-0.077	-0.062
MA0707.1	MNX1	12.0	67.0	114.0	-1.03	-0.02	1.02	16	8	8	-0.075	-0.015
MA0032.2	FOXC1	2.0	32.0	80.0	0.33	1.7	3.49	18	14	4	1.089	0.862
MA0811.1	TFAP2B	126.0	297.0	413.0	-1.08	-0.0	0.98	34	16	18	-0.089	0.069
MA0029.1	Mecom	0.0	17.0	47.0	-0.0	1.33	2.74	13	10	3	1.062	1.062
MA0003.3	TFAP2A	45.0	131.0	228.0	-2.35	-0.59	0.19	26	9	17	-0.447	-0.211
MA0508.1	PRDM1	156.0	322.0	465.0	-0.69	0.18	1.35	37	20	17	0.276	0.115
MA0065.1	PPARG::RXRA	83.0	193.0	312.0	-1.5	-0.22	0.68	29	12	17	-0.553	-0.115
MA0500.1	Myog	28.0	85.0	167.0	-2.22	-0.75	0.3	22	9	13	-0.129	-0.553
MA0808.1	TEAD3	65.0	154.0	261.0	-2.0	-0.58	-0.01	28	10	18	-0.301	-0.219
MA0519.1	Stat5a::Stat5b	34.0	113.0	174.0	-0.91	0.03	1.11	21	11	10	0.414	-0.005
MA1532.1	NR1D2	107.0	262.5	377.0	-0.79	0.01	1.04	32	17	15	0.104	-0.001
MA1597.1	ZNF528	107.0	230.0	376.0	-2.13	-0.6	0.24	34	14	20	-0.545	-0.377
MA0754.1	CUX1	32.0	104.0	161.0	-0.89	0.01	1.12	20	11	9	0.028	-0.025
MA1572.1	TGIF2LY	44.0	114.0	207.0	-1.87	-0.52	0.34	24	9	15	-0.395	-0.446
MA1117.1	RELB	113.0	234.0	387.0	-0.35	0.73	2.38	35	20	15	0.342	0.408
MA1487.1	FOXE1	0.0	30.0	68.0	-0.19	0.55	2.13	13	9	4	0.229	0.582
MA1569.1	TFAP2E	74.0	184.0	282.1	-1.38	-0.18	0.76	28	14	14	-0.026	-0.131
MA0643.1	Esrrg	40.0	124.0	188.1	-1.06	0.03	1.12	22	12	10	0.099	-0.033
MA1552.1	RARB(var.3)	211.5	409.5	612.0	-0.63	0.22	1.44	42	22	20	0.136	0.18
MA0764.2	ETV4	44.0	127.0	235.0	0.13	1.3	3.03	29	20	9	0.514	0.835
MA0146.2	Zfx	117.0	253.0	399.0	-1.96	-0.51	0.59	35	17	18	-0.022	-0.457
MA0836.2	CEBPD	27.0	85.0	145.1	-1.34	-0.16	0.63	19	8	11	-0.13	-0.202
MA0122.3	Nkx3-2	104.0	228.0	369.0	-0.5	0.3	1.65	32	17	15	0.148	0.069
MA0098.2	Ets1	58.0	153.0	284.1	-0.46	2.33	4.13	36	22	14	0.586	0.908
MA0660.1	MEF2B	4.0	39.0	92.0	0.16	1.37	3.05	18	14	4	0.575	0.634
MA0609.1	Crem	57.0	138.0	245.0	-0.23	0.66	2.23	27	16	11	0.263	0.533
MA1580.1	ZBTB32	17.0	68.0	136.0	-0.18	0.56	2.02	19	13	6	0.325	0.463
MA0144.1	Stat3	29.0	89.0	157.0	-0.49	0.26	1.66	20	12	8	0.421	0.347
MA1484.1	ETS2	38.0	110.0	207.0	0.97	2.64	4.61	33	25	8	0.82	1.152
MA0807.1	TBX5	62.0	151.0	258.1	-1.57	-0.27	0.49	26	11	15	-0.301	-0.167
MA0637.1	CENPB	129.0	258.5	411.0	-0.74	-0.45	1.88	35	17	18	-0.08	0.291
MA1509.1	IRF6	69.0	171.0	299.1	-2.31	-0.69	0.34	30	13	17	-0.275	-0.429
MA0160.1	NR4A2	12.0	52.0	111.0	-0.15	0.84	2.43	18	12	6	0.381	0.524
MA0882.1	DLX6	31.0	97.0	163.0	-1.38	-0.12	0.64	20	7	13	-0.143	0.036
MA0524.2	TFAP2C	117.0	285.0	401.0	-1.29	-0.08	0.85	34	14	20	-0.31	0.038
MA1152.1	SOX15	45.0	127.0	215.0	-1.68	0.29	0.69	24	13	11	0.038	-0.139
MA0143.4	SOX2	63.0	156.5	281.0	-2.36	-0.73	0.33	29	12	17	-0.101	-0.456
MA1113.1	PBX2	47.0	119.0	209.0	-2.09	-0.62	0.47	25	11	14	-0.579	-0.552
MA0492.1	JUND(var.2)	131.0	286.5	439.1	-0.67	-0.19	1.32	35	17	18	-0.061	0.177
MA1560.1	SOHLH2	111.0	233.0	365.0	-0.42	0.4	1.85	33	19	14	0.288	0.187
MA0147.3	MYC	149.0	327.0	453.1	-1.01	0.03	0.95	36	20	16	0.078	-0.067
MA1568.1	TCF21(var.2)	137.0	280.0	430.1	-0.38	0.39	1.98	36	21	15	0.272	0.179
MA0886.1	EMX2	22.0	82.0	134.0	-1.03	0.06	0.95	18	10	8	0.287	0.067
MA0885.1	Dlx2	13.0	66.0	112.0	-0.95	0.04	1.13	16	9	7	0.111	0.067
MA0141.3	ESRRB	54.5	139.5	230.0	-0.57	0.27	1.49	25	13	12	0.025	0.258
MA0162.4	EGR1	129.0	269.0	421.0	-0.62	-0.35	1.67	35	17	18	-0.08	0.274
MA0898.1	Hmx3	85.0	212.0	310.1	-1.12	-0.04	0.88	29	13	16	-0.235	0.024
MA0472.1	EGR2	218.8	390.0	591.5	-0.36	0.35	1.72	42	24	18	0.285	0.365
MA0693.2	VDR	34.0	92.0	180.0	-0.3	0.79	2.24	23	14	9	0.376	0.586
MA1419.1	IRF4	21.0	83.0	135.0	-1.12	0.04	0.92	18	9	9	0.093	-0.189
MA0070.1	PBX1	17.0	65.0	120.0	-1.45	-0.23	0.56	17	8	9	-0.143	-0.366
MA0158.2	HOXA5	0.0	51.0	86.0	-0.99	-0.03	1.03	14	6	8	-0.178	0.087
MA0910.2	HOXD8	24.0	79.0	132.0	-1.24	0.11	0.74	18	9	9	0.006	0.086
MA0711.1	OTX1	0.0	39.0	85.0	-1.97	-0.4	0.0	14	4	10	-0.386	0.029
MA0007.1	Ar	509.0	894.0	1142.0	-0.87	0.06	1.3	60	30	30	0.005	-0.058
