	5% p-val	5% stats	95% p-val	95% stats	Median p-val	Median stats
ARNT::HIF1A$MA0259.1|MAX$MA0058.1|Mycn$MA0104.3|MAX$MA0058.3|MAX::MYC$MA0059.1|MITF$MA0620.3|MXI1$MA1108.1|SOHLH2$MA1560.1|MNT$MA0825.1|TFEB$MA0692.1|HES1$MA1099.2|USF2$MA0526.2|USF1$MA0093.1|MLXIPL$MA0664.1|SREBF1(var.2)$MA0829.2|MITF$MA0620.2|Npas2$MA0626.1|Bhlhe40$MA0464.1|MYC$MA0147.3|Arnt$MA0004.1|TFEC$MA0871.1|Mlxip$MA0622.1|USF1$MA0093.2|TFE3$MA0831.1|USF2$MA0526.1|MYCN$MA0104.4|Srebf1(var.2)$MA0829.1|SREBF2(var.2)$MA0828.1|MLX$MA0663.1|CLOCK$MA0819.1|HES2$MA0616.2|Mycn$MA0104.2|Mycn$MA0104.1|Creb3l2$MA0608.1|HEY1$MA0823.1|HIF1A$MA1106.1|HES7$MA0822.1|Mitf$MA0620.1|HEY2$MA0649.1|Myc$MA0147.1|Arntl$MA0603.1|ARNT2$MA1464.1|HES6$MA1493.1|USF1$MA0093.3|HES5$MA0821.1|BHLHE40$MA0464.2|TFEC$MA0871.2|Hes1$MA1099.1|TFE3$MA0831.2|USF2$MA0526.3|BHLHE41$MA0636.1	-0.31605427573511896	89083.9602941176	2.41666162310413	116034.16421568622	0.6990487086789589	102154.08333333333
Rarb(var.2)$MA0858.1|RARA(var.2)$MA0730.1	-1.210698706327927	104161.375	0.9248346130249694	133181.725	-0.10165420622711617	117989.625
Klf1$MA0493.1|KLF4$MA0039.3|KLF4$MA0039.4|KLF11$MA1512.1|KLF2$MA1515.1|KLF10$MA1511.1|KLF5$MA0599.1|SP1$MA0079.4|Klf12$MA0742.1|KLF9$MA1107.1|KLF9$MA1107.2|Klf4$MA0039.2|SP3$MA0746.1|SP8$MA0747.1|KLF14$MA0740.1|KLF6$MA1517.1|KLF16$MA0741.1|KLF3$MA1516.1|SP3$MA0746.2|SP9$MA1564.1|SP4$MA0685.1	-0.4135781691638533	122588.11547619045	2.0996112954767865	156268.79285714283	0.5368107987405769	138855.36904761905
GATA6$MA1104.2|GATA5$MA0766.1|GATA3$MA0037.2|GATA6$MA1104.1|GATA3$MA0037.3|Gata1$MA0035.2|GATA5$MA0766.2|GATA2$MA0036.3|Gata4$MA0482.1|GATA4$MA0482.2|Gata1$MA0035.3|GATA2$MA0036.2	-1.825750027331542	79399.16875	0.7812317787413848	103617.34791666665	-0.2218882099848184	91101.8125
BATF::JUN$MA0462.1|FOSL1::JUND$MA1142.1|JUN::FOS$MA0099.1|FOS::JUN$MA0099.2|BACH1$MA1633.1|JUN(var.2)$MA0489.1|JUNB$MA0490.2|FOSL1$MA0477.1|FOSL1::JUNB$MA1137.1|JUN::JUNB$MA1132.1|BATF::JUN$MA0462.2|JDP2$MA0655.1|BATF$MA1634.1|FOS$MA0476.1|BACH2$MA1101.1|BATF3$MA0835.2|JUND$MA0491.2|JUND$MA0491.1|FOSL1$MA0477.2|FOSL2::JUNB$MA1138.1|FOS::JUN$MA0099.3|FOS::JUNB$MA1134.1|FOSL2::JUN$MA1130.1|FOSB::JUNB$MA1135.1|FOSL2::JUND$MA1144.1|JUNB$MA0490.1|Smad2::Smad3$MA1622.1|FOS::JUND$MA1141.1|FOSL1::JUN$MA1128.1|NFE2$MA0841.1|NFE2L1$MA0089.2|MAF::NFE2$MA0501.1|FOSL2$MA0478.1|Nfe2l2$MA0150.2|Bach1::Mafk$MA0591.1|MAFK$MA0496.3|BACH2$MA1101.2|NFE2L2$MA0150.1	3.8221193126690274	92164.14013157897	11.351096908283044	121458.96973684212	7.081650948731897	106168.7302631579
CEBPA$MA0102.2|Cebpa$MA0102.1|CEBPB$MA0466.2|CEBPD$MA0836.1|CEBPE$MA0837.1|CEBPG$MA0838.1	-1.9911301617101513	73787.62916666667	0.49067728362966195	97103.72083333333	-0.47019969874825174	85160.45833333333
TBP$MA0108.2|TBP$MA0108.1	-3.7256077101958756	151580.9625	-0.1932049997367276	193667.0875	-1.413317703097027	172267.25
MEIS2$MA0774.1|MEIS1$MA0498.2|MEIS3$MA0775.1	-0.30292244294819154	41701.51666666666	2.9197017080932404	58066.35	0.947302439127896	49475.833333333336
NHLH1$MA0048.1|ASCL1$MA1100.2|OLIG1$MA0826.1|Ptf1a(var.2)$MA1619.1|ASCL1$MA1100.1|MYF6$MA0667.1|HAND2$MA1638.1|TCF3$MA0522.2|Tcf21$MA0832.1|NHLH1$MA0048.2|ZEB1$MA0103.2|Ptf1a(var.3)$MA1620.1|SNAI2$MA0745.1|FIGLA$MA0820.1|Ptf1a$MA1618.1|TCF12(var.2)$MA1648.1|MYF5$MA1641.1|TCF3$MA0522.3|SNAI2$MA0745.2|Ascl2$MA0816.1|Tcf12$MA0521.1|Bhlha15$MA0607.1|Atoh1$MA0461.2|SNAI1$MA1558.1|NEUROG1$MA0623.2|NEUROD2$MA0668.1|TAL1::TCF3$MA0091.1|NEUROG2$MA0669.1|Rbpjl$MA1621.1|ATOH7$MA1468.1|NHLH2$MA1529.1|NEUROG2(var.2)$MA1642.1|BHLHE23$MA0817.1|TCF4$MA0830.1|TFAP4$MA0691.1|TWIST1$MA1123.2|BHLHA15(var.2)$MA1472.1|ATOH1(var.2)$MA1467.1|Myod1$MA0499.1|ZEB1$MA0103.1|TWIST1$MA1123.1|TCF21(var.2)$MA1568.1|MYOD1$MA0499.2|BHLHE22(var.2)$MA1635.1|NEUROD1$MA1109.1|ZEB1$MA0103.3|Tcf3$MA0522.1|Neurog1$MA0623.1|ASCL1(var.2)$MA1631.1|TCF4$MA0830.2|BHLHE22$MA0818.1|MYOG$MA0500.2|OLIG2$MA0678.1|MSC$MA0665.1|SNAI3$MA1559.1|ZBTB18$MA0698.1|OLIG3$MA0827.1|Myog$MA0500.1	-0.7914339402129841	83791.14224137935	1.5806464810497474	109459.24008620689	0.2445505155170905	96253.9827586207
TFAP2A$MA0003.2|TFAP2B$MA0811.1|TFAP2A$MA0003.4|TFAP2C$MA0524.1|TFAP2C$MA0524.2|TFAP2A(var.2)$MA0810.1|TFAP2E$MA1569.1|TFAP2C(var.2)$MA0814.1|TFAP2A$MA0003.3|TFAP2B(var.2)$MA0812.1|TFAP2C(var.2)$MA0814.2	-0.5106202207392103	92496.88863636363	2.2739663547478246	120467.46363636364	0.658794119447919	106016.75
BARX1$MA0875.1|Dlx3$MA0880.1|MSX2$MA0708.1|GBX2$MA0890.1|LHX2$MA0700.2|Dlx4$MA0881.1|LHX1$MA1518.1|ISX$MA0654.1|DLX6$MA0882.1|MSX1$MA0666.1|Dlx2$MA0885.1|HESX1$MA0894.1|Msx3$MA0709.1|LBX2$MA0699.1|Prrx2$MA0075.2|GBX1$MA0889.1|Shox2$MA0720.1|DLX5$MA1476.1|Nobox$MA0125.1|TLX2$MA1577.1|RAX2$MA0717.1|BSX$MA0876.1|DRGX$MA1481.1|HOXA7$MA1498.1|PRRX1$MA0716.1|LHX5$MA1519.1|EN2$MA0642.1|RAX$MA0718.1|PRRX2$MA0075.3|ALX3$MA0634.1|UNCX$MA0721.1|SHOX$MA0630.1|ESX1$MA0644.1|HOXB8$MA1502.1|EN1$MA0027.2|PAX4$MA0068.2|LHX9$MA0701.2|HOXD8$MA0910.2|Lhx8$MA0705.1|NOTO$MA0710.1|MIXL1$MA0662.1|Prrx2$MA0075.1|EMX1$MA0612.2|Pdx1$MA0132.1|MEOX1$MA0661.1|GSX2$MA0893.2|LHX9$MA0701.1|MNX1$MA0707.1|HOXC8$MA1505.1|POU6F1$MA0628.1|PDX1$MA0132.2|HOXB2$MA0902.2|HOXA1$MA1495.1|Lhx4$MA0704.1|NKX6-2$MA0675.1|LBX1$MA0618.1|HOXA2$MA0900.2|HOXB7$MA1501.1|HOXB6$MA1500.1|HOXA4$MA1496.1|HOXD4$MA1507.1|HOXB3$MA0903.1|HOXD3$MA0912.2|HOXA5$MA0158.2|EVX1$MA0887.1|LHX2$MA0700.1|NKX6-1$MA0674.1|ARGFX$MA1463.1|LMX1A$MA0702.2|HOXB5$MA0904.2|VSX1$MA0725.1|VSX2$MA0726.1|HOXB4$MA1499.1|HOXA6$MA1497.1|EMX1$MA0612.1|LMX1B$MA0703.2|LMX1B$MA0703.1|HOXB2$MA0902.1|EVX2$MA0888.1|GSX2$MA0893.1|mix-a$MA0621.1|MEOX2$MA0706.1|Alx1$MA0854.1|Dlx1$MA0879.1|LHX6$MA0658.1|HOXA2$MA0900.1|GSX1$MA0892.1|LMX1A$MA0702.1|EMX2$MA0886.1|HOXC4$MA1504.1|VAX1$MA0722.1|VAX2$MA0723.1|Arid3b$MA0601.1|Alx4$MA0853.1	-2.926445864181478	50261.257180851055	0.2561535693258068	68552.88829787236	-1.0569360135097572	59006.84574468085
Foxj2$MA0614.1|FOXG1$MA0613.1|FOXD2$MA0847.2|FOXO4$MA0848.1|FOXD2$MA0847.1|FOXB1$MA0845.1|Foxj3$MA0851.1|Foxo1$MA0480.1|FOXP1$MA0481.2|FOXO6$MA0849.1|FOXK1$MA0852.2|FOXI1$MA0042.2|FOXN3$MA1489.1|FOXO3$MA0157.2|FOXP2$MA0593.1|FOXP3$MA0850.1|FOXC2$MA0846.1|FOXD1$MA0031.1|FOXP1$MA0481.3|FOXA1$MA0148.3|FOXA1$MA0148.4|FOXK2$MA1103.1|Foxk1$MA0852.1|Foxl2$MA1607.1|Foxf1$MA1606.1|FOXK2$MA1103.2|FOXA1$MA0148.2|Foxa2$MA0047.2|FOXC1$MA0032.2|FOXA3$MA1683.1|FOXA1$MA0148.1|FOXA2$MA0047.3|FOXP1$MA0481.1|FOXL1$MA0033.2	-1.622291229422816	83148.69705882353	0.8760202270512853	107559.04779411765	-0.2661340520277139	94763.50735294117
