Merged motif (Total sequences: 1955)	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
Spi1$MA0080.3|SPIB$MA0081.2|ETS1$MA0098.3|FLI1$MA0475.2|EHF$MA0598.3|ELK4$MA0076.2|SPI1$MA0080.5|ETV6$MA0645.1|ELF2$MA1483.1|Gabpa$MA0062.2|ERG$MA0474.2|FLI1$MA0475.1|ETS2$MA1484.1|ELF4$MA0641.1|ERF$MA0760.1|FEV$MA0156.2|GABPA$MA0062.3|ETV3$MA0763.1|ETV2$MA0762.1|ELF1$MA0473.1|ETV1$MA0761.2|ETV4$MA0764.1|ELF1$MA0473.3|ELF1$MA0473.2|ETV1$MA0761.1|ELK3$MA0759.1|ELK1$MA0028.2|ETV5$MA0765.1|ELF3$MA0640.2|ELF5$MA0136.2|Ets1$MA0098.2|Erg$MA0474.1|ETV5$MA0765.2|EHF$MA0598.2|IKZF1$MA1508.1|ELK4$MA0076.1|SPI1$MA0080.2|ELF3$MA0640.1|ZBTB7A$MA0750.2|FEV$MA0156.1|GABPA$MA0062.1|EHF$MA0598.1|ETV4$MA0764.2|ELF5$MA0136.1|ETS1$MA0098.1	25576.7	31135.58	37160.8	12.02	17.12	22.91	556	391	165	1.044	0.987
IRF1$MA0050.2|IRF9$MA0653.1|IRF8$MA0652.1|IRF3$MA1418.1|IRF4$MA1419.1|IRF1$MA0050.1|STAT1$MA0137.1|IRF5$MA1420.1|STAT1::STAT2$MA0517.1|IRF2$MA0051.1|IRF7$MA0772.1	30818.35	37011.09	43976.11	11.77	16.74	22.54	655	438	217	0.58	0.788
SPI1$MA0080.4|SPIC$MA0687.1	32516.05	38976.0	46264.75	11.13	16.22	21.78	500	341	159	0.878	1.035
IRF6$MA1509.1	17748.2	22428.0	27555.1	9.24	13.85	19.2	401	268	133	0.815	0.834
Stat2$MA1623.1	23184.9	28527.5	34081.8	9.17	13.53	19.13	442	294	148	0.555	0.725
SPIB$MA0081.1	7611.5	10049.5	13069.3	8.43	12.92	17.72	285	195	90	0.861	0.894
PRDM1$MA0508.1	35657.2	42633.0	50700.5	5.42	9.21	14.09	500	314	186	0.448	0.528
SPI1$MA0080.1	8415.2	11017.0	14095.6	5.14	8.59	12.83	274	178	96	0.422	0.657
ELK1$MA0028.1	23072.2	27925.5	33713.9	4.9	8.31	12.68	409	265	144	0.39	0.484
SPDEF$MA0686.1	29876.4	36002.0	42854.7	4.6	8.12	12.73	457	287	170	0.484	0.552
ZKSCAN5$MA1652.1	32340.6	38931.0	46141.3	3.98	7.29	11.63	468	288	180	0.176	0.559
RUNX2$MA0511.2|RUNX1$MA0002.2|RUNX3$MA0684.1|RUNX1$MA0002.1|RUNX3$MA0684.2|RUNX2$MA0511.1	17114.37	21372.92	26070.47	3.67	6.74	10.69	325	215	110	0.645	0.766
YY1$MA0095.1	3028.5	4392.5	5990.6	-9.71	-6.08	-3.09	175	60	115	-0.831	-0.739
PAX6$MA0069.1	31500.3	37682.5	44433.4	2.91	5.79	9.73	451	280	171	0.388	0.404
SIX2$MA1119.1	40743.3	48017.0	56121.0	2.85	5.74	9.56	504	298	206	0.228	0.343
PRDM4$MA1647.1	18150.4	22193.0	26905.6	2.77	5.62	9.09	353	219	134	0.271	0.455
PRDM1$MA0508.2	19349.3	23855.0	29001.6	2.6	5.5	9.22	364	215	149	0.345	0.499
MYB$MA0100.3	14696.4	18221.5	22068.1	1.86	4.27	7.62	314	196	118	0.092	0.366
HINFP$MA0131.1	25634.4	31666.5	37991.1	1.75	4.21	7.56	405	245	160	0.444	0.416
PAX5$MA0014.2	56140.3	65443.5	76390.4	1.7	4.17	7.77	569	318	251	0.245	0.287
HNF1B$MA0153.1	11119.1	14363.5	18278.4	1.74	4.04	7.31	280	163	117	0.337	0.471
RHOXF1$MA0719.1	6781.7	9022.0	11573.3	-6.56	-3.49	-1.39	223	87	136	-0.229	-0.338
JUN::FOS$MA0099.1|BATF::JUN$MA0462.1|JUN(var.2)$MA0489.1|FOSL1::JUND$MA1142.1|FOS::JUN$MA0099.2|FOSL1$MA0477.1|FOS$MA0476.1|JUNB$MA0490.2|JUND$MA0491.2|FOSL1::JUNB$MA1137.1|JUND$MA0491.1|FOSL1$MA0477.2|BACH1$MA1633.1|Smad2::Smad3$MA1622.1|FOS::JUN$MA0099.3|NFE2L1$MA0089.2|BATF$MA1634.1|JUNB$MA0490.1|BATF::JUN$MA0462.2|MAF::NFE2$MA0501.1|FOSL2::JUN$MA1130.1|JDP2$MA0655.1|BATF3$MA0835.2|JUN::JUNB$MA1132.1|BACH2$MA1101.1|FOS::JUNB$MA1134.1|FOSL1::JUN$MA1128.1|FOSL2::JUNB$MA1138.1|FOSL2::JUND$MA1144.1|FOSB::JUNB$MA1135.1|NFE2$MA0841.1|FOS::JUND$MA1141.1|FOSL2$MA0478.1|Nfe2l2$MA0150.2|MAFK$MA0496.3|Bach1::Mafk$MA0591.1|NFE2L2$MA0150.1|BACH2$MA1101.2	19950.63	24587.47	29697.99	1.05	3.44	6.52	231	146	85	0.604	0.72
ZNF384$MA1125.1	11304.6	14643.5	18223.3	-6.67	-3.39	-1.33	278	110	168	-0.316	-0.422
Myb$MA0100.1	9028.6	11750.0	14617.7	1.25	3.38	6.48	251	147	104	0.244	0.387
PAX9$MA0781.1|PAX1$MA0779.1	26278.0	31793.5	38064.55	1.08	3.0	5.98	358	203	155	0.386	0.418
SIX1$MA1118.1	19016.8	23645.0	29094.0	1.03	2.96	6.01	344	200	144	0.308	0.307
HNF1A$MA0046.1|HNF1A$MA0046.2|HNF1B$MA0153.2	17053.8	21218.67	25956.27	0.96	2.92	5.85	354	218	136	0.498	0.409
OTX2$MA0712.2|PITX2$MA1547.1|OTX1$MA0711.1|GSC2$MA0891.1|GSC$MA0648.1|Pitx1$MA0682.1|PITX1$MA0682.2|PITX3$MA0714.1|OTX2$MA0712.1	9299.78	12001.17	15095.21	-5.6	-2.75	-0.9	333	136	197	-0.163	-0.304
MAFG::NFE2L1$MA0089.1	3856.5	5472.5	7156.6	0.91	2.73	5.45	173	107	66	0.331	0.384
HINFP$MA0131.2	30745.3	37208.0	43970.8	0.78	2.72	5.6	424	241	183	0.271	0.257
Sox5$MA0087.1	3014.5	4197.0	5682.3	-5.27	-2.69	-0.76	153	59	94	-0.135	-0.542
Pax2$MA0067.1	12057.2	15097.0	19004.0	0.66	2.48	5.24	275	163	112	0.23	0.221
ZNF341$MA1655.1	20139.3	25167.0	30505.1	0.74	2.47	5.05	350	210	140	0.153	0.199
SOX14$MA1562.1	15375.7	19374.5	23878.1	-5.04	-2.44	-0.68	309	126	183	-0.248	-0.248
HMBOX1$MA0895.1	14331.7	18392.0	22586.4	0.69	2.38	5.23	301	181	120	0.236	0.176
Myb$MA0100.2	13148.0	16765.5	20497.1	0.72	2.37	5.12	288	175	113	0.334	0.303
NFATC2$MA0152.1|NFAT5$MA0606.1	15133.45	18918.5	23159.7	-5.01	-2.36	-0.65	259	113	146	-0.252	-0.348
CUX1$MA0754.1|CUX2$MA0755.1	13179.3	16519.25	20652.15	-4.85	-2.3	-0.55	277	118	159	-0.208	-0.291
HLTF$MA0109.1	16093.6	20225.0	24871.4	-5.08	-2.29	-0.59	314	130	184	-0.159	-0.187
SRF$MA0083.3	17588.1	21665.5	26087.8	-4.67	-2.24	-0.57	324	135	189	-0.183	-0.302
