Merged motif (Total sequences: 106)	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
HNF1A$MA0046.2|Hmx2$MA0897.1|Gfi1$MA0038.1|Mycn$MA0104.2|MAX::MYC$MA0059.1|Hmx3$MA0898.1|Hes2$MA0616.1|ATF7$MA0834.1|CREB3L1$MA0839.1|MYC$MA0147.3|JUNB(var.2)$MA1140.2|BHLHA15(var.2)$MA1472.1|HOXA9$MA0594.2|MYCN$MA0104.4|Myc$MA0147.1|MXI1$MA1108.2|Arx$MA0874.1|XBP1$MA0844.1|Hoxd8$MA0910.1|CLOCK$MA0819.1|MAX$MA0058.2|CREB1$MA0018.4|FOSL2::JUNB(var.2)$MA1139.1|TCF4$MA0830.2|FOSL2::JUN(var.2)$MA1131.1|Myc$MA0147.2|JUN::JUNB(var.2)$MA1133.1|MLXIPL$MA0664.1|VAX2$MA0723.1|Npas2$MA0626.1|BHLHE41$MA0636.1|ARNT::HIF1A$MA0259.1|ZEB1$MA0103.2|Hmx1$MA0896.1|LMX1B$MA0703.2|TBX18$MA1565.1|NKX2-3$MA0672.1|MAX$MA0058.3|HES1$MA1099.2|NEUROD1$MA1109.1|Ascl2$MA0816.1|Bhlha15$MA0607.1|MGA$MA0801.1|TWIST1$MA1123.1|Lhx8$MA0705.1|Atf1$MA0604.1|ASCL1$MA1100.1|TGIF2LY$MA1572.1|TBX20$MA0689.1|FOSB::JUNB(var.2)$MA1136.1|FOSB::JUN$MA1127.1|Ptf1a(var.2)$MA1619.1|BHLHE22(var.2)$MA1635.1|MLX$MA0663.1|Rbpjl$MA1621.1|BHLHE40$MA0464.2|RAX$MA0718.1|TGIF2$MA0797.1|NEUROG2(var.2)$MA1642.1|Crem$MA0609.1|TGIF2LX$MA1571.1|Nkx3-2$MA0122.3|Dlx1$MA0879.1|Twist2$MA0633.1|TBX6$MA1567.1|MEOX1$MA0661.1|NKX3-2$MA0122.2|Srebf1(var.2)$MA0829.1|TWIST1$MA1123.2|BSX$MA0876.1|TBX3$MA1566.1|FOS::JUN(var.2)$MA1126.1|HOXA1$MA1495.1|NFYB$MA0502.1|NFYA$MA0060.3|Creb5$MA0840.1|HOXD3$MA0912.2|E2F2$MA0864.2|ASCL1(var.2)$MA1631.1|JDP2(var.2)$MA0656.1|NFYA$MA0060.2|TBX4$MA0806.1|Ptf1a(var.3)$MA1620.1|FOSL2::JUND(var.2)$MA1145.1|ATF4$MA0833.1|HOXA2$MA0900.2|Tcf12$MA0521.1|HOXC4$MA1504.1|E2F3$MA0469.3|HOXB8$MA1502.1|MSC$MA0665.1|CREB1$MA0018.3|HNF1B$MA0153.2|ASCL1$MA1100.2|TAL1::TCF3$MA0091.1|Atf3$MA0605.1|MEOX2$MA0706.1|HOXA5$MA0158.2|HOXB3$MA0903.1|NEUROG2$MA0669.1|DLX5$MA1476.1|ATOH7$MA1468.1|MNT$MA0825.1|TCF12(var.2)$MA1648.1|NFYB$MA0502.2|SREBF2(var.2)$MA0828.1|PHOX2A$MA0713.1|Nkx3-1$MA0124.2|OLIG2$MA0678.1|CREB3L4$MA1474.1|HIF1A$MA1106.1|HOXD8$MA0910.2|MEF2A$MA0052.3|LHX6$MA0658.1|OLIG1$MA0826.1|PDX1$MA0132.2|TFEB$MA0692.1|MEF2A$MA0052.2|Tcf3$MA0522.1|MEF2A$MA0052.4|HOXB2$MA0902.2|ESX1$MA0644.1|HNF1B$MA0153.1|CREB1$MA0018.2|ATOH1(var.2)$MA1467.1|Phox2b$MA0681.1|Arntl$MA0603.1|TFEC$MA0871.2|Hoxb5$MA0904.1|BARX1$MA0875.1|Alx1$MA0854.1|USF1$MA0093.2|HLF$MA0043.2|DBP$MA0639.1|SNAI2$MA0745.2|USF2$MA0526.3|TEF$MA0843.1|EMX1$MA0612.2|BARX2$MA1471.1|EVX2$MA0888.1|Mlxip$MA0622.1|MEF2B$MA0660.1|HOXB5$MA0904.2|NEUROG1$MA0623.2|PKNOX2$MA0783.1|LBX2$MA0699.1|Myog$MA0500.1|Hes1$MA1099.1|TBX2$MA0688.1|USF1$MA0093.3|Neurog1$MA0623.1|Gmeb1$MA0615.1|EOMES$MA0800.1|NKX2-8$MA0673.1|CREB3L4(var.2)$MA1475.1|Hoxd3$MA0912.1|NFYC$MA1644.1|LMX1B$MA0703.1|Barhl1$MA0877.1|NFYA$MA0060.1|HOXB2$MA0902.1|EVX1$MA0887.1|MEF2A$MA0052.1|USF2$MA0526.2|FOXH1$MA0479.1|Ptf1a$MA1618.1|Creb3l2$MA0608.1|Dlx2$MA0885.1|TCF3$MA0522.3|POU4F3$MA0791.1|HOXD4$MA1507.1|Nkx3-2$MA0122.1|PKNOX1$MA0782.1|JUN$MA0488.1|TGIF1$MA0796.1|Atoh1$MA0461.2|ATF3$MA0605.2|BHLHE23$MA0817.1|ATF6$MA1466.1|ZBTB18$MA0698.1|EN2$MA0642.1|E2F4$MA0470.2|ATF2$MA1632.1|ARNT2$MA1464.1|MYF6$MA0667.1|SNAI1$MA1558.1|HOXA4$MA1496.1|HOXB6$MA1500.1|Mitf$MA0620.1|MSGN1$MA1524.1|HEY2$MA0649.1|ZEB1$MA0103.3|EMX2$MA0886.1|TBR1$MA0802.1|Alx4$MA0853.1|E2F1$MA0024.3|POU4F2$MA0683.1|USF2$MA0526.1|HOXA2$MA0900.1|MYOD1$MA0499.2|NEUROD2$MA0668.1|MAX$MA0058.1|EN1$MA0027.2|TFAP4(var.2)$MA1570.1|Tcf21$MA0832.1|GBX1$MA0889.1|GMEB2$MA0862.1|TFAP4$MA0691.1|OLIG3$MA0827.1|ZEB1$MA0103.1|MITF$MA0620.3|TCF4$MA0830.1|GSX2$MA0893.1|HAND2$MA1638.1|SNAI3$MA1559.1|TBX15$MA0803.1|Tcfl5$MA0632.1|TBX21$MA0690.1|FOSL1::JUND(var.2)$MA1143.1|MXI1$MA1108.1|POU4F1$MA0790.1|CEBPG(var.2)$MA1636.1|MITF$MA0620.2|EMX1$MA0612.1|HES6$MA1493.1|DLX6$MA0882.1|TFE3$MA0831.1|BHLHE22$MA0818.1|TBX1$MA0805.1|LHX1$MA1518.1|TBX5$MA0807.1|Dlx3$MA0880.1|GBX2$MA0890.1|PHOX2B$MA0681.2|TFE3$MA0831.2|MEF2C$MA0497.1|Tbxt$MA0009.1|FIGLA$MA0820.1|Dlx4$MA0881.1|JUND(var.2)$MA0492.1|SNAI2$MA0745.1|HOXA6$MA1497.1|ATF4$MA0833.2|HES2$MA0616.2|GSX1$MA0892.1|CREB3$MA0638.1|NOTO$MA0710.1|SOHLH2$MA1560.1|HES7$MA0822.1|TCF21(var.2)$MA1568.1|TCF3$MA0522.2|VENTX$MA0724.1|SHOX$MA0630.1|Isl1$MA1608.1|HES5$MA0821.1|MYOG$MA0500.2|MYF5$MA1641.1|Lhx4$MA0704.1|HOXC8$MA1505.1|DRGX$MA1481.1|MEF2D$MA0773.1|Arnt$MA0004.1|LMX1A$MA0702.2|MNX1$MA0707.1|Shox2$MA0720.1|PROP1$MA0715.1|ARGFX$MA1463.1|SREBF1(var.2)$MA0829.2|MIXL1$MA0662.1|FOSL1::JUN(var.2)$MA1129.1|PRRX1$MA0716.1|Msx3$MA0709.1|GSX2$MA0893.2|Ahr::Arnt$MA0006.1|mix-a$MA0621.1|LHX9$MA0701.2|PAX3$MA0780.1|TLX2$MA1577.1|NKX6-2$MA0675.1|LHX5$MA1519.1|HOXA7$MA1498.1|HEY1$MA0823.1|TFEC$MA0871.1|Sox17$MA0078.1|UNCX$MA0721.1|USF1$MA0093.1|MSX2$MA0708.1|E2F1$MA0024.1|Arid3b$MA0601.1|PAX4$MA0068.2|Mycn$MA0104.3|LMX1A$MA0702.1|VSX2$MA0726.1|HOXB4$MA1499.1|Prrx2$MA0075.2|VAX1$MA0722.1|MSX1$MA0666.1|ISX$MA0654.1|NKX6-1$MA0674.1|Nobox$MA0125.1|Pdx1$MA0132.1|NKX6-3$MA1530.1|Dux$MA0611.1|Prrx2$MA0075.1|ALX3$MA0634.1|VSX1$MA0725.1|LHX9$MA0701.1|PAX7$MA0680.1|LHX2$MA0700.2|Bhlhe40$MA0464.1|ISL2$MA0914.1|LBX1$MA0618.1|LHX2$MA0700.1|RAX2$MA0717.1|PRRX2$MA0075.3|NFIL3$MA0025.1|Mycn$MA0104.1|JUNB(var.2)$MA1140.1|POU6F1$MA0628.1|HESX1$MA0894.1	10.91	48.09	93.11	-0.97	-0.01	0.86	18	5	13	-0.41	-0.75
Rarb(var.2)$MA0858.1|RARA(var.2)$MA0730.1|RARA::RXRA$MA0159.1	57.63	142.0	228.37	-1.47	-0.04	0.82	24	11	13	-0.067	-0.628
Egr1$MA0162.1|EGR1$MA0162.3|EGR3$MA0732.1|KLF6$MA1517.1|EGR4$MA0733.1|EGR2$MA0472.2|KLF10$MA1511.1|EGR2$MA0472.1|SP3$MA0746.2|EGR1$MA0162.4|ZNF148$MA1653.1|SP8$MA0747.1|SP1$MA0079.3|KLF11$MA1512.1|SP9$MA1564.1|SP3$MA0746.1|ZNF740$MA0753.2|KLF9$MA1107.1|ZNF740$MA0753.1|KLF2$MA1515.1|MAZ$MA1522.1|KLF16$MA0741.1|KLF14$MA0740.1|EGR1$MA0162.2|SP1$MA0079.2|Wt1$MA1627.1|KLF3$MA1516.1|KLF4$MA0039.3|Klf12$MA0742.1|Znf281$MA1630.1|KLF15$MA1513.1|SP2$MA0516.1|SP4$MA0685.1|Klf1$MA0493.1|VEZF1$MA1578.1|Klf4$MA0039.2|KLF4$MA0039.4|SP1$MA0079.1|SP1$MA0079.4|KLF9$MA1107.2|KLF5$MA0599.1	38.72	107.68	186.23	-0.36	0.68	2.11	17	14	3	1.519	1.452
Gata1$MA0035.2|GATA3$MA0037.1|GATA6$MA1104.1|GATA4$MA0482.2|Gata1$MA0035.3|GATA2$MA0036.2|GATA5$MA0766.2|Tal1::Gata1$MA0140.1|GATA2$MA0036.3|Gata4$MA0482.1|GATA3$MA0037.3|GATA6$MA1104.2|GATA5$MA0766.1|GATA1$MA0035.4|GATA3$MA0037.2	31.4	94.8	162.71	-0.5	0.3	1.69	21	16	5	0.377	0.346
JUN::FOS$MA0099.1	0.0	29.0	55.0	-1.23	-0.14	0.67	11	5	6	-0.395	-0.12
CEBPD$MA0836.1|CEBPB$MA0466.2|CEBPD$MA0836.2|Cebpa$MA0102.1|CEBPE$MA0837.1|NFIL3$MA0025.2|CEBPA$MA0102.2|HLF$MA0043.3|CEBPA$MA0102.3|CEBPA$MA0102.4|CEBPG$MA0838.1|CEBPB$MA0466.1	14.08	67.42	119.5	-0.81	0.15	1.27	16	11	5	0.319	0.15
TBP$MA0108.2|TBP$MA0108.1	0.0	33.0	68.5	-1.6	-0.3	0.44	13	5	8	-0.312	-0.132
MEIS2$MA0774.1|MEIS3$MA0775.1|MEIS1$MA0498.2	0.0	0.0	30.67	-0.24	0.0	0.63	8	4	4	0.096	0.554
TFAP2A$MA0003.2|TFAP2C$MA0524.1|TFAP2E$MA1569.1|TFAP2A$MA0003.4|TFAP2B(var.2)$MA0812.1|TFAP2A$MA0003.3|ZFP57$MA1583.1|TFAP2C(var.2)$MA0814.2|TFAP2C(var.2)$MA0814.1	37.89	109.5	183.01	-0.71	0.17	1.44	27	15	12	0.539	0.327
FOXO3$MA0157.1|SOX4$MA0867.2|SOX14$MA1562.1|FOXP3$MA0850.1|Foxj3$MA0851.1|FOXO4$MA0848.1|FOXD2$MA0847.1|SOX10$MA0442.2|Sox6$MA0515.1|FOXF2$MA0030.1|FOXI1$MA0042.2|Sox3$MA0514.1|Foxk1$MA0852.1|FOXA1$MA0148.1|FOXA1$MA0148.2|FOXO3$MA0157.2|SOX13$MA1120.1|FOXL1$MA0033.2|FOXD1$MA0031.1|FOXP1$MA0481.2|FOXP1$MA0481.3|SRY$MA0084.1|FOXP1$MA0481.1|SOX8$MA0868.2|FOXE1$MA1487.1|FOXA1$MA0148.3|FOXA2$MA0047.3|Foxo1$MA0480.1|FOXA3$MA1683.1|Foxq1$MA0040.1|Foxj2$MA0614.1|Foxa2$MA0047.2|FOXP2$MA0593.1|FOXA1$MA0148.4|SOX2$MA0143.4|Foxl2$MA1607.1|FOXI1$MA0042.1|FOXK1$MA0852.2|FOXK2$MA1103.2|SOX9$MA0077.1|FOXB1$MA0845.1|Foxf1$MA1606.1|SOX12$MA1561.1|SOX15$MA1152.1|FOXC2$MA0846.1|FOXK2$MA1103.1|FOXC1$MA0032.2|Sox5$MA0087.1|Sox2$MA0143.3|FOXN3$MA1489.1|FOXO6$MA0849.1|FOXG1$MA0613.1|FOXD2$MA0847.2|SOX10$MA0442.1	8.41	45.69	87.16	-1.28	-0.19	0.71	14	4	10	-1.154	-1.121
