id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	13433.9	16923.5	20612.9	-2.79	-0.84	0.1	274	126	148	-0.115	-0.107
MA0730.1	RARA(var.2)	20680.0	25123.5	29571.6	-0.57	0.55	2.04	328	165	163	0.009	0.174
MA0742.1	Klf12	25629.9	31174.0	36162.4	-1.67	0.3	0.71	360	182	178	0.018	-0.049
MA0482.2	GATA4	20966.8	26486.0	30054.0	-1.08	-0.03	0.97	326	159	167	-0.014	-0.013
MA0099.1	JUN::FOS	7248.2	9643.5	12202.3	-0.47	1.39	3.57	214	115	99	0.115	0.351
MA0102.1	Cebpa	15852.9	20677.5	23556.0	-1.11	-0.03	0.85	288	139	149	-0.06	-0.004
MA0108.1	TBP	25379.6	30950.0	36718.5	-2.81	-0.85	0.11	368	171	197	-0.083	-0.077
MA0498.2	MEIS1	6998.6	9339.5	11486.3	-1.48	-0.22	0.53	197	95	102	-0.018	0.005
MA1100.2	ASCL1	10420.9	13951.0	16150.4	-0.95	0.01	0.93	236	121	115	0.05	-0.042
MA0812.1	TFAP2B(var.2)	11939.0	15171.5	18679.4	-2.23	-0.62	0.26	257	121	136	-0.055	-0.133
MA0853.1	Alx4	24230.9	29879.5	35162.9	-2.01	-0.48	0.07	356	164	192	-0.067	-0.085
MA0033.2	FOXL1	5571.3	7577.5	9557.0	-2.17	-0.53	0.2	182	84	98	-0.063	-0.165
MA0805.1	TBX1	10947.8	14293.0	16838.7	-0.7	0.15	1.37	242	124	118	0.034	0.078
MA0075.1	Prrx2	3018.8	4334.0	5642.3	-2.1	-0.49	0.45	138	67	71	-0.023	-0.172
MA0912.1	Hoxd3	30888.0	37132.5	42551.6	-1.56	-0.27	0.57	392	194	198	-0.01	-0.089
MA1519.1	LHX5	5098.8	6805.0	8810.6	-5.06	-2.41	-0.67	189	80	109	-0.215	-0.398
MA0694.1	ZBTB7B	21669.6	26229.0	31041.2	-0.4	0.43	1.99	333	173	160	0.051	0.075
MA0491.1	JUND	11567.7	15036.5	18629.6	-1.25	1.22	3.16	263	133	130	0.048	0.312
MA0148.2	FOXA1	16040.4	20360.0	23685.5	-1.53	-0.22	0.56	290	139	151	-0.1	-0.019
MA0475.2	FLI1	14355.6	18214.0	22389.8	18.14	23.72	30.17	415	291	124	0.912	1.126
MA0100.2	Myb	13639.6	17303.0	20463.8	-0.63	0.19	1.48	267	135	132	0.029	0.044
MA0670.1	NFIA	8675.5	11220.5	13979.3	-4.09	-1.71	-0.3	233	100	133	-0.103	-0.408
MA1635.1	BHLHE22(var.2)	7164.0	9820.0	11996.8	-1.43	-0.16	0.62	201	95	106	-0.023	-0.084
MA1573.1	THAP11	28661.9	34255.5	40698.8	-3.03	-1.08	-0.05	390	178	212	-0.073	-0.169
MA0765.1	ETV5	13974.8	17392.0	21488.3	19.58	25.25	31.5	415	304	111	0.71	0.947
MA0877.2	BARHL1	11295.5	14961.0	17507.0	-0.79	0.12	1.32	247	131	116	0.086	0.011
MA0141.2	Esrrb	20790.8	26059.5	29852.8	-0.79	0.1	1.16	325	163	162	0.029	0.032
MA0104.1	Mycn	6338.6	8257.5	10595.6	-0.45	0.63	2.29	191	99	92	0.071	0.197
MA1587.1	ZNF135	26601.6	32893.0	37132.8	-1.02	0.02	0.85	363	183	180	0.013	-0.026
MA0512.1	Rxra	12708.8	16342.5	18976.8	-0.76	-0.07	1.18	257	126	131	-0.066	0.049
MA0119.1	NFIC::TLX1	14017.4	17749.0	21171.9	-1.81	-0.39	0.34	274	130	144	-0.215	-0.132
MA0904.1	Hoxb5	24842.1	30451.5	36622.2	-5.13	-2.24	-0.62	381	161	220	-0.192	-0.216
