Merged motif (Total sequences: 1752)	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
Gabpa$MA0062.2|ETS2$MA1484.1|ELK3$MA0759.1|ETV1$MA0761.1|ETV5$MA0765.1|ETV4$MA0764.1|ELK1$MA0028.2|FEV$MA0156.2|ELK4$MA0076.2|FLI1$MA0475.2|ERF$MA0760.1|ERG$MA0474.2|ELK4$MA0076.1|ELF1$MA0473.2|ELF2$MA1483.1|ELF4$MA0641.1|ELF1$MA0473.1|ETV2$MA0762.1|ETV5$MA0765.2|ETS1$MA0098.3|EHF$MA0598.3|ZBTB7A$MA0750.2|ETV3$MA0763.1|FLI1$MA0475.1|ELF5$MA0136.2|ETV1$MA0761.2|GABPA$MA0062.3|ELF1$MA0473.3|Ets1$MA0098.2|IKZF1$MA1508.1|EHF$MA0598.2|ETV6$MA0645.1|SPIB$MA0081.2|Erg$MA0474.1|Spi1$MA0080.3|ELK1$MA0028.1|GABPA$MA0062.1|SPI1$MA0080.5|ELF3$MA0640.1|ELF3$MA0640.2|FEV$MA0156.1|ETV4$MA0764.2|SPI1$MA0080.2|ELF5$MA0136.1|ETS1$MA0098.1|EHF$MA0598.1	17714.14	21996.7	26738.19	13.54	18.6	24.23	425	323	102	1.072	1.186
IRF3$MA1418.1|IRF9$MA0653.1|IRF8$MA0652.1|IRF4$MA1419.1|IRF1$MA0050.2|STAT1$MA0137.1|IRF5$MA1420.1|IRF7$MA0772.1|STAT1::STAT2$MA0517.1|IRF1$MA0050.1|IRF2$MA0051.1|PRDM1$MA0508.1	18614.9	23146.42	28103.98	13.42	18.58	24.27	524	364	160	0.78	0.989
SPIC$MA0687.1|SPI1$MA0080.4	20402.75	25254.5	30356.3	13.28	18.24	24.26	451	314	137	0.731	0.855
Stat2$MA1623.1	13015.2	16677.0	20764.9	10.1	14.71	20.18	359	242	117	0.693	0.862
SPIB$MA0081.1	5401.2	7412.0	9694.7	8.27	12.11	16.62	249	172	77	0.935	0.95
IRF6$MA1509.1	10229.2	13355.5	16765.0	6.78	10.99	15.83	310	220	90	0.476	0.755
SPDEF$MA0686.1	20010.4	24892.5	29789.2	6.72	10.49	15.24	401	264	137	0.605	0.72
PRDM4$MA1647.1	11548.0	14653.0	18216.6	4.14	7.39	11.59	303	193	110	0.333	0.565
SPI1$MA0080.1	7345.0	9797.5	12699.1	4.25	7.31	11.08	254	162	92	0.418	0.657
YY1$MA0095.1	3321.4	4639.5	6170.9	-10.66	-7.06	-4.09	184	63	121	-0.831	-0.808
PRDM1$MA0508.2	13850.9	17575.5	21763.4	2.99	6.0	9.6	320	192	128	0.349	0.638
PAX6$MA0069.1	27747.4	33605.0	39950.3	1.8	4.42	7.99	418	243	175	0.331	0.364
ZKSCAN5$MA1652.1	30535.7	36916.0	43472.3	1.52	3.83	7.19	432	241	191	0.132	0.408
PAX5$MA0014.2	38270.8	45883.5	53997.7	1.59	3.77	6.76	478	275	203	0.302	0.294
NFIC$MA0161.1|NFIX$MA0671.1|NFIA$MA0670.1|NFIC$MA0161.2	7598.8	9944.62	12483.68	-6.57	-3.65	-1.62	166	54	112	-0.465	-0.57
RUNX2$MA0511.2|RUNX3$MA0684.1|RUNX1$MA0002.1	11869.07	15025.67	18484.23	1.53	3.64	6.81	255	158	97	0.627	0.59
Pax5$MA0014.1	45073.4	52408.5	61395.7	1.27	3.55	6.65	507	297	210	0.284	0.227
HINFP$MA0131.1	23158.9	28189.0	33971.0	1.26	3.48	6.6	378	225	153	0.29	0.362
ZNF410$MA0752.1	9969.4	12649.0	15730.0	-6.51	-3.42	-1.27	260	103	157	-0.231	-0.476
ZBTB26$MA1579.1	23881.9	28856.0	34328.8	-6.18	-3.21	-1.18	380	160	220	-0.067	-0.249
OVOL2$MA1545.1|OVOL1$MA1544.1	23029.1	28227.25	33757.85	1.14	3.16	6.02	382	229	153	0.154	0.31
HINFP$MA0131.2	21326.2	26664.0	32439.3	0.97	2.95	6.03	364	215	149	0.278	0.299
Gata1$MA0035.1|GATA2$MA0036.1	4373.45	6053.25	7991.1	-5.6	-2.76	-0.93	194	76	118	-0.205	-0.286
SIX1$MA1118.1|SIX2$MA1119.1	27745.45	33767.75	39975.8	0.77	2.68	5.6	341	198	143	0.307	0.272
THAP1$MA0597.1	9300.8	12169.0	15209.0	-5.45	-2.68	-0.79	250	97	153	-0.22	-0.197
HOXC12$MA0906.1|HOXD10$MA1506.1|HOXC11$MA0651.1|HOXC9$MA0485.2|HOXB9$MA1503.1|HOXD12$MA0873.1|HOXD11$MA0908.1|Hoxa11$MA0911.1|HOXC10$MA0905.1	12102.49	15421.67	19110.51	0.62	2.64	5.43	287	174	113	0.389	0.379
Hic1$MA0739.1|HIC2$MA0738.1	11184.45	14279.0	17842.25	-5.33	-2.6	-0.78	264	107	157	-0.233	-0.333
Dux$MA0611.1	4144.9	5730.0	7581.4	-5.27	-2.48	-0.71	175	69	106	-0.25	-0.447
