id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	1238.4	1971.0	2727.7	-2.72	-0.84	0.1	97	42	55	-0.269	-0.213
MA0730.1	RARA(var.2)	2211.9	3194.5	4375.6	-0.42	1.58	3.63	128	71	57	0.117	0.493
MA0742.1	Klf12	2656.0	3711.0	4706.0	-1.73	-0.32	0.53	126	62	64	-0.031	-0.102
MA0482.2	GATA4	2342.7	3396.0	4492.0	-2.55	-0.74	0.29	125	56	69	-0.147	-0.14
MA0099.1	JUN::FOS	930.8	1475.0	2166.0	-0.24	1.35	3.56	88	50	38	0.377	0.504
MA0102.1	Cebpa	1930.9	2962.5	3690.4	-0.85	0.04	1.09	109	58	51	0.226	-0.036
MA0108.1	TBP	2488.5	3549.0	4741.0	-3.64	-1.38	-0.06	133	56	77	-0.242	-0.165
MA0498.2	MEIS1	577.0	976.0	1438.3	-0.53	0.51	1.93	67	35	32	0.088	0.399
MA1100.2	ASCL1	800.9	1368.5	2015.1	0.03	0.91	2.77	82	49	33	0.179	0.144
MA0812.1	TFAP2B(var.2)	1046.5	1695.0	2405.2	-2.49	-0.68	0.36	89	41	48	-0.059	-0.248
MA0853.1	Alx4	2856.0	4150.5	5272.2	-0.5	0.31	1.6	133	69	64	0.042	0.065
MA0033.2	FOXL1	719.2	1253.0	1662.0	-0.75	0.14	1.33	72	37	35	0.029	0.094
MA0805.1	TBX1	1073.5	1683.5	2239.2	-0.74	-0.19	1.39	84	40	44	-0.021	0.224
MA0075.1	Prrx2	531.5	954.0	1282.2	-0.75	0.06	1.05	62	32	30	0.023	0.132
MA0912.1	Hoxd3	3760.8	5133.0	6434.0	-1.61	-0.33	0.59	148	73	75	-0.012	-0.105
MA1519.1	LHX5	622.8	1047.0	1565.4	-2.36	-0.73	0.33	71	32	39	-0.115	-0.277
MA0694.1	ZBTB7B	2542.2	3646.5	4668.1	-0.38	0.32	1.73	125	70	55	0.323	0.06
MA0491.1	JUND	964.9	1508.5	2185.8	-1.02	2.2	4.65	94	52	42	0.297	0.706
MA0148.2	FOXA1	2491.8	3646.0	4594.8	-0.75	-0.17	1.46	123	60	63	-0.046	0.136
MA0475.2	FLI1	1895.5	2810.0	3810.2	3.96	7.06	10.79	150	100	50	0.935	0.959
MA0100.2	Myb	1306.5	2074.0	2702.5	-0.85	0.1	1.26	92	47	45	0.076	0.021
MA0670.1	NFIA	900.4	1419.0	2043.6	-3.21	-1.29	-0.07	86	35	51	-0.148	-0.515
MA1635.1	BHLHE22(var.2)	490.4	893.5	1332.6	0.02	1.06	3.05	68	41	27	0.161	0.243
MA1573.1	THAP11	3901.8	5311.5	6841.0	-2.78	-0.93	0.05	157	70	87	-0.077	-0.265
MA0765.1	ETV5	1887.9	2908.0	3986.6	4.88	8.32	12.16	158	112	46	0.553	0.824
MA0877.2	BARHL1	1597.1	2407.0	3120.0	-1.34	0.16	0.74	100	52	48	0.06	-0.112
MA0141.2	Esrrb	2890.7	4294.5	5279.0	-1.01	0.02	1.01	131	68	63	0.042	0.045
MA0104.1	Mycn	713.3	1221.5	1605.8	-1.37	-0.13	0.63	71	35	36	-0.071	-0.081
MA1587.1	ZNF135	3094.9	4239.5	5430.2	-1.73	-0.36	0.45	135	64	71	-0.102	-0.157
MA0512.1	Rxra	1734.9	2631.0	3391.0	-0.81	0.13	1.23	104	54	50	0.054	0.098
MA0119.1	NFIC::TLX1	1524.9	2398.5	2959.3	-1.07	0.03	0.9	98	49	49	0.001	-0.038
MA0904.1	Hoxb5	3534.7	4916.5	6380.0	-2.55	-0.79	-0.04	150	63	87	-0.219	-0.183
MA0597.1	THAP1	949.3	1521.0	2169.8	-2.63	-0.75	-0.04	85	32	53	-0.274	-0.121
MA0471.1	E2F6	2393.8	3473.5	4478.1	-1.52	-0.24	0.55	121	57	64	-0.177	-0.143
MA0844.1	XBP1	4616.8	6360.0	7550.9	-0.74	0.1	1.22	161	81	80	0.031	0.051
MA1466.1	ATF6	2040.7	2976.0	4066.7	-0.12	1.6	3.75	124	71	53	0.413	0.383
MA0895.1	HMBOX1	1322.8	2012.0	2791.1	-0.25	0.85	2.6	98	54	44	0.138	0.157
MA0679.1	ONECUT1	2230.8	3281.0	4195.0	-1.58	0.19	0.81	117	61	56	0.007	-0.093
MA0051.1	IRF2	3405.0	4725.5	6312.5	4.07	7.18	11.36	186	128	58	1.344	1.094
MA0059.1	MAX::MYC	1741.4	2681.5	3521.6	-0.58	-0.28	1.67	107	53	54	-0.007	0.169
MA0162.2	EGR1	2523.5	3670.0	4706.8	-0.3	0.46	2.05	127	69	58	0.264	0.139
MA0761.1	ETV1	1689.9	2590.5	3619.1	4.94	8.3	12.18	151	112	39	0.792	0.921
MA0796.1	TGIF1	928.6	1492.0	2062.1	-0.44	0.37	1.75	81	45	36	0.046	0.218
MA0090.1	TEAD1	2547.4	3689.5	4595.8	-1.24	-0.12	0.8	123	59	64	-0.056	-0.095
MA0037.3	GATA3	1108.9	1774.5	2319.1	-0.9	0.02	0.95	84	42	42	0.004	-0.076
MA0145.3	TFCP2	1737.4	2535.5	3437.3	0.7	2.38	4.92	120	75	45	0.585	0.467
MA0781.1	PAX9	3162.8	4383.0	5641.2	-0.38	0.51	1.99	139	74	65	0.051	0.208
MA0036.2	GATA2	2440.9	3477.5	4467.0	-1.71	-0.32	0.45	122	57	65	-0.194	-0.109
MA0803.1	TBX15	957.8	1555.5	2072.6	-0.69	-0.21	1.45	81	40	41	-0.004	0.219
