Merged motif (Total sequences: 663)	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
IRF4$MA1419.1|IRF8$MA0652.1|IRF5$MA1420.1|IRF3$MA1418.1|IRF7$MA0772.1|IRF9$MA0653.1|IRF1$MA0050.2|STAT1::STAT2$MA0517.1|STAT1$MA0137.1|IRF2$MA0051.1|IRF1$MA0050.1|Stat2$MA1623.1|PRDM1$MA0508.1|PRDM1$MA0508.2	2527.66	3567.93	4823.14	5.02	8.17	11.93	154	117	37	1.525	1.599
ELK1$MA0028.1|EHF$MA0598.3|ETV2$MA0762.1|ELF4$MA0641.1|ETV4$MA0764.1|ELF1$MA0473.1|ELF1$MA0473.2|ELF5$MA0136.2|ETV5$MA0765.1|ETV1$MA0761.1|ELK3$MA0759.1|FEV$MA0156.2|ELF2$MA1483.1|ERG$MA0474.2|FLI1$MA0475.1|FLI1$MA0475.2|ETS2$MA1484.1|ERF$MA0760.1|EHF$MA0598.2|ELK1$MA0028.2|ETS1$MA0098.3|Gabpa$MA0062.2|Ets1$MA0098.2|ETV1$MA0761.2|GABPA$MA0062.3|SPIB$MA0081.2|ELF1$MA0473.3|ELF3$MA0640.1|Spi1$MA0080.3|ETV5$MA0765.2|ELK4$MA0076.2|ETV3$MA0763.1|SPI1$MA0080.5|Erg$MA0474.1|ELK4$MA0076.1|ELF3$MA0640.2|ZBTB7A$MA0750.2|ELF5$MA0136.1|ETS1$MA0098.1|GABPA$MA0062.1|ETV6$MA0645.1|FEV$MA0156.1|ETV4$MA0764.2|SPI1$MA0080.2|EHF$MA0598.1	2326.78	3334.33	4515.61	3.56	6.49	10.0	126	99	27	0.63	0.858
SPIC$MA0687.1|SPI1$MA0080.4	3423.3	4665.75	6204.75	3.42	6.28	9.93	184	122	62	0.391	0.755
Meis1$MA0498.1	2270.3	3329.0	4548.0	2.68	5.31	9.1	152	108	44	0.394	0.526
IRF6$MA1509.1	1127.0	1747.0	2511.0	2.01	4.41	7.33	112	83	29	0.405	0.746
IKZF1$MA1508.1	2917.5	4067.0	5385.2	1.82	4.28	7.4	160	100	60	0.418	0.592
SPDEF$MA0686.1	2168.2	3117.0	4260.1	1.94	4.18	7.47	142	94	48	0.604	0.71
Pax5$MA0014.1	4624.0	6347.5	8175.3	1.59	3.98	7.02	193	123	70	0.493	0.4
SPIB$MA0081.1	787.1	1310.0	1891.0	1.51	3.5	6.6	95	64	31	0.812	0.748
OVOL1$MA1544.1|OVOL2$MA1545.1	2272.6	3192.75	4372.1	1.06	3.04	5.8	131	85	46	0.339	0.427
Dux$MA0611.1	382.0	718.0	1174.2	-5.49	-2.88	-1.0	71	23	48	-0.445	-0.739
