id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	3388.2	4786.0	6040.8	-1.75	-0.33	0.52	143	68	75	-0.102	-0.077
MA0730.1	RARA(var.2)	3274.8	4496.0	5929.5	-2.9	-0.94	-0.03	145	62	83	-0.121	-0.225
MA0742.1	Klf12	5503.6	7505.0	8982.2	-0.63	0.06	1.17	174	95	79	0.098	-0.01
MA0482.2	GATA4	4255.7	5960.0	7018.0	-1.07	-0.06	0.99	155	73	82	-0.023	-0.047
MA0099.1	JUN::FOS	1458.3	2317.0	2885.2	-0.92	-0.01	1.11	96	45	51	-0.163	0.139
MA0102.1	Cebpa	2943.9	4186.0	5452.7	-2.36	-0.61	-0.02	137	57	80	-0.226	-0.117
MA0108.1	TBP	5924.8	8252.0	9662.4	-1.21	0.04	0.85	182	93	89	0.023	-0.012
MA0498.2	MEIS1	1375.8	2051.5	2900.5	-2.74	-0.99	0.28	100	44	56	-0.079	-0.297
MA1100.2	ASCL1	1974.8	2957.0	3945.6	-2.02	-0.54	0.23	115	52	63	-0.111	-0.133
MA0812.1	TFAP2B(var.2)	3288.7	4862.5	5842.0	-1.16	-0.06	0.81	140	67	73	-0.018	0.001
MA0853.1	Alx4	5890.8	7901.0	9693.7	-2.03	-0.47	-0.0	185	81	104	-0.07	-0.093
MA0033.2	FOXL1	1066.8	1704.0	2469.4	-2.34	-0.78	0.08	90	38	52	-0.071	-0.318
MA0805.1	TBX1	2277.5	3316.0	4412.3	-0.24	0.48	1.94	121	67	54	0.062	0.169
MA0075.1	Prrx2	328.5	594.5	917.6	-2.35	-0.69	0.25	54	23	31	-0.421	-0.336
MA0912.1	Hoxd3	7233.0	9607.0	11403.4	-0.75	0.12	1.14	198	101	97	0.015	-0.035
MA1519.1	LHX5	956.2	1489.5	2203.0	-3.87	-1.61	0.27	90	39	51	-0.243	-0.478
MA0694.1	ZBTB7B	4222.0	5688.0	7216.0	-0.54	0.7	2.32	160	83	77	0.037	0.21
MA0491.1	JUND	2823.2	4001.0	5209.2	-2.04	-0.51	-0.02	133	55	78	-0.209	-0.038
MA0148.2	FOXA1	2617.4	3803.5	4883.0	-1.6	-0.28	0.54	127	63	64	-0.031	-0.092
MA0475.2	FLI1	2883.0	4094.0	5457.3	9.22	13.09	17.46	203	144	59	0.918	1.258
MA0100.2	Myb	2701.4	3870.0	4924.7	-0.64	-0.27	1.51	128	63	65	-0.026	0.113
MA0670.1	NFIA	1861.4	2770.5	3728.5	-2.5	-0.7	0.34	113	52	61	-0.059	-0.318
MA1635.1	BHLHE22(var.2)	1362.5	2095.0	2825.1	-2.09	-0.51	0.26	97	42	55	-0.154	-0.195
MA1573.1	THAP11	6223.5	8102.0	10157.0	-2.12	-0.53	0.13	188	84	104	-0.098	-0.115
MA0765.1	ETV5	2772.5	3937.0	5257.1	9.75	13.72	18.1	203	150	53	0.734	1.043
MA0877.2	BARHL1	2036.5	3053.0	3926.2	-0.39	0.37	1.9	115	63	52	0.133	0.119
MA0141.2	Esrrb	4110.0	6021.0	7224.8	-1.05	-0.02	0.89	155	72	83	-0.034	-0.013
MA0104.1	Mycn	944.4	1497.5	2224.0	-0.56	1.41	3.25	89	49	40	0.286	0.503
MA1587.1	ZNF135	5374.9	7412.0	8758.3	-0.84	0.06	1.24	173	89	84	0.03	0.012
MA0512.1	Rxra	1966.0	2991.5	3815.6	-1.39	-0.14	0.53	111	49	62	-0.094	-0.075
MA0119.1	NFIC::TLX1	3262.2	4535.0	5727.8	-1.84	-0.39	0.39	140	65	75	-0.249	-0.185
MA0904.1	Hoxb5	5718.4	7462.5	9557.2	-3.91	-1.59	-0.24	191	80	111	-0.193	-0.238
MA0597.1	THAP1	2110.5	3008.5	4097.1	-4.1	-1.8	-0.26	126	52	74	-0.117	-0.27
MA0471.1	E2F6	3373.9	4746.0	6264.5	0.24	1.43	3.78	153	92	61	0.227	0.247
MA0844.1	XBP1	7477.7	10050.5	11685.2	-0.91	-0.04	1.13	201	99	102	-0.041	0.067
MA1466.1	ATF6	4942.3	6683.5	8544.0	-2.16	-0.52	0.26	171	79	92	-0.047	-0.158
MA0895.1	HMBOX1	2040.8	3001.5	3979.0	-0.31	0.88	2.87	119	65	54	0.125	0.192
MA0679.1	ONECUT1	4516.2	6316.5	7802.3	-1.61	0.26	0.69	163	82	81	0.007	-0.079
MA0051.1	IRF2	4745.8	6357.0	8176.7	4.11	7.07	10.92	210	139	71	1.077	0.909
MA0059.1	MAX::MYC	3235.1	4524.5	5968.4	0.02	1.36	3.53	149	85	64	0.32	0.333
MA0162.2	EGR1	3475.8	4842.5	6356.3	0.04	0.91	2.69	150	87	63	0.303	0.221
MA0761.1	ETV1	2659.5	3772.0	5134.4	9.59	13.73	17.99	200	146	54	1.063	1.17
MA0796.1	TGIF1	1712.9	2516.0	3287.4	-1.59	-0.23	0.52	103	49	54	-0.009	-0.106
MA0090.1	TEAD1	3704.6	5153.5	6212.8	0.0	0.11	1.24	145	82	63	0.245	-0.035
MA0037.3	GATA3	2126.7	3101.5	4233.1	-2.4	-0.78	0.03	120	52	68	-0.185	-0.2
MA0145.3	TFCP2	3246.5	4476.5	6032.3	0.09	1.08	2.84	146	87	59	0.233	0.273
MA0781.1	PAX9	3632.9	5117.5	6401.0	-0.54	0.27	1.56	147	78	69	0.138	0.133
