Merged motif (Total sequences: 835)	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MAX$MA0058.1|Arnt$MA0004.1|MAX$MA0058.3|Mycn$MA0104.1|USF1$MA0093.1|Mlxip$MA0622.1|MAX::MYC$MA0059.1|ARNT2$MA1464.1|MXI1$MA1108.1|ARNT::HIF1A$MA0259.1|MYC$MA0147.3|TFE3$MA0831.1|TFEC$MA0871.2|Tcfl5$MA0632.1|MAX$MA0058.2|MXI1$MA1108.2|SOHLH2$MA1560.1|MLXIPL$MA0664.1|HES7$MA0822.1|BHLHE40$MA0464.2|MNT$MA0825.1|Mycn$MA0104.3|USF1$MA0093.3|Npas2$MA0626.1|HES1$MA1099.2|Myc$MA0147.1|Myc$MA0147.2|MYCN$MA0104.4|TFEB$MA0692.1|USF2$MA0526.3|HES2$MA0616.2|Arntl$MA0603.1|USF2$MA0526.2|Mycn$MA0104.2|Hes1$MA1099.1|Creb3l2$MA0608.1|Bhlhe40$MA0464.1|BHLHE41$MA0636.1|Mitf$MA0620.1|HEY1$MA0823.1|HES5$MA0821.1|CLOCK$MA0819.1|MITF$MA0620.3|Hes2$MA0616.1|MITF$MA0620.2|TFEC$MA0871.1|MLX$MA0663.1|HIF1A$MA1106.1|SREBF1(var.2)$MA0829.2|Srebf1(var.2)$MA0829.1|USF1$MA0093.2|SREBF2(var.2)$MA0828.1|HEY2$MA0649.1|TFE3$MA0831.2|HES6$MA1493.1|USF2$MA0526.1	2964.09	4184.14	5391.99	-0.68	0.47	1.98	126	79	47	0.354	0.512
Rarb(var.2)$MA0858.1|RARA(var.2)$MA0730.1	2723.55	3855.5	5141.65	-3.01	-0.97	-0.04	124	52	72	-0.17	-0.223
MAZ$MA1522.1|SP3$MA0746.2|SP4$MA0685.1|SP3$MA0746.1|KLF5$MA0599.1|SP9$MA1564.1|ZNF148$MA1653.1|Klf4$MA0039.2|KLF16$MA0741.1|SP1$MA0079.3|KLF13$MA0657.1|KLF11$MA1512.1|KLF14$MA0740.1|KLF9$MA1107.1|SP8$MA0747.1|SP1$MA0079.4|KLF4$MA0039.4|KLF9$MA1107.2|SP1$MA0079.2|SP2$MA0516.1|KLF6$MA1517.1|KLF2$MA1515.1|Klf1$MA0493.1|KLF3$MA1516.1|KLF10$MA1511.1|KLF4$MA0039.3|Klf12$MA0742.1	3665.12	5083.63	6468.44	-2.29	-0.67	0.45	126	50	76	-0.44	-0.639
GATA6$MA1104.2|GATA2$MA0036.2|Gata4$MA0482.1|Gata1$MA0035.2|GATA5$MA0766.1|GATA3$MA0037.3|Gata1$MA0035.3|GATA5$MA0766.2|GATA6$MA1104.1|GATA2$MA0036.3|GATA3$MA0037.2|GATA4$MA0482.2	3015.12	4236.12	5489.78	-2.28	-0.61	0.36	169	76	93	-0.221	-0.191
FOS::JUN$MA0099.3|FOSL2::JUNB$MA1138.1|FOSL1::JUN$MA1128.1|FOSB::JUNB$MA1135.1|FOSL1::JUND$MA1142.1|FOSL2::JUN$MA1130.1|BATF::JUN$MA0462.1|JUND$MA0491.1|FOSL2::JUND$MA1144.1|FOSL1::JUNB$MA1137.1|FOS::JUND$MA1141.1|FOS::JUNB$MA1134.1|FOSL1$MA0477.1|JUNB$MA0490.2|FOSL1$MA0477.2|JUNB$MA0490.1|Smad2::Smad3$MA1622.1|BATF3$MA0835.2|JUN::JUNB$MA1132.1|NFE2$MA0841.1|JUND$MA0491.2|FOSL2$MA0478.1|BATF::JUN$MA0462.2|BACH2$MA1101.2|BATF$MA1634.1|FOS$MA0476.1|JDP2$MA0655.1|JUN(var.2)$MA0489.1|JUN::FOS$MA0099.1|FOS::JUN$MA0099.2	3200.31	4553.63	5732.24	-1.63	-0.27	0.57	137	61	76	-0.435	-0.088
Cebpa$MA0102.1|CEBPD$MA0836.1|CEBPB$MA0466.2|CEBPG$MA0838.1|CEBPE$MA0837.1|CEBPA$MA0102.2	2471.82	3613.75	4639.83	-0.96	-0.07	1.18	137	57	80	-0.226	-0.117
TBP$MA0108.1|TBP$MA0108.2	6041.05	8405.25	9839.0	-1.06	0.03	0.94	182	93	89	0.023	-0.012
MEIS1$MA0498.2|MEIS3$MA0775.1|MEIS2$MA0774.1	2036.8	2939.17	3894.3	-2.33	-0.68	0.4	100	44	56	-0.079	-0.297
SNAI2$MA0745.1|MYF6$MA0667.1|SNAI1$MA1558.1|HAND2$MA1638.1|Tcf21$MA0832.1|MSC$MA0665.1|TFAP4$MA0691.1|TCF3$MA0522.3|TCF12(var.2)$MA1648.1|TAL1::TCF3$MA0091.1|ASCL1$MA1100.2|BHLHE22(var.2)$MA1635.1|ZEB1$MA0103.2|BHLHA15(var.2)$MA1472.1|Myog$MA0500.1|Tcf3$MA0522.1|MYF5$MA1641.1|ZBTB18$MA0698.1|NEUROG2(var.2)$MA1642.1|ATOH1(var.2)$MA1467.1|ASCL1(var.2)$MA1631.1|SNAI3$MA1559.1|MYOG$MA0500.2|TWIST1$MA1123.2|NEUROD1$MA1109.1|NHLH1$MA0048.2|FIGLA$MA0820.1|TWIST1$MA1123.1|TCF4$MA0830.2|ZEB1$MA0103.1|Ptf1a(var.2)$MA1619.1|TCF4$MA0830.1|ZEB1$MA0103.3|SNAI2$MA0745.2|Tcf12$MA0521.1|NHLH1$MA0048.1|Ptf1a$MA1618.1|Myod1$MA0499.1|Ptf1a(var.3)$MA1620.1|ASCL1$MA1100.1|Ascl2$MA0816.1|Rbpjl$MA1621.1|TCF3$MA0522.2|MYOD1$MA0499.2	2796.05	4020.01	5089.88	-0.84	0.21	1.48	114	62	52	0.069	0.402
TFAP2C$MA0524.1|TFAP2A$MA0003.2|TFAP2C(var.2)$MA0814.2|TFAP2B$MA0811.1|TFAP2C$MA0524.2|TFAP2E$MA1569.1|TFAP2A(var.2)$MA0810.1|TFAP2C(var.2)$MA0814.1|TFAP2A$MA0003.3|TFAP2B(var.2)$MA0812.1|TFAP2A$MA0003.4	3350.53	4746.82	5953.23	-1.42	-0.14	1.13	151	63	88	-0.219	-0.336
