id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	63.0	169.0	258.0	-0.94	-0.06	1.19	26	11	15	-0.101	0.321
MA0730.1	RARA(var.2)	157.0	313.0	478.1	-0.51	0.25	1.57	37	20	17	0.29	0.15
MA0742.1	Klf12	146.0	314.5	447.1	-1.29	-0.11	0.77	36	17	19	-0.16	0.07
MA0482.2	GATA4	109.0	235.0	407.0	-0.05	0.72	2.45	35	22	13	0.573	0.415
MA0099.1	JUN::FOS	18.0	64.0	117.0	-0.51	0.26	1.58	17	10	7	0.409	0.156
MA0102.1	Cebpa	67.0	171.0	285.1	-0.43	0.33	1.7	28	16	12	0.185	0.159
MA0108.1	TBP	117.0	265.0	393.0	-0.72	-0.11	1.24	33	15	18	-0.175	0.012
MA0498.2	MEIS1	23.0	79.5	136.0	-1.26	-0.1	0.8	18	8	10	-0.158	-0.009
MA1100.2	ASCL1	56.0	151.0	257.0	-1.49	-0.27	0.56	26	13	13	-0.07	-0.2
MA0812.1	TFAP2B(var.2)	25.0	85.0	160.0	-1.32	0.16	0.68	19	10	9	0.006	-0.297
MA0853.1	Alx4	26.0	81.0	161.1	-2.06	-0.64	0.42	21	9	12	-0.119	-0.547
MA0033.2	FOXL1	0.0	28.0	70.0	-2.27	-0.91	0.46	14	6	8	-0.992	-0.688
MA0805.1	TBX1	32.0	91.0	174.0	-2.33	-0.82	0.43	23	10	13	-0.582	-0.553
MA0075.1	Prrx2	0.0	50.0	95.0	-1.33	0.24	0.64	15	8	7	0.023	-0.426
MA0912.1	Hoxd3	64.0	153.0	276.0	-2.29	-0.79	0.13	29	11	18	-0.548	-0.3
MA1519.1	LHX5	4.0	40.0	89.0	-2.41	-0.83	0.04	16	5	11	-1.148	-0.785
MA0694.1	ZBTB7B	76.0	176.0	307.0	-2.6	-1.0	0.12	32	12	20	-0.411	-0.558
MA0491.1	JUND	40.0	110.0	196.0	-0.4	0.4	1.87	23	14	9	0.234	0.117
MA0148.2	FOXA1	88.0	215.5	312.5	-1.01	-0.02	0.97	29	14	15	-0.042	-0.009
MA0475.2	FLI1	30.0	102.0	214.0	1.92	4.01	6.03	38	30	8	0.736	1.007
MA0100.2	Myb	105.9	242.0	343.0	-1.19	-0.04	0.9	31	15	16	-0.104	-0.044
MA0670.1	NFIA	20.0	68.0	136.0	-2.02	-0.56	0.13	19	6	13	-0.145	-0.582
MA1635.1	BHLHE22(var.2)	35.0	107.0	198.1	-2.22	-0.66	0.17	24	9	15	-0.062	-0.35
MA1573.1	THAP11	76.0	186.0	293.0	-1.23	0.16	0.72	28	15	13	0.166	-0.196
MA0765.1	ETV5	10.0	44.0	102.0	2.27	3.98	5.57	30	25	5	0.797	1.062
MA0877.2	BARHL1	42.0	124.0	193.0	-0.97	-0.03	1.14	22	11	11	-0.008	-0.041
MA0141.2	Esrrb	84.4	200.5	296.0	-0.69	0.15	1.18	29	16	13	0.085	0.111
MA0104.1	Mycn	29.0	89.5	169.0	-0.25	0.64	2.32	22	14	8	0.419	0.457
MA1587.1	ZNF135	164.0	354.0	510.0	-0.8	0.09	1.3	38	20	18	0.123	0.041
MA0512.1	Rxra	58.0	148.0	267.0	-0.16	0.88	2.52	29	18	11	0.505	0.534
MA0119.1	NFIC::TLX1	67.0	165.5	284.6	-1.83	-0.41	0.4	28	11	17	-0.489	-0.396
MA0904.1	Hoxb5	35.0	103.0	201.0	-2.48	-0.75	0.19	24	9	15	-0.515	-0.396
MA0597.1	THAP1	54.0	142.0	257.0	-2.07	-0.59	-0.01	27	9	18	-0.135	-0.074
MA0471.1	E2F6	78.0	193.5	304.1	-1.18	-0.08	0.8	28	13	15	-0.088	-0.012
MA0844.1	XBP1	130.5	286.5	488.7	0.35	1.82	4.17	44	29	15	0.349	0.424
MA1466.1	ATF6	123.0	290.0	454.0	-0.29	0.45	2.03	37	22	15	0.413	0.294
MA0895.1	HMBOX1	35.0	109.0	190.1	-0.56	0.24	1.55	22	13	9	0.07	0.134
MA0679.1	ONECUT1	21.0	71.0	134.0	-1.85	-0.48	0.48	19	9	10	-0.276	-0.35
MA0051.1	IRF2	39.0	109.5	188.0	-1.58	-0.24	0.6	22	11	11	-0.305	-0.314
MA0059.1	MAX::MYC	68.0	166.0	285.0	-0.47	0.4	1.75	28	16	12	0.41	0.38
MA0162.2	EGR1	98.0	206.0	333.0	-0.64	0.39	1.72	31	16	15	0.056	0.363
MA0761.1	ETV1	27.0	88.0	177.0	2.09	3.93	5.75	36	29	7	0.843	1.029
MA0796.1	TGIF1	23.0	78.0	147.0	-1.5	-0.31	0.58	19	9	10	-0.007	-0.422
MA0090.1	TEAD1	104.0	237.0	410.0	-2.95	-1.08	0.08	37	14	23	-0.505	-0.632
MA0037.3	GATA3	61.0	144.5	264.5	-0.3	1.37	3.12	31	19	12	0.322	0.604
MA0145.3	TFCP2	71.0	174.0	296.0	-0.46	0.46	1.92	29	16	13	0.247	0.213
MA0781.1	PAX9	182.0	359.0	559.2	-1.92	-0.45	0.38	41	18	23	-0.485	-0.297
MA0036.2	GATA2	115.0	247.0	418.0	-0.4	0.94	2.7	37	21	16	0.537	0.463
MA0803.1	TBX15	39.0	109.0	213.0	-2.53	-0.82	0.27	25	10	15	-0.375	-0.507
MA0818.1	BHLHE22	96.0	215.5	357.0	-2.22	-0.61	0.16	33	13	20	-0.483	-0.322
MA0048.2	NHLH1	87.0	212.5	312.0	-0.97	0.04	1.01	29	15	14	0.031	-0.007
MA0904.2	HOXB5	53.0	159.0	243.0	-1.16	-0.03	0.9	25	11	14	-0.078	-0.011
MA0481.1	FOXP1	46.0	120.0	209.0	-1.64	0.41	0.74	24	13	11	0.062	-0.532
MA0750.2	ZBTB7A	80.0	189.0	348.0	0.54	2.07	4.04	38	26	12	0.426	0.894
MA0846.1	FOXC2	41.0	114.5	194.0	-0.15	0.51	1.97	24	15	9	0.184	0.283
MA0679.2	ONECUT1	33.0	107.0	174.0	-1.32	0.11	0.83	21	12	9	0.156	-0.326
MA1130.1	FOSL2::JUN	49.0	125.0	230.0	-0.11	0.91	2.71	27	17	10	0.478	0.143
MA0068.2	PAX4	37.0	109.0	172.0	-1.21	0.09	0.88	21	11	10	0.242	-0.187
MA0881.1	Dlx4	50.0	129.0	214.0	-1.24	0.11	0.83	23	12	11	0.026	-0.203
MA0075.3	PRRX2	16.0	63.0	125.0	-1.95	-0.49	0.34	18	7	11	-0.522	-0.456
MA0747.1	SP8	89.0	205.0	346.0	-0.36	0.57	2.03	32	18	14	0.124	0.403
MA0620.1	Mitf	61.0	143.5	269.0	0.04	1.17	3.22	30	20	10	0.594	0.492
MA0032.1	FOXC1	81.0	196.5	297.5	-1.05	0.05	1.01	28	14	14	0.023	-0.019
MA0511.2	RUNX2	25.0	84.0	165.0	-0.35	0.78	2.24	22	13	9	0.585	0.395
MA0761.2	ETV1	155.0	323.0	523.1	0.18	1.55	3.53	45	29	16	0.444	0.551
MA0800.1	EOMES	110.0	239.0	408.0	-2.84	-1.05	0.06	37	14	23	-0.361	-0.469
MA1633.1	BACH1	70.0	174.0	299.0	0.14	1.46	3.36	34	22	12	0.274	0.419
MA0102.4	CEBPA	79.0	199.0	316.1	-0.66	0.16	1.35	29	16	13	0.097	0.203
MA0707.1	MNX1	60.0	147.0	252.1	-0.61	0.33	1.64	26	13	13	0.096	0.195
MA0032.2	FOXC1	24.0	77.0	139.0	-0.43	0.33	1.67	19	11	8	0.657	0.275
MA0811.1	TFAP2B	79.0	192.0	309.0	-1.4	-0.24	0.6	29	13	16	-0.119	-0.087
MA0029.1	Mecom	30.0	100.0	164.0	-1.16	-0.07	0.77	20	9	11	-0.24	-0.053
MA0003.3	TFAP2A	26.0	84.0	146.0	-1.37	0.18	0.71	19	10	9	0.018	-0.347
MA0508.1	PRDM1	196.0	383.0	571.0	-0.65	-0.27	1.71	41	20	21	-0.042	0.168
MA0065.1	PPARG::RXRA	80.0	197.0	293.1	-1.11	0.05	0.87	28	16	12	0.131	-0.053
MA0500.1	Myog	62.0	174.0	259.5	-0.96	0.01	1.04	26	15	11	0.054	-0.218
MA0808.1	TEAD3	89.0	204.5	347.0	-1.51	-0.25	0.59	30	14	16	-0.157	-0.278
MA0519.1	Stat5a::Stat5b	65.0	164.0	272.0	-1.76	-0.43	0.39	28	12	16	-0.216	-0.247
MA1532.1	NR1D2	117.0	254.0	401.0	-1.73	-0.34	0.52	34	16	18	-0.072	-0.325
MA1597.1	ZNF528	218.0	397.0	628.0	-2.14	-0.6	0.43	44	20	24	-0.318	-0.379
MA0754.1	CUX1	33.0	104.0	171.0	-0.72	0.16	1.46	21	12	9	0.331	0.158
MA1572.1	TGIF2LY	109.0	256.5	386.5	-1.09	-0.05	0.88	32	16	16	-0.063	-0.095
MA1117.1	RELB	118.0	255.0	374.0	-0.79	0.06	1.07	32	17	15	0.114	0.076
MA1487.1	FOXE1	22.0	73.5	132.0	-0.67	-0.22	1.27	18	8	10	-0.042	0.413
MA1569.1	TFAP2E	28.0	102.0	165.0	-1.04	0.04	1.08	20	10	10	0.071	-0.201
MA0643.1	Esrrg	60.0	156.0	244.0	-1.46	-0.21	0.7	26	13	13	-0.325	-0.065
MA1552.1	RARB(var.3)	176.0	352.5	488.0	-1.34	-0.1	0.73	38	17	21	-0.439	-0.065
MA0764.2	ETV4	84.0	210.0	325.0	-0.74	0.19	1.4	30	17	13	0.278	0.154
MA0146.2	Zfx	74.0	171.0	299.0	-2.13	-0.5	0.18	29	11	18	-0.387	-0.359
MA0836.2	CEBPD	43.0	132.0	210.1	-0.83	0.07	1.21	23	12	11	0.02	0.203
MA0122.3	Nkx3-2	131.0	296.0	423.0	-0.95	0.01	0.99	34	19	15	0.315	-0.132
MA0098.2	Ets1	86.9	201.0	353.0	0.27	1.63	3.7	37	24	13	0.694	0.801
MA0660.1	MEF2B	30.0	90.0	175.0	-0.04	0.84	2.61	23	15	8	0.584	0.754
MA0609.1	Crem	58.0	144.5	275.0	0.21	1.37	3.23	31	23	8	0.437	0.661
MA1580.1	ZBTB32	27.0	82.0	161.0	-0.22	0.83	2.4	22	14	8	0.221	0.593
MA0144.1	Stat3	91.0	210.0	328.0	-1.47	-0.19	0.64	30	14	16	-0.546	-0.182
MA1484.1	ETS2	17.0	60.5	129.5	1.98	3.62	5.32	31	25	6	0.873	1.146
MA0807.1	TBX5	35.0	108.0	185.0	-1.55	-0.26	0.58	22	11	11	-0.076	-0.142
MA0637.1	CENPB	124.9	259.0	419.1	-0.41	0.44	1.79	35	19	16	0.067	0.328
MA1509.1	IRF6	50.0	133.0	225.0	-1.73	0.37	0.63	25	13	12	0.038	-0.345
MA0160.1	NR4A2	8.0	45.0	102.0	0.03	1.11	2.72	18	13	5	0.497	0.646
MA0882.1	DLX6	34.0	113.0	180.0	-0.89	0.03	1.21	21	11	10	0.161	-0.199
MA0524.2	TFAP2C	95.0	218.5	349.1	-1.55	-0.25	0.6	31	14	17	-0.296	-0.082
MA1152.1	SOX15	31.0	96.0	162.0	-0.86	0.13	1.31	20	12	8	0.692	0.165
MA0143.4	SOX2	88.0	193.0	346.0	-3.01	-1.13	0.36	34	14	20	-0.355	-0.477
MA1113.1	PBX2	108.0	238.0	393.1	-2.37	-0.68	0.19	35	14	21	-0.664	-0.388
MA0492.1	JUND(var.2)	111.0	252.0	396.0	-0.49	0.36	1.79	34	18	16	0.069	0.301
MA1560.1	SOHLH2	42.0	123.0	234.0	0.1	1.16	3.32	28	19	9	0.543	0.399
MA0147.3	MYC	108.0	244.0	410.0	0.03	0.79	2.59	36	24	12	0.268	0.378
MA1568.1	TCF21(var.2)	252.8	508.0	672.2	-1.09	-0.04	0.95	45	21	24	-0.113	-0.049
MA0886.1	EMX2	77.0	194.0	294.1	-1.28	0.08	0.9	28	14	14	0.099	-0.159
MA0885.1	Dlx2	32.0	93.0	156.0	-1.39	-0.18	0.74	20	10	10	-0.063	-0.217
MA0141.3	ESRRB	91.0	208.0	307.0	-1.12	-0.08	0.9	29	13	16	-0.184	0.162
MA0162.4	EGR1	107.0	244.0	378.0	-0.77	-0.15	1.35	32	15	17	-0.026	0.16
MA0898.1	Hmx3	66.0	158.0	276.0	-2.34	-0.7	0.01	29	10	19	-0.505	-0.389
MA0472.1	EGR2	139.4	297.5	489.0	-0.3	0.38	1.89	37	22	15	0.479	0.301
MA0693.2	VDR	12.0	55.0	110.0	0.0	0.97	2.68	19	13	6	0.25	0.762
MA1419.1	IRF4	31.0	94.0	178.0	-0.26	0.54	2.18	22	14	8	0.382	0.376
MA0070.1	PBX1	32.5	93.5	174.0	-0.39	0.35	1.72	21	12	9	0.289	0.214
MA0158.2	HOXA5	42.0	119.0	198.0	-1.19	0.09	0.86	22	11	11	0.01	-0.151
MA0910.2	HOXD8	53.0	138.0	230.0	-0.78	-0.14	1.24	24	11	13	-0.109	0.133
MA0711.1	OTX1	21.0	71.0	146.0	-0.46	0.69	2.18	20	11	9	0.261	0.705
MA0007.1	Ar	338.9	612.0	903.1	-0.04	0.73	2.53	55	33	22	0.403	0.194
MA0508.2	PRDM1	47.0	120.0	223.1	-0.28	0.6	2.09	25	15	10	0.199	0.428
MA1594.1	ZNF382	119.0	274.5	389.0	-0.98	-0.04	1.0	33	16	17	-0.168	0.137
MA0733.1	EGR4	93.0	222.5	383.0	-0.02	1.5	3.41	38	24	14	0.566	0.478
MA0041.1	Foxd3	49.0	132.0	232.0	-0.31	0.39	1.91	25	16	9	0.401	0.163
MA0604.1	Atf1	71.0	172.0	289.0	0.04	0.67	2.35	30	21	9	0.824	0.395
MA0599.1	KLF5	83.0	208.0	307.0	-0.8	-0.08	1.03	29	14	15	-0.033	0.131
MA0514.1	Sox3	15.0	58.0	126.0	-3.16	-1.34	-0.22	21	5	16	-0.492	-0.838
MA0612.1	EMX1	60.0	145.0	262.0	-2.36	-0.73	0.32	28	12	16	-0.241	-0.317
MA0102.2	CEBPA	34.0	103.0	167.0	-0.6	0.18	1.49	21	12	9	0.241	0.152
MA1557.1	SMAD5	11.0	51.0	112.0	0.21	1.36	3.08	20	15	5	0.619	0.798
MA1478.1	DMRTA2	66.0	154.0	277.1	-0.55	0.58	2.0	28	15	13	0.125	0.3
MA0692.1	TFEB	72.0	181.0	320.0	0.16	1.33	3.33	34	23	11	0.538	0.48
MA0153.1	HNF1B	18.0	71.0	120.0	-0.94	-0.1	1.14	17	8	9	-0.034	0.405
MA0052.2	MEF2A	44.0	119.0	218.0	-0.04	1.03	2.76	27	17	10	0.443	0.603
MA0033.1	FOXL1	28.0	87.0	170.0	-0.29	0.49	1.98	21	13	8	0.087	0.301
MA0114.4	HNF4A	124.4	279.0	416.0	-0.63	0.12	1.34	34	19	15	0.029	-0.021
MA0477.1	FOSL1	54.0	147.0	246.0	-0.42	0.33	1.85	26	15	11	0.268	0.226
MA1566.1	TBX3	45.0	123.0	210.0	-1.85	-0.36	0.29	24	9	15	-0.157	-0.059
MA0154.2	EBF1	134.0	310.5	436.5	-0.88	0.03	1.1	35	19	16	0.37	0.011
MA0910.1	Hoxd8	13.0	48.0	100.0	-2.19	-0.75	0.28	17	7	10	-0.811	-0.504
MA0004.1	Arnt	7.0	50.5	104.0	-0.22	0.44	1.8	16	11	5	0.647	0.495
MA0145.1	Tcfcp2l1	148.9	320.0	453.0	-0.76	0.08	1.27	36	21	15	0.206	-0.097
MA0117.1	Mafb	70.0	179.0	290.0	-1.39	-0.23	0.58	28	13	15	-0.097	-0.116
MA0685.1	SP4	231.4	436.5	634.1	-0.51	0.31	1.71	44	26	18	0.285	0.19
MA0478.1	FOSL2	34.0	107.0	198.0	0.0	0.66	2.34	24	16	8	0.297	0.218
MA0706.1	MEOX2	71.0	169.0	289.0	-1.64	-0.36	0.5	28	13	15	-0.046	-0.155
MA0813.1	TFAP2B(var.3)	93.0	212.5	334.0	-0.79	-0.17	1.33	30	13	17	-0.145	0.285
MA0913.2	HOXD9	17.0	72.0	119.0	-1.29	-0.08	0.83	17	8	9	-0.004	-0.05
MA0614.1	Foxj2	3.0	33.0	77.0	-2.61	-1.15	0.27	16	6	10	-0.375	-0.621
MA1128.1	FOSL1::JUN	75.0	176.0	303.0	-0.21	0.61	2.19	30	18	12	0.271	0.143
MA0888.1	EVX2	56.0	143.5	263.1	-2.21	-0.56	0.03	27	9	18	-0.208	-0.254
MA0090.3	TEAD1	142.0	289.0	473.3	-2.26	-0.62	0.18	38	15	23	-0.112	-0.302
MA0132.1	Pdx1	20.0	70.0	133.5	-1.68	-0.3	0.45	18	7	11	-0.716	-0.222
MA1111.1	NR2F2	46.0	123.0	228.0	-0.36	0.54	2.06	25	14	11	0.184	0.349
MA0442.1	SOX10	24.0	81.5	138.0	-1.07	0.06	0.92	18	11	7	0.128	-0.111
MA1524.1	MSGN1	140.0	290.5	479.1	-2.22	-0.61	0.29	38	16	22	-0.322	-0.242
MA0518.1	Stat4	145.0	301.0	466.0	-1.65	-0.35	0.47	37	17	20	-0.132	-0.201
MA0098.3	ETS1	36.0	105.0	213.0	1.52	3.23	5.34	35	28	7	0.585	1.005
MA0621.1	mix-a	0.0	46.0	93.1	-1.67	-0.37	0.51	15	7	8	-0.008	-0.506
MA0814.1	TFAP2C(var.2)	41.0	125.0	198.0	-1.12	-0.02	0.89	22	11	11	-0.0	-0.082
MA0852.1	Foxk1	87.0	199.5	326.0	0.02	0.47	2.13	31	21	10	0.236	0.077
MA0069.1	PAX6	230.0	429.0	652.3	-0.5	0.65	2.23	46	25	21	0.249	0.402
MA0704.1	Lhx4	13.0	52.0	107.0	-2.0	-0.61	0.22	17	6	11	-0.349	-0.519
MA1483.1	ELF2	85.0	200.0	369.0	0.46	1.87	4.1	38	27	11	0.709	0.832
MA0498.1	Meis1	107.9	241.0	398.0	-2.06	-0.48	0.32	34	14	20	-0.224	-0.363
MA0037.1	GATA3	37.0	109.0	200.0	-1.94	-0.42	0.42	23	9	14	-0.255	-0.213
MA1503.1	HOXB9	17.0	59.0	113.0	-0.41	0.39	1.7	17	10	7	0.45	0.468
MA1421.1	TCF7L1	32.0	89.0	173.0	-2.27	-0.87	0.26	23	9	14	-0.279	-0.549
MA0526.3	USF2	168.0	317.0	511.1	0.03	0.68	2.19	40	26	14	0.203	0.314
MA0867.2	SOX4	73.0	176.0	294.0	-1.85	-0.43	0.36	29	12	17	-0.075	-0.289
MA1495.1	HOXA1	24.0	76.0	154.0	-2.61	-1.0	0.11	22	8	14	-0.427	-0.327
MA0063.2	NKX2-5	119.0	258.0	414.0	-2.02	-0.46	-0.01	35	12	23	-0.214	-0.091
MA0770.1	HSF2	105.0	229.0	381.0	-2.42	-0.8	0.14	35	13	22	-0.263	-0.566
MA0743.1	SCRT1	237.0	432.0	658.1	-0.44	0.34	1.69	44	24	20	0.203	0.255
MA0682.2	PITX1	0.0	37.0	78.0	-0.39	0.48	1.79	14	8	6	0.112	0.724
MA0710.1	NOTO	68.0	181.0	274.0	-0.87	0.07	1.24	27	14	13	0.122	-0.031
MA1539.1	NR2F6(var.3)	60.0	159.0	272.1	-2.1	-0.5	0.13	28	10	18	-0.507	-0.128
MA0079.3	SP1	63.0	160.0	274.1	-0.58	0.67	2.29	29	15	14	0.303	0.497
MA0039.1	Klf4	60.5	156.0	259.0	-1.47	0.0	0.62	26	13	13	0.0	-0.197
MA0109.1	HLTF	54.0	139.0	249.1	-2.47	-0.84	-0.02	28	9	19	-0.323	-0.42
MA0731.1	BCL6B	0.0	0.0	40.0	-1.01	0.0	0.38	9	4	5	-0.263	-0.426
MA1556.1	RXRG(var.2)	132.0	295.0	439.1	-0.76	0.13	1.34	35	18	17	0.17	0.183
MA0883.1	Dmbx1	149.0	312.5	506.5	0.06	0.9	2.61	41	27	14	0.348	0.375
MA0680.1	PAX7	0.0	0.0	42.0	-0.48	-0.0	0.82	9	5	4	0.227	0.074
MA0258.1	ESR2	400.0	713.5	949.0	-0.54	0.2	1.58	55	30	25	0.124	0.055
MA1630.1	Znf281	93.0	208.0	340.0	-0.47	0.36	1.65	31	17	14	0.079	0.327
MA0764.1	ETV4	32.0	93.0	189.0	1.76	3.79	5.86	36	29	7	0.45	0.925
MA0678.1	OLIG2	87.0	193.5	321.6	-2.12	-0.54	0.3	31	12	19	-0.336	-0.352
MA0075.2	Prrx2	49.0	128.0	214.0	-1.23	-0.12	0.73	23	9	14	-0.114	-0.074
MA0909.1	HOXD13	30.0	101.0	163.0	-1.13	-0.05	0.86	20	10	10	-0.035	0.024
MA0058.1	MAX	92.0	208.0	348.0	-0.7	-0.53	2.08	32	16	16	-0.01	0.482
