id	motif	correlation	p-val
MA0819.1	CLOCK	-0.014132665969431173	0.19752262552068364
MA0730.1	RARA(var.2)	-0.009344707109034175	0.08833215771019963
MA0742.1	Klf12	-0.02344068417698211	0.18920388691593668
MA0482.2	GATA4	0.000913186192512983	0.009831502523467385
MA0099.1	JUN::FOS	-0.00826035505533247	0.11235203402313919
MA0102.1	Cebpa	-0.04857945728302045	1.0221081602474804
MA0108.1	TBP	0.07220408928394667	0.837703646412888
MA0498.2	MEIS1	-0.023802985310554116	0.4601444589886648
MA1100.2	ASCL1	-1.2420862912961256e-05	0.00018178485409223397
MA0812.1	TFAP2B(var.2)	-0.036678041180596276	0.8454270356634579
MA0853.1	Alx4	0.014826384644024342	0.12465554839671376
MA0033.2	FOXL1	0.02602426087856353	0.3321705487258177
MA0805.1	TBX1	-0.028658603549003552	0.418996313637501
MA0075.1	Prrx2	0.06504676401615098	0.9447219966562305
MA0912.1	Hoxd3	-0.007303932793438736	0.06860196415466444
MA1519.1	LHX5	0.025174677170813425	0.23087870396173396
MA0694.1	ZBTB7B	0.031072112616151122	0.3315688624222453
MA0491.1	JUND	-0.03539206799678427	0.42444213281396387
MA0148.2	FOXA1	0.01048702945560186	0.12213632635111135
MA0475.2	FLI1	0.008179401099681717	0.09817053709361623
MA0100.2	Myb	0.021254442024976495	0.31745133188157204
MA0670.1	NFIA	-0.037466188132763374	0.4412774074788516
MA1635.1	BHLHE22(var.2)	-0.03437232100963609	0.8547044957836599
MA1573.1	THAP11	-0.02539584395894896	0.18091031254215303
MA0765.1	ETV5	0.00781597912311606	0.08386664344551797
MA0877.2	BARHL1	0.02511800217628359	0.5042647157114646
MA0141.2	Esrrb	0.0008820891715586185	0.010442497627580483
MA0104.1	Mycn	0.010287415742874244	0.17591137818602207
MA1587.1	ZNF135	0.07254399318992939	0.9066656407670645
MA0512.1	Rxra	-0.005002147048711852	0.06836283849123269
MA0119.1	NFIC::TLX1	-0.024252518173307393	0.2266279689664593
MA0904.1	Hoxb5	0.10425313454866503	1.398695061000999
MA0597.1	THAP1	0.04999934148788419	1.3775187520271264
MA0471.1	E2F6	0.03967924893321338	0.3806477249403451
MA0844.1	XBP1	-0.09401453531719611	1.728196849054436
MA1466.1	ATF6	-0.061821054225787764	0.6560266004299329
MA0895.1	HMBOX1	0.03799242653325282	0.6892822084374802
MA0679.1	ONECUT1	-0.002070144311525157	0.016092341527343935
MA0051.1	IRF2	-0.01297474716603791	0.2841435521358861
MA0059.1	MAX::MYC	0.0053624858101828515	0.0682320547621116
MA0162.2	EGR1	-0.02853168899938455	0.344488690236338
MA0761.1	ETV1	0.0040941106081011	0.04425912026526523
MA0796.1	TGIF1	-0.033511953873327345	0.4061078914699944
MA0090.1	TEAD1	-0.05642968437820636	0.6329206978179702
MA0037.3	GATA3	-0.010471581697463763	0.11762793286039841
MA0145.3	TFCP2	-0.008143842147663288	0.11225207564162522
MA0781.1	PAX9	-0.043663216541986	0.7328697635142503
MA0036.2	GATA2	-0.04136090465634943	0.5281371690764354
MA0803.1	TBX15	-0.034989747732877934	0.530358050066085
MA0818.1	BHLHE22	-0.04924449437763497	0.597865390001072
MA0048.2	NHLH1	-0.009309145003556901	0.12730288887007035
MA0904.2	HOXB5	-0.003033511489629923	0.02497986677527528
MA0481.1	FOXP1	0.005789644509553762	0.06064693896277544
MA0750.2	ZBTB7A	-0.0019093098640443932	0.029134803212410583
MA0846.1	FOXC2	0.006493034057319337	0.06761024810927399
MA0679.2	ONECUT1	-0.05534012728557082	0.6031389622535157
MA1130.1	FOSL2::JUN	-0.015530677020550122	0.1768595367694925
MA0068.2	PAX4	0.027046499952674365	0.3512359150681905
MA0881.1	Dlx4	0.030232501268387356	0.3513775787691463
MA0075.3	PRRX2	0.039087944552301496	0.39665729532830485
MA0747.1	SP8	-0.057246083140375895	0.6862069365648615
MA0620.1	Mitf	0.002048294425010663	0.026408144414053522
MA0032.1	FOXC1	0.049575064301492944	0.9815893124320619
MA0511.2	RUNX2	-0.017736561894416893	0.30139633827990897
MA0761.2	ETV1	-0.009819094687699585	0.11735236970670775
MA0800.1	EOMES	-0.004368198215961284	0.05232376362860271
MA1633.1	BACH1	-0.04094512730091777	0.7063963840074655
MA0102.4	CEBPA	-0.018787569576875378	0.1306845708330843
MA0707.1	MNX1	0.09470571470260572	1.6563147611860822
MA0032.2	FOXC1	0.030433847464621	0.38729051593117225
MA0811.1	TFAP2B	-0.03342589753773043	0.6027973764335744
MA0029.1	Mecom	-0.08885873857629421	0.9066841495293162
MA0003.3	TFAP2A	-0.03617465269565494	0.8574407841568293
MA0508.1	PRDM1	-0.019475927216001335	0.40449599021862415
MA0065.1	PPARG::RXRA	-0.03169522749795548	0.43711094047670956
MA0500.1	Myog	-0.02272041998617381	0.4369901672273768
MA0808.1	TEAD3	-0.025190062105653485	0.1602716500956471
MA0519.1	Stat5a::Stat5b	0.13108453223854244	1.9587478013731487
MA1532.1	NR1D2	0.06269927930831933	0.46716998830240725
MA1597.1	ZNF528	0.007198728107847342	0.05212655592289527
MA0754.1	CUX1	-0.039208085270597805	0.4634183948419658
MA1572.1	TGIF2LY	-0.06323649787588442	1.0313542904582158
MA1117.1	RELB	-0.020023155748844463	0.2167223537157381
MA1487.1	FOXE1	-0.00527174641657604	0.03748804828381225
MA1569.1	TFAP2E	-0.03656772513501293	0.8260279792641253
MA0643.1	Esrrg	0.02273595762252779	0.29802571963031416
MA1552.1	RARB(var.3)	0.003021627636626137	0.0238661146034756
MA0764.2	ETV4	0.025914213567972542	0.35480108934162424
MA0146.2	Zfx	0.01764813912555145	0.23774162882325378
MA0836.2	CEBPD	-0.03847001343965621	0.39293880435230666
MA0122.3	Nkx3-2	0.04841338619589915	0.7730091685812195
MA0098.2	Ets1	-0.0013571562469005547	0.014932976302023187
MA0660.1	MEF2B	0.0655092608267439	0.55680146022561
MA0609.1	Crem	-0.01600049477815639	0.14442130281690174
MA1580.1	ZBTB32	-0.03111590483691568	0.3323632734476734
MA0144.1	Stat3	0.15852910207956789	2.6482068453438514
MA1484.1	ETS2	0.0045727088823913735	0.04645417724148779
MA0807.1	TBX5	-0.03492659580707554	0.7877576746787363
MA0637.1	CENPB	0.05182858309242783	0.6571876228457656
MA1509.1	IRF6	-0.03282475227117503	0.811768954151113
MA0160.1	NR4A2	0.012874060392379979	0.16969217305682768
MA0882.1	DLX6	0.042476639747620094	0.4908635497332883
MA0524.2	TFAP2C	-0.03005106681585277	0.5560755194633852
MA1152.1	SOX15	-0.010841080904006949	0.11287422133296707
MA0143.4	SOX2	0.036187495946883246	0.4508836932413357
MA1113.1	PBX2	-0.020526749476790927	0.2720721206104474
MA0492.1	JUND(var.2)	-0.03469392570853342	0.2684783348717502
MA1560.1	SOHLH2	0.03544719582330357	0.6731964200278006
MA0147.3	MYC	0.009643218617420318	0.16780366542295733
MA1568.1	TCF21(var.2)	-0.0437038962543021	0.6308875157783237
MA0886.1	EMX2	0.046059489160776096	0.512685367185704
MA0885.1	Dlx2	0.05305136477947012	0.6053224521944126
MA0141.3	ESRRB	-4.275530111044568e-05	0.00041525844757490563
MA0162.4	EGR1	0.013415292223915725	0.16761027904903586
MA0898.1	Hmx3	-0.03662848524749288	0.3247963110751342
MA0472.1	EGR2	-0.026888911709190135	0.3198676849094069
MA0693.2	VDR	-0.029014559388159566	0.6920020689404288
MA1419.1	IRF4	-0.024212110409513203	0.5791777904893002
MA0070.1	PBX1	-0.13883684493228704	2.4268712321357726
MA0158.2	HOXA5	0.0018124336451294234	0.01755331282853589
MA0910.2	HOXD8	0.018998128801584042	0.2102789443542126
MA0711.1	OTX1	0.046514537930489666	0.5347273795748146
MA0007.1	Ar	0.08363849662430455	1.026541184357966
MA0508.2	PRDM1	0.00921237295865975	0.14658717567140664
MA1594.1	ZNF382	0.06662939307745466	0.6610281403791088
MA0733.1	EGR4	-0.020500038369092668	0.20415001746505748
MA0041.1	Foxd3	0.015587239403277718	0.14735102915700055
MA0604.1	Atf1	-0.00823119422793393	0.09684530337461521
MA0599.1	KLF5	-0.0034524936489760587	0.02127530979680242
MA0514.1	Sox3	-0.022955808192491402	0.37477909015935257
MA0612.1	EMX1	0.03762704032659552	0.444472200725323
MA0102.2	CEBPA	-0.04153172801435032	0.8597971310752431
MA1557.1	SMAD5	-0.014716312184929947	0.1907889742783911
MA1478.1	DMRTA2	-0.06605372047424353	1.7323970060564085
MA0692.1	TFEB	0.05830133157968612	0.7866773468809634
MA0153.1	HNF1B	0.057071111980826	0.5008530271668552
MA0052.2	MEF2A	0.09232013005018272	0.7248516625649934
MA0033.1	FOXL1	0.05698871028423403	1.3988243958885387
MA0114.4	HNF4A	-0.05633216661214775	1.1306736035118305
MA0477.1	FOSL1	-0.04039721658825758	0.5869189644268911
MA1566.1	TBX3	-0.03486624825000789	0.8440362288862302
MA0154.2	EBF1	0.021571349240839678	0.19685586405989575
MA0910.1	Hoxd8	0.14338229848816766	1.3735363374305247
MA0004.1	Arnt	0.009018605113029847	0.15285367530037292
MA0145.1	Tcfcp2l1	0.0060541747004753095	0.06652791240018532
MA0117.1	Mafb	0.0020552835464478355	0.03470697589662054
MA0685.1	SP4	-0.04559219246264568	0.4206375665608434
MA0478.1	FOSL2	-0.03809339715912917	0.4849994628504323
MA0706.1	MEOX2	0.014661171913147437	0.15405940539504004
MA0813.1	TFAP2B(var.3)	0.05435493196803046	0.9850082719062903
MA0913.2	HOXD9	0.1777991199344379	3.1426915633722814
MA0614.1	Foxj2	0.011806487470864926	0.13338485204135153
MA1128.1	FOSL1::JUN	-0.03256625775992746	0.411411667192496
MA0888.1	EVX2	0.039930065274239875	0.4689208049645689
MA0090.3	TEAD1	0.02383899889886387	0.14294283022065368
MA0132.1	Pdx1	0.0044877154827123	0.04788448191327532
MA1111.1	NR2F2	0.03069542159140045	0.4954422094156257
MA0442.1	SOX10	-0.0014184260368344916	0.022683544443635444
MA1524.1	MSGN1	-0.02460321275889981	0.3925849008545189
MA0518.1	Stat4	0.17919531770236796	2.647482584601993
MA0098.3	ETS1	-0.0007524608373641875	0.00808437258938196
MA0621.1	mix-a	0.019815893743652967	0.1362147746770631
MA0814.1	TFAP2C(var.2)	-0.027302750905976034	0.6126943660216444
MA0852.1	Foxk1	0.023319526955485295	0.2578174587167767
MA0069.1	PAX6	-0.02342784681916297	0.32812479779381315
MA0704.1	Lhx4	0.03465864014625541	0.42349405747486557
MA1483.1	ELF2	0.015962685830891256	0.1856929213701529
MA0498.1	Meis1	-0.05897969499230228	1.2391319950578312
MA0037.1	GATA3	-0.04768719887733372	1.1289494245285292
MA1503.1	HOXB9	0.00167575165349987	0.014959447634234029
MA1421.1	TCF7L1	-0.05605321639031211	0.8979599894832455
MA0526.3	USF2	0.03228755369596238	0.3048963949630652
MA0867.2	SOX4	-0.014445793449879191	0.2206602475552268
MA1495.1	HOXA1	-0.025316449765115264	0.27717519388576684
MA0063.2	NKX2-5	0.028993690729141857	0.41803161128458766
MA0770.1	HSF2	0.054259269562550005	0.31897438254028976
MA0743.1	SCRT1	-0.011658873856067462	0.16550254840297338
MA0682.2	PITX1	0.012255355477334058	0.09281362354256331
MA0710.1	NOTO	0.027205574572086413	0.2895709689396093
MA1539.1	NR2F6(var.3)	0.012179244066704996	0.14735885604687896
MA0079.3	SP1	-0.016711439229548562	0.11979309873535385
MA0039.1	Klf4	-0.00463978540897331	0.06114993665408916
MA0109.1	HLTF	-0.007253667116164924	0.11490374470815655
MA0731.1	BCL6B	0.01605322640389222	0.21310421442284405
