Merged motif (Total sequences: 1000)	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MLX$MA0663.1|Srebf1(var.2)$MA0829.1|MLXIPL$MA0664.1|TFEC$MA0871.1|SREBF2(var.2)$MA0828.1|SREBF1(var.2)$MA0829.2|MAX$MA0058.3|MITF$MA0620.3|ARNT::HIF1A$MA0259.1|TFEB$MA0692.1|TFE3$MA0831.1|MNT$MA0825.1|Arntl$MA0603.1|SOHLH2$MA1560.1|BHLHE40$MA0464.2|BHLHE41$MA0636.1|USF1$MA0093.2|USF1$MA0093.3|USF2$MA0526.3|HIF1A$MA1106.1|Myc$MA0147.2|Mycn$MA0104.1|MITF$MA0620.2|Mitf$MA0620.1|USF1$MA0093.1|MAX$MA0058.1|HES6$MA1493.1|MYCN$MA0104.4|Mycn$MA0104.3|CLOCK$MA0819.1|ARNT2$MA1464.1|TFE3$MA0831.2|Bhlhe40$MA0464.1|MXI1$MA1108.1|HES7$MA0822.1|Mycn$MA0104.2|MAX$MA0058.2|MAX::MYC$MA0059.1|MXI1$MA1108.2|USF2$MA0526.1|Arnt$MA0004.1|Npas2$MA0626.1|MYC$MA0147.3|HEY2$MA0649.1|HES5$MA0821.1|USF2$MA0526.2|Myc$MA0147.1|TFEC$MA0871.2|HEY1$MA0823.1|HES2$MA0616.2|Hes1$MA1099.1|HES1$MA1099.2|Mlxip$MA0622.1	16155.14	19776.86	23017.84	-0.53	0.45	1.97	453	259	194	0.348	0.322
Rarb(var.2)$MA0858.1|RARA(var.2)$MA0730.1	10282.6	13502.5	15694.6	-1.24	-0.11	0.78	221	106	115	-0.074	-0.116
SP9$MA1564.1|KLF14$MA0740.1|KLF16$MA0741.1|KLF3$MA1516.1|SP3$MA0746.1|SP4$MA0685.1|KLF11$MA1512.1|KLF10$MA1511.1|KLF4$MA0039.3|ZNF740$MA0753.1|SP8$MA0747.1|SP3$MA0746.2|SP1$MA0079.2|SP1$MA0079.4|SP2$MA0516.1|VEZF1$MA1578.1|KLF9$MA1107.2|ZNF740$MA0753.2|KLF6$MA1517.1|SP1$MA0079.3|Klf12$MA0742.1|ZNF148$MA1653.1|KLF5$MA0599.1|Klf4$MA0039.2|KLF9$MA1107.1|KLF15$MA1513.1|SP2$MA0516.2|KLF4$MA0039.4|MAZ$MA1522.1|Klf1$MA0493.1|KLF2$MA1515.1	27837.48	33483.76	37932.53	-1.53	-0.2	0.79	337	151	186	-0.104	-0.168
Gata4$MA0482.1|Gata1$MA0035.2|GATA2$MA0036.2|GATA5$MA0766.1|GATA2$MA0036.3|GATA6$MA1104.2|GATA6$MA1104.1|Gata1$MA0035.3|GATA5$MA0766.2|GATA3$MA0037.2|GATA3$MA0037.3|GATA4$MA0482.2	23660.72	28675.12	32806.97	-1.94	-0.45	0.46	315	135	180	-0.286	-0.216
Smad2::Smad3$MA1622.1|FOS$MA0476.1|JUNB$MA0490.1|FOS::JUND$MA1141.1|FOS::JUN$MA0099.2|BATF::JUN$MA0462.2|BATF$MA1634.1|FOS::JUNB$MA1134.1|FOSL1::JUN$MA1128.1|FOSL1$MA0477.1|BATF3$MA0835.2|FOSL2$MA0478.1|FOSL2::JUND$MA1144.1|JUND$MA0491.1|FOSB::JUNB$MA1135.1|FOSL2::JUNB$MA1138.1|BATF::JUN$MA0462.1|FOSL1$MA0477.2|FOSL1::JUNB$MA1137.1|BACH2$MA1101.2|FOS::JUN$MA0099.3|FOSL2::JUN$MA1130.1|JUN::JUNB$MA1132.1|NFE2$MA0841.1|JUND$MA0491.2|JUNB$MA0490.2|JDP2$MA0655.1|JUN::FOS$MA0099.1|FOSL1::JUND$MA1142.1|JUN(var.2)$MA0489.1	17264.89	21312.55	24957.33	-2.25	-0.56	0.29	302	139	163	-0.065	-0.137
TEF$MA0843.1|DBP$MA0639.1|NFIL3$MA0025.2|NFIL3$MA0025.1|JUNB(var.2)$MA1140.1|FOSL1::JUN(var.2)$MA1129.1|JUN::JUNB(var.2)$MA1133.1|HLF$MA0043.2|FOSB::JUNB(var.2)$MA1136.1|HLF$MA0043.3|FOSL1::JUND(var.2)$MA1143.1|FOSL2::JUNB(var.2)$MA1139.1|ATF7$MA0834.1|CEBPA$MA0102.2|Cebpa$MA0102.1|Atf3$MA0605.1|JUN$MA0488.1|CREB3L4(var.2)$MA1475.1|JUNB(var.2)$MA1140.2|ATF3$MA0605.2|FOSB::JUN$MA1127.1|JUND(var.2)$MA0492.1|Creb5$MA0840.1|JDP2(var.2)$MA0656.1|FOSL2::JUN(var.2)$MA1131.1|FOSL2::JUND(var.2)$MA1145.1|FOS::JUN(var.2)$MA1126.1|ATF4$MA0833.2|CREB1$MA0018.1|ATF4$MA0833.1|GMEB2$MA0862.1|Crem$MA0609.1|ATF2$MA1632.1|CEBPD$MA0836.2|CEBPE$MA0837.1|CREB1$MA0018.2|CREM$MA0609.2|CEBPB$MA0466.2|CEBPA$MA0102.4|CEBPA$MA0102.3|CEBPG(var.2)$MA1636.1|HLF$MA0043.1|CEBPG$MA0838.1|CEBPB$MA0466.1|CREB1$MA0018.4|CREB1$MA0018.3|CEBPD$MA0836.1|Atf1$MA0604.1	42437.38	49442.54	55476.7	-0.8	0.43	1.91	626	367	259	0.274	0.265
TBP$MA0108.1|TBP$MA0108.2	57212.9	65300.75	73698.85	-0.18	1.2	3.2	535	284	251	0.092	0.135
MEIS2$MA0774.1|MEIS3$MA0775.1|MEIS1$MA0498.2	8345.63	10841.17	13276.83	-2.2	-0.62	0.46	209	97	112	-0.129	-0.212
Ptf1a$MA1618.1|NEUROD1$MA1109.1|NEUROG2(var.2)$MA1642.1|HAND2$MA1638.1|BHLHA15(var.2)$MA1472.1|Ptf1a(var.2)$MA1619.1|BHLHE22(var.2)$MA1635.1|Atoh1$MA0461.1|ATOH1(var.2)$MA1467.1|MYF5$MA1641.1|ZBTB18$MA0698.1|SNAI3$MA1559.1|MYOG$MA0500.2|TWIST1$MA1123.1|TCF3$MA0522.2|TWIST1$MA1123.2|Myog$MA0500.1|NHLH1$MA0048.2|Ptf1a(var.3)$MA1620.1|TCF4$MA0830.1|ASCL1$MA1100.1|NHLH1$MA0048.1|MYOD1$MA0499.2|SNAI1$MA1558.1|Rbpjl$MA1621.1|FIGLA$MA0820.1|Tcf21$MA0832.1|Tcf12$MA0521.1|Ascl2$MA0816.1|TAL1::TCF3$MA0091.1|SNAI2$MA0745.2|Myod1$MA0499.1|ZEB1$MA0103.3|TCF12(var.2)$MA1648.1|TCF4$MA0830.2|MSC$MA0665.1|ASCL1(var.2)$MA1631.1|TCF3$MA0522.3|MYF6$MA0667.1|Tcf3$MA0522.1|ASCL1$MA1100.2|SNAI2$MA0745.1	7691.04	10120.0	12208.4	-1.74	-0.37	0.72	256	113	143	-0.113	-0.221
TFAP2A$MA0003.4|TFAP2A$MA0003.2|TFAP2B$MA0811.1|TFAP2E$MA1569.1|TFAP2C$MA0524.1|TFAP2A$MA0003.3|TFAP2C$MA0524.2|TFAP2A(var.2)$MA0810.1|TFAP2B(var.2)$MA0812.1|TFAP2C(var.2)$MA0814.2|TFAP2C(var.2)$MA0814.1	6538.11	8605.23	10755.23	-2.69	-0.84	0.34	232	108	124	-0.051	-0.272
NKX6-3$MA1530.1|MNX1$MA0707.1|Barhl1$MA0877.1|LHX2$MA0700.2|LBX1$MA0618.1|Hoxb5$MA0904.1|Nobox$MA0125.1|Prrx2$MA0075.1|Hoxd8$MA0910.1|SHOX$MA0630.1|HOXA7$MA1498.1|HOXC8$MA1505.1|LMX1B$MA0703.1|HOXB6$MA1500.1|Dlx2$MA0885.1|Hoxd3$MA0912.1|POU6F1$MA0628.1|HOXA4$MA1496.1|Dlx1$MA0879.1|PAX4$MA0068.2|HESX1$MA0894.1|EN2$MA0642.1|NKX6-2$MA0675.1|BSX$MA0876.1|HOXD3$MA0912.2|RAX$MA0718.1|EMX2$MA0886.1|EVX1$MA0887.1|TLX2$MA1577.1|Dlx3$MA0880.1|Isl1$MA1608.1|HOXD8$MA0910.2|HOXC4$MA1504.1|HOXA1$MA1495.1|POU6F2$MA0793.1|EVX2$MA0888.1|HOXB8$MA1502.1|LMX1A$MA0702.1|PRRX2$MA0075.3|HOXA6$MA1497.1|DLX6$MA0882.1|Lhx8$MA0705.1|MSX2$MA0708.1|Dlx4$MA0881.1|HOXD4$MA1507.1|EN1$MA0027.2|HOXB3$MA0903.1|Shox2$MA0720.1|Prrx2$MA0075.2|DLX5$MA1476.1|GBX2$MA0890.1|Arx$MA0874.1|EMX1$MA0612.1|LHX5$MA1519.1|LHX2$MA0700.1|ISX$MA0654.1|PDX1$MA0132.2|NKX6-1$MA0674.1|HOXB4$MA1499.1|Msx3$MA0709.1|ALX3$MA0634.1|LMX1A$MA0702.2|DRGX$MA1481.1|LHX9$MA0701.1|ARGFX$MA1463.1|RAX2$MA0717.1|VAX2$MA0723.1|LMX1B$MA0703.2|BARX1$MA0875.1|NOTO$MA0710.1|GSX2$MA0893.1|Lhx4$MA0704.1|HOXB2$MA0902.1|EMX1$MA0612.2|ESX1$MA0644.1|HOXB7$MA1501.1|LHX6$MA0658.1|GBX1$MA0889.1|GSX1$MA0892.1|VSX1$MA0725.1|mix-a$MA0621.1|VSX2$MA0726.1|GSX2$MA0893.2|HOXA5$MA0158.2|MEOX2$MA0706.1|UNCX$MA0721.1|POU6F1(var.2)$MA1549.1|PRRX1$MA0716.1|LHX1$MA1518.1|MSX1$MA0666.1|MIXL1$MA0662.1|Alx1$MA0854.1|MEOX1$MA0661.1|VAX1$MA0722.1|Alx4$MA0853.1|LBX2$MA0699.1|HOXB2$MA0902.2|HOXA2$MA0900.1|Pdx1$MA0132.1|LHX9$MA0701.2|HOXA2$MA0900.2|HOXB5$MA0904.2	47079.55	54785.49	60714.4	-0.7	0.24	1.59	612	333	279	0.239	0.215
FOXN3$MA1489.1|FOXK1$MA0852.2|FOXD2$MA0847.1|FOXD2$MA0847.2|FOXA2$MA0047.3|Foxj3$MA0851.1|FOXK2$MA1103.2|FOXK2$MA1103.1|FOXO4$MA0848.1|FOXA1$MA0148.4|FOXC1$MA0032.2|FOXP2$MA0593.1|FOXP1$MA0481.2|FOXO3$MA0157.1|FOXB1$MA0845.1|FOXL1$MA0033.2|FOXP1$MA0481.3|FOXP3$MA0850.1|FOXD1$MA0031.1|Foxk1$MA0852.1|Foxf1$MA1606.1|FOXA3$MA1683.1|FOXF2$MA0030.1|FOXG1$MA0613.1|Foxo1$MA0480.1|FOXA1$MA0148.3|Foxj2$MA0614.1|FOXO6$MA0849.1|Foxl2$MA1607.1|FOXI1$MA0042.2|FOXO3$MA0157.2|Foxa2$MA0047.2|FOXA1$MA0148.2|FOXA1$MA0148.1|FOXC2$MA0846.1|FOXP1$MA0481.1	14253.14	17965.78	20783.95	-0.99	-0.02	1.15	83	46	37	4.115	0.666
TBX3$MA1566.1|TBX5$MA0807.1|TBX4$MA0806.1|TBX15$MA0803.1|TBX20$MA0689.1|MGA$MA0801.1|TBX2$MA0688.1|TBX6$MA1567.1|EOMES$MA0800.1|TBX1$MA0805.1|TBX18$MA1565.1|TBX21$MA0690.1|TBR1$MA0802.1	13367.6	16901.65	19893.65	-1.61	-0.25	0.71	267	120	147	-0.114	-0.131
ZBTB7C$MA0695.1|ZBTB7A$MA0750.1|ZBTB7B$MA0694.1	17323.07	21647.67	24942.23	-0.62	0.06	1.45	297	156	141	0.085	0.068
