id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	3917.8	5507.0	7186.0	-2.69	-0.85	0.07	159	70	89	-0.167	-0.182
MA0730.1	RARA(var.2)	5565.8	7460.0	9419.6	-3.91	-1.59	-0.28	191	79	112	-0.194	-0.383
MA0742.1	Klf12	21313.0	26710.0	29661.8	-0.8	0.02	1.09	327	174	153	0.099	-0.063
MA0482.2	GATA4	13342.9	16910.0	20317.4	-2.59	-0.69	0.39	272	130	142	-0.055	-0.158
MA0099.1	JUN::FOS	3646.2	5170.0	6526.6	-1.85	-0.37	-0.01	149	64	85	-0.154	-0.067
MA0102.1	Cebpa	10180.9	13061.5	16203.8	-4.09	-1.66	-0.21	250	109	141	-0.217	-0.234
MA0108.1	TBP	42414.4	50065.5	55646.7	-0.61	0.16	1.42	452	239	213	0.09	0.028
MA0498.2	MEIS1	3813.4	5395.0	6560.9	-1.01	0.03	0.86	147	76	71	0.015	-0.02
MA1100.2	ASCL1	1791.8	2692.5	3772.9	-3.64	-1.41	-0.17	117	47	70	-0.268	-0.214
MA0812.1	TFAP2B(var.2)	2444.8	3542.5	4703.2	-2.55	-0.79	0.21	128	58	70	-0.138	-0.294
MA0853.1	Alx4	21883.8	26503.0	30937.9	-3.06	-1.14	-0.05	345	154	191	-0.086	-0.188
MA0033.2	FOXL1	5437.3	7512.5	9055.3	-0.55	0.16	1.43	176	89	87	0.051	0.095
MA0805.1	TBX1	5558.2	7577.0	8998.1	-0.79	-0.07	1.11	175	86	89	-0.006	0.099
MA0075.1	Prrx2	12198.7	15262.0	18381.6	0.02	0.72	2.52	259	145	114	0.15	0.118
MA0912.1	Hoxd3	20828.7	25036.5	29756.7	-2.88	-0.86	0.37	332	157	175	-0.058	-0.149
MA1519.1	LHX5	17424.6	21453.5	25495.9	-2.54	-0.72	-0.01	306	139	167	-0.138	-0.173
MA0694.1	ZBTB7B	7932.4	10285.5	12785.1	-3.04	-1.02	-0.02	217	96	121	-0.145	-0.262
MA0491.1	JUND	6971.6	9331.0	11392.8	-2.1	-0.42	0.22	200	90	110	-0.223	-0.026
MA0148.2	FOXA1	5710.9	7639.5	9279.2	-0.65	0.2	1.37	178	96	82	0.084	0.069
MA0475.2	FLI1	5795.2	7894.5	9728.4	-1.47	0.2	0.67	181	92	89	0.005	-0.033
MA0100.2	Myb	2457.5	3537.5	4443.0	-0.54	0.23	1.61	122	62	60	0.024	0.107
MA0670.1	NFIA	6467.0	8719.5	10612.4	-1.58	-0.25	0.55	191	93	98	-0.033	-0.17
MA1635.1	BHLHE22(var.2)	1027.9	1695.0	2383.2	-2.35	-0.68	0.11	89	38	51	-0.102	-0.07
MA1573.1	THAP11	19952.4	24679.5	27626.0	-1.27	-0.08	0.88	316	157	159	-0.014	-0.01
MA0765.1	ETV5	14585.2	18168.5	22093.7	-0.15	0.64	2.39	281	150	131	0.169	0.116
MA0877.2	BARHL1	5414.5	7279.0	9374.6	-4.0	-1.74	0.05	190	84	106	-0.216	-0.271
MA0141.2	Esrrb	2749.5	3864.0	5227.2	-3.95	-1.73	0.09	141	61	80	-0.142	-0.366
MA0104.1	Mycn	1530.0	2376.5	3026.7	-1.08	-0.06	0.67	98	47	51	-0.024	-0.011
MA1587.1	ZNF135	10875.8	13792.5	16262.6	-0.68	-0.22	1.45	239	118	121	-0.024	0.167
MA0512.1	Rxra	1329.4	2029.0	2848.2	-4.44	-2.12	-0.48	107	43	64	-0.306	-0.611
MA0119.1	NFIC::TLX1	6789.2	9118.5	10941.9	-1.56	-0.24	0.54	195	93	102	-0.249	-0.1
MA0904.1	Hoxb5	30645.5	37360.5	41411.0	-1.2	-0.06	0.95	388	188	200	-0.097	-0.001
MA0597.1	THAP1	22878.3	28079.0	32712.8	-0.18	0.72	2.46	349	186	163	0.094	0.115
MA0471.1	E2F6	7569.8	9788.5	12059.4	-0.08	0.59	2.21	207	114	93	0.161	0.172
MA0844.1	XBP1	15076.6	18696.0	21836.8	-1.41	-0.17	0.67	277	137	140	-0.025	-0.081
MA1466.1	ATF6	17792.7	22219.0	25512.5	-0.66	-0.22	1.51	303	150	153	-0.045	0.173
MA0895.1	HMBOX1	5499.8	7279.0	9246.6	-3.17	-1.16	-0.01	185	81	104	-0.186	-0.141
MA0679.1	ONECUT1	10683.9	13864.0	16116.8	-0.74	0.13	1.34	238	121	117	0.005	0.066
MA0051.1	IRF2	416.0	777.5	1085.3	-1.13	-0.06	0.77	56	27	29	-0.028	-0.083
MA0059.1	MAX::MYC	4098.9	5637.5	7162.5	-2.05	-0.58	0.33	158	74	84	-0.161	-0.203
MA0162.2	EGR1	8724.1	11271.0	13716.2	-1.82	-0.39	0.58	219	107	112	-0.08	-0.112
MA0761.1	ETV1	10673.9	13934.0	16220.6	-0.81	0.1	1.28	238	126	112	0.056	0.051
MA0796.1	TGIF1	2524.9	3759.0	4757.0	-1.37	-0.11	0.74	124	61	63	-0.005	-0.078
MA0090.1	TEAD1	12112.5	15249.5	18558.9	-2.99	-1.06	-0.04	263	115	148	-0.158	-0.255
MA0037.3	GATA3	13793.2	17201.5	19885.7	-1.53	-0.23	0.5	267	132	135	-0.041	-0.061
MA0145.3	TFCP2	3540.8	4944.5	6329.2	-2.27	-0.65	0.18	149	66	83	-0.092	-0.194
MA0781.1	PAX9	3038.3	4272.0	5530.7	-1.86	-0.4	-0.0	136	58	78	-0.179	-0.132
MA0036.2	GATA2	22091.1	27735.5	30963.7	-0.98	0.01	1.04	333	175	158	0.071	-0.096
MA0803.1	TBX15	5203.8	7181.5	8836.2	-1.52	-0.16	0.73	172	81	91	-0.016	0.023
MA0818.1	BHLHE22	15580.3	19495.5	23262.7	-2.48	-0.72	0.2	292	136	156	-0.099	-0.221
MA0048.2	NHLH1	1486.4	2245.5	3153.2	-3.27	-1.2	-0.06	106	43	63	-0.42	-0.223
MA0904.2	HOXB5	15892.7	19760.0	23587.0	-2.49	-0.8	0.28	295	139	156	-0.137	-0.159
