Merged motif (Total sequences: 1000)	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
ZNF410$MA0752.1	109948.2	122795.5	136588.3	32.06	40.44	49.39	985	731	254	3.836	1.81
ZNF136$MA1588.1	79833.9	89855.5	100021.5	4.92	8.5	13.16	696	422	274	0.883	0.643
ZNF282$MA1154.1	63123.1	72290.0	81059.6	4.62	8.23	12.64	628	382	246	0.605	0.647
ZNF143$MA0088.2	59379.1	67459.5	76502.2	3.38	6.63	10.56	597	355	242	0.591	0.595
Nkx3-2$MA0122.1	1853.8	2745.0	3857.2	-8.57	-5.28	-2.78	140	43	97	-0.562	-0.555
GATA2$MA0036.1|Gata1$MA0035.1	12580.15	15704.5	19352.8	2.06	4.66	7.98	249	160	89	0.4	0.256
MZF1(var.2)$MA0057.1	31263.2	36954.5	43151.7	2.15	4.56	8.0	438	250	188	0.434	0.381
Nr2e3$MA0164.1	928.3	1514.0	2184.6	-6.13	-3.29	-1.21	100	32	68	-0.933	-0.769
Foxa2$MA0047.1	8659.9	11121.5	13859.9	-6.21	-3.27	-1.19	244	92	152	-0.446	-0.371
ZNF684$MA1600.1	29295.0	35057.0	40828.0	1.03	3.04	6.01	415	246	169	0.454	0.38
MEF2A$MA0052.2|MEF2A$MA0052.4|MEF2C$MA0497.1|MEF2A$MA0052.3|MEF2B$MA0660.1|MEF2D$MA0773.1|MEF2A$MA0052.1	35245.5	41446.14	48189.09	0.93	2.85	5.77	546	329	217	0.294	0.377
GSC2$MA0891.1|DPRX$MA1480.1|GSC$MA0648.1|OTX2$MA0712.1|Pitx1$MA0682.1|PITX3$MA0714.1|PITX2$MA1547.1|OTX1$MA0711.1|PITX1$MA0682.2|OTX2$MA0712.2|Dmbx1$MA0883.1|RHOXF1$MA0719.1	26363.74	31650.33	37125.86	0.99	2.77	5.54	477	298	179	0.422	0.374
Nkx2-5$MA0063.1	21438.0	26000.5	30841.6	0.86	2.76	5.51	358	206	152	0.349	0.301
NKX2-3$MA0672.1|ISL2$MA0914.1|NKX3-2$MA0122.2|Nkx3-1$MA0124.2|NKX2-8$MA0673.1|Nkx3-2$MA0122.3	6017.97	7853.92	9902.8	-5.55	-2.71	-0.79	140	48	92	-0.444	-0.539
GLI2$MA0734.1	6706.0	8883.0	11258.7	-5.35	-2.69	-0.9	216	92	124	-0.429	-0.4
znf143$MA0088.1	50461.4	57910.5	66504.8	0.75	2.66	5.47	523	301	222	0.381	0.323
Arid3b$MA0601.1	28817.5	34550.0	41155.0	0.75	2.58	5.49	408	242	166	0.446	0.257
MSANTD3$MA1523.1	3370.5	4611.5	6190.1	-5.25	-2.58	-0.74	159	62	97	-0.306	-0.336
