	5% p-val	5% stats	95% p-val	95% stats	Median p-val	Median stats
LMX1B|Prrx2|MEOX1|Nobox|GBX2|GBX1|GSX2|MEOX2|Arx|HOXB2|LHX6|GSX1|HESX1|VSX1|PRRX1|EN2|BSX|POU6F1|Dlx3|ISX|UNCX|mix-a|Alx4|NKX6-1|EVX2|Msx3|ESX1|RAX|LHX2|LMX1A|PDX1|EMX1|NOTO|Lhx4|LBX2|EMX2|MIXL1|VAX2|DLX6|RAX2|VSX2|Alx1|Dlx2|Dlx1|EVX1|LHX9|MSX2|VAX1|ALX3|BARX1|SHOX|Shox2|Lhx8|MSX1|EN1|HOXB3|Dlx4|VENTX|NKX6-2|HOXA2	-2.7112502328392383	96551.27708333333	0.22170052605891968	127050.32125	-0.8413972101393935	111286.24166666667
HIF1A|ARNT::HIF1A	0.08997656413763538	236511.9375	3.7876271877009877	294178.2875	1.5069132239377443	264166.25
Myod1|Myog|NHLH1|Tcf12|ASCL1|Ascl2	-2.9730812141333387	137802.1375	0.18725384124788	177056.65	-1.0647065426121725	156491.08333333334
FOSL2::JUND(var.2)|JDP2(var.2)|FOSL2::JUNB(var.2)|FOSB::JUNB(var.2)|FOSB::JUN|FOSL2::JUN(var.2)|FOSL1::JUND(var.2)|JUNB(var.2)|JUN|JUND(var.2)|FOSL1::JUN(var.2)|JUN::JUNB(var.2)|FOS::JUN(var.2)|ATF7|Creb5|CREB1	0.8009203584142258	156238.5921875	5.76435533484747	199099.81562499996	2.871281854853169	177022.140625
Ar|NR3C2|NR3C1	-0.29050660780145116	60976.291666666664	2.161328593056561	82546.84166666666	0.5749654390555491	71331.75
Arid3b	-6.199750248784068	72349.57500000001	-1.1267562125230532	97587.5	-3.1930341203451613	84150.25
Arid5a	-1.424537542500221	189131.67500000002	-0.0024513617771158443	235689.675	-0.3095350346627144	211843.25
TFE3|MAX|MNT|Arnt|MYC|MLXIPL|MXI1|BHLHE40|TFEB|HEY2|Hes1|USF2|SREBF2(var.2)|HEY1|Npas2|MITF|BHLHE41|CLOCK|MAX::MYC|Srebf1(var.2)|MYCN|Id2|Arntl|MLX|USF1|TFEC|Mlxip	-0.6213318534430888	156696.75462962964	2.5491893685637446	199271.92500000002	0.7959580332701305	177583.7685185185
Crem|Gmeb1|Atf1|GMEB2	-0.8140250435569296	226288.21249999997	1.4207491067953661	279461.75	0.1510401022688114	252634.4375
OLIG3|OLIG2|NEUROG2|ZBTB18|BHLHE23|BHLHE22|Bhlha15|TWIST1|Atoh1|NEUROD2|OLIG1|Neurog1	-0.6926996120027842	126155.21874999999	1.3890466939080646	160547.49999999997	0.19279150473449827	143203.85416666666
Nfe2l2|MAF::NFE2|BACH2|Bach1::Mafk	1.9744029242066108	166441.64999999997	7.984313103474788	213063.025	4.4798005307836695	188668.25
FOSL1|JUND|JUN::JUNB|BATF::JUN|FOSL1::JUNB|FOS::JUN|JUNB|FOSL2::JUN|JUN(var.2)|FOSL2::JUND|FOSB::JUNB|FOSL1::JUN|JDP2|FOSL2::JUNB|FOS::JUNB|FOS::JUND|FOSL2|FOSL1::JUND|NFE2|FOS	6.9088424669428905	113756.32000000002	16.22641604340394	148513.0625	11.028451150544461	130393.175
HOXA13|HOXA10|Hoxd9|CDX2|HOXD13|CDX1|HOXB13	-2.8198119570995126	109315.08214285714	0.22705849312285245	142999.98571428572	-0.9188190629941707	125312.71428571429
CEBPB|CEBPA|CEBPE|CEBPG|CEBPD	1.9538983361849795	108682.12	7.751687057779014	142352.72	4.398127206624336	124586.6
CREB3L1|CREB3|XBP1	-0.4566057662806487	205243.5166666667	3.4485399952277827	256658.725	1.3803435169998624	230001.08333333334
CTCF	-1.4278065712540675	330007.275	0.6495734393769413	401344.175	-0.18280689636642516	365650.25
CUX1|CUX2	-5.071751749280056	101342.25	-0.6997975501620095	132736.7125	-2.389144768211003	116575.25
Creb3l2	-1.600498043244537	149055.025	0.5017413789726936	189443.575	-0.2529305358172839	168151.5
HLF|TEF|DBP|NFIL3	0.17615820060433285	99940.0625	3.9071030721736313	131696.475	1.519750312554919	115120.75
DUXA|DUX4	-0.4937303946849977	138010.0375	1.426145401067119	176018.9	0.24735826296079733	156189.0
Dmbx1	-5.470682184747056	262271.45	-0.7874843561336631	325027.19999999995	-2.5595142227870418	292507.25
Dux	-1.6506196055439226	60425.375	0.5381603605886167	82475.9	-0.27882379273832647	71258.25
E2F3|E2F2	-2.873101108399318	8914.075	0.5007851976560384	14315.7375	-0.8513371510503793	11462.125
E2F6|TFDP1|E2F4	-2.7427899726057787	220624.0166666667	0.12026965210248554	274614.68333333335	-0.9080239964458564	247152.58333333334
EGR4|EGR3|EGR1|EGR2	-0.039006097505042976	140584.9	2.9155373799885753	178200.6	0.990979842638505	159041.6875
ELK1|ELF1|ETV2|FLI1|ELF4|ERF|ERG|ETV4|ETV6|ETV1|Gabpa|EHF|ELF5|ELF3|ELK3|ZBTB7A|FEV|ETV5|ELK4|ETS1|ETV3	86.01607561574659	119872.38809523809	108.40919544401314	158412.70476190475	97.01566235692664	138684.92857142858
TBX4|TBX1|MGA|TBX21|TBX15|TBR1|TBX5|EOMES|TBX20|TBX2	-3.554807012601178	144647.77499999997	-0.1356665687413014	186034.34000000003	-1.431304890452027	164516.15
Esrrg|ESRRB|Esrra	-1.8733907740762568	110723.79999999999	0.1413580743006146	143233.775	-0.41208869164386774	126602.83333333333
TCF4|ZEB1|TCF3|ID4|FIGLA	-15.022039433423458	121954.045	-6.101957785209902	159898.77999999997	-10.146239972116188	140282.75
FOXA1|Foxa2	-0.9875743830517923	174568.02500000002	1.0581977557399143	217531.75	-0.04107988048575373	195601.5
FOXK1|FOXC1|Foxo1|FOXK2|FOXI1|FOXO3|FOXO4|FOXC2|Foxj2|FOXP2|FOXD1|FOXG1|FOXO6|Foxj3|FOXB1|FOXP1|FOXL1|FOXD2	-0.9730313726301019	116568.73055555555	1.2743677824844322	149768.8916666667	0.13630195454576233	132476.65277777778
GATA5|GATA2|Gata4|GATA3|GATA6|Gata1	-2.097968458340532	139892.89583333334	0.29367874722084075	177528.54166666666	-0.5282025348736924	158073.08333333334
GCM1|GCM2	-1.4942200278536355	185918.48750000002	0.5592017176135994	232659.8	-0.11710821848291243	207967.125
GLIS3|GLIS2	-3.376172878930274	92361.2125	0.29423085927195625	122028.0375	-1.1276152632296927	107051.0
TFCP2|GRHL2|GRHL1	0.08453694564113297	182128.38333333333	3.6876935789641636	231770.04999999996	1.3647906576843136	206862.16666666666
OTX1|OTX2|GSC|PITX3|Pitx1|GSC2	-4.43098688084963	103691.22499999999	-0.2632040135928599	136219.47083333333	-1.952510210966462	119385.66666666667
Gfi1b	0.14764552384946097	131288.05	3.642116193678568	172333.34999999998	1.3523912603612152	151316.75
HES5|HES7	0.512293575261153	16645.212499999998	4.719472191782344	25925.9375	2.133409052529224	20762.625
HIC2|Hic1	-2.221449148085289	109374.2875	-0.0134484025721294	143597.0875	-0.5728059447572693	125964.625
HNF1A|HNF1B	-1.9796895572471087	100835.9125	0.20986900861747626	131283.0625	-0.45932744497146594	116152.5
HOXC12|HOXD12|HOXC10|Hoxa11|HOXD11|HOXC11	-2.2060803881974422	126257.03333333333	0.5062297500699752	162826.20416666663	-0.4040892335921275	143768.83333333334
HSF1|HSF2|HSF4	-2.222895383683706	145553.66666666666	0.3574902709233337	185904.2666666667	-0.5495198419011728	165056.66666666666
Hand1::Tcf3	-1.8698004200174227	121839.775	0.40555259605562033	156106.02500000002	-0.43590514679687353	138086.75
Hmx2|Hmx3|Hmx1	-2.2941638362182406	242273.7416666667	0.5928000003418766	299101.14166666666	-0.6549642973080331	269256.4166666667
Hoxa9|Hoxc9	-1.3337934035580847	161780.3375	0.750733491946579	202707.66249999998	-0.14734310100572004	181178.625
Hoxd3|Hoxb5	-2.70118123394346	219857.40000000002	0.4727454032681073	274949.475	-0.8421707544986291	245885.5
STAT1::STAT2|IRF1	21.320058680478887	337021.6875	36.294128768837155	412958.875	28.37676429177663	373635.625
IRF2	0.7387632300249383	144695.55	5.144848822913646	186682.975	2.4191263052398595	166068.25
IRF4|IRF9|IRF8	2.3647776789238644	26270.125	9.098510066031404	38631.48333333333	5.2563721774418	32125.5
IRF5	-0.32762787326181164	218038.75	3.7782041097935113	272655.325	1.5761503329912971	244742.5
IRF7	3.72152957430515	217019.175	11.282426428804449	275205.22500000003	7.165924948108902	244274.5
KLF13	-2.0835598805148354	148977.875	0.4313128081436433	192436.07499999998	-0.5309802403868402	169874.5
SP4|KLF14|KLF9|SP8|Klf1|SP3|KLF16	-0.8381038725001247	188996.2714285714	1.3668832647723226	235432.32857142857	0.21592309774395907	211533.67857142858
KLF5	-0.9480196145630329	152299.875	0.9994829048133533	191667.65	0.0030639261453011815	172355.25
Klf12	-0.3331914086950124	196231.775	2.766540683022899	248193.825	0.8863877400610296	220854.5
TCF7L2|Tcf7|LEF1|TCF7L1	-3.6924757974074236	170727.05625	-0.019475092119406068	217554.03749999998	-1.5323799979671864	192443.5625
MAFG|MAFF|MAFK	0.08656746250288172	290910.3666666667	3.8387637937589276	357471.69166666665	1.5375979272751727	322940.25
MEF2B|MEF2D|MEF2A	-0.12030367362371297	58765.78333333335	3.963247114512402	81426.65833333334	1.6286045055503078	69423.0
MEF2C	0.6239863553153552	194795.375	5.088038663083607	248663.55	2.3996367362958404	220667.25
MEIS3|MEIS1|MEIS2	-0.42430631185694345	86703.375	2.007488040504356	114433.825	0.4585500938625214	100091.0
MNX1	-3.4318756287712	101312.04999999999	0.2993035003724531	133642.925	-1.2615837570772208	116628.0
MSC|MYF6|Tcf21	-2.1167158159630675	103890.35833333334	0.41860786264292854	136535.13333333333	-0.5924341988935328	119910.0
MYB	0.1236299157133816	148638.075	3.5199527281063334	191515.775	1.3465255076394758	169025.5
MYBL1	-2.9444316994068953	80743.9	0.024764273385755965	108800.5	-0.9667155944772299	93876.25
NRL|Mafb	-0.17399231909482443	164878.4875	3.398224189726211	211480.91249999998	1.2343481130107765	187882.125
NFATC1|NFATC3	-4.122293138983915	174529.4875	-0.1942767672041365	220522.24999999997	-1.625938915479812	196558.375
NFIC	-0.27057443632445816	138433.125	2.098442468118271	178019.72499999998	0.5261406819689305	158348.5
NFKB1|NFKB2	-2.18605822542601	56646.52500000001	0.41062486465761816	75808.5625	-0.41530807696145206	65884.875
NFYB|NFYA	-0.9311576860015813	169865.7625	1.1676487604469157	212883.275	0.02175337985794079	190999.125
NKX2-3|NKX2-8	5.182204809300005	118397.47499999999	13.959012774479202	153832.7125	9.182552064451684	134900.0
NKX3-2|Nkx3-1	4.4620388485967295	113151.625	12.370574329362888	146716.77500000002	7.855991659048932	129527.0
NR1A4::RXRA|NR4A2::RXRA	-2.7978127523341554	248589.57499999998	0.06685936325511073	305765.6875	-0.893706281858057	275999.625
NR2F2|NR4A1	-1.9504264178007915	151941.7375	0.6555408182638067	192287.64999999997	-0.3642386149325156	172369.625
NR4A2	-3.0654483370055807	81864.34999999999	0.23871326310726224	109948.17499999999	-1.0161614690675194	94870.5
Nkx2-5	-3.154591743114038	67087.75	-0.056501194727472795	91514.0	-1.1529005358798998	78821.25
Rxra|RXRB|RXRG|Nr2f6	-0.7801746509512719	57338.506250000006	1.2915558210846343	76119.25	0.026846752128019832	66826.875
Rarb|RARA|Rarg|Nr2f6(var.2)	-0.7838397628117751	11040.0125	1.3258014494440735	17321.875	0.09397932088249124	14000.5
Nr5a2	-4.1035430564279824	179085.8	-0.3872858099887236	227818.325	-1.7364264714876985	202305.0
ONECUT2|ONECUT1|ONECUT3	-2.96568987396349	111215.06666666665	0.3993236691670623	146328.97499999998	-1.0135267155962284	128860.5
PAX1|PAX9	0.10779053605503909	38322.2125	2.672133190330846	53840.6	0.8637853953250662	45838.875
PAX3|PAX7	-2.38524178101237	27793.4625	0.00956978042709191	40663.95	-0.6727365023936287	33954.25
PBX2	-0.3490155599046152	178802.975	2.183153200553688	224624.2	0.5193394268531661	201667.0
PBX3	-0.01099895893965604	301904.80000000005	2.7909949391925637	371251.2	1.0262381226027601	335089.5
PROP1|Phox2b|PHOX2A	-3.2335056250785272	98973.00833333335	0.17536593688692945	130632.14999999998	-1.161171182330624	113537.5
PKNOX1|TGIF1|TGIF2|PKNOX2	-0.739602352029354	29515.643750000003	1.3983021701004366	41152.475000000006	-0.0011163732866481396	35119.0
POU3F4|POU3F2|Pou2f3|POU5F1B|POU1F1|POU3F1|POU2F1|POU3F3	-0.9406305822142005	144404.846875	1.1023856584440619	183296.4375	0.055885420762452336	163608.5
POU2F2|POU5F1	-0.5224926475980027	137387.71250000002	1.8644415264097682	176849.07499999998	0.3035234471527015	156506.5
POU4F1|POU4F2|POU4F3	0.09984136149730956	154281.625	3.4424708639688135	197893.475	1.3354017033993328	175755.83333333334
POU6F2	-0.7741085807423416	147975.65	1.2909027985780388	187117.0	0.21247021702808797	165988.5
RARA(var.2)|Rarb(var.2)	-1.5910943364441263	25672.025	0.5545941866241749	36675.2875	-0.2992760979652399	30817.875
RFX3|RFX2|RFX5|RFX4	-3.305538226319455	80391.725	0.03310870164849082	106189.38125	-1.235343962111743	92448.0
RORC|RORB	-1.3469705351059003	170671.71250000002	0.7467358034416791	213598.88749999998	-0.10429493587576272	191993.875
RUNX3|RUNX1|RUNX2	1.8922436623113714	121042.65833333334	8.137890939161833	158174.79166666666	4.460261254184262	138739.16666666666
RXRA::VDR	-0.9615746214476686	32906.025	1.1198794824632397	45520.975	-0.11797692436112521	39042.5
Rhox11	-1.1071473182982745	289509.85	0.9035755078185835	352222.325	-0.15764538919361437	320468.0
SCRT1|SCRT2	-2.7304975239153526	140352.9125	0.16252596867338373	180460.0875	-0.8151324386042608	160021.375
SIX1|SIX2	-0.8310814132833195	246585.55	1.4804469052742726	299944.14999999997	0.010304071225320927	273483.5
SOX13|Sox17|SOX9	-1.39525113211124	129346.47500000002	0.7813214014103299	164846.97499999998	-0.11758058557881994	146282.83333333334
Sox1|SOX4|Sox11|SOX21	-1.9442117395231693	18799.4625	0.6554524963709182	27235.08125	-0.4499320221943611	22736.3125
SP2|SP1	-1.826069573391254	258136.6625	0.5341939266078171	316925.02499999997	-0.29710917844230655	285856.875
SPIC|SPI1	125.28137854921174	135567.5	149.06836689002756	176927.13749999998	137.39667033038978	155353.0
SREBF1|SREBF2	-1.5943959909700167	132899.5	0.40124507461497017	169437.66249999998	-0.34566883040234986	150413.25
STAT3|Stat4|Stat5a::Stat5b|STAT1	-0.1389865008713861	143818.78125	3.120443346028198	182767.7	1.166524670551925	162423.6875
Smad4	-2.253474156600227	66223.675	0.5339395950679218	90148.925	-0.4809481389405797	78074.5
Sox3|Sox6	-2.6188983106329196	110390.2875	0.1230954639214122	143885.3625	-0.7999809584275666	126658.0
T|TBX19	-2.7210082932422797	100846.5375	0.11024257189443666	131506.8625	-0.917997129011647	115263.5
TEAD4|TEAD1|TEAD2|TEAD3	-6.926408503389346	159040.29375	-1.4627271552261059	202452.54375	-3.7533518715425975	179926.875
TFAP2C(var.2)|TFAP2A|TFAP2B(var.2)	-0.026507733776938047	132198.13333333333	2.590332013596149	170986.19999999998	0.8068704907204074	151415.66666666666
TFAP2C|TFAP2A(var.2)|TFAP2B	-0.23109968509063364	152466.84999999998	2.0348355151949504	194952.975	0.5218796573951745	173701.66666666666
TFAP2B(var.3)|TFAP2C(var.3)|TFAP2A(var.3)	-0.663521731317355	90757.0	1.4287209879310943	119203.52499999998	0.12674650091660747	103876.5
THAP1	-0.5608834630739414	138024.92500000002	1.5394102102845886	174928.125	0.16719046603982693	156447.75
TP63	-1.290971593938737	9629.449999999999	0.8131755391708367	15284.3	0.1716758366690494	12318.0
VDR	-2.2322293242712936	84544.3	0.31693010345440675	113540.25	-0.5832369323540312	98439.0
ZBTB7B|ZBTB7C	-3.663632952961353	187377.71250000002	-0.23515880322118243	235227.7375	-1.4705178248387023	211688.875
ZIC3|ZIC1|ZIC4	-3.268137535570839	183123.3666666667	-0.03466029248174805	229532.28333333333	-1.1304707955567042	205892.66666666666
ZNF24	-1.5574885240374843	191839.7	0.5144277716219087	240496.85	-0.24775094948744086	214730.0
ZNF263	2.2584867120353684	494735.10000000003	8.660744778615541	592193.9249999999	4.940383678510441	543043.5
NFIC::TLX1	-0.5801171076697398	35198.375	1.6325774804275577	49360.049999999996	0.22054209867267843	42170.25
