	5% p-val	5% stats	95% p-val	95% stats	Median p-val	Median stats
SPIC|SPI1	125.28137854921174	135567.5	149.06836689002756	176927.13749999998	137.39667033038978	155353.0
ELK1|ELF1|ETV2|FLI1|ELF4|ERF|ERG|ETV4|ETV6|ETV1|Gabpa|EHF|ELF5|ELF3|ELK3|ZBTB7A|FEV|ETV5|ELK4|ETS1|ETV3	86.01607561574659	119872.38809523809	108.40919544401314	158412.70476190475	97.01566235692664	138684.92857142858
SPIB	73.87648916071127	23722.25	91.41280001837852	37311.7	82.54239561197286	30583.5
STAT1::STAT2|IRF1	21.320058680478887	337021.6875	36.294128768837155	412958.875	28.37676429177663	373635.625
SPDEF	15.649485979107947	178807.7	28.381370902026116	227892.34999999998	21.838670904772975	203152.75
HINFP	10.764001700215728	303024.775	22.53267926502898	374198.375	16.49578311389594	336973.0
SNAI2	-16.62929183891979	129810.82500000001	-6.980218935471636	170315.375	-11.37941217134216	148265.25
FOSL1|JUND|JUN::JUNB|BATF::JUN|FOSL1::JUNB|FOS::JUN|JUNB|FOSL2::JUN|JUN(var.2)|FOSL2::JUND|FOSB::JUNB|FOSL1::JUN|JDP2|FOSL2::JUNB|FOS::JUNB|FOS::JUND|FOSL2|FOSL1::JUND|NFE2|FOS	6.9088424669428905	113756.32000000002	16.22641604340394	148513.0625	11.028451150544461	130393.175
TCF4|ZEB1|TCF3|ID4|FIGLA	-15.022039433423458	121954.045	-6.101957785209902	159898.77999999997	-10.146239972116188	140282.75
NKX2-3|NKX2-8	5.182204809300005	118397.47499999999	13.959012774479202	153832.7125	9.182552064451684	134900.0
NKX3-2|Nkx3-1	4.4620388485967295	113151.625	12.370574329362888	146716.77500000002	7.855991659048932	129527.0
IRF7	3.72152957430515	217019.175	11.282426428804449	275205.22500000003	7.165924948108902	244274.5
IRF3	2.9130835948364746	167587.475	10.442145680033072	215554.65	5.903362812356882	192334.75
Pax2	2.606411338467085	96721.95	9.680016298023334	127500.775	5.774562799357676	111875.0
IRF4|IRF9|IRF8	2.3647776789238644	26270.125	9.098510066031404	38631.48333333333	5.2563721774418	32125.5
ZNF263	2.2584867120353684	494735.10000000003	8.660744778615541	592193.9249999999	4.940383678510441	543043.5
Nfe2l2|MAF::NFE2|BACH2|Bach1::Mafk	1.9744029242066108	166441.64999999997	7.984313103474788	213063.025	4.4798005307836695	188668.25
RUNX3|RUNX1|RUNX2	1.8922436623113714	121042.65833333334	8.137890939161833	158174.79166666666	4.460261254184262	138739.16666666666
CEBPB|CEBPA|CEBPE|CEBPG|CEBPD	1.9538983361849795	108682.12	7.751687057779014	142352.72	4.398127206624336	124586.6
PRDM1	1.7514594856113053	218379.42500000002	8.059626062455974	277920.94999999995	4.208044041294084	246561.25
BARHL2	-7.261944294561459	100712.925	-1.4847166837202428	133988.0	-3.7914829738218914	115818.5
TEAD4|TEAD1|TEAD2|TEAD3	-6.926408503389346	159040.29375	-1.4627271552261059	202452.54375	-3.7533518715425975	179926.875
MZF1	1.3572737789639038	55380.025	7.009737457049691	77200.625	3.4563628266582307	65779.0
Stat6	1.2522648426373224	182652.975	6.37708099201681	232745.675	3.247487304517241	207073.5
Arid3b	-6.199750248784068	72349.57500000001	-1.1267562125230532	97587.5	-3.1930341203451613	84150.25
Arid3a	-6.144637775962356	23682.075	-1.058594143597166	35229.15	-3.150233799389833	28946.75
Nr2e1	0.9954660647752982	103018.1	6.279353077077413	136876.55	3.0190114960357803	119814.25
FOSL2::JUND(var.2)|JDP2(var.2)|FOSL2::JUNB(var.2)|FOSB::JUNB(var.2)|FOSB::JUN|FOSL2::JUN(var.2)|FOSL1::JUND(var.2)|JUNB(var.2)|JUN|JUND(var.2)|FOSL1::JUN(var.2)|JUN::JUNB(var.2)|FOS::JUN(var.2)|ATF7|Creb5|CREB1	0.8009203584142258	156238.5921875	5.76435533484747	199099.81562499996	2.871281854853169	177022.140625
BATF3	0.8678883608807617	7601.875	5.266904775334595	12844.6	2.646591312440318	9914.25
Dmbx1	-5.470682184747056	262271.45	-0.7874843561336631	325027.19999999995	-2.5595142227870418	292507.25
IRF2	0.7387632300249383	144695.55	5.144848822913646	186682.975	2.4191263052398595	166068.25
PLAG1	-5.023746402847821	78061.15	-0.7129839461170908	105136.22499999999	-2.409413147262961	91600.75
MEF2C	0.6239863553153552	194795.375	5.088038663083607	248663.55	2.3996367362958404	220667.25
CUX1|CUX2	-5.071751749280056	101342.25	-0.6997975501620095	132736.7125	-2.389144768211003	116575.25
Pax6	0.700579200997621	247869.95	5.109601370496001	308756.0	2.3875029596362944	277164.0
HLTF	-5.088595399639821	149215.15000000002	-0.6259666397838736	192487.59999999998	-2.3554288731810065	170431.5
Bcl6	0.6009201797301524	182404.35	5.090522300906868	232818.525	2.3473251914104587	206966.25
Hnf4a	-5.043439592918751	43775.299999999996	-0.6667336736689344	63218.35	-2.3067252482221825	52793.25
ATF4	0.49719708241960736	158307.775	4.92245014157082	202408.025	2.239618072815416	179256.5
EWSR1-FLI1	0.4911740970175559	28380.175000000003	4.720902334434134	41781.87499999999	2.16136116419856	34413.25
HES5|HES7	0.512293575261153	16645.212499999998	4.719472191782344	25925.9375	2.133409052529224	20762.625
CTCFL	-4.658721782388462	233236.82499999998	-0.5183159099680278	289953.65	-2.0906314844615497	260040.5
