	chr	start	end	strand	Stat	Parent files
Merged-chr11-115677597-1	chr11	115677497	115677697	+	9.71	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-82839998-1	chr10	82839898	82840098	+	21.700001	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-80348465-1	chr10	80348365	80348565	+	15.7	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-76468944-1	chr10	76468844	76469044	+	17.200001	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr17-5859690-1	chr17	5859590	5859790	+	14.9	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr17-5574811-1	chr17	5574711	5574911	+	12.7	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr17-5396053-1	chr17	5395953	5396153	+	20.200001	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr17-88552241-1	chr17	88552141	88552341	+	15.7	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr17-85019328-1	chr17	85019228	85019428	+	18.700001	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-82992100-1	chr10	82992000	82992200	+	16.4	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr17-83155456-1	chr17	83155356	83155556	+	16.4	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr17-79381670-1	chr17	79381570	79381770	+	14.9	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr9-100643791-1	chr9	100643691	100643891	+	129.199997	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr17-79288762-1	chr17	79288662	79288862	+	14.2	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr9-108761845-1	chr9	108761745	108761945	+	10.5	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr9-108275497-1	chr9	108275397	108275597	+	13.4	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr9-106269994-1	chr9	106269894	106270094	+	13.4	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr9-106160109-1	chr9	106160009	106160209	+	9.71	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-67760795-1	chr10	67760695	67760895	+	18.700001	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr17-80138610-1	chr17	80138510	80138710	+	16.4	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-62556292-1	chr10	62556192	62556392	+	20.9	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr9-108783808-1	chr9	108783708	108783908	+	9.71	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr9-111011215-1	chr9	111011115	111011315	+	11.2	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-93461027-1	chr10	93460927	93461127	+	20.9	C57Bl6_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
