	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	BALBC	C57Bl6
chr18_53127084_53127284	chr18	53127084	53127284	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	Lx9|LINE|L1	-49181.0	NM_026386	67804.0	Mm.252171	NM_026386	ENSMUSG00000034484	Snx2	0610030A03Rik	sorting nexin 2	protein-coding	6.46	33.5
chr17_57105151_57105431	chr17	57105191	57105391	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	promoter-TSS (NM_009404)	promoter-TSS (NM_009404)	-94.0	NM_009404	21950.0	Mm.41171	NM_009404	ENSMUSG00000035678	Tnfsf9	4-1BB-L|4-1BBL|AI848817|Cd137l|Ly63l	tumor necrosis factor (ligand) superfamily, member 9	protein-coding	25.365	85.355
chr2_71735689_71735889	chr2	71735689	71735889	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NR_039557, intron 2 of 3).2	intron (NR_039557, intron 2 of 3).2	16372.0	NR_037979	381371.0	Mm.330284	NM_201366	ENSMUSG00000064263	Platr26	Gm1631	pluripotency associated transcript 26	ncRNA	9.395	20.18
chr15_74999820_75000020	chr15	74999820	75000020	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-1889.0	NM_001271418	110454.0	Mm.425949	NM_010738	ENSMUSG00000075602	Ly6a	Ly-6A.2|Ly-6A/E|Ly-6E.1|Sca-1|Sca1|TAP	lymphocyte antigen 6 complex, locus A	protein-coding	4.55	20.4
chr9_106295415_106295615	chr9	106295415	106295615	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_027354, intron 7 of 10)	intron (NM_027354, intron 7 of 10)	14454.0	NM_027354	70235.0	Mm.23054	NM_027354	ENSMUSG00000023345	Poc1a	2510040D07Rik|Wdr51a|cha	POC1 centriolar protein A	protein-coding	1.675	13.864999999999998
chr16_55801267_55801467	chr16	55801267	55801467	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	20771.0	NM_001159394	80859.0	Mm.247272	NM_030612	ENSMUSG00000035356	Nfkbiz	AA408868|INAP|Mail	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta	protein-coding	8.245000000000001	18.95
chr8_6119623_6119823	chr8	6119623	6119823	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-1014436.0	NM_011388	20494.0	Mm.3500	NM_011388	ENSMUSG00000023073	Slc10a2	9130221J18Rik|AI605518|ASBT|IBAT|ISBT	solute carrier family 10, member 2	protein-coding	4.44	61.01000000000001
chr12_45010297_45010497	chr12	45010297	45010497	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_144552, intron 2 of 5)	intron (NM_144552, intron 2 of 5)	64086.0	NM_144552	217517.0	Mm.285400	NM_144552	ENSMUSG00000046314	Stxbp6	BC024598|C85317	syntaxin binding protein 6 (amisyn)	protein-coding	6.92	22.21
chr9_40476691_40476891	chr9	40476691	40476891	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	CT-rich|Low_complexity|Low_complexity	-21027.0	NM_172768	235283.0	Mm.138434	NM_172768	ENSMUSG00000040111	Gramd1b	3222402H23|A930008A22Rik|AI593249|mKIAA1201	GRAM domain containing 1B	protein-coding	2.9450000000000003	30.035000000000004
chr14_73146805_73147031	chr14	73146818	73147018	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NR_033185, intron 1 of 15)	RMER6A|LTR|ERVK	4133.0	NR_033185	105670.0	Mm.280068	NM_134083	ENSMUSG00000022106	Rcbtb2	2610028E02Rik|2810420M18Rik|AI448345|AW240694|Chc1l|RC/BTB2	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2	protein-coding	13.49	37.835
chr18_67271958_67272158	chr18	67271958	67272158	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	(CA)n|Simple_repeat|Simple_repeat	-17165.0	NM_053261	114663.0	Mm.34079	NM_053261	ENSMUSG00000024525	Impa2	2210415D20Rik|AI326924|AW259601	inositol (myo)-1(or 4)-monophosphatase 2	protein-coding	7.845	19.025
chr8_34817760_34817960	chr8	34817760	34817960	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_176933, intron 3 of 3)	intron (NM_176933, intron 3 of 3)	10250.0	NM_176933	319520.0	Mm.170276	NM_176933	ENSMUSG00000031530	Dusp4	2700078F24Rik|AI844617|BB104621|E130306H24Rik|MKP2	dual specificity phosphatase 4	protein-coding	91.8	224.415
chr6_135218491_135218691	chr6	135218491	135218691	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_028982, intron 4 of 12)	intron (NM_028982, intron 4 of 12)	20604.0	NM_028982	74525.0	Mm.34182	NM_028982	ENSMUSG00000030207	Fam234b	8430419L09Rik|Kiaa1467|mKIAA1467	family with sequence similarity 234, member B	protein-coding	11.01	39.615
