Merged motif (Total sequences: 1756)	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MITF$MA0620.3|Srebf1(var.2)$MA0829.1|SREBF2(var.2)$MA0828.1|MLXIPL$MA0664.1|USF2$MA0526.2|MITF$MA0620.2|SREBF1(var.2)$MA0829.2|USF1$MA0093.2|MLX$MA0663.1|TFEB$MA0692.1|Mycn$MA0104.3|MAX::MYC$MA0059.1|MAX$MA0058.1|Creb3l2$MA0608.1|BHLHE41$MA0636.1|Mlxip$MA0622.1|SOHLH2$MA1560.1|ARNT2$MA1464.1|USF1$MA0093.1|MAX$MA0058.3|Arnt$MA0004.1|HES1$MA1099.2|Bhlhe40$MA0464.1|TFEC$MA0871.1|MNT$MA0825.1|TFE3$MA0831.1|MXI1$MA1108.1|Arntl$MA0603.1|BHLHE40$MA0464.2|HEY2$MA0649.1|Mitf$MA0620.1|HES2$MA0616.2|Npas2$MA0626.1|CLOCK$MA0819.1|USF2$MA0526.3|HES5$MA0821.1|Mycn$MA0104.1|Myc$MA0147.1|Hes1$MA1099.1|HEY1$MA0823.1|MYCN$MA0104.4|TFEC$MA0871.2|USF2$MA0526.1|USF1$MA0093.3|MYC$MA0147.3|HES7$MA0822.1|Mycn$MA0104.2|TFE3$MA0831.2	16442.99	20576.88	24400.66	-0.4	0.64	2.32	445	248	197	0.095	0.16
RARA(var.2)$MA0730.1|Rarb(var.2)$MA0858.1	18256.25	23030.0	26774.8	-0.74	0.19	1.48	326	168	158	0.054	0.072
Klf1$MA0493.1|KLF5$MA0599.1|KLF4$MA0039.4|KLF4$MA0039.3|Klf4$MA0039.2|SP1$MA0079.4|KLF2$MA1515.1|Klf12$MA0742.1|KLF10$MA1511.1|KLF11$MA1512.1|SP8$MA0747.1|KLF3$MA1516.1|KLF6$MA1517.1|SP3$MA0746.1|SP4$MA0685.1|KLF9$MA1107.2|SP9$MA1564.1|SP3$MA0746.2|KLF14$MA0740.1|KLF16$MA0741.1|KLF9$MA1107.1	21624.12	26661.95	31255.09	-0.38	0.53	2.15	297	160	137	0.274	0.285
Gata1$MA0035.2|GATA6$MA1104.2|GATA2$MA0036.3|GATA6$MA1104.1|GATA5$MA0766.1|GATA3$MA0037.2|Gata1$MA0035.3|GATA2$MA0036.2|GATA5$MA0766.2|GATA4$MA0482.2|GATA3$MA0037.3|Gata4$MA0482.1	13543.81	17056.46	20362.27	-1.83	-0.25	0.74	279	138	141	-0.024	-0.169
BATF::JUN$MA0462.1|BACH1$MA1633.1|FOSL1::JUND$MA1142.1|BATF::JUN$MA0462.2|FOSL2::JUNB$MA1138.1|FOSB::JUNB$MA1135.1|FOS::JUNB$MA1134.1|BATF3$MA0835.2|JUN::JUNB$MA1132.1|JDP2$MA0655.1|BATF$MA1634.1|BACH2$MA1101.1|JUN(var.2)$MA0489.1|FOSL2::JUND$MA1144.1|JUNB$MA0490.2|FOSL1::JUNB$MA1137.1|FOS::JUND$MA1141.1|FOS::JUN$MA0099.3|FOSL1$MA0477.2|JUN::FOS$MA0099.1|FOSL2::JUN$MA1130.1|FOS::JUN$MA0099.2|JUND$MA0491.1|FOS$MA0476.1|JUND$MA0491.2|FOSL1::JUN$MA1128.1|FOSL1$MA0477.1|NFE2$MA0841.1|JUNB$MA0490.1|Smad2::Smad3$MA1622.1|BACH2$MA1101.2|FOSL2$MA0478.1|NFE2L1$MA0089.2|Bach1::Mafk$MA0591.1|Nfe2l2$MA0150.2|MAFK$MA0496.3|MAF::NFE2$MA0501.1|NFE2L2$MA0150.1	17245.74	21398.64	26040.73	1.85	4.29	7.61	316	197	119	0.581	0.653
CEBPA$MA0102.2|Cebpa$MA0102.1|CEBPG$MA0838.1|CEBPB$MA0466.2|CEBPD$MA0836.1|CEBPE$MA0837.1	12908.95	16605.83	19575.73	-1.95	-0.57	0.64	219	91	128	-0.408	-0.308
TBP$MA0108.2|TBP$MA0108.1	26417.1	32136.25	38429.2	-3.98	-1.66	-0.28	387	170	217	-0.128	-0.144
MEIS2$MA0774.1|MEIS3$MA0775.1|MEIS1$MA0498.2	6983.53	9185.67	11702.03	0.03	1.11	3.2	213	121	92	0.207	0.291
TFAP4(var.2)$MA1570.1|Ptf1a(var.2)$MA1619.1|OLIG1$MA0826.1|Tcf21$MA0832.1|Bhlha15$MA0607.1|MYF5$MA1641.1|NHLH1$MA0048.2|ATOH7$MA1468.1|TWIST1$MA1123.1|Tcf12$MA0521.1|TWIST1$MA1123.2|TCF3$MA0522.3|SNAI2$MA0745.2|ASCL1$MA1100.1|MYF6$MA0667.1|BHLHE23$MA0817.1|HAND2$MA1638.1|TCF12(var.2)$MA1648.1|ZBTB18$MA0698.1|ASCL1$MA1100.2|Ptf1a(var.3)$MA1620.1|NHLH1$MA0048.1|NHLH2$MA1529.1|NEUROG2(var.2)$MA1642.1|ASCL1(var.2)$MA1631.1|NEUROD2$MA0668.1|ATOH1(var.2)$MA1467.1|Myog$MA0500.1|Myod1$MA0499.1|Neurog1$MA0623.1|ZEB1$MA0103.3|Twist2$MA0633.1|SNAI3$MA1559.1|Ptf1a$MA1618.1|MSC$MA0665.1|TCF4$MA0830.2|SNAI2$MA0745.1|BHLHA15(var.2)$MA1472.1|TFAP4$MA0691.1|TAL1::TCF3$MA0091.1|NEUROD1$MA1109.1|Atoh1$MA0461.2|TCF3$MA0522.2|Rbpjl$MA1621.1|TCF21(var.2)$MA1568.1|Ascl2$MA0816.1|SNAI1$MA1558.1|Tcf3$MA0522.1|OLIG3$MA0827.1|NEUROG1$MA0623.2|MYOD1$MA0499.2|OLIG2$MA0678.1|TCF4$MA0830.1|FIGLA$MA0820.1|NEUROG2$MA0669.1|MYOG$MA0500.2|BHLHE22(var.2)$MA1635.1|BHLHE22$MA0818.1	15926.08	20103.78	23533.28	-0.86	0.14	1.36	256	137	119	0.129	0.181
TFAP2B(var.2)$MA0812.1|TFAP2C(var.2)$MA0814.2|TFAP2A$MA0003.4|TFAP2C(var.2)$MA0814.1|TFAP2E$MA1569.1|TFAP2A$MA0003.3	16335.17	20680.58	23902.47	-0.82	0.1	1.17	264	145	119	0.067	0.008
