id	motif	5% stats	Median stats	95% stats	5% p-val	Median p-val	95% p-val	All mutation	Pos mutation	Neg mutation	Median score difference	Mean score difference
MA0819.1	CLOCK	30092.1	36900.5	43142.3	-0.36	0.78	2.61	400	209	191	0.072	0.168
MA0730.1	RARA(var.2)	39073.2	47125.5	55169.6	-0.79	1.04	2.96	455	233	222	0.036	0.188
MA0742.1	Klf12	59545.0	69421.0	79306.7	-2.56	-0.7	0.3	544	262	282	-0.054	-0.094
MA0482.2	GATA4	40754.5	48992.5	56024.0	-1.58	-0.24	0.54	449	220	229	-0.021	-0.047
MA0099.1	JUN::FOS	12028.9	15523.0	19144.1	1.66	4.16	7.37	291	170	121	0.435	0.506
MA0102.1	Cebpa	24919.8	31517.0	35610.8	-1.06	-0.05	0.91	356	177	179	-0.017	-0.019
MA0108.1	TBP	49425.7	58272.5	67091.8	-3.81	-1.49	-0.18	511	231	280	-0.111	-0.098
MA0498.2	MEIS1	12885.4	16630.5	20304.4	0.02	0.71	2.43	270	150	120	0.061	0.135
MA1100.2	ASCL1	22425.7	27921.0	32433.0	-0.37	0.35	1.8	342	179	163	0.059	0.102
MA0812.1	TFAP2B(var.2)	25030.9	30740.5	36038.7	-1.68	-0.32	0.5	358	171	187	-0.034	-0.062
MA0853.1	Alx4	50041.8	58949.5	67579.6	-2.03	-0.54	0.53	499	246	253	-0.043	-0.092
MA0033.2	FOXL1	11887.0	15552.0	18292.0	-0.63	0.13	1.21	252	135	117	0.111	-0.004
MA0805.1	TBX1	21426.3	26282.0	31461.6	-0.29	0.94	2.69	341	181	160	0.062	0.214
MA0075.1	Prrx2	4534.0	6283.0	7847.1	-1.38	-0.23	0.63	162	79	83	-0.023	-0.052
MA0912.1	Hoxd3	56299.2	66221.0	74644.2	-1.66	-0.34	0.36	524	253	271	-0.061	-0.036
MA1519.1	LHX5	12840.1	16232.5	20019.7	-4.0	-1.63	0.84	277	131	146	-0.122	-0.249
MA0694.1	ZBTB7B	51378.6	60858.5	68009.9	-1.43	-0.16	0.62	498	239	259	-0.024	-0.04
MA0491.1	JUND	25389.4	30605.0	36463.7	0.71	3.13	6.13	390	213	177	0.192	0.429
MA0148.2	FOXA1	31812.8	38806.0	45126.3	-0.24	0.65	2.34	408	215	193	0.093	0.135
MA0475.2	FLI1	31540.8	38401.0	45210.6	23.15	29.79	37.3	583	418	165	0.888	1.033
