	chr	start	end	strand	Stat	Parent files
Merged-chr7-15679127-1	chr7	15679027	15679227	+	10.2	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-44347705-1	chr16	44347605	44347805	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr9-21546139-1	chr9	21546039	21546239	+	18.5	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr14-6893840-1	chr14	6893740	6893940	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr14-4370289-1	chr14	4370189	4370389	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr14-119038578-1	chr14	119038478	119038678	+	12.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr14-118705807-1	chr14	118705707	118705907	+	12.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr1-150387702-1	chr1	150387602	150387802	+	23.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr1-138912994-1	chr1	138912894	138913094	+	18.5	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr14-75786984-1	chr14	75786884	75787084	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr3-32370283-1	chr3	32370183	32370383	+	17.5	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr1-131560979-1	chr1	131560879	131561079	+	18.5	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr14-61650977-1	chr14	61650877	61651077	+	12.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr14-54520122-1	chr14	54520022	54520222	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr14-25156523-1	chr14	25156423	25156623	+	12.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr14-23401643-1	chr14	23401543	23401743	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr1-57266365-1	chr1	57266265	57266465	+	19.4	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr1-30873876-1	chr1	30873776	30873976	+	24.9	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr14-121915913-1	chr14	121915813	121916013	+	14.8	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr1-132139740-1	chr1	132139640	132139840	+	21.200001	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-32132061-1	chr12	32131961	32132161	+	12.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr1-57255098-1	chr1	57254998	57255198	+	22.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-24651055-1	chr12	24650955	24651155	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr3-41742354-1	chr3	41742254	41742454	+	16.6	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-95353290-1	chr16	95353190	95353390	+	15.7	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr3-9886978-1	chr3	9886878	9887078	+	13.8	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-8416992-1	chr16	8416892	8417092	+	9.23	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-95833244-1	chr16	95833144	95833344	+	10.2	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-93756783-1	chr16	93756683	93756883	+	8.3	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-64964493-1	chr16	64964393	64964593	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-58408164-1	chr16	58408064	58408264	+	10.2	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-45757667-1	chr16	45757567	45757767	+	14.8	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-32724580-1	chr16	32724480	32724680	+	12.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-23311904-1	chr16	23311804	23312004	+	8.3	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr9-44334858-1	chr9	44334758	44334958	+	17.5	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-22300168-1	chr16	22300068	22300268	+	12.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr3-28557760-1	chr3	28557660	28557860	+	16.6	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-19409867-1	chr16	19409767	19409967	+	10.2	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-18288987-1	chr16	18288887	18289087	+	9.23	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-17277090-1	chr16	17276990	17277190	+	9.23	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-11014566-1	chr16	11014466	11014666	+	9.23	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr9-116175245-1	chr9	116175145	116175345	+	20.299999	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr9-113929188-1	chr9	113929088	113929288	+	22.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr3-107856631-1	chr3	107856531	107856731	+	18.5	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-8408515-1	chr16	8408415	8408615	+	10.2	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-19977355-1	chr16	19977255	19977455	+	10.2	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-54076532-1	chr10	54076432	54076632	+	15.7	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-112667520-1	chr12	112667420	112667620	+	12.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr12-108087035-1	chr12	108086935	108087135	+	12.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-41477074-1	chr10	41476974	41477174	+	13.8	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-26815768-1	chr10	26815668	26815868	+	15.7	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-80264906-1	chr10	80264806	80265006	+	15.7	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-79937288-1	chr10	79937188	79937388	+	15.7	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr14-119553915-1	chr14	119553815	119554015	+	34.099998	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-31993634-1	chr16	31993534	31993734	+	12.0	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-31005833-1	chr16	31005733	31005933	+	11.1	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-30067107-1	chr16	30067007	30067207	+	12.9	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-22149161-1	chr10	22149061	22149261	+	14.8	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr10-76293756-1	chr10	76293656	76293856	+	13.8	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-20548441-1	chr16	20548341	20548541	+	13.8	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-11624971-1	chr16	11624871	11625071	+	10.2	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr3-98337414-1	chr3	98337314	98337514	+	18.5	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
Merged-chr16-95814690-1	chr16	95814590	95814790	+	9.23	PWK_F_BMDM_ChIP_Egr2_24hIL4_DSGFA_rep2_MAH_l20181023.txt
